"Year","Predicted A level points","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2014","12 point(s)","18","Wales","Female","0","0","10","15","0","5","15","15"
"2015","12 point(s)","18","England","Female","635","205","445","1215","675","215","445","1335"
"2015","12 point(s)","18","Northern Ireland","Female","0","5","5","10","0","5","5","10"
"2015","12 point(s)","18","Wales","Female","10","10","20","40","10","10","25","45"
"2016","12 point(s)","18","England","Female","1310","1020","765","2810","1370","1105","775","3245"
"2016","12 point(s)","18","Northern Ireland","Female","10","5","5","20","10","5","5","25"
"2016","12 point(s)","18","Wales","Female","10","30","30","65","10","35","35","75"
"2017","12 point(s)","18","England","Female","2310","1335","1035","4115","2685","1460","1080","5220"
"2017","12 point(s)","18","Northern Ireland","Female","30","20","20","65","30","20","25","75"
"2017","12 point(s)","18","Wales","Female","45","55","60","145","50","60","65","175"
"2018","12 point(s)","18","England","Female","3230","1710","1375","5265","3995","1945","1405","7350"
"2018","12 point(s)","18","Northern Ireland","Female","30","25","30","75","30","25","30","90"
"2018","12 point(s)","18","Wales","Female","80","70","60","185","85","80","65","225"
"2019","12 point(s)","18","England","Female","3680","1985","1150","5525","4965","2325","1180","8470"
"2019","12 point(s)","18","Northern Ireland","Female","30","20","10","50","35","25","10","70"
"2019","12 point(s)","18","Wales","Female","75","105","35","180","90","115","35","240"
"2020","12 point(s)","18","England","Female","1435","3595","2190","5730","1630","4750","2555","8935"
"2020","12 point(s)","18","Northern Ireland","Female","10","25","100","130","10","40","135","185"
"2020","12 point(s)","18","Wales","Female","15","100","125","195","15","125","160","300"
"2021","12 point(s)","18","England","Female","0","1355","305","1585","0","1590","320","1910"
"2021","12 point(s)","18","Northern Ireland","Female","0","5","0","10","0","10","0","10"
"2021","12 point(s)","18","Wales","Female","0","120","20","130","0","145","25","165"
"2022","12 point(s)","18","England","Female","280","1720","415","2265","290","2090","425","2805"
"2022","12 point(s)","18","Northern Ireland","Female","0","10","0","15","0","15","0","15"
"2022","12 point(s)","18","Wales","Female","5","50","25","75","5","65","25","95"
"2023","12 point(s)","18","England","Female","0","1250","330","1510","0","1430","340","1770"
"2023","12 point(s)","18","Northern Ireland","Female","0","10","5","10","0","10","5","15"
"2023","12 point(s)","18","Wales","Female","0","15","15","35","0","20","20","40"
"2013","13 point(s)","18","England","Female","0","45","20","65","0","45","20","65"
"2013","13 point(s)","18","Wales","Female","0","0","10","10","0","0","10","10"
"2014","13 point(s)","18","England","Female","330","300","180","785","345","310","190","840"
"2014","13 point(s)","18","Northern Ireland","Female","5","10","5","20","5","15","5","20"
"2014","13 point(s)","18","Wales","Female","5","10","25","40","5","10","30","45"
"2015","13 point(s)","18","England","Female","970","455","660","1935","1025","475","670","2165"
"2015","13 point(s)","18","Northern Ireland","Female","5","20","20","40","5","20","25","45"
"2015","13 point(s)","18","Wales","Female","15","25","25","65","15","30","30","75"
"2016","13 point(s)","18","England","Female","1835","1130","690","3285","2040","1225","700","3960"
"2016","13 point(s)","18","Northern Ireland","Female","20","25","10","50","20","25","10","55"
"2016","13 point(s)","18","Wales","Female","30","85","30","135","30","105","40","175"
"2017","13 point(s)","18","England","Female","3100","1410","1070","4880","3660","1550","1105","6315"
"2017","13 point(s)","18","Northern Ireland","Female","25","20","30","65","25","20","30","75"
"2017","13 point(s)","18","Wales","Female","50","85","50","170","50","90","55","195"
"2018","13 point(s)","18","England","Female","4485","1605","1280","6180","5790","1800","1300","8890"
"2018","13 point(s)","18","Northern Ireland","Female","55","40","30","115","60","45","30","140"
"2018","13 point(s)","18","Wales","Female","135","95","60","250","165","110","60","335"
"2019","13 point(s)","18","England","Female","4595","1925","1205","6365","6135","2180","1230","9545"
"2019","13 point(s)","18","Northern Ireland","Female","45","25","20","85","55","30","20","105"
"2019","13 point(s)","18","Wales","Female","105","80","30","185","130","100","30","260"
"2020","13 point(s)","18","England","Female","2415","3480","1960","6200","2765","4410","2240","9415"
"2020","13 point(s)","18","Northern Ireland","Female","10","35","130","165","10","40","160","215"
"2020","13 point(s)","18","Wales","Female","30","130","115","235","35","165","140","340"
"2021","13 point(s)","18","England","Female","0","1365","310","1595","0","1570","325","1895"
"2021","13 point(s)","18","Northern Ireland","Female","0","15","5","20","0","15","10","25"
"2021","13 point(s)","18","Wales","Female","0","115","20","130","0","155","25","180"
"2022","13 point(s)","18","England","Female","270","1915","495","2500","275","2330","515","3120"
"2022","13 point(s)","18","Northern Ireland","Female","5","15","5","25","5","20","5","25"
"2022","13 point(s)","18","Wales","Female","5","45","30","80","5","55","35","95"
"2023","13 point(s)","18","England","Female","0","1390","320","1640","0","1585","335","1920"
"2023","13 point(s)","18","Northern Ireland","Female","0","5","5","5","0","5","5","5"
"2023","13 point(s)","18","Wales","Female","0","30","20","45","0","35","20","55"
"2013","14 point(s)","18","England","Female","0","35","15","50","0","35","15","50"
"2013","14 point(s)","18","Northern Ireland","Female","0","5","0","5","0","5","0","5"
"2013","14 point(s)","18","Wales","Female","0","0","10","10","0","0","10","10"
"2014","14 point(s)","18","England","Female","265","250","255","750","270","260","265","795"
"2014","14 point(s)","18","Northern Ireland","Female","5","10","5","20","5","15","5","25"
"2014","14 point(s)","18","Wales","Female","0","5","25","35","0","5","30","35"
"2015","14 point(s)","18","England","Female","1015","350","585","1830","1075","375","595","2050"
"2015","14 point(s)","18","Northern Ireland","Female","10","5","25","35","10","5","25","40"
"2015","14 point(s)","18","Wales","Female","20","35","20","70","25","45","20","90"
"2016","14 point(s)","18","England","Female","1525","780","590","2655","1660","840","600","3100"
"2016","14 point(s)","18","Northern Ireland","Female","5","20","10","35","5","20","10","40"
"2016","14 point(s)","18","Wales","Female","40","90","30","140","40","105","40","180"
"2017","14 point(s)","18","England","Female","2675","1090","790","4110","3105","1190","810","5105"
"2017","14 point(s)","18","Northern Ireland","Female","25","20","20","60","30","20","20","70"
"2017","14 point(s)","18","Wales","Female","60","90","40","165","60","105","45","210"
"2018","14 point(s)","18","England","Female","4295","1335","1025","5800","5345","1485","1045","7875"
"2018","14 point(s)","18","Northern Ireland","Female","60","30","20","105","70","30","20","115"
"2018","14 point(s)","18","Wales","Female","155","70","45","240","175","85","50","315"
"2019","14 point(s)","18","England","Female","4360","1710","935","5870","5605","1895","955","8460"
"2019","14 point(s)","18","Northern Ireland","Female","50","30","25","95","55","35","30","120"
"2019","14 point(s)","18","Wales","Female","135","80","30","215","170","95","30","290"
"2020","14 point(s)","18","England","Female","1985","3190","1495","5470","2235","3925","1695","7850"
"2020","14 point(s)","18","Northern Ireland","Female","20","40","140","185","20","50","165","235"
"2020","14 point(s)","18","Wales","Female","25","85","80","170","25","95","100","220"
"2021","14 point(s)","18","England","Female","0","1040","210","1200","0","1215","220","1435"
"2021","14 point(s)","18","Northern Ireland","Female","0","25","0","25","0","25","0","25"
"2021","14 point(s)","18","Wales","Female","0","85","30","105","0","105","30","135"
"2022","14 point(s)","18","England","Female","245","1765","430","2300","255","2105","445","2800"
"2022","14 point(s)","18","Northern Ireland","Female","5","25","5","35","5","25","5","40"
"2022","14 point(s)","18","Wales","Female","5","60","50","115","5","75","55","135"
"2023","14 point(s)","18","England","Female","0","1215","315","1475","0","1385","335","1720"
"2023","14 point(s)","18","Northern Ireland","Female","0","15","5","20","0","20","5","25"
"2023","14 point(s)","18","Wales","Female","0","25","20","40","0","30","20","50"
"2013","15 point(s)","18","England","Female","0","45","75","120","0","50","75","125"
"2013","15 point(s)","18","Wales","Female","0","0","15","15","0","0","15","15"
"2014","15 point(s)","18","England","Female","845","630","315","1700","895","640","320","1855"
"2014","15 point(s)","18","Northern Ireland","Female","10","20","5","30","10","20","5","30"
"2014","15 point(s)","18","Wales","Female","35","20","25","75","35","20","30","85"
"2015","15 point(s)","18","England","Female","1635","830","585","2805","1795","855","590","3245"
"2015","15 point(s)","18","Northern Ireland","Female","10","20","20","50","15","20","20","55"
"2015","15 point(s)","18","Wales","Female","50","50","30","120","55","50","40","145"
"2016","15 point(s)","18","England","Female","1890","1120","725","3390","2075","1190","730","3995"
"2016","15 point(s)","18","Northern Ireland","Female","20","25","10","55","20","30","10","60"
"2016","15 point(s)","18","Wales","Female","70","85","35","170","70","105","35","215"
"2017","15 point(s)","18","England","Female","3225","1215","590","4510","3755","1325","605","5685"
"2017","15 point(s)","18","Northern Ireland","Female","35","20","20","70","40","20","20","80"
"2017","15 point(s)","18","Wales","Female","120","90","35","215","130","100","35","270"
"2018","15 point(s)","18","England","Female","4150","1170","730","5355","5160","1255","735","7150"
"2018","15 point(s)","18","Northern Ireland","Female","65","20","30","105","80","20","30","125"
"2018","15 point(s)","18","Wales","Female","165","60","35","220","215","65","35","315"
"2019","15 point(s)","18","England","Female","4515","1150","760","5660","5805","1270","775","7845"
"2019","15 point(s)","18","Northern Ireland","Female","55","15","15","80","70","20","15","100"
"2019","15 point(s)","18","Wales","Female","145","55","20","205","165","65","25","255"
"2020","15 point(s)","18","England","Female","1815","2515","1010","4550","1990","3020","1090","6100"
"2020","15 point(s)","18","Northern Ireland","Female","20","35","90","135","20","35","105","165"
"2020","15 point(s)","18","Wales","Female","35","70","65","145","40","90","80","210"
"2021","15 point(s)","18","England","Female","0","925","190","1060","0","1055","195","1250"
"2021","15 point(s)","18","Northern Ireland","Female","0","30","0","30","0","30","0","35"
"2021","15 point(s)","18","Wales","Female","0","70","10","75","0","80","10","90"
"2022","15 point(s)","18","England","Female","170","1335","405","1820","175","1560","415","2150"
"2022","15 point(s)","18","Northern Ireland","Female","5","20","5","35","5","25","5","40"
"2022","15 point(s)","18","Wales","Female","5","65","35","105","5","75","35","115"
"2023","15 point(s)","18","England","Female","0","1010","310","1270","0","1135","330","1470"
"2023","15 point(s)","18","Northern Ireland","Female","0","10","0","10","0","10","0","10"
"2023","15 point(s)","18","Wales","Female","0","25","15","35","0","35","20","50"
"2013","16 point(s)","18","England","Female","0","20","55","75","0","20","55","75"
"2013","16 point(s)","18","Wales","Female","0","0","5","5","0","0","5","5"
"2014","16 point(s)","18","England","Female","695","360","155","1155","735","365","155","1260"
"2014","16 point(s)","18","Northern Ireland","Female","0","5","5","15","0","5","5","15"
"2014","16 point(s)","18","Wales","Female","25","5","10","40","25","5","10","40"
"2015","16 point(s)","18","England","Female","1330","425","325","1950","1465","445","330","2235"
"2015","16 point(s)","18","Northern Ireland","Female","10","5","5","20","10","5","5","25"
