"Year","Predicted A level points","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2014","12 point(s)","18","All","Female","290","80","50","415","300","80","55","435"
"2015","12 point(s)","18","All","Female","645","220","470","1265","685","230","475","1390"
"2016","12 point(s)","18","All","Female","1325","1055","805","2895","1385","1145","815","3340"
"2017","12 point(s)","18","All","Female","2385","1405","1120","4320","2765","1540","1165","5475"
"2018","12 point(s)","18","All","Female","3340","1800","1470","5520","4110","2050","1500","7665"
"2019","12 point(s)","18","All","Female","3780","2110","1195","5755","5085","2465","1225","8775"
"2020","12 point(s)","18","All","Female","1460","3720","2415","6055","1660","4915","2845","9420"
"2021","12 point(s)","18","All","Female","0","1480","325","1720","0","1745","345","2085"
"2022","12 point(s)","18","All","Female","290","1785","440","2355","295","2170","450","2915"
"2023","12 point(s)","18","All","Female","0","1275","350","1555","0","1460","365","1820"
"2013","13 point(s)","18","All","Female","0","50","30","80","0","50","30","80"
"2014","13 point(s)","18","All","Female","335","320","205","845","350","335","220","910"
"2015","13 point(s)","18","All","Female","990","500","710","2040","1045","520","720","2285"
"2016","13 point(s)","18","All","Female","1880","1235","735","3470","2090","1355","750","4190"
"2017","13 point(s)","18","All","Female","3175","1515","1150","5115","3735","1665","1190","6585"
"2018","13 point(s)","18","All","Female","4675","1740","1370","6545","6015","1960","1395","9365"
"2019","13 point(s)","18","All","Female","4750","2035","1255","6630","6320","2310","1280","9910"
"2020","13 point(s)","18","All","Female","2460","3645","2205","6595","2815","4615","2545","9975"
"2021","13 point(s)","18","All","Female","0","1495","340","1750","0","1740","360","2100"
"2022","13 point(s)","18","All","Female","280","1975","530","2605","290","2405","550","3245"
"2023","13 point(s)","18","All","Female","0","1420","340","1690","0","1625","360","1985"
"2013","14 point(s)","18","All","Female","0","40","25","65","0","40","25","65"
"2014","14 point(s)","18","All","Female","270","270","285","805","275","280","295","850"
"2015","14 point(s)","18","All","Female","1045","390","625","1940","1110","430","640","2175"
"2016","14 point(s)","18","All","Female","1570","895","625","2835","1705","965","645","3320"
"2017","14 point(s)","18","All","Female","2760","1200","850","4340","3195","1320","875","5385"
"2018","14 point(s)","18","All","Female","4510","1435","1090","6140","5590","1600","1115","8305"
"2019","14 point(s)","18","All","Female","4545","1820","990","6180","5830","2025","1015","8870"
"2020","14 point(s)","18","All","Female","2030","3315","1715","5825","2280","4070","1955","8305"
"2021","14 point(s)","18","All","Female","0","1145","235","1325","0","1345","250","1595"
"2022","14 point(s)","18","All","Female","255","1850","485","2450","265","2205","505","2975"
"2023","14 point(s)","18","All","Female","0","1255","340","1535","0","1430","360","1795"
"2013","15 point(s)","18","All","Female","0","45","90","135","0","50","90","140"
"2014","15 point(s)","18","All","Female","890","665","345","1805","940","675","350","1970"
"2015","15 point(s)","18","All","Female","1695","900","635","2980","1860","930","650","3440"
"2016","15 point(s)","18","All","Female","1980","1235","765","3610","2170","1325","775","4270"
"2017","15 point(s)","18","All","Female","3385","1320","640","4795","3930","1445","660","6035"
"2018","15 point(s)","18","All","Female","4385","1250","790","5685","5455","1340","800","7590"
"2019","15 point(s)","18","All","Female","4720","1220","795","5940","6040","1355","810","8205"
"2020","15 point(s)","18","All","Female","1865","2620","1170","4830","2050","3145","1275","6475"
"2021","15 point(s)","18","All","Female","0","1025","200","1165","0","1165","205","1375"
"2022","15 point(s)","18","All","Female","180","1420","450","1955","185","1660","460","2305"
"2023","15 point(s)","18","All","Female","0","1045","325","1320","0","1180","350","1530"
"2013","16 point(s)","18","All","Female","0","20","60","80","0","20","60","80"
"2014","16 point(s)","18","All","Female","725","375","165","1210","765","380","165","1315"
"2015","16 point(s)","18","All","Female","1395","455","345","2050","1535","475","350","2360"
"2016","16 point(s)","18","All","Female","1570","530","375","2305","1750","545","380","2675"
"2017","16 point(s)","18","All","Female","2505","525","255","3045","2875","565","260","3705"
"2018","16 point(s)","18","All","Female","2825","450","255","3280","3435","480","260","4175"
"2019","16 point(s)","18","All","Female","3130","405","335","3610","3935","440","340","4715"
"2020","16 point(s)","18","All","Female","1065","1275","455","2450","1145","1480","495","3120"
"2021","16 point(s)","18","All","Female","0","580","85","635","0","635","95","730"
"2022","16 point(s)","18","All","Female","105","720","225","1010","105","845","235","1185"
"2023","16 point(s)","18","All","Female","0","605","215","795","0","680","235","915"
"2013","17 point(s)","18","All","Female","0","10","20","30","0","15","20","30"
"2014","17 point(s)","18","All","Female","480","160","70","690","500","165","70","735"
"2015","17 point(s)","18","All","Female","810","210","125","1085","895","210","125","1235"
"2016","17 point(s)","18","All","Female","960","225","150","1265","1065","235","150","1450"
"2017","17 point(s)","18","All","Female","1390","190","85","1590","1585","200","85","1875"
"2018","17 point(s)","18","All","Female","1600","180","90","1790","1915","185","90","2185"
"2019","17 point(s)","18","All","Female","1895","130","105","2035","2320","150","105","2575"
"2020","17 point(s)","18","All","Female","515","585","185","1155","540","660","200","1400"
"2021","17 point(s)","18","All","Female","0","340","45","370","0","375","45","420"
"2022","17 point(s)","18","All","Female","40","365","135","520","40","435","140","615"
"2023","17 point(s)","18","All","Female","0","330","105","420","0","375","110","485"
"2013","18 point(s)","18","All","Female","0","5","10","15","0","5","10","15"
"2014","18 point(s)","18","All","Female","345","105","35","475","365","105","35","505"
"2015","18 point(s)","18","All","Female","660","105","55","785","715","110","55","875"
"2016","18 point(s)","18","All","Female","740","105","65","880","805","110","65","980"
"2017","18 point(s)","18","All","Female","935","85","35","1030","1030","85","35","1150"
"2018","18 point(s)","18","All","Female","1150","75","35","1225","1315","75","35","1425"
"2019","18 point(s)","18","All","Female","1435","55","35","1490","1705","60","35","1800"
"2020","18 point(s)","18","All","Female","355","325","85","715","360","350","90","800"
"2021","18 point(s)","18","All","Female","0","245","25","265","0","260","25","285"
"2022","18 point(s)","18","All","Female","35","190","75","285","35","230","75","340"
"2023","18 point(s)","18","All","Female","0","155","60","205","0","160","65","225"
"2020","3 point(s)","18","All","Male","0","0","5","5","0","0","5","10"
"2018","4 point(s)","18","All","Male","0","5","5","10","0","5","5","10"
"2019","4 point(s)","18","All","Male","5","0","0","5","5","0","0","5"
"2020","4 point(s)","18","All","Male","0","0","15","20","0","0","20","25"
"2021","4 point(s)","18","All","Male","0","5","0","5","0","5","0","5"
"2022","4 point(s)","18","All","Male","0","0","0","0","0","0","5","5"
"2013","5 point(s)","18","All","Male","0","0","0","0","0","5","0","5"
"2014","5 point(s)","18","All","Male","0","0","0","5","0","0","0","5"
"2016","5 point(s)","18","All","Male","0","0","0","5","0","0","0","5"
"2017","5 point(s)","18","All","Male","0","0","5","5","0","0","5","5"
"2018","5 point(s)","18","All","Male","0","10","5","15","0","10","5","20"
"2019","5 point(s)","18","All","Male","5","5","5","15","5","5","5","15"
"2020","5 point(s)","18","All","Male","5","5","30","35","5","5","35","40"
"2021","5 point(s)","18","All","Male","0","10","5","15","0","10","5","15"
"2022","5 point(s)","18","All","Male","0","15","0","15","0","15","0","15"
"2023","5 point(s)","18","All","Male","0","5","0","5","0","5","0","5"
"2013","6 point(s)","18","All","Male","0","5","0","5","0","5","0","5"
"2014","6 point(s)","18","All","Male","0","5","5","10","0","5","5","10"
"2015","6 point(s)","18","All","Male","0","5","5","10","0","5","5","10"
"2016","6 point(s)","18","All","Male","0","5","5","10","0","5","5","10"
"2017","6 point(s)","18","All","Male","5","5","5","10","5","5","5","10"
"2018","6 point(s)","18","All","Male","5","10","15","30","5","10","15","30"
"2019","6 point(s)","18","All","Male","10","20","10","35","10","20","10","45"
"2020","6 point(s)","18","All","Male","5","10","95","110","5","10","115","135"
"2021","6 point(s)","18","All","Male","0","25","5","25","0","25","5","30"
"2022","6 point(s)","18","All","Male","0","30","0","30","0","30","0","35"
"2023","6 point(s)","18","All","Male","0","10","5","15","0","10","5","15"
"2013","7 point(s)","18","All","Male","0","5","5","10","0","10","5","10"
"2014","7 point(s)","18","All","Male","0","10","5","20","0","10","5","20"
"2015","7 point(s)","18","All","Male","5","10","10","25","5","10","10","25"
"2016","7 point(s)","18","All","Male","5","15","15","35","5","15","15","35"
"2017","7 point(s)","18","All","Male","10","15","15","40","10","15","15","40"
"2018","7 point(s)","18","All","Male","20","35","25","75","20","40","25","90"
"2019","7 point(s)","18","All","Male","10","35","20","60","10","35","20","65"
"2020","7 point(s)","18","All","Male","15","30","155","190","15","35","205","255"
"2021","7 point(s)","18","All","Male","0","40","10","45","0","40","10","50"
"2022","7 point(s)","18","All","Male","0","70","10","80","0","75","15","90"
"2023","7 point(s)","18","All","Male","0","15","20","35","0","15","20","35"
"2013","8 point(s)","18","All","Male","0","15","5","20","0","15","5","20"
"2014","8 point(s)","18","All","Male","0","10","20","30","0","10","20","30"
"2015","8 point(s)","18","All","Male","5","15","20","40","5","15","20","45"
"2016","8 point(s)","18","All","Male","20","35","40","90","20","35","45","100"
"2017","8 point(s)","18","All","Male","15","40","45","100","20","45","45","110"
"2018","8 point(s)","18","All","Male","25","70","75","165","30","75","80","190"
"2019","8 point(s)","18","All","Male","45","60","55","155","50","70","60","175"
"2020","8 point(s)","18","All","Male","30","60","335","400","35","65","430","530"
"2021","8 point(s)","18","All","Male","0","85","20","105","0","95","20","115"
"2022","8 point(s)","18","All","Male","0","110","35","145","5","125","40","170"
"2023","8 point(s)","18","All","Male","0","55","45","95","0","55","50","105"
"2013","9 point(s)","18","All","Male","0","25","5","30","0","25","5","30"
"2014","9 point(s)","18","All","Male","0","30","30","65","0","30","30","65"
"2015","9 point(s)","18","All","Male","5","40","70","120","5","45","70","120"
"2016","9 point(s)","18","All","Male","60","120","105","285","65","125","110","300"
"2017","9 point(s)","18","All","Male","55","110","210","365","55","120","215","390"
"2018","9 point(s)","18","All","Male","100","255","275","585","100","280","275","655"
"2019","9 point(s)","18","All","Male","345","170","280","725","380","195","295","870"
"2020","9 point(s)","18","All","Male","370","235","770","1220","410","275","950","1635"
"2021","9 point(s)","18","All","Male","0","255","55","300","0","290","55","350"
"2022","9 point(s)","18","All","Male","25","275","110","395","25","310","115","450"
"2023","9 point(s)","18","All","Male","0","190","125","305","0","210","135","345"
"2013","10 point(s)","18","All","Male","0","20","25","45","0","20","25","45"
"2014","10 point(s)","18","All","Male","0","35","45","80","0","35","45","85"
"2015","10 point(s)","18","All","Male","20","55","125","200","25","55","130","210"
"2016","10 point(s)","18","All","Male","90","310","140","530","95","320","145","560"
"2017","10 point(s)","18","All","Male","135","255","295","650","135","265","305","705"
"2018","10 point(s)","18","All","Male","245","480","610","1235","270","525","620","1415"
"2019","10 point(s)","18","All","Male","600","390","455","1285","675","440","465","1580"
"2020","10 point(s)","18","All","Male","515","520","1065","1820","565","595","1285","2445"
"2021","10 point(s)","18","All","Male","0","385","130","490","0","450","135","585"
"2022","10 point(s)","18","All","Male","45","485","140","645","45","560","145","755"
"2023","10 point(s)","18","All","Male","0","350","205","535","0","385","225","610"
"2013","11 point(s)","18","All","Male","0","35","25","60","0","35","25","60"
"2014","11 point(s)","18","All","Male","15","40","60","115","15","40","65","120"
"2015","11 point(s)","18","All","Male","30","75","320","425","30","80","330","440"
"2016","11 point(s)","18","All","Male","200","405","330","900","205","430","335","965"
"2017","11 point(s)","18","All","Male","575","620","530","1570","615","660","545","1820"
"2018","11 point(s)","18","All","Male","1100","795","870","2405","1235","905","885","3025"
"2019","11 point(s)","18","All","Male","1550","735","660","2500","1885","875","685","3445"
"2020","11 point(s)","18","All","Male","735","1430","1410","2920","820","1765","1735","4320"
"2021","11 point(s)","18","All","Male","0","725","130","840","0","850","135","990"
"2022","11 point(s)","18","All","Male","125","1035","345","1430","130","1210","365","1705"
"2023","11 point(s)","18","All","Male","0","755","280","990","0","865","315","1175"
"2013","12 point(s)","18","All","Male","0","30","40","70","0","30","40","70"
"2014","12 point(s)","18","All","Male","335","45","75","455","345","45","80","475"
"2015","12 point(s)","18","All","Male","430","105","360","855","445","110","370","925"
"2016","12 point(s)","18","All","Male","780","425","585","1655","820","450","595","1865"
"2017","12 point(s)","18","All","Male","1375","760","770","2610","1585","840","810","3235"
"2018","12 point(s)","18","All","Male","2105","900","1040","3455","2495","1010","1070","4575"
"2019","12 point(s)","18","All","Male","2560","1490","880","4010","3265","1690","920","5875"
"2020","12 point(s)","18","All","Male","930","2565","1725","4225","1030","3320","2035","6380"
"2021","12 point(s)","18","All","Male","0","870","180","1000","0","1015","180","1195"
"2022","12 point(s)","18","All","Male","285","1245","480","1880","300","1460","505","2265"
"2023","12 point(s)","18","All","Male","0","975","355","1270","0","1125","385","1510"
"2013","13 point(s)","18","All","Male","0","20","30","50","0","20","30","50"
"2014","13 point(s)","18","All","Male","255","190","165","590","260","200","175","635"
"2015","13 point(s)","18","All","Male","700","265","445","1305","735","280","460","1470"
"2016","13 point(s)","18","All","Male","1000","550","425","1830","1100","595","435","2125"
"2017","13 point(s)","18","All","Male","1805","755","700","2915","2105","830","735","3665"
"2018","13 point(s)","18","All","Male","2885","885","835","3945","3610","985","850","5450"
"2019","13 point(s)","18","All","Male","3000","1145","730","4100","3815","1315","750","5880"
"2020","13 point(s)","18","All","Male","1675","2270","1350","4215","1915","2810","1570","6295"
"2021","13 point(s)","18","All","Male","0","800","160","920","0","895","165","1060"
"2022","13 point(s)","18","All","Male","235","1095","405","1630","245","1255","425","1930"
"2023","13 point(s)","18","All","Male","0","850","290","1095","0","940","305","1245"
"2013","14 point(s)","18","All","Male","0","25","25","50","0","25","25","50"
"2014","14 point(s)","18","All","Male","190","135","185","495","195","140","185","520"
"2015","14 point(s)","18","All","Male","565","165","360","1035","590","170","375","1135"
"2016","14 point(s)","18","All","Male","795","355","365","1405","870","390","375","1630"
"2017","14 point(s)","18","All","Male","1370","605","435","2215","1565","650","455","2670"
"2018","14 point(s)","18","All","Male","2370","645","475","3105","2855","700","490","4050"
"2019","14 point(s)","18","All","Male","2710","875","515","3595","3345","965","530","4840"
"2020","14 point(s)","18","All","Male","1280","1725","975","3385","1430","2105","1115","4650"
"2021","14 point(s)","18","All","Male","0","535","100","615","0","610","105","710"
"2022","14 point(s)","18","All","Male","165","895","315","1300","175","1005","330","1505"
"2023","14 point(s)","18","All","Male","0","720","285","960","0","785","305","1090"
"2013","15 point(s)","18","All","Male","0","20","70","85","0","20","70","90"
"2014","15 point(s)","18","All","Male","460","405","205","1030","475","410","210","1095"
"2015","15 point(s)","18","All","Male","875","470","380","1600","940","485","385","1815"
"2016","15 point(s)","18","All","Male","905","545","325","1660","985","575","335","1900"
"2017","15 point(s)","18","All","Male","1520","570","305","2190","1715","620","315","2645"
"2018","15 point(s)","18","All","Male","2160","545","360","2795","2540","565","365","3470"
"2019","15 point(s)","18","All","Male","2555","540","375","3145","3080","600","380","4060"
"2020","15 point(s)","18","All","Male","1005","1265","585","2480","1070","1490","625","3185"
"2021","15 point(s)","18","All","Male","0","445","70","505","0","495","75","570"
"2022","15 point(s)","18","All","Male","115","630","265","970","120","685","280","1085"
"2023","15 point(s)","18","All","Male","0","520","195","685","0","570","200","770"
"2013","16 point(s)","18","All","Male","0","20","70","85","0","20","70","85"
"2014","16 point(s)","18","All","Male","500","235","95","810","515","240","95","855"
"2015","16 point(s)","18","All","Male","835","305","140","1210","890","310","145","1340"
"2016","16 point(s)","18","All","Male","955","345","180","1385","1055","355","180","1590"
"2017","16 point(s)","18","All","Male","1460","260","90","1735","1645","275","95","2015"
"2018","16 point(s)","18","All","Male","1500","240","130","1770","1745","255","135","2135"
"2019","16 point(s)","18","All","Male","1840","180","175","2070","2180","190","175","2545"
"2020","16 point(s)","18","All","Male","585","575","235","1260","610","670","255","1535"
"2021","16 point(s)","18","All","Male","0","220","35","255","0","240","40","280"
"2022","16 point(s)","18","All","Male","65","290","120","455","70","335","125","530"
"2023","16 point(s)","18","All","Male","0","255","110","360","0","275","115","395"
"2013","17 point(s)","18","All","Male","0","5","15","20","0","5","15","20"
"2014","17 point(s)","18","All","Male","330","120","45","475","350","120","50","515"
"2015","17 point(s)","18","All","Male","545","130","65","710","590","135","65","785"
"2016","17 point(s)","18","All","Male","630","130","80","820","670","135","80","885"
"2017","17 point(s)","18","All","Male","905","120","35","1020","995","125","40","1155"
"2018","17 point(s)","18","All","Male","1060","100","60","1175","1195","100","60","1355"
"2019","17 point(s)","18","All","Male","1205","85","75","1310","1410","95","75","1580"
"2020","17 point(s)","18","All","Male","380","315","95","745","390","345","100","835"
"2021","17 point(s)","18","All","Male","0","135","15","145","0","140","15","155"
"2022","17 point(s)","18","All","Male","30","155","70","240","30","160","70","260"
"2023","17 point(s)","18","All","Male","0","135","65","195","0","145","70","215"
"2013","18 point(s)","18","All","Male","0","5","15","20","0","5","15","20"
"2014","18 point(s)","18","All","Male","345","80","30","450","350","85","30","465"
"2015","18 point(s)","18","All","Male","610","90","35","725","650","95","35","780"
"2016","18 point(s)","18","All","Male","640","95","40","755","670","95","45","810"
"2017","18 point(s)","18","All","Male","825","65","25","905","890","65","30","985"
"2018","18 point(s)","18","All","Male","990","70","30","1065","1065","70","30","1165"
"2019","18 point(s)","18","All","Male","1180","35","30","1230","1330","40","30","1400"
"2020","18 point(s)","18","All","Male","445","235","60","710","450","250","60","760"
"2021","18 point(s)","18","All","Male","0","165","0","165","0","170","0","175"
"2022","18 point(s)","18","All","Male","25","100","60","180","25","105","60","195"
"2023","18 point(s)","18","All","Male","0","80","35","115","0","90","35","125"
"2013","All","18","All","Female","0","335","335","670","0","345","335","685"
"2014","All","18","All","Female","3345","2175","1270","6570","3510","2230","1305","7050"
"2015","All","18","All","Female","7355","3095","3610","13215","7955","3230","3675","14860"
"2016","All","18","All","Female","10715","6965","4300","20265","11675","7460","4380","23520"
"2017","All","18","All","Female","17880","8030","5630","28540","20545","8760","5815","35125"
"2018","All","18","All","Female","24670","9525","7345","36340","30300","10635","7480","48415"
"2019","All","18","All","Female","27820","9790","6485","37935","35560","11140","6640","53340"
"2020","All","18","All","Female","11965","18800","12320","35670","13350","23280","14305","50935"
"2021","All","18","All","Female","0","8255","1695","9530","0","9555","1765","11320"
"2022","All","18","All","Female","1340","10895","2890","14360","1380","13050","2990","17420"
"2023","All","18","All","Female","0","7780","2250","9635","0","8830","2385","11215"
"2013","All","18","All","Male","0","225","325","550","0","230","325","560"
"2014","All","18","All","Male","2435","1350","970","4635","2510","1375","1005","4890"
"2015","All","18","All","Male","4630","1725","2340","8255","4910","1785","2405","9105"
"2016","All","18","All","Male","6085","3335","2635","11370","6560","3525","2695","12780"
"2017","All","18","All","Male","10050","4170","3465","16330","11340","4510","3610","19455"
"2018","All","18","All","Male","14565","5040","4805","21820","17170","5545","4915","27625"
"2019","All","18","All","Male","17615","5760","4275","24250","21440","6535","4410","32385"
"2020","All","18","All","Male","7980","11245","8915","23740","8750","13755","10535","33035"
"2021","All","18","All","Male","5","4690","920","5435","5","5335","950","6285"
"2022","All","18","All","Male","1120","6430","2365","9405","1175","7340","2480","10995"
"2023","All","18","All","Male","0","4910","2015","6650","0","5470","2165","7635"
"2021","3 point(s)","All","All","Female","0","0","0","0","0","5","0","5"
"2018","4 point(s)","All","All","Female","0","0","0","5","0","0","0","5"
"2020","4 point(s)","All","All","Female","0","5","5","10","0","5","10","10"
"2014","5 point(s)","All","All","Female","0","5","0","5","0","5","0","5"
"2016","5 point(s)","All","All","Female","0","0","5","5","0","0","5","5"
"2017","5 point(s)","All","All","Female","0","5","0","5","0","5","0","5"
"2018","5 point(s)","All","All","Female","0","0","5","5","0","5","5","10"
"2019","5 point(s)","All","All","Female","0","5","0","10","5","5","0","10"
"2020","5 point(s)","All","All","Female","0","5","15","15","0","5","15","15"
"2021","5 point(s)","All","All","Female","0","5","0","5","0","5","0","5"
"2022","5 point(s)","All","All","Female","0","5","0","5","0","5","0","5"
"2023","5 point(s)","All","All","Female","0","5","0","5","0","5","0","5"
"2013","6 point(s)","All","All","Female","0","5","5","5","0","5","5","5"
"2014","6 point(s)","All","All","Female","0","5","0","5","0","5","0","5"
"2015","6 point(s)","All","All","Female","0","0","5","5","0","0","5","5"
"2016","6 point(s)","All","All","Female","0","5","5","10","0","5","5","10"
"2017","6 point(s)","All","All","Female","5","5","5","10","5","5","5","10"
"2018","6 point(s)","All","All","Female","10","5","5","20","10","10","5","20"
"2019","6 point(s)","All","All","Female","10","10","10","30","10","10","10","30"
"2020","6 point(s)","All","All","Female","5","10","50","60","5","15","60","75"
"2021","6 point(s)","All","All","Female","0","25","5","30","0","30","5","35"
"2022","6 point(s)","All","All","Female","0","25","0","25","0","30","0","30"
"2023","6 point(s)","All","All","Female","0","5","5","10","0","10","5","15"
"2013","7 point(s)","All","All","Female","0","10","5","15","0","10","5","15"
"2014","7 point(s)","All","All","Female","0","15","0","20","0","20","0","20"
"2015","7 point(s)","All","All","Female","0","10","10","25","0","10","10","25"
"2016","7 point(s)","All","All","Female","5","15","10","30","5","15","10","30"
"2017","7 point(s)","All","All","Female","10","15","10","35","10","20","15","40"
"2018","7 point(s)","All","All","Female","15","30","20","60","15","30","20","65"
"2019","7 point(s)","All","All","Female","20","20","25","60","20","20","25","65"
"2020","7 point(s)","All","All","Female","10","35","100","135","10","40","125","170"
"2021","7 point(s)","All","All","Female","0","30","5","40","0","35","5","40"
"2022","7 point(s)","All","All","Female","0","60","10","70","0","65","15","80"
"2023","7 point(s)","All","All","Female","0","20","10","25","0","25","10","30"
"2013","8 point(s)","All","All","Female","0","10","5","15","0","10","5","15"
"2014","8 point(s)","All","All","Female","0","20","10","25","0","20","10","25"
"2015","8 point(s)","All","All","Female","5","30","15","50","5","30","15","50"
"2016","8 point(s)","All","All","Female","15","45","35","90","15","45","40","100"
"2017","8 point(s)","All","All","Female","20","40","50","100","20","40","55","110"
"2018","8 point(s)","All","All","Female","35","70","55","155","35","80","55","170"
"2019","8 point(s)","All","All","Female","50","60","65","160","50","70","65","180"
"2020","8 point(s)","All","All","Female","35","70","260","345","35","75","305","415"
"2021","8 point(s)","All","All","Female","0","85","15","95","0","90","15","105"
"2022","8 point(s)","All","All","Female","5","110","25","135","5","120","25","155"
"2023","8 point(s)","All","All","Female","0","45","30","70","0","50","35","85"
"2013","9 point(s)","All","All","Female","0","15","5","20","0","15","5","20"
"2014","9 point(s)","All","All","Female","0","30","25","55","0","30","25","55"
"2015","9 point(s)","All","All","Female","10","55","70","140","10","55","70","140"
"2016","9 point(s)","All","All","Female","90","205","125","400","95","220","130","445"
"2017","9 point(s)","All","All","Female","105","155","240","480","110","165","245","520"
"2018","9 point(s)","All","All","Female","160","335","285","725","170","380","290","840"
"2019","9 point(s)","All","All","Female","400","190","285","785","435","210","290","935"
"2020","9 point(s)","All","All","Female","370","330","700","1220","425","375","820","1625"
"2021","9 point(s)","All","All","Female","0","250","70","315","0","295","70","370"
"2022","9 point(s)","All","All","Female","20","275","90","365","20","330","95","445"
"2023","9 point(s)","All","All","Female","0","210","85","285","0","235","90","325"
"2013","10 point(s)","All","All","Female","0","30","15","50","0","35","15","50"
"2014","10 point(s)","All","All","Female","5","50","30","80","5","50","30","85"
"2015","10 point(s)","All","All","Female","25","85","115","220","25","85","120","230"
"2016","10 point(s)","All","All","Female","175","550","145","840","185","575","150","910"
"2017","10 point(s)","All","All","Female","260","460","395","1060","275","490","405","1175"
"2018","10 point(s)","All","All","Female","315","760","730","1625","345","850","745","1940"
"2019","10 point(s)","All","All","Female","850","525","540","1655","975","585","550","2110"
"2020","10 point(s)","All","All","Female","670","820","1145","2245","760","990","1400","3145"
"2021","10 point(s)","All","All","Female","0","460","115","550","0","535","120","655"
"2022","10 point(s)","All","All","Female","40","655","150","825","40","760","155","955"
"2023","10 point(s)","All","All","Female","0","430","140","550","0","490","145","635"
"2013","11 point(s)","All","All","Female","0","40","20","60","0","40","20","60"
"2014","11 point(s)","All","All","Female","10","80","45","130","10","80","45","135"
"2015","11 point(s)","All","All","Female","75","135","435","635","75","140","440","650"
"2016","11 point(s)","All","All","Female","400","860","455","1630","410","915","460","1785"
"2017","11 point(s)","All","All","Female","950","1100","795","2610","1015","1210","825","3055"
"2018","11 point(s)","All","All","Female","1650","1395","1145","3570","1895","1595","1160","4655"
"2019","11 point(s)","All","All","Female","2240","1205","850","3580","2835","1425","880","5145"
"2020","11 point(s)","All","All","Female","1125","2040","1805","4005","1265","2560","2160","5985"
"2021","11 point(s)","All","All","Female","0","1090","225","1265","0","1295","230","1525"
"2022","11 point(s)","All","All","Female","100","1465","275","1750","100","1785","290","2175"
"2023","11 point(s)","All","All","Female","0","975","250","1170","0","1105","260","1370"
"2013","12 point(s)","All","All","Female","0","55","45","100","0","55","45","105"
"2014","12 point(s)","All","All","Female","290","80","50","415","300","80","55","435"
"2015","12 point(s)","All","All","Female","645","220","470","1265","685","230","475","1390"
"2016","12 point(s)","All","All","Female","1325","1055","805","2895","1385","1145","815","3340"
"2017","12 point(s)","All","All","Female","2385","1405","1120","4320","2765","1540","1165","5475"
"2018","12 point(s)","All","All","Female","3340","1800","1470","5520","4110","2050","1500","7665"
"2019","12 point(s)","All","All","Female","3780","2110","1195","5755","5085","2465","1225","8775"
"2020","12 point(s)","All","All","Female","1460","3720","2415","6055","1660","4915","2845","9420"
"2021","12 point(s)","All","All","Female","0","1480","325","1720","0","1745","345","2085"
"2022","12 point(s)","All","All","Female","290","1785","440","2355","295","2170","450","2915"
"2023","12 point(s)","All","All","Female","0","1275","350","1555","0","1460","365","1820"
"2013","13 point(s)","All","All","Female","0","50","30","80","0","50","30","80"
"2014","13 point(s)","All","All","Female","335","320","205","845","350","335","220","910"
"2015","13 point(s)","All","All","Female","990","500","710","2040","1045","520","720","2285"
"2016","13 point(s)","All","All","Female","1880","1235","735","3470","2090","1355","750","4190"
"2017","13 point(s)","All","All","Female","3175","1515","1150","5115","3735","1665","1190","6585"
"2018","13 point(s)","All","All","Female","4675","1740","1370","6545","6015","1960","1395","9365"
"2019","13 point(s)","All","All","Female","4750","2035","1255","6630","6320","2310","1280","9910"
"2020","13 point(s)","All","All","Female","2460","3645","2205","6595","2815","4615","2545","9975"
"2021","13 point(s)","All","All","Female","0","1495","340","1750","0","1740","360","2100"
"2022","13 point(s)","All","All","Female","280","1975","530","2605","290","2405","550","3245"
"2023","13 point(s)","All","All","Female","0","1420","340","1690","0","1625","360","1985"
"2013","14 point(s)","All","All","Female","0","40","25","65","0","40","25","65"
"2014","14 point(s)","All","All","Female","270","270","285","805","275","280","295","850"
"2015","14 point(s)","All","All","Female","1045","390","625","1940","1110","430","640","2175"
"2016","14 point(s)","All","All","Female","1570","895","625","2835","1705","965","645","3320"
"2017","14 point(s)","All","All","Female","2760","1200","850","4340","3195","1320","875","5385"
"2018","14 point(s)","All","All","Female","4510","1435","1090","6140","5590","1600","1115","8305"
"2019","14 point(s)","All","All","Female","4545","1820","990","6180","5830","2025","1015","8870"
"2020","14 point(s)","All","All","Female","2030","3315","1715","5825","2280","4070","1955","8305"
"2021","14 point(s)","All","All","Female","0","1145","235","1325","0","1345","250","1595"
"2022","14 point(s)","All","All","Female","255","1850","485","2450","265","2205","505","2975"
"2023","14 point(s)","All","All","Female","0","1255","340","1535","0","1430","360","1795"
"2013","15 point(s)","All","All","Female","0","45","90","135","0","50","90","140"
"2014","15 point(s)","All","All","Female","890","665","345","1805","940","675","350","1970"
"2015","15 point(s)","All","All","Female","1695","900","635","2980","1860","930","650","3440"
"2016","15 point(s)","All","All","Female","1980","1235","765","3610","2170","1325","775","4270"
"2017","15 point(s)","All","All","Female","3385","1320","640","4795","3930","1445","660","6035"
"2018","15 point(s)","All","All","Female","4385","1250","790","5685","5455","1340","800","7590"
"2019","15 point(s)","All","All","Female","4720","1220","795","5940","6040","1355","810","8205"
