"Year","FSM status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","In receipt of free school meals","17 and under","Northern Ireland","Female","All","Main scheme application","5","0"," ","0"
"2023","In receipt of free school meals","17 and under","England","Female","All","Main scheme application","45","20","0.41300000000000003","0"
"2023","In receipt of free school meals","17 and under","Scotland","Female","All","Main scheme application","70","45","0.629","0"
"2023","Not in receipt of free school meals","17 and under","Northern Ireland","Female","All","Main scheme application","15","5"," ","0"
"2023","Not in receipt of free school meals","17 and under","England","Female","All","Main scheme application","520","305","0.589","0"
"2023","Not in receipt of free school meals","17 and under","Scotland","Female","All","Main scheme application","475","300","0.626","0"
"2023","Not in receipt of free school meals","17 and under","Wales","Female","All","Main scheme application","20","10","0.632","0"
"2023","Don't know","17 and under","England","Female","All","Main scheme application","20","5"," ","0"
"2023","Don't know","17 and under","Scotland","Female","All","Main scheme application","15","10","0.647","0"
"2023","Not declared","17 and under","England","Female","All","Main scheme application","25","15","0.52","0"
"2023","Not declared","17 and under","Scotland","Female","All","Main scheme application","5","5"," ","0"
"2023","In receipt of free school meals","18","Northern Ireland","Female","All","Main scheme application","1560","930","0.596","0"
"2023","In receipt of free school meals","18","England","Female","All","Main scheme application","22445","14650","0.653","0"
"2023","In receipt of free school meals","18","Scotland","Female","All","Main scheme application","1225","865","0.706","0"
"2023","In receipt of free school meals","18","Wales","Female","All","Main scheme application","780","555","0.71","0"
"2023","Not in receipt of free school meals","18","Northern Ireland","Female","All","Main scheme application","5080","3560","0.7010000000000001","0"
"2023","Not in receipt of free school meals","18","England","Female","All","Main scheme application","123820","89795","0.725","0"
"2023","Not in receipt of free school meals","18","Scotland","Female","All","Main scheme application","9725","7925","0.8150000000000001","0"
"2023","Not in receipt of free school meals","18","Wales","Female","All","Main scheme application","5985","4705","0.786","0"
"2023","Don't know","18","Northern Ireland","Female","All","Main scheme application","165","105","0.656","0"
"2023","Don't know","18","England","Female","All","Main scheme application","5555","3690","0.664","0"
"2023","Don't know","18","Scotland","Female","All","Main scheme application","340","255","0.743","0"
"2023","Don't know","18","Wales","Female","All","Main scheme application","235","170","0.725","0"
"2023","Not declared","18","Northern Ireland","Female","All","Main scheme application","80","60","0.728","0"
"2023","Not declared","18","England","Female","All","Main scheme application","1225","890","0.727","0"
"2023","Not declared","18","Scotland","Female","All","Main scheme application","85","70","0.8310000000000001","0"
"2023","Not declared","18","Wales","Female","All","Main scheme application","40","30","0.75","0"
"2023","In receipt of free school meals","19","Northern Ireland","Female","All","Main scheme application","310","195","0.625","0"
"2023","In receipt of free school meals","19","England","Female","All","Main scheme application","7435","4905","0.66","0"
"2023","In receipt of free school meals","19","Scotland","Female","All","Main scheme application","350","240","0.682","0"
"2023","In receipt of free school meals","19","Wales","Female","All","Main scheme application","310","205","0.668","0"
"2023","Not in receipt of free school meals","19","Northern Ireland","Female","All","Main scheme application","975","660","0.679","0"
"2023","Not in receipt of free school meals","19","England","Female","All","Main scheme application","30205","22190","0.735","0"
"2023","Not in receipt of free school meals","19","Scotland","Female","All","Main scheme application","2860","2130","0.744","0"
"2023","Not in receipt of free school meals","19","Wales","Female","All","Main scheme application","1515","1175","0.775","0"
"2023","Don't know","19","Northern Ireland","Female","All","Main scheme application","45","30","0.652","0"
"2023","Don't know","19","England","Female","All","Main scheme application","1995","1335","0.669","0"
"2023","Don't know","19","Scotland","Female","All","Main scheme application","145","100","0.685","0"
"2023","Don't know","19","Wales","Female","All","Main scheme application","75","55","0.73","0"
"2023","Not declared","19","Northern Ireland","Female","All","Main scheme application","20","10","0.6","0"
"2023","Not declared","19","England","Female","All","Main scheme application","580","385","0.663","0"
"2023","Not declared","19","Scotland","Female","All","Main scheme application","30","25","0.767","0"
"2023","Not declared","19","Wales","Female","All","Main scheme application","15","10","0.733","0"
"2023","In receipt of free school meals","20","Northern Ireland","Female","All","Main scheme application","150","95","0.618","0"
"2023","In receipt of free school meals","20","England","Female","All","Main scheme application","2865","1855","0.647","0"
"2023","In receipt of free school meals","20","Scotland","Female","All","Main scheme application","245","160","0.646","0"
"2023","In receipt of free school meals","20","Wales","Female","All","Main scheme application","115","75","0.675","0"
"2023","Not in receipt of free school meals","20","Northern Ireland","Female","All","Main scheme application","355","215","0.599","0"
"2023","Not in receipt of free school meals","20","England","Female","All","Main scheme application","9465","6240","0.659","0"
"2023","Not in receipt of free school meals","20","Scotland","Female","All","Main scheme application","1435","995","0.6920000000000001","0"
"2023","Not in receipt of free school meals","20","Wales","Female","All","Main scheme application","545","365","0.666","0"
"2023","Don't know","20","Northern Ireland","Female","All","Main scheme application","25","15","0.625","0"
"2023","Don't know","20","England","Female","All","Main scheme application","820","505","0.614","0"
"2023","Don't know","20","Scotland","Female","All","Main scheme application","90","55","0.598","0"
"2023","Don't know","20","Wales","Female","All","Main scheme application","30","20","0.633","0"
"2023","Not declared","20","Northern Ireland","Female","All","Main scheme application","5","0"," ","0"
"2023","Not declared","20","England","Female","All","Main scheme application","220","145","0.649","0"
"2023","Not declared","20","Scotland","Female","All","Main scheme application","20","15","0.7000000000000001","0"
"2023","Not declared","20","Wales","Female","All","Main scheme application","5","5"," ","0"
"2023","In receipt of free school meals","21 - 24","Northern Ireland","Female","All","Main scheme application","170","85","0.5","0"
