"Year","Qualification group","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2012","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","605","570","0.9390000000000001","0"
"2013","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","730","690","0.9440000000000001","0"
"2014","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","1055","980","0.929","0"
"2015","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","1100","1035","0.9430000000000001","0"
"2016","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","1250","1180","0.9420000000000001","0"
"2017","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","1560","1470","0.9420000000000001","0"
"2018","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","1655","1560","0.9410000000000001","0"
"2019","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","2095","1990","0.9500000000000001","0"
"2020","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","2300","2200","0.9570000000000001","0"
"2021","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","1170","1085","0.928","0"
"2022","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","1885","1710","0.909","0"
"2023","A level Only (With extended project)","Quintile 5","Main scheme applicant","Not main scheme application","2210","2055","0.931","0"
"2008","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","7225","6840","0.9460000000000001","0"
"2009","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","8555","7755","0.907","0"
"2010","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","8790","7825","0.891","0"
"2011","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","10570","9410","0.89","0"
"2012","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","8985","8240","0.917","0"
"2013","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","8770","8095","0.923","0"
"2014","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","9525","8790","0.923","0"
"2015","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","9530","8885","0.932","0"
"2016","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","10060","9310","0.926","0"
"2017","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","9755","9145","0.937","0"
"2018","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","9205","8605","0.935","0"
"2019","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","9885","9315","0.9420000000000001","0"
"2020","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","11260","10710","0.9510000000000001","0"
"2021","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","6830","6335","0.928","0"
"2022","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","8765","7945","0.906","0"
"2023","A level Only (Without extended project)","Quintile 5","Main scheme applicant","Not main scheme application","10075","9245","0.918","0"
"2008","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","105","95","0.933","0"
"2009","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","150","120","0.787","0"
"2010","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","235","175","0.749","0"
"2011","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","305","210","0.6900000000000001","0"
"2012","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1175","955","0.8150000000000001","0"
"2013","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1175","970","0.8240000000000001","0"
"2014","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1395","1140","0.8180000000000001","0"
"2015","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1420","1165","0.8190000000000001","0"
"2016","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1500","1255","0.837","0"
"2017","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1240","1080","0.87","0"
"2018","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1135","995","0.88","0"
"2019","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1030","910","0.887","0"
"2020","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1030","935","0.91","0"
"2021","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1200","1050","0.876","0"
"2022","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1155","970","0.84","0"
"2023","BTEC Only","Quintile 5","Main scheme applicant","Not main scheme application","1050","935","0.89","0"
"2008","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","35","30","0.8290000000000001","0"
"2009","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","60","55","0.869","0"
"2010","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","75","60","0.8240000000000001","0"
"2011","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","130","110","0.8180000000000001","0"
"2012","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","525","465","0.891","0"
"2013","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","560","490","0.877","0"
