"Year","Qualification group","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","715","625","0.878","0"
"2015","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","810","740","0.915","0"
"2016","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","815","735","0.903","0"
"2017","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","655","615","0.936","0"
"2018","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","650","600","0.923","0"
"2019","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","670","630","0.936","0"
"2020","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","800","745","0.934","0"
"2021","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","745","680","0.917","0"
"2022","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","780","710","0.91","0"
"2023","A level & BTEC","Quintile 5","Main scheme applicant","Not main scheme application","720","665","0.926","0"
"2008","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","705","670","0.9500000000000001","0"
"2009","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","845","760","0.901","0"
"2010","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","865","710","0.8210000000000001","0"
"2011","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","800","570","0.715","0"
"2012","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","785","565","0.722","0"
"2013","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","835","590","0.705","0"
"2014","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","810","510","0.633","0"
"2015","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","940","610","0.648","0"
"2016","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","1015","645","0.636","0"
"2017","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","990","630","0.636","0"
"2018","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","860","565","0.658","0"
"2019","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","835","570","0.685","0"
"2020","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","935","695","0.743","0"
"2021","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","745","505","0.677","0"
"2022","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","905","640","0.708","0"
"2023","SQA Only","Quintile 5","Main scheme applicant","Not main scheme application","735","600","0.8160000000000001","0"
"2008","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","70","70","0.971","0"
"2009","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","120","115","0.9420000000000001","0"
"2010","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","160","135","0.862","0"
"2011","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","185","160","0.88","0"
"2012","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","145","130","0.91","0"
"2013","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","135","125","0.912","0"
"2014","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","125","115","0.906","0"
"2015","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","120","115","0.9420000000000001","0"
"2016","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","135","120","0.91","0"
"2017","IB Only","Quintile 5","Main scheme applicant","Not main scheme application","115","110","0.9400000000000001","0"
