"Year","Difference between predicted and achieved SQA advanced higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","-5 points","Quintile 4","Main scheme applicant","All","30","25","0.871","0"
"2015","-5 points","Quintile 4","Main scheme applicant","All","35","30","0.882","0"
"2016","-5 points","Quintile 4","Main scheme applicant","All","30","30","0.906","0"
"2017","-5 points","Quintile 4","Main scheme applicant","All","30","30","0.906","0"
"2018","-5 points","Quintile 4","Main scheme applicant","All","35","35","0.9430000000000001","0"
"2019","-5 points","Quintile 4","Main scheme applicant","All","25","25","0.923","0"
"2020","-5 points","Quintile 4","Main scheme applicant","All","10","10"," ","0"
"2021","-5 points","Quintile 4","Main scheme applicant","All","20","15","0.842","0"
"2022","-5 points","Quintile 4","Main scheme applicant","All","35","30","0.886","0"
"2023","-5 points","Quintile 4","Main scheme applicant","All","40","40","0.905","0"
"2010","-6 points","Quintile 4","Main scheme applicant","All","15","15","0.9410000000000001","0"
"2011","-6 points","Quintile 4","Main scheme applicant","All","25","20","0.792","0"
"2012","-6 points","Quintile 4","Main scheme applicant","All","30","30","0.935","0"
"2013","-6 points","Quintile 4","Main scheme applicant","All","30","25","0.857","0"
"2014","-6 points","Quintile 4","Main scheme applicant","All","15","15","0.765","0"
"2015","-6 points","Quintile 4","Main scheme applicant","All","30","25","0.893","0"
"2016","-6 points","Quintile 4","Main scheme applicant","All","15","15","1","0"
"2017","-6 points","Quintile 4","Main scheme applicant","All","20","20","0.9550000000000001","0"
"2018","-6 points","Quintile 4","Main scheme applicant","All","25","25","0.92","0"
"2019","-6 points","Quintile 4","Main scheme applicant","All","10","10","0.909","0"
"2020","-6 points","Quintile 4","Main scheme applicant","All","5","5"," ","0"
"2021","-6 points","Quintile 4","Main scheme applicant","All","15","10","0.8","0"
"2022","-6 points","Quintile 4","Main scheme applicant","All","25","25","0.963","0"
"2023","-6 points","Quintile 4","Main scheme applicant","All","30","30","0.967","0"
"2010","Less than -6 points","Quintile 4","Main scheme applicant","All","50","45","0.918","0"
"2011","Less than -6 points","Quintile 4","Main scheme applicant","All","30","30","0.969","0"
"2012","Less than -6 points","Quintile 4","Main scheme applicant","All","40","35","0.857","0"
"2013","Less than -6 points","Quintile 4","Main scheme applicant","All","50","45","0.898","0"
"2014","Less than -6 points","Quintile 4","Main scheme applicant","All","40","35","0.846","0"
"2015","Less than -6 points","Quintile 4","Main scheme applicant","All","50","40","0.796","0"
"2016","Less than -6 points","Quintile 4","Main scheme applicant","All","35","30","0.886","0"
"2017","Less than -6 points","Quintile 4","Main scheme applicant","All","50","45","0.9380000000000001","0"
"2018","Less than -6 points","Quintile 4","Main scheme applicant","All","50","45","0.896","0"
"2019","Less than -6 points","Quintile 4","Main scheme applicant","All","40","30","0.769","0"
"2020","Less than -6 points","Quintile 4","Main scheme applicant","All","25","25","0.9580000000000001","0"
"2021","Less than -6 points","Quintile 4","Main scheme applicant","All","30","25","0.871","0"
"2022","Less than -6 points","Quintile 4","Main scheme applicant","All","45","35","0.86","0"
"2023","Less than -6 points","Quintile 4","Main scheme applicant","All","55","50","0.906","0"
"2010","0 points","Quintile 5","Main scheme applicant","All","320","305","0.9410000000000001","0"
"2011","0 points","Quintile 5","Main scheme applicant","All","340","320","0.9410000000000001","0"
"2012","0 points","Quintile 5","Main scheme applicant","All","340","305","0.902","0"
"2013","0 points","Quintile 5","Main scheme applicant","All","425","395","0.932","0"
"2014","0 points","Quintile 5","Main scheme applicant","All","385","365","0.9380000000000001","0"
"2015","0 points","Quintile 5","Main scheme applicant","All","435","405","0.931","0"
"2016","0 points","Quintile 5","Main scheme applicant","All","440","405","0.92","0"
"2017","0 points","Quintile 5","Main scheme applicant","All","430","405","0.9420000000000001","0"
"2018","0 points","Quintile 5","Main scheme applicant","All","460","435","0.9480000000000001","0"
"2019","0 points","Quintile 5","Main scheme applicant","All","430","410","0.9510000000000001","0"
"2020","0 points","Quintile 5","Main scheme applicant","All","660","620","0.936","0"
"2021","0 points","Quintile 5","Main scheme applicant","All","855","800","0.9380000000000001","0"
"2022","0 points","Quintile 5","Main scheme applicant","All","600","565","0.935","0"
"2023","0 points","Quintile 5","Main scheme applicant","All","575","550","0.9550000000000001","0"
"2010","1 points","Quintile 5","Main scheme applicant","All","40","35","0.902","0"
"2011","1 points","Quintile 5","Main scheme applicant","All","45","45","0.915","0"
"2012","1 points","Quintile 5","Main scheme applicant","All","45","45","0.936","0"
"2013","1 points","Quintile 5","Main scheme applicant","All","60","60","1","0"
"2014","1 points","Quintile 5","Main scheme applicant","All","35","35","1","0"
"2015","1 points","Quintile 5","Main scheme applicant","All","45","45","1","0"
"2016","1 points","Quintile 5","Main scheme applicant","All","50","45","0.9580000000000001","0"
"2017","1 points","Quintile 5","Main scheme applicant","All","40","40","0.974","0"
"2018","1 points","Quintile 5","Main scheme applicant","All","40","35","0.854","0"
"2019","1 points","Quintile 5","Main scheme applicant","All","45","40","0.907","0"
"2020","1 points","Quintile 5","Main scheme applicant","All","65","55","0.889","0"
"2021","1 points","Quintile 5","Main scheme applicant","All","85","70","0.833","0"
"2022","1 points","Quintile 5","Main scheme applicant","All","45","45","1","0"
"2023","1 points","Quintile 5","Main scheme applicant","All","45","40","0.864","0"
"2010","2 points","Quintile 5","Main scheme applicant","All","25","25","0.96","0"
"2011","2 points","Quintile 5","Main scheme applicant","All","15","15","1","0"
"2012","2 points","Quintile 5","Main scheme applicant","All","10","10","0.909","0"
"2013","2 points","Quintile 5","Main scheme applicant","All","15","10","0.857","0"
"2014","2 points","Quintile 5","Main scheme applicant","All","10","10","1","0"
"2015","2 points","Quintile 5","Main scheme applicant","All","15","10","0.786","0"
"2016","2 points","Quintile 5","Main scheme applicant","All","10","5"," ","0"
"2017","2 points","Quintile 5","Main scheme applicant","All","10","10"," ","0"
"2018","2 points","Quintile 5","Main scheme applicant","All","5","5"," ","0"
"2019","2 points","Quintile 5","Main scheme applicant","All","10","10","0.917","0"
"2020","2 points","Quintile 5","Main scheme applicant","All","10","10","1","0"
"2021","2 points","Quintile 5","Main scheme applicant","All","20","15","0.789","0"
"2022","2 points","Quintile 5","Main scheme applicant","All","15","15","1","0"
"2023","2 points","Quintile 5","Main scheme applicant","All","5","5"," ","0"
"2011","3 points","Quintile 5","Main scheme applicant","All","5","5"," ","0"
"2013","3 points","Quintile 5","Main scheme applicant","All","5","5"," ","0"
"2014","3 points","Quintile 5","Main scheme applicant","All","5","5"," ","0"
"2015","3 points","Quintile 5","Main scheme applicant","All","5","5"," ","0"
"2016","3 points","Quintile 5","Main scheme applicant","All","5","5"," ","0"
"2017","3 points","Quintile 5","Main scheme applicant","All","5","5"," ","0"
"2020","3 points","Quintile 5","Main scheme applicant","All","10","10"," ","0"
"2021","3 points","Quintile 5","Main scheme applicant","All","5","5"," ","0"
"2022","3 points","Quintile 5","Main scheme applicant","All","5","5"," ","0"
"2023","3 points","Quintile 5","Main scheme applicant","All","5","0"," ","0"
"2011","More than 3 points","Quintile 5","Main scheme applicant","All","5","5"," ","0"
"2010","-1 points","Quintile 5","Main scheme applicant","All","160","145","0.913","0"
"2011","-1 points","Quintile 5","Main scheme applicant","All","220","195","0.894","0"
"2012","-1 points","Quintile 5","Main scheme applicant","All","185","165","0.872","0"
"2013","-1 points","Quintile 5","Main scheme applicant","All","220","200","0.909","0"
"2014","-1 points","Quintile 5","Main scheme applicant","All","190","175","0.916","0"
"2015","-1 points","Quintile 5","Main scheme applicant","All","235","210","0.889","0"
"2016","-1 points","Quintile 5","Main scheme applicant","All","230","215","0.926","0"
"2017","-1 points","Quintile 5","Main scheme applicant","All","240","215","0.884","0"
"2018","-1 points","Quintile 5","Main scheme applicant","All","245","220","0.895","0"
"2019","-1 points","Quintile 5","Main scheme applicant","All","195","185","0.9490000000000001","0"
"2020","-1 points","Quintile 5","Main scheme applicant","All","210","195","0.928","0"
"2021","-1 points","Quintile 5","Main scheme applicant","All","220","200","0.896","0"
"2022","-1 points","Quintile 5","Main scheme applicant","All","245","220","0.898","0"
"2023","-1 points","Quintile 5","Main scheme applicant","All","260","245","0.935","0"
"2010","-2 points","Quintile 5","Main scheme applicant","All","140","130","0.901","0"
"2011","-2 points","Quintile 5","Main scheme applicant","All","165","150","0.915","0"
"2012","-2 points","Quintile 5","Main scheme applicant","All","175","160","0.903","0"
"2013","-2 points","Quintile 5","Main scheme applicant","All","180","170","0.923","0"
"2014","-2 points","Quintile 5","Main scheme applicant","All","160","140","0.857","0"
"2015","-2 points","Quintile 5","Main scheme applicant","All","195","180","0.908","0"
"2016","-2 points","Quintile 5","Main scheme applicant","All","180","160","0.9","0"
"2017","-2 points","Quintile 5","Main scheme applicant","All","180","170","0.9390000000000001","0"
"2018","-2 points","Quintile 5","Main scheme applicant","All","190","175","0.916","0"
"2019","-2 points","Quintile 5","Main scheme applicant","All","160","150","0.931","0"
"2020","-2 points","Quintile 5","Main scheme applicant","All","140","130","0.936","0"
"2021","-2 points","Quintile 5","Main scheme applicant","All","140","130","0.922","0"
"2022","-2 points","Quintile 5","Main scheme applicant","All","200","175","0.894","0"
"2023","-2 points","Quintile 5","Main scheme applicant","All","235","225","0.9530000000000001","0"
"2010","-3 points","Quintile 5","Main scheme applicant","All","145","130","0.889","0"
"2011","-3 points","Quintile 5","Main scheme applicant","All","135","130","0.9490000000000001","0"
"2012","-3 points","Quintile 5","Main scheme applicant","All","105","95","0.915","0"
"2013","-3 points","Quintile 5","Main scheme applicant","All","125","115","0.919","0"
"2014","-3 points","Quintile 5","Main scheme applicant","All","145","130","0.923","0"
"2015","-3 points","Quintile 5","Main scheme applicant","All","140","125","0.901","0"
"2016","-3 points","Quintile 5","Main scheme applicant","All","120","105","0.874","0"
"2017","-3 points","Quintile 5","Main scheme applicant","All","140","130","0.908","0"
"2018","-3 points","Quintile 5","Main scheme applicant","All","135","125","0.905","0"
"2019","-3 points","Quintile 5","Main scheme applicant","All","140","130","0.9500000000000001","0"
"2020","-3 points","Quintile 5","Main scheme applicant","All","90","85","0.934","0"
"2021","-3 points","Quintile 5","Main scheme applicant","All","85","80","0.908","0"
"2022","-3 points","Quintile 5","Main scheme applicant","All","135","120","0.897","0"
"2023","-3 points","Quintile 5","Main scheme applicant","All","165","150","0.92","0"
"2010","-4 points","Quintile 5","Main scheme applicant","All","120","110","0.924","0"
"2011","-4 points","Quintile 5","Main scheme applicant","All","125","110","0.903","0"
"2012","-4 points","Quintile 5","Main scheme applicant","All","130","120","0.894","0"
"2013","-4 points","Quintile 5","Main scheme applicant","All","115","105","0.9390000000000001","0"
"2014","-4 points","Quintile 5","Main scheme applicant","All","120","105","0.868","0"
"2015","-4 points","Quintile 5","Main scheme applicant","All","120","110","0.933","0"
"2016","-4 points","Quintile 5","Main scheme applicant","All","120","115","0.9420000000000001","0"
"2017","-4 points","Quintile 5","Main scheme applicant","All","105","95","0.896","0"
"2018","-4 points","Quintile 5","Main scheme applicant","All","105","100","0.9520000000000001","0"
"2019","-4 points","Quintile 5","Main scheme applicant","All","115","100","0.867","0"
"2020","-4 points","Quintile 5","Main scheme applicant","All","75","70","0.895","0"
"2021","-4 points","Quintile 5","Main scheme applicant","All","70","65","0.914","0"
"2022","-4 points","Quintile 5","Main scheme applicant","All","115","105","0.897","0"
"2023","-4 points","Quintile 5","Main scheme applicant","All","145","135","0.918","0"
"2010","-5 points","Quintile 5","Main scheme applicant","All","80","75","0.924","0"
"2011","-5 points","Quintile 5","Main scheme applicant","All","70","65","0.926","0"
"2012","-5 points","Quintile 5","Main scheme applicant","All","85","70","0.81","0"
"2013","-5 points","Quintile 5","Main scheme applicant","All","110","100","0.911","0"
"2014","-5 points","Quintile 5","Main scheme applicant","All","90","75","0.875","0"
"2015","-5 points","Quintile 5","Main scheme applicant","All","90","85","0.9450000000000001","0"
"2016","-5 points","Quintile 5","Main scheme applicant","All","75","75","0.961","0"
"2017","-5 points","Quintile 5","Main scheme applicant","All","80","75","0.914","0"
"2018","-5 points","Quintile 5","Main scheme applicant","All","85","75","0.885","0"
"2019","-5 points","Quintile 5","Main scheme applicant","All","90","85","0.9450000000000001","0"
"2020","-5 points","Quintile 5","Main scheme applicant","All","45","40","0.911","0"
"2021","-5 points","Quintile 5","Main scheme applicant","All","50","45","0.898","0"
"2022","-5 points","Quintile 5","Main scheme applicant","All","95","85","0.894","0"
"2023","-5 points","Quintile 5","Main scheme applicant","All","115","110","0.9480000000000001","0"
"2010","-6 points","Quintile 5","Main scheme applicant","All","60","50","0.864","0"
"2011","-6 points","Quintile 5","Main scheme applicant","All","60","50","0.864","0"
"2012","-6 points","Quintile 5","Main scheme applicant","All","65","60","0.923","0"
"2013","-6 points","Quintile 5","Main scheme applicant","All","50","45","0.885","0"
"2014","-6 points","Quintile 5","Main scheme applicant","All","60","50","0.867","0"
"2015","-6 points","Quintile 5","Main scheme applicant","All","60","50","0.845","0"
"2016","-6 points","Quintile 5","Main scheme applicant","All","70","60","0.912","0"
"2017","-6 points","Quintile 5","Main scheme applicant","All","55","50","0.906","0"
"2018","-6 points","Quintile 5","Main scheme applicant","All","50","45","0.878","0"
"2019","-6 points","Quintile 5","Main scheme applicant","All","50","45","0.88","0"
"2020","-6 points","Quintile 5","Main scheme applicant","All","25","25","0.96","0"
"2021","-6 points","Quintile 5","Main scheme applicant","All","30","25","0.893","0"
"2022","-6 points","Quintile 5","Main scheme applicant","All","60","55","0.902","0"
"2023","-6 points","Quintile 5","Main scheme applicant","All","65","60","0.9380000000000001","0"
"2010","Less than -6 points","Quintile 5","Main scheme applicant","All","125","110","0.894","0"
"2011","Less than -6 points","Quintile 5","Main scheme applicant","All","125","105","0.87","0"
"2012","Less than -6 points","Quintile 5","Main scheme applicant","All","105","95","0.879","0"
"2013","Less than -6 points","Quintile 5","Main scheme applicant","All","120","105","0.875","0"
"2014","Less than -6 points","Quintile 5","Main scheme applicant","All","130","120","0.924","0"
"2015","Less than -6 points","Quintile 5","Main scheme applicant","All","115","100","0.877","0"
"2016","Less than -6 points","Quintile 5","Main scheme applicant","All","120","105","0.881","0"
"2017","Less than -6 points","Quintile 5","Main scheme applicant","All","125","100","0.8230000000000001","0"
"2018","Less than -6 points","Quintile 5","Main scheme applicant","All","115","105","0.922","0"
"2019","Less than -6 points","Quintile 5","Main scheme applicant","All","120","100","0.8250000000000001","0"
"2020","Less than -6 points","Quintile 5","Main scheme applicant","All","40","35","0.875","0"
"2021","Less than -6 points","Quintile 5","Main scheme applicant","All","95","85","0.884","0"
"2022","Less than -6 points","Quintile 5","Main scheme applicant","All","100","90","0.908","0"
"2023","Less than -6 points","Quintile 5","Main scheme applicant","All","100","95","0.921","0"
"2011","All","Unknown","Main scheme applicant","All","5","5"," ","0"
"2013","All","Unknown","Main scheme applicant","All","5","0"," ","0"
"2010","All","Quintile 1","Main scheme applicant","All","40","35","0.921","0"
"2011","All","Quintile 1","Main scheme applicant","All","35","35","0.973","0"
"2012","All","Quintile 1","Main scheme applicant","All","50","45","0.917","0"
"2013","All","Quintile 1","Main scheme applicant","All","40","35","0.857","0"
"2014","All","Quintile 1","Main scheme applicant","All","35","35","0.9460000000000001","0"
"2015","All","Quintile 1","Main scheme applicant","All","55","50","0.906","0"
"2016","All","Quintile 1","Main scheme applicant","All","55","45","0.849","0"
"2017","All","Quintile 1","Main scheme applicant","All","65","60","0.909","0"
"2018","All","Quintile 1","Main scheme applicant","All","55","50","0.911","0"
"2019","All","Quintile 1","Main scheme applicant","All","65","60","0.925","0"
"2020","All","Quintile 1","Main scheme applicant","All","80","70","0.91","0"
"2021","All","Quintile 1","Main scheme applicant","All","85","80","0.9520000000000001","0"
"2022","All","Quintile 1","Main scheme applicant","All","125","115","0.9510000000000001","0"
"2023","All","Quintile 1","Main scheme applicant","All","100","95","0.9410000000000001","0"
"2010","All","Quintile 2","Main scheme applicant","All","115","105","0.93","0"
"2011","All","Quintile 2","Main scheme applicant","All","100","90","0.909","0"
"2012","All","Quintile 2","Main scheme applicant","All","125","110","0.911","0"
"2013","All","Quintile 2","Main scheme applicant","All","125","120","0.9440000000000001","0"
"2014","All","Quintile 2","Main scheme applicant","All","125","120","0.96","0"
"2015","All","Quintile 2","Main scheme applicant","All","115","100","0.894","0"
"2016","All","Quintile 2","Main scheme applicant","All","145","135","0.917","0"
"2017","All","Quintile 2","Main scheme applicant","All","115","105","0.896","0"
"2018","All","Quintile 2","Main scheme applicant","All","175","155","0.902","0"
"2019","All","Quintile 2","Main scheme applicant","All","165","155","0.9390000000000001","0"
"2020","All","Quintile 2","Main scheme applicant","All","155","145","0.924","0"
"2021","All","Quintile 2","Main scheme applicant","All","160","150","0.9430000000000001","0"
"2022","All","Quintile 2","Main scheme applicant","All","190","175","0.92","0"
"2023","All","Quintile 2","Main scheme applicant","All","190","185","0.968","0"
"2010","All","Quintile 3","Main scheme applicant","All","215","195","0.903","0"
"2011","All","Quintile 3","Main scheme applicant","All","235","215","0.919","0"
"2012","All","Quintile 3","Main scheme applicant","All","240","215","0.888","0"
"2013","All","Quintile 3","Main scheme applicant","All","255","235","0.925","0"
"2014","All","Quintile 3","Main scheme applicant","All","275","245","0.887","0"
"2015","All","Quintile 3","Main scheme applicant","All","270","245","0.901","0"
"2016","All","Quintile 3","Main scheme applicant","All","275","245","0.892","0"
"2017","All","Quintile 3","Main scheme applicant","All","270","250","0.929","0"
"2018","All","Quintile 3","Main scheme applicant","All","280","255","0.904","0"
"2019","All","Quintile 3","Main scheme applicant","All","295","275","0.929","0"
"2020","All","Quintile 3","Main scheme applicant","All","290","270","0.928","0"
"2021","All","Quintile 3","Main scheme applicant","All","325","300","0.911","0"
"2022","All","Quintile 3","Main scheme applicant","All","375","335","0.901","0"
"2023","All","Quintile 3","Main scheme applicant","All","365","350","0.962","0"
"2010","All","Quintile 4","Main scheme applicant","All","390","360","0.923","0"
"2011","All","Quintile 4","Main scheme applicant","All","415","375","0.901","0"
"2012","All","Quintile 4","Main scheme applicant","All","410","370","0.907","0"
"2013","All","Quintile 4","Main scheme applicant","All","425","385","0.906","0"
"2014","All","Quintile 4","Main scheme applicant","All","440","415","0.934","0"
"2015","All","Quintile 4","Main scheme applicant","All","465","420","0.901","0"
"2016","All","Quintile 4","Main scheme applicant","All","445","410","0.928","0"
"2017","All","Quintile 4","Main scheme applicant","All","460","420","0.905","0"
"2018","All","Quintile 4","Main scheme applicant","All","460","430","0.935","0"
"2019","All","Quintile 4","Main scheme applicant","All","405","370","0.914","0"
"2020","All","Quintile 4","Main scheme applicant","All","440","400","0.912","0"
"2021","All","Quintile 4","Main scheme applicant","All","475","425","0.897","0"
"2022","All","Quintile 4","Main scheme applicant","All","525","490","0.926","0"
"2023","All","Quintile 4","Main scheme applicant","All","605","565","0.937","0"
"2010","All","Quintile 5","Main scheme applicant","All","1215","1110","0.914","0"
"2011","All","Quintile 5","Main scheme applicant","All","1305","1195","0.916","0"
"2012","All","Quintile 5","Main scheme applicant","All","1255","1120","0.892","0"
"2013","All","Quintile 5","Main scheme applicant","All","1425","1310","0.921","0"
"2014","All","Quintile 5","Main scheme applicant","All","1330","1210","0.911","0"
"2015","All","Quintile 5","Main scheme applicant","All","1455","1330","0.913","0"
"2016","All","Quintile 5","Main scheme applicant","All","1415","1295","0.915","0"
"2017","All","Quintile 5","Main scheme applicant","All","1410","1290","0.913","0"
"2018","All","Quintile 5","Main scheme applicant","All","1435","1320","0.919","0"
"2019","All","Quintile 5","Main scheme applicant","All","1355","1255","0.926","0"
"2020","All","Quintile 5","Main scheme applicant","All","1370","1275","0.929","0"
"2021","All","Quintile 5","Main scheme applicant","All","1650","1515","0.916","0"
"2022","All","Quintile 5","Main scheme applicant","All","1610","1475","0.916","0"
"2023","All","Quintile 5","Main scheme applicant","All","1715","1610","0.9390000000000001","0"
"2010","0 points","All","Main scheme applicant","All","475","445","0.937","0"
"2011","0 points","All","Main scheme applicant","All","505","475","0.9430000000000001","0"
"2012","0 points","All","Main scheme applicant","All","505","460","0.915","0"
"2013","0 points","All","Main scheme applicant","All","610","565","0.921","0"
"2014","0 points","All","Main scheme applicant","All","555","520","0.9390000000000001","0"
"2015","0 points","All","Main scheme applicant","All","615","570","0.931","0"
"2016","0 points","All","Main scheme applicant","All","685","635","0.928","0"
"2017","0 points","All","Main scheme applicant","All","650","610","0.9400000000000001","0"
"2018","0 points","All","Main scheme applicant","All","680","650","0.9500000000000001","0"
"2019","0 points","All","Main scheme applicant","All","660","635","0.961","0"
"2020","0 points","All","Main scheme applicant","All","1040","970","0.932","0"
"2021","0 points","All","Main scheme applicant","All","1265","1175","0.929","0"
"2022","0 points","All","Main scheme applicant","All","870","815","0.936","0"
"2023","0 points","All","Main scheme applicant","All","850","815","0.9580000000000001","0"
"2010","1 points","All","Main scheme applicant","All","85","75","0.916","0"
"2011","1 points","All","Main scheme applicant","All","80","75","0.925","0"
"2012","1 points","All","Main scheme applicant","All","75","70","0.907","0"
"2013","1 points","All","Main scheme applicant","All","95","90","0.9570000000000001","0"
"2014","1 points","All","Main scheme applicant","All","70","65","0.9420000000000001","0"
"2015","1 points","All","Main scheme applicant","All","75","75","1","0"
"2016","1 points","All","Main scheme applicant","All","95","90","0.968","0"
"2017","1 points","All","Main scheme applicant","All","60","50","0.881","0"
"2018","1 points","All","Main scheme applicant","All","80","70","0.872","0"
"2019","1 points","All","Main scheme applicant","All","70","65","0.9440000000000001","0"
"2020","1 points","All","Main scheme applicant","All","135","125","0.905","0"
"2021","1 points","All","Main scheme applicant","All","150","130","0.88","0"
"2022","1 points","All","Main scheme applicant","All","70","70","0.972","0"
"2023","1 points","All","Main scheme applicant","All","70","65","0.887","0"
"2010","2 points","All","Main scheme applicant","All","35","35","0.972","0"
"2011","2 points","All","Main scheme applicant","All","25","25","0.963","0"
"2012","2 points","All","Main scheme applicant","All","20","20","0.9","0"
"2013","2 points","All","Main scheme applicant","All","30","30","0.903","0"
"2014","2 points","All","Main scheme applicant","All","25","25","1","0"
"2015","2 points","All","Main scheme applicant","All","25","20","0.875","0"
"2016","2 points","All","Main scheme applicant","All","25","20","0.846","0"
"2017","2 points","All","Main scheme applicant","All","20","15","0.895","0"
"2018","2 points","All","Main scheme applicant","All","15","15","0.8130000000000001","0"
"2019","2 points","All","Main scheme applicant","All","20","15","0.889","0"
"2020","2 points","All","Main scheme applicant","All","35","35","1","0"
"2021","2 points","All","Main scheme applicant","All","35","30","0.8240000000000001","0"
"2022","2 points","All","Main scheme applicant","All","30","30","1","0"
"2023","2 points","All","Main scheme applicant","All","20","15","0.833","0"
"2010","3 points","All","Main scheme applicant","All","5","0"," ","0"
"2011","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2012","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2013","3 points","All","Main scheme applicant","All","10","10"," ","0"
"2014","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2015","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2016","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2017","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2019","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2020","3 points","All","Main scheme applicant","All","15","15","1","0"
"2021","3 points","All","Main scheme applicant","All","10","10","0.917","0"
"2022","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2023","3 points","All","Main scheme applicant","All","5","5"," ","0"
"2011","More than 3 points","All","Main scheme applicant","All","5","5"," ","0"
"2012","More than 3 points","All","Main scheme applicant","All","5","5"," ","0"
"2014","More than 3 points","All","Main scheme applicant","All","5","5"," ","0"
"2010","-1 points","All","Main scheme applicant","All","265","245","0.921","0"
"2011","-1 points","All","Main scheme applicant","All","325","290","0.893","0"
"2012","-1 points","All","Main scheme applicant","All","310","275","0.893","0"
"2013","-1 points","All","Main scheme applicant","All","340","310","0.911","0"
"2014","-1 points","All","Main scheme applicant","All","325","305","0.936","0"
"2015","-1 points","All","Main scheme applicant","All","365","330","0.907","0"
"2016","-1 points","All","Main scheme applicant","All","350","320","0.92","0"
"2017","-1 points","All","Main scheme applicant","All","380","345","0.903","0"
"2018","-1 points","All","Main scheme applicant","All","375","340","0.912","0"
"2019","-1 points","All","Main scheme applicant","All","340","320","0.9410000000000001","0"
"2020","-1 points","All","Main scheme applicant","All","365","335","0.926","0"
"2021","-1 points","All","Main scheme applicant","All","390","360","0.92","0"
"2022","-1 points","All","Main scheme applicant","All","430","390","0.914","0"
"2023","-1 points","All","Main scheme applicant","All","440","420","0.9480000000000001","0"
"2010","-2 points","All","Main scheme applicant","All","225","205","0.903","0"
"2011","-2 points","All","Main scheme applicant","All","285","260","0.923","0"
"2012","-2 points","All","Main scheme applicant","All","285","260","0.906","0"
"2013","-2 points","All","Main scheme applicant","All","300","280","0.933","0"
"2014","-2 points","All","Main scheme applicant","All","285","250","0.881","0"
"2015","-2 points","All","Main scheme applicant","All","325","300","0.917","0"
"2016","-2 points","All","Main scheme applicant","All","295","265","0.904","0"
"2017","-2 points","All","Main scheme applicant","All","285","265","0.923","0"
"2018","-2 points","All","Main scheme applicant","All","305","285","0.922","0"
"2019","-2 points","All","Main scheme applicant","All","285","265","0.93","0"
"2020","-2 points","All","Main scheme applicant","All","245","230","0.931","0"
"2021","-2 points","All","Main scheme applicant","All","245","225","0.919","0"
"2022","-2 points","All","Main scheme applicant","All","355","315","0.892","0"
"2023","-2 points","All","Main scheme applicant","All","430","410","0.9530000000000001","0"
"2010","-3 points","All","Main scheme applicant","All","230","205","0.892","0"
"2011","-3 points","All","Main scheme applicant","All","230","215","0.931","0"
"2012","-3 points","All","Main scheme applicant","All","200","180","0.91","0"
"2013","-3 points","All","Main scheme applicant","All","215","200","0.925","0"
"2014","-3 points","All","Main scheme applicant","All","260","240","0.93","0"
"2015","-3 points","All","Main scheme applicant","All","245","220","0.898","0"
"2016","-3 points","All","Main scheme applicant","All","225","205","0.894","0"
"2017","-3 points","All","Main scheme applicant","All","260","235","0.911","0"
"2018","-3 points","All","Main scheme applicant","All","245","220","0.887","0"
"2019","-3 points","All","Main scheme applicant","All","230","215","0.934","0"
"2020","-3 points","All","Main scheme applicant","All","170","155","0.912","0"
"2021","-3 points","All","Main scheme applicant","All","150","135","0.895","0"
"2022","-3 points","All","Main scheme applicant","All","290","260","0.897","0"
"2023","-3 points","All","Main scheme applicant","All","310","280","0.909","0"
"2010","-4 points","All","Main scheme applicant","All","195","180","0.924","0"
"2011","-4 points","All","Main scheme applicant","All","215","190","0.892","0"
"2012","-4 points","All","Main scheme applicant","All","215","190","0.889","0"
"2013","-4 points","All","Main scheme applicant","All","185","175","0.93","0"
"2014","-4 points","All","Main scheme applicant","All","205","190","0.913","0"
"2015","-4 points","All","Main scheme applicant","All","215","195","0.912","0"
"2016","-4 points","All","Main scheme applicant","All","200","180","0.899","0"
"2017","-4 points","All","Main scheme applicant","All","180","165","0.901","0"
"2018","-4 points","All","Main scheme applicant","All","205","190","0.922","0"
"2019","-4 points","All","Main scheme applicant","All","200","180","0.881","0"
"2020","-4 points","All","Main scheme applicant","All","125","110","0.887","0"
"2021","-4 points","All","Main scheme applicant","All","135","125","0.933","0"
"2022","-4 points","All","Main scheme applicant","All","230","210","0.905","0"
"2023","-4 points","All","Main scheme applicant","All","295","280","0.9390000000000001","0"
"2010","-5 points","All","Main scheme applicant","All","135","125","0.926","0"
"2011","-5 points","All","Main scheme applicant","All","120","110","0.91","0"
"2012","-5 points","All","Main scheme applicant","All","145","120","0.8250000000000001","0"
"2013","-5 points","All","Main scheme applicant","All","175","160","0.903","0"
"2014","-5 points","All","Main scheme applicant","All","145","130","0.884","0"
"2015","-5 points","All","Main scheme applicant","All","165","150","0.902","0"
"2016","-5 points","All","Main scheme applicant","All","135","125","0.926","0"
