"Year","NPD ethnic group","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2022","Chinese","Higher tariff","18","England","Female","Main scheme applicant","Main scheme application","330","990","0.333"
"2022","Mixed","Higher tariff","18","England","Female","Main scheme applicant","Main scheme application","1960","14770","0.132"
"2022","White","Higher tariff","18","England","Female","Main scheme applicant","Main scheme application","21480","205180","0.105"
"2023","Any Other Ethnic Group","Higher tariff","18","England","Female","Main scheme applicant","Main scheme application","590","5600","0.105"
"2023","Asian","Higher tariff","18","England","Female","Main scheme applicant","Main scheme application","3840","31720","0.121"
"2023","Black","Higher tariff","18","England","Female","Main scheme applicant","Main scheme application","1760","17790","0.099"
"2023","Chinese","Higher tariff","18","England","Female","Main scheme applicant","Main scheme application","330","1090","0.3"
"2023","Mixed","Higher tariff","18","England","Female","Main scheme applicant","Main scheme application","1900","16140","0.11800000000000001"
"2023","White","Higher tariff","18","England","Female","Main scheme applicant","Main scheme application","20630","210110","0.098"
"2006","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","170","2120","0.081"
"2006","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1560","17810","0.08700000000000001"
"2006","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","690","10080","0.069"
"2006","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","130","1040","0.121"
"2006","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","410","5880","0.069"
"2006","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","17010","243840","0.07"
"2007","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","160","2340","0.07"
"2007","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1570","17150","0.092"
"2007","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","770","10510","0.073"
"2007","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","150","1130","0.132"
"2007","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","480","6240","0.077"
"2007","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","17390","240530","0.07200000000000001"
"2008","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","200","2320","0.08700000000000001"
"2008","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1710","18020","0.095"
"2008","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","930","10920","0.085"
"2008","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","130","1070","0.124"
"2008","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","520","6850","0.076"
"2008","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","19500","245160","0.08"
"2009","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","200","2450","0.081"
"2009","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1690","18590","0.091"
"2009","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","970","11160","0.08700000000000001"
"2009","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","140","1070","0.132"
"2009","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","560","7490","0.075"
"2009","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","20010","248720","0.08"
"2010","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","200","2620","0.076"
"2010","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1620","19350","0.084"
"2010","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","910","11500","0.079"
"2010","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","160","1110","0.139"
"2010","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","590","8100","0.073"
"2010","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","19780","246260","0.08"
"2011","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","190","2760","0.067"
"2011","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1580","19930","0.079"
"2011","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","960","11960","0.08"
"2011","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","150","1040","0.14"
"2011","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","670","8500","0.079"
"2011","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","19400","236310","0.082"
"2012","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","210","3040","0.069"
