"Year","NPD ethnic group","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2012","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1470","20280","0.07200000000000001"
"2012","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1000","12230","0.081"
"2012","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","150","1050","0.14"
"2012","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","730","9050","0.081"
"2012","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","18750","234860","0.08"
"2013","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","260","3080","0.08600000000000001"
"2013","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1760","20640","0.085"
"2013","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1200","12910","0.093"
"2013","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","130","1080","0.124"
"2013","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","760","9440","0.081"
"2013","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","19470","228580","0.085"
"2014","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","290","3300","0.088"
"2014","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1870","21420","0.08700000000000001"
"2014","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1290","13040","0.099"
"2014","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","170","1150","0.146"
"2014","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","920","10060","0.091"
"2014","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","19730","223500","0.088"
"2015","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","350","3380","0.10200000000000001"
"2015","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","2260","22730","0.1"
"2015","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1490","13770","0.108"
"2015","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","180","1080","0.168"
"2015","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1060","10900","0.097"
"2015","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","21070","226450","0.093"
"2016","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","350","3520","0.099"
"2016","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","2530","23140","0.109"
"2016","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1500","13650","0.11"
"2016","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","170","1030","0.165"
"2016","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1110","11220","0.099"
"2016","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","21760","220380","0.099"
"2017","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","400","3600","0.112"
"2017","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","2710","23730","0.114"
"2017","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1730","13650","0.127"
"2017","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","160","960","0.163"
"2017","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1220","11380","0.107"
"2017","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","22170","216430","0.10200000000000001"
"2018","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","440","3850","0.113"
"2018","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","2960","24550","0.12"
"2018","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1750","13990","0.125"
"2018","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","160","950","0.169"
"2018","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1200","11450","0.10400000000000001"
"2018","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","21600","209250","0.10300000000000001"
"2019","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","500","3900","0.127"
"2019","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","3260","25570","0.128"
"2019","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1910","13990","0.136"
"2019","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","150","930","0.157"
"2019","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1280","11900","0.108"
"2019","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","21390","201350","0.106"
"2020","Any Other Ethnic Group","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","570","4060","0.14"
"2020","Asian","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","3660","27050","0.135"
"2020","Black","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1970","14610","0.135"
"2020","Chinese","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","150","940","0.162"
"2020","Mixed","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","1420","12350","0.115"
"2020","White","Medium tariff","18","England","Female","Main scheme applicant","Main scheme application","21400","196050","0.109"
