"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","England","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","Northern Ireland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","60","5"," "
"2020","Northern Ireland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","10","0.169"
"2021","Northern Ireland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","100","15","0.129"
"2022","Northern Ireland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","5"," "
"2023","Northern Ireland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","5"," "
"2019","Scotland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","Scotland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2021","Scotland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Scotland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Scotland","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Wales","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Wales","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","England","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","England","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","England","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","England","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","75","10","0.156"
"2020","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","15","0.20600000000000002"
"2021","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","85","15","0.149"
"2022","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","60","10","0.20700000000000002"
"2023","Northern Ireland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","45","5"," "
"2019","Scotland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Scotland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Scotland","25 - 29","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","50","5"," "
"2020","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","50","10"," "
"2021","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","70","20","0.265"
"2022","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","65","15","0.219"
"2023","Northern Ireland","30 - 34","Northern Ireland","Female","Main scheme applicant","Main scheme application","60","10","0.183"
"2022","England","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Northern Ireland","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","75","15","0.184"
"2020","Northern Ireland","35 and over","Northern Ireland","Female","Main scheme applicant","Main scheme application","40","10","0.275"
