Final Outcome of the 2020 Leaving Certificate (Calculated Grades and Written Examinations),,,,,,,,,
ORDINARY LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    TOTAL FEMALE,4,14,39,38,29,14,9,10,157
,,,,,,,,,
    % FEMALE ,2.5,8.9,24.8,24.2,18.5,8.9,5.7,6.4,
,,,,,,,,,
    TOTAL MALE,23,80,165,223,221,178,54,43,987
,,,,,,,,,
    % MALE ,2.3,8.1,16.7,22.6,22.4,18,5.5,4.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CUNTASAÍOCHT,301,399,338,264,206,164,62,56,1790
,,,,,,,,,
    ACCOUNTING,16.8,22.3,18.9,14.7,11.5,9.2,3.5,3.1,
,,,,,,,,,
    TOTAL FEMALE,178,201,173,106,82,67,24,18,849
,,,,,,,,,
    % FEMALE ,21,23.7,20.4,12.5,9.7,7.9,2.8,2.1,
,,,,,,,,,
    TOTAL MALE,123,198,165,158,124,97,38,38,941
,,,,,,,,,
    % MALE ,13.1,21,17.5,16.8,13.2,10.3,4,4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GNÓ,94,285,579,598,545,411,97,67,2676
,,,,,,,,,
    BUSINESS,3.5,10.7,21.6,22.3,20.4,15.4,3.6,2.5,
,,,,,,,,,
    TOTAL FEMALE,44,136,263,256,205,167,35,23,1129
,,,,,,,,,
    % FEMALE ,3.9,12,23.3,22.7,18.2,14.8,3.1,2,
,,,,,,,,,
    TOTAL MALE,50,149,316,342,340,244,62,44,1547
,,,,,,,,,
    % MALE ,3.2,9.6,20.4,22.1,22,15.8,4,2.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT,36,111,152,122,109,100,15,20,665
,,,,,,,,,
    ECONOMICS,5.4,16.7,22.9,18.3,16.4,15,2.3,3,
,,,,,,,,,
    TOTAL FEMALE,17,49,45,33,37,32,4,3,220
,,,,,,,,,
    % FEMALE ,7.7,22.3,20.5,15,16.8,14.5,1.8,1.4,
,,,,,,,,,
    TOTAL MALE,19,62,107,89,72,68,11,17,445
,,,,,,,,,
    % MALE ,4.3,13.9,24,20,16.2,15.3,2.5,3.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    SEAPÁINIS,1,4,5,5,8,8,2,2,35
,,,,,,,,,
    JAPANESE,2.9,11.4,14.3,14.3,22.9,22.9,5.7,5.7,
,,,,,,,,,
    TOTAL FEMALE,0,2,3,2,2,5,0,0,14
,,,,,,,,,
    % FEMALE ,0,14.3,21.4,14.3,14.3,35.7,0,0,
,,,,,,,,,
    TOTAL MALE,1,2,2,3,6,3,2,2,21
,,,,,,,,,
    % MALE ,4.8,9.5,9.5,14.3,28.6,14.3,9.5,9.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    TEICNEOLAÍOCHT,2,15,41,35,27,23,7,11,161
,,,,,,,,,
    TECHNOLOGY,1.2,9.3,25.5,21.7,16.8,14.3,4.3,6.8,
,,,,,,,,,
    TOTAL FEMALE,0,2,6,8,5,2,0,0,23
,,,,,,,,,
    % FEMALE ,0,8.7,26.1,34.8,21.7,8.7,0,0,
,,,,,,,,,
    TOTAL MALE,2,13,35,27,22,21,7,11,138
,,,,,,,,,
    % MALE ,1.4,9.4,25.4,19.6,15.9,15.2,5.1,8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CEOL,16,62,122,98,66,37,11,15,427
,,,,,,,,,
    MUSIC,3.7,14.5,28.6,23,15.5,8.7,2.6,3.5,
,,,,,,,,,
    TOTAL FEMALE,9,36,66,50,35,18,4,3,221
,,,,,,,,,
    % FEMALE ,4.1,16.3,29.9,22.6,15.8,8.1,1.8,1.4,
,,,,,,,,,
    TOTAL MALE,7,26,56,48,31,19,7,12,206
,,,,,,,,,
    % MALE ,3.4,12.6,27.2,23.3,15,9.2,3.4,5.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT BHAILE EOLAÍOCH AGUS SÓISIALTA,6,79,285,473,428,270,128,70,1739
,,,,,,,,,
    HOME ECONOMICS S & S,0.3,4.5,16.4,27.2,24.6,15.5,7.4,4,
,,,,,,,,,
    TOTAL FEMALE,5,68,237,359,286,183,63,34,1235
,,,,,,,,,
    % FEMALE ,0.4,5.5,19.2,29.1,23.2,14.8,5.1,2.8,
,,,,,,,,,
    TOTAL MALE,1,11,48,114,142,87,65,36,504
,,,,,,,,,
    % MALE ,0.2,2.2,9.5,22.6,28.2,17.3,12.9,7.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    OIDEACHAS REILIGIÚNACH,1,4,21,28,20,30,2,4,110
,,,,,,,,,
    RELIGIOUS EDUCATION,0.9,3.6,19.1,25.5,18.2,27.3,1.8,3.6,
,,,,,,,,,
    TOTAL FEMALE,0,3,13,15,11,17,0,0,59
,,,,,,,,,
    % FEMALE ,0,5.1,22,25.4,18.6,28.8,0,0,
,,,,,,,,,
    TOTAL MALE,1,1,8,13,9,13,2,4,51
,,,,,,,,,
    % MALE ,2,2,15.7,25.5,17.6,25.5,3.9,7.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CORPOIDEACHAS,3,7,13,12,14,25,7,9,90
,,,,,,,,,
    PHYSICAL EDUCATION,3.3,7.8,14.4,13.3,15.6,27.8,7.8,10,
,,,,,,,,,
    TOTAL FEMALE,1,2,2,4,6,6,1,1,23
,,,,,,,,,
    % FEMALE ,4.3,8.7,8.7,17.4,26.1,26.1,4.3,4.3,
,,,,,,,,,
    TOTAL MALE,2,5,11,8,8,19,6,8,67
,,,,,,,,,
    % MALE ,3,7.5,16.4,11.9,11.9,28.4,9,11.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GRAFAIC DHEARAIDH AGUS CHUMARSÁIDE,49,148,208,213,134,101,34,39,926
,,,,,,,,,
    DESIGN & COMMUNICATION  GRAPHCS,5.3,16,22.5,23,14.5,10.9,3.7,4.2,
,,,,,,,,,
    TOTAL FEMALE,9,22,23,20,13,10,2,3,102
,,,,,,,,,
    % FEMALE ,8.8,21.6,22.5,19.6,12.7,9.8,2,2.9,
,,,,,,,,,
    TOTAL MALE,40,126,185,193,121,91,32,36,824
,,,,,,,,,
    % MALE ,4.9,15.3,22.5,23.4,14.7,11,3.9,4.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    AN PHOLAITÍOCHT AGUS AN tSOCHAÍ,2,14,32,43,52,51,12,8,214
,,,,,,,,,
    POLITICS AND SOCIETY,0.9,6.5,15,20.1,24.3,23.8,5.6,3.7,
,,,,,,,,,
    TOTAL FEMALE,1,10,19,27,21,22,4,3,107
,,,,,,,,,
    % FEMALE ,0.9,9.3,17.8,25.2,19.6,20.6,3.7,2.8,
,,,,,,,,,
    TOTAL MALE,1,4,13,16,31,29,8,5,107
,,,,,,,,,
    % MALE ,0.9,3.7,12.1,15,29,27.1,7.5,4.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
