Final Outcome of the 2020 Leaving Certificate (Calculated Grades and Written Examinations),,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    TOTAL MALE,228,589,578,332,135,28,6,8,1904
,,,,,,,,,
    % MALE ,12,30.9,30.4,17.4,7.1,1.5,0.3,0.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT BHAIL,744,1944,2842,2553,1456,546,116,48,10249
,,,,,,,,,
    HOME ECONOMICS S &,7.3,19,27.7,24.9,14.2,5.3,1.1,0.5,
,,,,,,,,,
    TOTAL FEMALE,713,1851,2608,2274,1216,400,82,32,9176
,,,,,,,,,
    % FEMALE ,7.8,20.2,28.4,24.8,13.3,4.4,0.9,0.3,
,,,,,,,,,
    TOTAL MALE,31,93,234,279,240,146,34,16,1073
,,,,,,,,,
    % MALE ,2.9,8.7,21.8,26,22.4,13.6,3.2,1.5,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    RÚISIS,310,63,16,2,3,1,0,0,395
,,,,,,,,,
    RUSSIAN,78.5,15.9,4.1,0.5,0.8,0.3,0,0,
,,,,,,,,,
    TOTAL FEMALE,164,27,5,0,0,1,0,0,197
,,,,,,,,,
    % FEMALE ,83.2,13.7,2.5,0,0,0.5,0,0,
,,,,,,,,,
    TOTAL MALE,146,36,11,2,3,0,0,0,198
,,,,,,,,,
    % MALE ,73.7,18.2,5.6,1,1.5,0,0,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    RÍOMHEOLAÍOCHT,50,112,152,155,104,66,30,8,677
,,,,,,,,,
    COMPUTER SCIENCE,7.4,16.5,22.5,22.9,15.4,9.7,4.4,1.2,
,,,,,,,,,
    TOTAL FEMALE,12,29,39,40,20,11,4,1,156
,,,,,,,,,
    % FEMALE ,7.7,18.6,25,25.6,12.8,7.1,2.6,0.6,
,,,,,,,,,
    TOTAL MALE,38,83,113,115,84,55,26,7,521
,,,,,,,,,
    % MALE ,7.3,15.9,21.7,22.1,16.1,10.6,5,1.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    OIDEACHAS REILIGIÚ,107,226,305,275,154,96,22,11,1196
,,,,,,,,,
    RELIGIOUS EDUCATIO,8.9,18.9,25.5,23,12.9,8,1.8,0.9,
,,,,,,,,,
    TOTAL FEMALE,74,143,176,152,78,49,11,5,688
,,,,,,,,,
    % FEMALE ,10.8,20.8,25.6,22.1,11.3,7.1,1.6,0.7,
,,,,,,,,,
    TOTAL MALE,33,83,129,123,76,47,11,6,508
,,,,,,,,,
    % MALE ,6.5,16.3,25.4,24.2,15,9.3,2.2,1.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CORPOIDEACHAS,123,280,377,302,184,77,23,8,1374
,,,,,,,,,
    PHYSICAL EDUCATION,9,20.4,27.4,22,13.4,5.6,1.7,0.6,
,,,,,,,,,
    TOTAL FEMALE,75,139,155,100,56,14,3,1,543
,,,,,,,,,
    % FEMALE ,13.8,25.6,28.5,18.4,10.3,2.6,0.6,0.2,
,,,,,,,,,
    TOTAL MALE,48,141,222,202,128,63,20,7,831
,,,,,,,,,
    % MALE ,5.8,17,26.7,24.3,15.4,7.6,2.4,0.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    POLAINNIS,173,179,102,36,13,4,0,1,508
,,,,,,,,,
    POLISH,34.1,35.2,20.1,7.1,2.6,0.8,0,0.2,
,,,,,,,,,
    TOTAL FEMALE,112,98,45,15,7,2,0,0,279
,,,,,,,,,
    % FEMALE ,40.1,35.1,16.1,5.4,2.5,0.7,0,0,
,,,,,,,,,
    TOTAL MALE,61,81,57,21,6,2,0,1,229
,,,,,,,,,
    % MALE ,26.6,35.4,24.9,9.2,2.6,0.9,0,0.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LAITVIS,7,9,6,1,1,0,0,1,25
,,,,,,,,,
    LATVIAN,28,36,24,4,4,0,0,4,
,,,,,,,,,
    TOTAL FEMALE,5,5,3,0,1,0,0,0,14
,,,,,,,,,
    % FEMALE ,35.7,35.7,21.4,0,7.1,0,0,0,
,,,,,,,,,
    TOTAL MALE,2,4,3,1,0,0,0,1,11
,,,,,,,,,
    % MALE ,18.2,36.4,27.3,9.1,0,0,0,9.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LIOTUÁINIS,26,28,25,11,5,0,0,1,96
,,,,,,,,,
    LITHUANIAN,27.1,29.2,26,11.5,5.2,0,0,1,
,,,,,,,,,
    TOTAL FEMALE,18,15,14,10,0,0,0,0,57
,,,,,,,,,
    % FEMALE ,31.6,26.3,24.6,17.5,0,0,0,0,
,,,,,,,,,
    TOTAL MALE,8,13,11,1,5,0,0,1,39
,,,,,,,,,
    % MALE ,20.5,33.3,28.2,2.6,12.8,0,0,2.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    UNGÁIRIS,15,7,7,1,0,0,0,0,30
,,,,,,,,,
    HUNGARIAN,50,23.3,23.3,3.3,0,0,0,0,
,,,,,,,,,
    TOTAL FEMALE,7,5,5,0,0,0,0,0,17
,,,,,,,,,
    % FEMALE ,41.2,29.4,29.4,0,0,0,0,0,
,,,,,,,,,
    TOTAL MALE,8,2,2,1,0,0,0,0,13
,,,,,,,,,
    % MALE ,61.5,15.4,15.4,7.7,0,0,0,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    RÓMÁINIS,89,77,49,14,6,2,0,0,237
,,,,,,,,,
    ROMANIAN,37.6,32.5,20.7,5.9,2.5,0.8,0,0,
,,,,,,,,,
    TOTAL FEMALE,55,47,30,4,2,1,0,0,139
,,,,,,,,,
    % FEMALE ,39.6,33.8,21.6,2.9,1.4,0.7,0,0,
,,,,,,,,,
    TOTAL MALE,34,30,19,10,4,1,0,0,98
,,,,,,,,,
    % MALE ,34.7,30.6,19.4,10.2,4.1,1,0,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GRAFAIC DHEARAIDH ,721,1183,1226,890,457,171,44,28,4720
,,,,,,,,,
    DESIGN & COMMUNICATION GRAPHICS,15.3,25.1,26,18.9,9.7,3.6,0.9,0.6,
,,,,,,,,,
    TOTAL FEMALE,163,211,208,117,40,16,5,1,761
,,,,,,,,,
    % FEMALE ,21.4,27.7,27.3,15.4,5.3,2.1,0.7,0.1,
,,,,,,,,,
    TOTAL MALE,558,972,1018,773,417,155,39,27,3959
,,,,,,,,,
    % MALE ,14.1,24.6,25.7,19.5,10.5,3.9,1,0.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CRÓITIS,27,11,1,5,0,0,0,0,44
,,,,,,,,,
    CROATIAN,61.4,25,2.3,11.4,0,0,0,0,
,,,,,,,,,
    TOTAL FEMALE,18,7,0,2,0,0,0,0,27
,,,,,,,,,
    % FEMALE ,66.7,25.9,0,7.4,0,0,0,0,
,,,,,,,,,
    TOTAL MALE,9,4,1,3,0,0,0,0,17
,,,,,,,,,
    % MALE ,52.9,23.5,5.9,17.6,0,0,0,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    AN PHOLAITÍOCHT AG,114,223,342,316,245,129,46,25,1440
,,,,,,,,,
    POLITICS AND SOCIE,7.9,15.5,23.8,21.9,17,9,3.2,1.7,
,,,,,,,,,
    TOTAL FEMALE,67,148,187,163,113,64,17,10,769
,,,,,,,,,
    % FEMALE ,8.7,19.2,24.3,21.2,14.7,8.3,2.2,1.3,
,,,,,,,,,
    TOTAL MALE,47,75,155,153,132,65,29,15,671
,,,,,,,,,
    % MALE ,7,11.2,23.1,22.8,19.7,9.7,4.3,2.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
