2022 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    CHEMISTRY,19.6,17.9,15.6,13.9,11.7,9.6,6.4,5.3,
,,,,,,,,,
    TOTAL FEMALE,963,943,869,703,612,499,324,261,5174
,,,,,,,,,
    % FEMALE ,18.6,18.2,16.8,13.6,11.8,9.6,6.3,5,
,,,,,,,,,
    TOTAL MALE,698,576,456,473,377,315,220,192,3307
,,,,,,,,,
    % MALE ,21.1,17.4,13.8,14.3,11.4,9.5,6.7,5.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    FISIC & CEIMIC,58,55,43,65,59,37,27,25,369
,,,,,,,,,
    PHYSICS & CHEMISTR,15.7,14.9,11.7,17.6,16,10,7.3,6.8,
,,,,,,,,,
    TOTAL FEMALE,21,20,25,20,22,15,14,12,149
,,,,,,,,,
    % FEMALE ,14.1,13.4,16.8,13.4,14.8,10.1,9.4,8.1,
,,,,,,,,,
    TOTAL MALE,37,35,18,45,37,22,13,13,220
,,,,,,,,,
    % MALE ,16.8,15.9,8.2,20.5,16.8,10,5.9,5.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EOLAÍOCHT TALMHAÍO,399,1146,1516,1454,1018,485,144,56,6218
,,,,,,,,,
    AGRICULTURAL SCIEN,6.4,18.4,24.4,23.4,16.4,7.8,2.3,0.9,
,,,,,,,,,
    TOTAL FEMALE,235,578,676,601,416,175,48,17,2746
,,,,,,,,,
    % FEMALE ,8.6,21,24.6,21.9,15.1,6.4,1.8,0.6,
,,,,,,,,,
    TOTAL MALE,164,568,840,853,602,310,96,39,3472
,,,,,,,,,
    % MALE ,4.7,16.4,24.2,24.6,17.3,8.9,2.8,1.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    BITHEOLAÍOCHT,5173,4965,4634,4680,4221,3067,1513,418,28671
,,,,,,,,,
    BIOLOGY,18,17.3,16.2,16.3,14.7,10.7,5.3,1.5,
 ,,,,,,,,,
,,,,,,,,,
    TOTAL FEMALE,3641,3342,3063,2981,2555,1794,859,216,18451
,,,,,,,,,
    % FEMALE ,19.7,18.1,16.6,16.2,13.8,9.7,4.7,1.2,
,,,,,,,,,
    TOTAL MALE,1532,1623,1571,1699,1666,1273,654,202,10220
,,,,,,,,,
    % MALE ,15,15.9,15.4,16.6,16.3,12.5,6.4,2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    INNEALTÓIREACHT,681,1172,1345,1147,644,259,87,19,5354
,,,,,,,,,
    ENGINEERING,12.7,21.9,25.1,21.4,12,4.8,1.6,0.4,
,,,,,,,,,
    TOTAL FEMALE,72,106,124,88,58,20,4,1,473
,,,,,,,,,
    % FEMALE ,15.2,22.4,26.2,18.6,12.3,4.2,0.8,0.2,
,,,,,,,,,
    TOTAL MALE,609,1066,1221,1059,586,239,83,18,4881
,,,,,,,,,
    % MALE ,12.5,21.8,25,21.7,12,4.9,1.7,0.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    STAIDÉAR FOIRGNÍOC,780,1906,2179,1995,1181,525,162,64,8792
,,,,,,,,,
    CONSTRUCTION STUDI,8.9,21.7,24.8,22.7,13.4,6,1.8,0.7,
