2022 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
ORDINARY LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    % FEMALE ,22.7,15.9,15.9,20.5,18.2,2.3,2.3,2.3,
,,,,,,,,,
    TOTAL MALE,25,45,55,28,14,6,3,1,179
,,,,,,,,,
    % MALE ,14,25.1,30.7,15.6,7.8,3.4,1.7,1.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    OIDEACHAS REILIGIÚ,1,5,11,15,14,8,4,6,64
,,,,,,,,,
    RELIGIOUS EDUCATIO,1.6,7.8,17.2,23.4,21.9,12.5,6.3,9.4,
,,,,,,,,,
    TOTAL FEMALE,0,4,4,9,6,4,2,0,29
,,,,,,,,,
    % FEMALE ,0,13.8,13.8,31,20.7,13.8,6.9,0,
 ,,,,,,,,,
,,,,,,,,,
    TOTAL MALE,1,1,7,6,8,4,2,6,35
,,,,,,,,,
    % MALE ,2.9,2.9,20,17.1,22.9,11.4,5.7,17.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CORPOIDEACHAS,4,30,85,96,98,38,37,18,406
,,,,,,,,,
    PHYSICAL EDUCATION,1,7.4,20.9,23.6,24.1,9.4,9.1,4.4,
,,,,,,,,,
    TOTAL FEMALE,1,8,16,22,26,5,10,1,89
,,,,,,,,,
    % FEMALE ,1.1,9,18,24.7,29.2,5.6,11.2,1.1,
,,,,,,,,,
    TOTAL MALE,3,22,69,74,72,33,27,17,317
,,,,,,,,,
    % MALE ,0.9,6.9,21.8,23.3,22.7,10.4,8.5,5.4,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GRAFAIC DHEARAIDH ,51,152,198,147,83,45,33,26,735
,,,,,,,,,
    DESIGN & COMMUNICA,6.9,20.7,26.9,20,11.3,6.1,4.5,3.5,
,,,,,,,,,
    TOTAL FEMALE,9,22,28,14,10,5,8,1,97
,,,,,,,,,
    % FEMALE ,9.3,22.7,28.9,14.4,10.3,5.2,8.2,1,
,,,,,,,,,
    TOTAL MALE,42,130,170,133,73,40,25,25,638
,,,,,,,,,
    % MALE ,6.6,20.4,26.6,20.8,11.4,6.3,3.9,3.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    AN PHOLAITÍOCHT AG,5,31,59,59,51,30,13,5,253
,,,,,,,,,
    POLITICS AND SOCIE,2,12.3,23.3,23.3,20.2,11.9,5.1,2,
,,,,,,,,,
    TOTAL FEMALE,3,13,27,26,20,11,5,1,106
,,,,,,,,,
    % FEMALE ,2.8,12.3,25.5,24.5,18.9,10.4,4.7,0.9,
,,,,,,,,,
    TOTAL MALE,2,18,32,33,31,19,8,4,147
,,,,,,,,,
    % MALE ,1.4,12.2,21.8,22.4,21.1,12.9,5.4,2.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
