2018 JUNIOR CERTIFICATE STATISTICS,
ORDINARY LEVEL,
SCHOOL BASED CANDIDATES ONLY,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
    TECHNICAL GRAPHICS,  11.7, 34.6, 26.3, 18.6,  6.2,  2.3,  0.3,

    TOTAL FEMALE,          85,  212,  137,   85,   22,    7,    2,   550,

    % FEMALE ,           15.5, 38.5, 24.9, 15.5,  4.0,  1.3,  0.4,
 

    TOTAL MALE,           336, 1033,  811,  586,  200,   76,    7,  3049,

    % MALE ,             11.0, 33.9, 26.6, 19.2,  6.6,  2.5,  0.2,
-----------------------------------------------------------------------------------------------------------------------

    EACNAMAÍOCHT BHAIL,    44, 1130, 1528,  542,  138,   69,   43,  3494,

    HOME ECONOMICS,       1.3, 32.3, 43.7, 15.5,  3.9,  2.0,  1.2,

    TOTAL FEMALE,          31,  806,  903,  282,   82,   36,   28,  2168,

    % FEMALE ,            1.4, 37.2, 41.7, 13.0,  3.8,  1.7,  1.3,

    TOTAL MALE,            13,  324,  625,  260,   56,   33,   15,  1326,

    % MALE ,              1.0, 24.4, 47.1, 19.6,  4.2,  2.5,  1.1,
-----------------------------------------------------------------------------------------------------------------------

    MIOTALÓIREACHT,       102,  532,  427,  314,  120,   85,   12,  1592,

    METALWORK,            6.4, 33.4, 26.8, 19.7,  7.5,  5.3,  0.8,

    TOTAL FEMALE,          25,   91,   80,   49,   16,   10,    5,   276,

    % FEMALE ,            9.1, 33.0, 29.0, 17.8,  5.8,  3.6,  1.8,

    TOTAL MALE,            77,  441,  347,  265,  104,   75,    7,  1316,

    % MALE ,              5.9, 33.5, 26.4, 20.1,  7.9,  5.7,  0.5,
-----------------------------------------------------------------------------------------------------------------------

    EOLAÍOCHT,            139, 3954, 5660, 1600,  325,   95,   12, 11785,

    SCIENCE,              1.2, 33.6, 48.0, 13.6,  2.8,  0.8,  0.1,

    TOTAL FEMALE,          65, 1809, 2203,  508,   93,   27,    2,  4707,

    % FEMALE ,            1.4, 38.4, 46.8, 10.8,  2.0,  0.6,  0.0,

    TOTAL MALE,            74, 2145, 3457, 1092,  232,   68,   10,  7078,

    % MALE ,              1.0, 30.3, 48.8, 15.4,  3.3,  1.0,  0.1,
-----------------------------------------------------------------------------------------------------------------------

    TEICNEOLAÍOCHT,        25,  122,  157,  114,   49,   26,    4,   497,

    TECHNOLOGY,           5.0, 24.5, 31.6, 22.9,  9.9,  5.2,  0.8,

    TOTAL FEMALE,           7,   29,   22,   19,    8,    4,    0,    89,

    % FEMALE ,            7.9, 32.6, 24.7, 21.3,  9.0,  4.5,  0.0,

    TOTAL MALE,            18,   93,  135,   95,   41,   22,    4,   408,

    % MALE ,              4.4, 22.8, 33.1, 23.3, 10.0,  5.4,  1.0,
-----------------------------------------------------------------------------------------------------------------------

    STAIDÉAR IMSHAOIL ,    14,   80,   66,   42,   14,   10,    2,   228,

    ENVIRON & SOCIAL S,   6.1, 35.1, 28.9, 18.4,  6.1,  4.4,  0.9,
 

    TOTAL FEMALE,           5,   23,   23,   16,    7,    8,    0,    82,

    % FEMALE ,            6.1, 28.0, 28.0, 19.5,  8.5,  9.8,  0.0,

    TOTAL MALE,             9,   57,   43,   26,    7,    2,    2,   146,

    % MALE ,              6.2, 39.0, 29.5, 17.8,  4.8,  1.4,  1.4,
-----------------------------------------------------------------------------------------------------------------------

    OIDEACHAS REILIGIÚ,   513, 1595, 1604,  611,  170,   59,    9,  4561,

    RELIGIOUS EDUCATIO,  11.2, 35.0, 35.2, 13.4,  3.7,  1.3,  0.2,

    TOTAL FEMALE,         269,  695,  602,  183,   48,   14,    2,  1813,

    % FEMALE ,           14.8, 38.3, 33.2, 10.1,  2.6,  0.8,  0.1,

    TOTAL MALE,           244,  900, 1002,  428,  122,   45,    7,  2748,

    % MALE ,              8.9, 32.8, 36.5, 15.6,  4.4,  1.6,  0.3,
-----------------------------------------------------------------------------------------------------------------------


