"Entry year","Region of provider","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2019 - 2020","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","5"
"2019 - 2020","North East","18","Northern Ireland","Female","Not main scheme application","10"
"2019 - 2020","East Midlands","18","Northern Ireland","Female","Not main scheme application","10"
"2019 - 2020","North West","18","Northern Ireland","Female","Not main scheme application","85"
"2020 - 2021","London","18","Northern Ireland","Female","Not main scheme application","10"
"2020 - 2021","South East","18","Northern Ireland","Female","Not main scheme application","15"
"2020 - 2021","Scotland","18","Northern Ireland","Female","Not main scheme application","45"
"2020 - 2021","Wales","18","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","West Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","375"
"2020 - 2021","South West","18","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","10"
"2020 - 2021","North East","18","Northern Ireland","Female","Not main scheme application","15"
"2020 - 2021","East Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","North West","18","Northern Ireland","Female","Not main scheme application","60"
"2021 - 2022","London","18","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","South East","18","Northern Ireland","Female","Not main scheme application","10"
"2021 - 2022","Scotland","18","Northern Ireland","Female","Not main scheme application","30"
"2021 - 2022","Wales","18","Northern Ireland","Female","Not main scheme application","15"
"2021 - 2022","West Midlands","18","Northern Ireland","Female","Not main scheme application","10"
"2021 - 2022","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","410"
"2021 - 2022","East of England","18","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","South West","18","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","10"
"2021 - 2022","North East","18","Northern Ireland","Female","Not main scheme application","15"
"2021 - 2022","East Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","North West","18","Northern Ireland","Female","Not main scheme application","75"
"2022 - 2023","London","18","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","South East","18","Northern Ireland","Female","Not main scheme application","10"
"2022 - 2023","Scotland","18","Northern Ireland","Female","Not main scheme application","20"
"2022 - 2023","Wales","18","Northern Ireland","Female","Not main scheme application","25"
"2022 - 2023","West Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","460"
"2022 - 2023","East of England","18","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","South West","18","Northern Ireland","Female","Not main scheme application","10"
"2022 - 2023","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","North East","18","Northern Ireland","Female","Not main scheme application","20"
"2022 - 2023","East Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","North West","18","Northern Ireland","Female","Not main scheme application","75"
"2023 - 2024","London","18","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","South East","18","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","Scotland","18","Northern Ireland","Female","Not main scheme application","20"
"2023 - 2024","Wales","18","Northern Ireland","Female","Not main scheme application","15"
"2023 - 2024","West Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","Northern Ireland","18","Northern Ireland","Female","Not main scheme application","440"
"2023 - 2024","East of England","18","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","South West","18","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","Yorkshire and the Humber","18","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","North East","18","Northern Ireland","Female","Not main scheme application","15"
"2023 - 2024","East Midlands","18","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","North West","18","Northern Ireland","Female","Not main scheme application","60"
"2006 - 2007","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","80"
"2006 - 2007","Yorkshire and the Humber","19","Northern Ireland","Female","Not main scheme application","5"
"2006 - 2007","North West","19","Northern Ireland","Female","Not main scheme application","20"
"2007 - 2008","South East","19","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","Scotland","19","Northern Ireland","Female","Not main scheme application","15"
"2007 - 2008","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","75"
"2007 - 2008","Yorkshire and the Humber","19","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","North East","19","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","North West","19","Northern Ireland","Female","Not main scheme application","25"
"2008 - 2009","Scotland","19","Northern Ireland","Female","Not main scheme application","15"
"2008 - 2009","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","85"
"2008 - 2009","Yorkshire and the Humber","19","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","North West","19","Northern Ireland","Female","Not main scheme application","20"
"2009 - 2010","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","70"
"2009 - 2010","East of England","19","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","Yorkshire and the Humber","19","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","North East","19","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","North West","19","Northern Ireland","Female","Not main scheme application","25"
"2010 - 2011","London","19","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","South East","19","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Wales","19","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","35"
"2010 - 2011","South West","19","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","North East","19","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","North West","19","Northern Ireland","Female","Not main scheme application","25"
"2011 - 2012","London","19","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Wales","19","Northern Ireland","Female","Not main scheme application","10"
"2011 - 2012","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","35"
"2011 - 2012","East of England","19","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Yorkshire and the Humber","19","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","North West","19","Northern Ireland","Female","Not main scheme application","30"
"2012 - 2013","London","19","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","South East","19","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Scotland","19","Northern Ireland","Female","Not main scheme application","10"
"2012 - 2013","Wales","19","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","45"
"2012 - 2013","South West","19","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Yorkshire and the Humber","19","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","North East","19","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","North West","19","Northern Ireland","Female","Not main scheme application","25"
"2013 - 2014","London","19","Northern Ireland","Female","Not main scheme application","5"
"2013 - 2014","Scotland","19","Northern Ireland","Female","Not main scheme application","10"
"2013 - 2014","Wales","19","Northern Ireland","Female","Not main scheme application","5"
"2013 - 2014","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","75"
"2013 - 2014","East of England","19","Northern Ireland","Female","Not main scheme application","5"
"2013 - 2014","South West","19","Northern Ireland","Female","Not main scheme application","5"
"2013 - 2014","North East","19","Northern Ireland","Female","Not main scheme application","10"
"2013 - 2014","East Midlands","19","Northern Ireland","Female","Not main scheme application","5"
"2013 - 2014","North West","19","Northern Ireland","Female","Not main scheme application","40"
"2014 - 2015","London","19","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","South East","19","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","Scotland","19","Northern Ireland","Female","Not main scheme application","15"
"2014 - 2015","Wales","19","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","75"
"2014 - 2015","East of England","19","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","South West","19","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","North East","19","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","East Midlands","19","Northern Ireland","Female","Not main scheme application","5"
"2014 - 2015","North West","19","Northern Ireland","Female","Not main scheme application","25"
"2015 - 2016","London","19","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","South East","19","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","Scotland","19","Northern Ireland","Female","Not main scheme application","10"
"2015 - 2016","Wales","19","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","West Midlands","19","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","45"
"2015 - 2016","East of England","19","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","South West","19","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","Yorkshire and the Humber","19","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","North East","19","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","East Midlands","19","Northern Ireland","Female","Not main scheme application","5"
"2015 - 2016","North West","19","Northern Ireland","Female","Not main scheme application","35"
"2016 - 2017","London","19","Northern Ireland","Female","Not main scheme application","5"
"2016 - 2017","South East","19","Northern Ireland","Female","Not main scheme application","5"
"2016 - 2017","Scotland","19","Northern Ireland","Female","Not main scheme application","15"
"2016 - 2017","Wales","19","Northern Ireland","Female","Not main scheme application","5"
"2016 - 2017","West Midlands","19","Northern Ireland","Female","Not main scheme application","10"
"2016 - 2017","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","65"
"2016 - 2017","East of England","19","Northern Ireland","Female","Not main scheme application","5"
"2016 - 2017","South West","19","Northern Ireland","Female","Not main scheme application","5"
"2016 - 2017","Yorkshire and the Humber","19","Northern Ireland","Female","Not main scheme application","10"
"2016 - 2017","North East","19","Northern Ireland","Female","Not main scheme application","10"
"2016 - 2017","North West","19","Northern Ireland","Female","Not main scheme application","45"
"2017 - 2018","South East","19","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","West Midlands","19","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","95"
"2017 - 2018","East of England","19","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","South West","19","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","Yorkshire and the Humber","19","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","North East","19","Northern Ireland","Female","Not main scheme application","10"
"2017 - 2018","East Midlands","19","Northern Ireland","Female","Not main scheme application","5"
"2017 - 2018","North West","19","Northern Ireland","Female","Not main scheme application","45"
"2018 - 2019","London","19","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","Scotland","19","Northern Ireland","Female","Not main scheme application","10"
"2018 - 2019","Wales","19","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","105"
"2018 - 2019","South West","19","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","North East","19","Northern Ireland","Female","Not main scheme application","10"
"2018 - 2019","East Midlands","19","Northern Ireland","Female","Not main scheme application","5"
"2018 - 2019","North West","19","Northern Ireland","Female","Not main scheme application","30"
"2019 - 2020","Scotland","19","Northern Ireland","Female","Not main scheme application","10"
"2019 - 2020","Wales","19","Northern Ireland","Female","Not main scheme application","5"
"2019 - 2020","West Midlands","19","Northern Ireland","Female","Not main scheme application","5"
"2019 - 2020","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","100"
"2019 - 2020","South West","19","Northern Ireland","Female","Not main scheme application","5"
"2019 - 2020","North East","19","Northern Ireland","Female","Not main scheme application","5"
"2019 - 2020","North West","19","Northern Ireland","Female","Not main scheme application","55"
"2020 - 2021","London","19","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","South East","19","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","West Midlands","19","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","120"
"2020 - 2021","East of England","19","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","North East","19","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","North West","19","Northern Ireland","Female","Not main scheme application","25"
"2021 - 2022","South East","19","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","West Midlands","19","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","120"
"2021 - 2022","Yorkshire and the Humber","19","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","East Midlands","19","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","North West","19","Northern Ireland","Female","Not main scheme application","30"
"2022 - 2023","South East","19","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","Scotland","19","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","Wales","19","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","Northern Ireland","19","Northern Ireland","Female","Not main scheme application","125"
"2022 - 2023","South West","19","Northern Ireland","Female","Not main scheme application","5"
