"Entry year","Tariff group of provider","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2019 - 2020","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2019 - 2020","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","20"
"2020 - 2021","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","70"
"2020 - 2021","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2020 - 2021","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","20"
"2021 - 2022","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","90"
"2021 - 2022","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","20"
"2022 - 2023","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","105"
"2022 - 2023","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2022 - 2023","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","20"
"2023 - 2024","Lower tariff","21 - 24","Northern Ireland","Female","Not main scheme application","50"
"2023 - 2024","Higher tariff","21 - 24","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","Medium tariff","21 - 24","Northern Ireland","Female","Not main scheme application","30"
"2006 - 2007","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","20"
"2007 - 2008","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","20"
"2007 - 2008","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","15"
"2008 - 2009","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","10"
"2009 - 2010","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","5"
"2010 - 2011","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","20"
"2010 - 2011","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","20"
"2011 - 2012","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","15"
"2012 - 2013","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","5"
"2013 - 2014","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","25"
"2013 - 2014","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","10"
"2014 - 2015","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","35"
"2014 - 2015","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","20"
"2015 - 2016","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","15"
"2015 - 2016","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","20"
"2016 - 2017","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","15"
"2016 - 2017","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","20"
"2017 - 2018","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","20"
"2017 - 2018","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","10"
"2018 - 2019","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","20"
"2018 - 2019","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","15"
"2019 - 2020","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","15"
"2019 - 2020","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","10"
"2020 - 2021","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","20"
"2020 - 2021","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","5"
"2021 - 2022","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","45"
"2021 - 2022","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","15"
"2022 - 2023","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","25"
"2022 - 2023","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","5"
"2023 - 2024","Lower tariff","25 - 29","Northern Ireland","Female","Not main scheme application","25"
"2023 - 2024","Medium tariff","25 - 29","Northern Ireland","Female","Not main scheme application","10"
"2006 - 2007","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2006 - 2007","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2007 - 2008","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2008 - 2009","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2009 - 2010","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","10"
"2010 - 2011","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2011 - 2012","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Lower tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
"2012 - 2013","Medium tariff","30 - 34","Northern Ireland","Female","Not main scheme application","5"
