"Entry year","Provider country","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2012 - 2013","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2470"
"2012 - 2013","Scotland","18","Northern Ireland","Male","Main scheme application","205"
"2012 - 2013","Wales","18","Northern Ireland","Male","Main scheme application","20"
"2013 - 2014","England","18","Northern Ireland","Male","Main scheme application","650"
"2013 - 2014","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2675"
"2013 - 2014","Scotland","18","Northern Ireland","Male","Main scheme application","250"
"2013 - 2014","Wales","18","Northern Ireland","Male","Main scheme application","30"
"2014 - 2015","England","18","Northern Ireland","Male","Main scheme application","635"
"2014 - 2015","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2520"
"2014 - 2015","Scotland","18","Northern Ireland","Male","Main scheme application","215"
"2014 - 2015","Wales","18","Northern Ireland","Male","Main scheme application","25"
"2015 - 2016","England","18","Northern Ireland","Male","Main scheme application","760"
"2015 - 2016","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2240"
"2015 - 2016","Scotland","18","Northern Ireland","Male","Main scheme application","270"
"2015 - 2016","Wales","18","Northern Ireland","Male","Main scheme application","35"
"2016 - 2017","England","18","Northern Ireland","Male","Main scheme application","775"
"2016 - 2017","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2305"
"2016 - 2017","Scotland","18","Northern Ireland","Male","Main scheme application","230"
"2016 - 2017","Wales","18","Northern Ireland","Male","Main scheme application","35"
"2017 - 2018","England","18","Northern Ireland","Male","Main scheme application","755"
"2017 - 2018","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2095"
"2017 - 2018","Scotland","18","Northern Ireland","Male","Main scheme application","230"
"2017 - 2018","Wales","18","Northern Ireland","Male","Main scheme application","30"
"2018 - 2019","England","18","Northern Ireland","Male","Main scheme application","795"
"2018 - 2019","Northern Ireland","18","Northern Ireland","Male","Main scheme application","2135"
"2018 - 2019","Scotland","18","Northern Ireland","Male","Main scheme application","230"
