2022 KS5 excel and csv download data files: field names and descriptions,,,,,,
 '.' indicates that a field is intentionally null/blank,,,,,,
Note: retention data will be made available in March.,,,,,,
,,,,,,
Column,Field Name,Field description,Null/blank field for Rectype 1,Null/blank field for Rectype 3,Null/blank field for Rectype 4,Null/blank field for Rectype 5 or 7
AF,TALLPUP_1618,Number of students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications),,,,
AG,TALLPUP_ALEV_1618,Number of students at the end of 16-18 study who entered for at least one AS or A level qualification,,,,
AH,TALLPPE_ALEV_1618,Average point score per A level entry,,,,
AI,TALLPPEGRD_ALEV_1618,Average point score per A level entry expressed as a grade,,,,
AJ,TINCLUDE_B3,Number of students included in the best 3 A levels measure,,,,
AK,TB3PTSE,Average point score in best 3 A level entries,,,,
AL,TB3PTSE_GRD,Average point score in best 3 A level entries expressed as a grade,,,,
AM,TINCLUDE_AAB_2FAC,Number of students included in AAB in 2 facilitating subjects measure,,,,
AN,PTAAB_2FAC,"Percentage of A level students achieving at least three levels at grades AAB or better, at least two of which are in facilitating subjects",,,,
AO,TALLPUP_ACAD_1618,Number of students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification,,,,
AP,TALLPPE_ACAD_1618,Average point score per academic entry,,,,
AQ,TALLPPEGRD_ACAD_1618,Average point score per academic entry expressed as a grade,,,,
AR,TALLPUP_AGEN,Number of students at the end of 16-18 study who entered for ant least one applied general qualification,,,,
AS,TALLPPE_AGEN,Average point score per applied general entry,,,,
AT,TALLPPEGRD_AGEN,Average point score per applied general entry expressed as a grade,,,,
AU,TALLPUP_TLEV,Number of students at the end of 16-18 study who entered for at least one tech level qualification,,,,
AV,TALLPPE_TLEV,Average point score per tech level entry,,,,
AW,TALLPPEGRD_TLEV,Average point score per tech level entry expressed as a grade,,,,
AX,TALLPUP_TLEVDENOM,Number of trigger students for 'level 3 vocational quals' - ignoring discounting and applied general,,,,
AY,TLEV_PER,Proportion of level 3 vocational students that are tech level students,,,,
AZ,TALLPUP_AGENDENOM,Number of trigger students for 'level 3 vocational quals' - ignoring discounting and tech levels,,,,
BA,AGEN_PER,Proportion of level 3 vocational students that are applied general students,,,,
BB,T_SCOPEEX_E,Number of students at the end of 16-18 study included in the English progress measure,.,.,.,.
BC,PROGEX_E,Average progress made in English,.,.,.,.
BD,ENTRY_PER_E,Proportion of students eligible for English progress measures entered for approved exams,.,.,.,.
BE,T_SCOPEEX_M,Number of students at the end of 16-18 study included in the maths progress measure,.,.,.,.
BF,PROGEX_M,Average progress made in maths,.,.,.,.
BG,ENTRY_PER_M,Proportion of students eligible for maths progress measures entered for approved exams,.,.,.,.
BH,TALLPUP_SCOPE_L3M,Number of students in scope for level 3 maths measure,.,.,.,.
BI,L3M_PER,Percentage of students in scope for the level 3 maths measure who achieved approved a level 3 maths qualification,.,.,.,.
BJ,T_InScope_ALEV_Ret,Number of students at the end of 16-18 study with an A level core aim,,,,
BK,PT_Retained_ALEV_Ret,Percentage of A level core aims retained,,,,
BL,PT_Ret_Assessed_ALEV,Percentage of A Level core aims retained and assessed,,,,
BM,T_InScope_ALEV_2ndYr,Number of students in scope for returned and retained for a second year where core aim is an A Level,,,,
BN,PT_Retained_ALEV_2ndYr,Percentage of students who were retained for a second year with an A Level programme core aim,,,,
BO,T_InScope_ACAD_Ret,Number of students at the end of 16-18 study with an academic core aim,,,,
BP,PT_Retained_ACAD_Ret,Percentage of academic core aims retained,,,,
BQ,PT_Ret_Assessed_ACAD,Percentage of academic core aims retained and assessed,,,,
BR,T_InScope_ACAD_2ndYr,Number of students in scope for returned and retained for a second year where core aim is an academic qualification,,,,
BS,PT_Retained_ACAD_2ndYr,Percentage of students who were retained for a second year with an academic core aim,,,,
BT,T_InScope_AGEN_Ret,Number of students at the end of 16-18 study with an applied general core aim,,,,
BU,PT_Retained_AGEN_Ret,Percentage of applied general core aims retained,,,,
BV,PT_Ret_Assessed_AGEN,Percentage of applied general core aims retained and assessed,,,,
BW,T_InScope_AGEN_2ndYr,Number of students In scope for returned and retained for a second year where core aim is an applied general qualification,,,,
BX,PT_Retained_AGEN_2ndYr,Percentage of students who were retained for a second year with an applied general core aim,,,,
BY,T_InScope_TLEV_Ret,Number of students at the end of 16-18 study with a tech level core aim,,,,
BZ,PT_Retained_TLEV_Ret,Percentage of tech level core aims retained,,,,
CA,PT_Ret_Assessed_TLEV,Percentage of tech level core aims retained and assessed,,,,
CB,T_InScope_TLEV_2ndYr,Number of students in scope for returned and retained for a second year measure where core aim is a tech level qualification,,,,
CC,PT_Retained_TLEV_2ndYr,Percentage of students who were retained for a second year with a tech level core aim,,,,
CD,TALLPUP_TechCert,Number of students at the end of 16-18 study who were entered for at least one technical certificate qualification,,,,
CE,TALLPPE_TechCert,Average point score per technical certificate entry ,,,,
CF,TALLPPEGRD_TechCert,Average point score per technical certificate entry expressed as a grade,,,,
CG,T_InScope_TechCert_Ret,Number of students in scope for retention measure where core aim is a tech cert programme,,,,
CH,PT_Retained_TechCert_Ret,Percentage of technical certificate core aims retained,,,,
CI,PT_Ret_Assessed_TechCert,Percentage of technical certificate core aims retained and assessed,,,,
CJ,TALLPUP_ANYL2VOC,"Number of students entered for at least one level 2 vocational, whose highest qualification during 16-18 study was at level 2.",,,,
CK,TechCert_PER,Percentage of level 2 vocational students that are technical certificate students,,,,
CL,TALLPUP_1618_DIS,Number of disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications),,,,
CM,TALLPUP_ALEV_1618_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one AS or A level qualification,,,,
CN,TALLPPE_ALEV_1618_DIS,Average point score per A level entry for disadvantaged students,,,,
CO,TALLPPEGRD_ALEV_DIS,Average point score per A level entry for disadvantaged students expressed as a grade,,,,
CP,TALLPUP_ACAD_1618_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one advanced (level 3) academic qualification,,,,
CQ,TALLPPE_ACAD_1618_DIS,Average point score per academic entry for disadvantaged students,,,,
CR,TALLPPEGRD_ACAD_DIS,Average point score per academic entry for disadvantaged students expressed as a grade,,,,
CS,TALLPUP_AGEN_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one applied general exam entry,,,,
CT,TALLPPE_AGEN_DIS,Average point score per applied general entry for disadvantaged students,,,,
CU,TALLPPEGRD_AGEN_DIS,Average point score per applied general entry expressed as a grade for disadvantaged students,,,,
CV,TALLPUP_TLEV_DIS,Number of disadvantaged students at the end of 16-18 study who entered for at least one tech level exam entry,,,,
CW,TALLPPE_TLEV_DIS,Average point score per tech level entry for disadvantaged students,,,,
CX,TALLPPEGRD_TLEV_DIS,Average point score per tech level entry expressed as a grade for disadvantaged students,,,,
CY,T_SCOPEEX_E_DIS,Number of disadvantaged students at the end of 16-18 study in scope for English progress measure,.,.,.,.
CZ,PROGEX_E_DIS,Average progress made in English by disadvantaged students,.,.,.,.
DA,T_SCOPEEX_M_DIS,Number of disadvantaged students at the end of 16-18 study in scope for maths progress measure,.,.,.,.
DB,PROGEX_M_DIS,Average progress made in maths by disadvantaged students,.,.,.,.
DC,T_InScope_ALEV_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is an A level qualification,,,,
DD,PT_Retained_ALEV_Ret_DIS,Percentage of disadvantaged students who completed an A level core aim for retention measure,,,,
DE,T_InScope_ACAD_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is an academic qualification,,,,
DF,PT_Retained_ACAD_Ret_DIS,Percentage of disadvantaged students who completed an academic core aim for retention measure,,,,
DG,T_InScope_AGEN_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is an applied general qualification,,,,
DH,PT_Retained_AGEN_Ret_DIS,Percentage of disadvantaged students who completed an applied general core aim for retention measure,,,,
DI,T_InScope_TLEV_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is a tech level qualification,,,,
DJ,PT_Retained_TLEV_Ret_DIS,Percentage of disadvantaged students who completed a tech level core aim for retention measure,,,,
DK,TALLPUP_TechCert_DIS,Number of disadvantaged students at the end of 16-18 study entered for at least one technical certificate qualification ,,,,
DL,TALLPPE_TechCert_DIS,Average point score per technical certificate entry for disadvantaged students,,,,
DM,TALLPPEGRD_TechCert_DIS,Average point score per technical certificate entry expressed as a grade for disadvantaged students,,,,
DN,T_InScope_TechCert_Ret_DIS,Number of disadvantaged students in scope for retention measure where core aim is a technical certificate programme,,,,
DO,PT_Retained_TechCert_Ret_DIS,Percentage of disadvantaged students who completed a technical certificate core aim for retention measure,,,,
DP,TALLPUP_1618_NOTDIS,Number of non-disadvantaged students aged 16-18 at the end of 16-18 study (includes students who entered for advanced level 3 qualifications or below-level 3 qualifications),,,,
DQ,TALLPUP_ALEV_1618_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one A level qualification,,,,
DR,TALLPPE_ALEV_1618_NOTDIS,Average point score per A level entry for non-disadvantaged students,,,,
DS,TALLPPEGRD_ALEV_NOTDIS,Average point score per A level entry for non-disadvantaged students expressed as a grade,,,,
DT,TALLPUP_ACAD_1618_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one academic qualification,,,,
DU,TALLPPE_ACAD_1618_NOTDIS,Average point score per academic entry for non-disadvantaged students,,,,
DV,TALLPPEGRD_ACAD_NOTDIS,Average point score per academic entry for non-disadvantaged students expressed as a grade,,,,
DW,TALLPUP_AGEN_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered at lest one applied general qualification,,,,
DX,TALLPPE_AGEN_NOTDIS,Average point score per applied general entry for non-disadvantaged students,,,,
DY,TALLPPEGRD_AGEN_NOTDIS,Average point score per applied general entry expressed as a grade for non-disadvantaged students,,,,
DZ,TALLPUP_TLEV_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study who entered for at least one tech level qualification,,,,
EA,TALLPPE_TLEV_NOTDIS,Average point score per tech level entry for non-disadvantaged students,,,,
EB,TALLPPEGRD_TLEV_NOTDIS,Average point score per tech level entry expressed as a grade for non-disadvantaged students,,,,
EC,T_SCOPEEX_E_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study in scope for English progress measure,.,.,.,.
ED,PROGEX_E_NOTDIS,Average progress made in English by non-disadvantaged students,.,.,.,.
EE,T_SCOPEEX_M_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study in scope for maths progress measure,.,.,.,.
EF,PROGEX_M_NOTDIS,Average progress made in maths by non-disadvantaged students,.,.,.,.
EG,T_InScope_ALEV_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is an A level qualification,,,,
EH,PT_Retained_ALEV_Ret_NOTDIS,Percentage of non-disadvantaged students who completed an A level core aim for retention measure,,,,
EI,T_InScope_ACAD_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is an academic qualification,,,,
EJ,PT_Retained_ACAD_Ret_NOTDIS,Percentage of non-disadvantaged students who completed an academic core aim for retention measure,,,,
EK,T_InScope_AGEN_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is an applied general qualification,,,,
EL,PT_Retained_AGEN_Ret_NOTDIS,Percentage of non-disadvantaged students who completed an Applied General core aim for retention measure,,,,
EM,T_InScope_TLEV_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is a tech level qualification,,,,
EN,PT_Retained_TLEV_Ret_NOTDIS,Percentage of non-disadvantaged students who completed a tech level core aim for retention measure,,,,
EO,TALLPUP_TechCert_NOTDIS,Number of non-disadvantaged students at the end of 16-18 study with a technical certificate qualification entry,,,,
EP,TALLPPE_TechCert_NOTDIS,Average point score per technical certificate entry for non-disadvantaged students,,,,
EQ,TALLPPEGRD_TechCert_NOTDIS,Average point score per technical certificate entry expressed as a grade for non-disadvantaged students,,,,
ER,T_InScope_TechCert_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is a technical certificate programme,,,,
ES,PT_Retained_TechCert_Ret_NOTDIS,Percentage of non-disadvantaged students who completed a technical certificate core aim for retention measure,,,,
ET,TALLPUP_1618_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
EU,TALLPUP_1618_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
EV,TALLPUP_1618_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
EW,TALLPUP_ALEV_1618_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
EX,TALLPUP_ALEV_1618_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
EY,TALLPUP_ALEV_1618_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
EZ,TALLPPE_ALEV_1618_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FA,TALLPPE_ALEV_1618_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FB,TALLPPE_ALEV_1618_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
FC,TALLPPEGRD_ALEV_1618_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FD,TALLPPEGRD_ALEV_1618_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FE,TALLPPEGRD_ALEV_1618_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
FF,TALLPUP_ACAD_1618_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
FG,TALLPUP_ACAD_1618_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
FH,TALLPUP_ACAD_1618_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
FI,TALLPPE_ACAD_1618_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FJ,TALLPPE_ACAD_1618_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FK,TALLPPE_ACAD_1618_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
FL,TALLPPEGRD_ACAD_1618_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FM,TALLPPEGRD_ACAD_1618_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FN,TALLPPEGRD_ACAD_1618_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
FO,TALLPUP_AGEN_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
FP,TALLPUP_AGEN_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
FQ,TALLPUP_AGEN_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
FR,TALLPPE_AGEN_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FS,TALLPPE_AGEN_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FT,TALLPPE_AGEN_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
FU,TALLPPEGRD_AGEN_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FV,TALLPPEGRD_AGEN_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
FW,TALLPPEGRD_AGEN_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
FX,TALLPUP_TLEV_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
FY,TALLPUP_TLEV_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
FZ,TALLPUP_TLEV_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GA,TALLPPE_TLEV_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
GB,TALLPPE_TLEV_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
GC,TALLPPE_TLEV_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GD,TALLPPEGRD_TLEV_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
GE,TALLPPEGRD_TLEV_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
GF,TALLPPEGRD_TLEV_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GG,TALLPUP_TECHCERT_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
GH,TALLPUP_TECHCERT_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GI,TALLPUP_TECHCERT_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GJ,TALLPPE_TECHCERT_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
GK,TALLPPE_TECHCERT_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GL,TALLPPE_TECHCERT_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GM,TALLPPEGRD_TECHCERT_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
GN,TALLPPEGRD_TECHCERT_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GO,TALLPPEGRD_TECHCERT_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GP,T_AIMS_CA_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GQ,T_AIMS_CA_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
GR,T_AIMS_CA_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GS,T_SCOPEEX_E_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
GT,T_SCOPEEX_E_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
GU,T_SCOPEEX_E_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GV,PROGEX_E_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
GW,PROGEX_E_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
GX,PROGEX_E_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
GY,T_SCOPEEX_M_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
GZ,T_SCOPEEX_M_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
HA,T_SCOPEEX_M_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HB,PROGEX_M_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HC,PROGEX_M_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HD,PROGEX_M_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HE,ENTRIES_ALEV_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HF,ENTRIES_ALEV_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HG,ENTRIES_ALEV_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HH,VA_INS_ALEV_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HI,VA_INS_ALEV_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HJ,VA_INS_ALEV_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HK,UCI_INS_ALEV_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HL,UCI_INS_ALEV_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HM,UCI_INS_ALEV_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HN,LCI_INS_ALEV_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HO,LCI_INS_ALEV_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HP,LCI_INS_ALEV_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HQ,ENTRIES_ACAD_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HR,ENTRIES_ACAD_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HS,ENTRIES_ACAD_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HT,VA_INS_ACAD_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HU,VA_INS_ACAD_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HV,VA_INS_ACAD_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HW,UCI_INS_ACAD_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
HX,UCI_INS_ACAD_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HY,UCI_INS_ACAD_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,,,,
HZ,LCI_INS_ACAD_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IA,LCI_INS_ACAD_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IB,LCI_INS_ACAD_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IC,ENTRIES_AGEN_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
ID,ENTRIES_AGEN_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IE,ENTRIES_AGEN_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IF,VA_INS_AGEN_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IG,VA_INS_AGEN_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IH,VA_INS_AGEN_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,,,,
II,UCI_INS_AGEN_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IJ,UCI_INS_AGEN_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IK,UCI_INS_AGEN_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IL,LCI_INS_AGEN_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IM,LCI_INS_AGEN_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IN,LCI_INS_AGEN_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IO,T_INSCOPE_ALEV_RET_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IP,T_INSCOPE_ALEV_RET_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,,
IQ,T_INSCOPE_ALEV_RET_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
IR,PT_RETAINED_ALEV_RET_21,This is a historical variable. It holds the 2021 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IS,PT_RETAINED_ALEV_RET_20,This is a historical variable. It holds the 2020 value of the corresponding variable. Please see the current variable for the variable description.,,,.,.
IT,PT_RETAINED_ALEV_RET_19,This is a historical variable. It holds the 2019 value of the corresponding variable. Please see the current variable for the variable description.,.,.,.,.
