"Year","POLAR4 Quintile","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2013","Quintile 5","18","England","Male","0","175","160","330","0","220","165","385"
"2013","Quintile 5","18","Northern Ireland","Male","0","5","0","5","0","5","0","5"
"2013","Quintile 5","18","Wales","Male","0","5","15","25","0","10","15","25"
"2014","Quintile 5","18","England","Male","1305","700","425","2355","1365","735","435","2540"
"2014","Quintile 5","18","Northern Ireland","Male","10","10","10","35","10","15","15","40"
"2014","Quintile 5","18","Wales","Male","30","10","15","55","30","15","15","60"
"2015","Quintile 5","18","England","Male","2390","965","995","4120","2535","1040","1010","4585"
"2015","Quintile 5","18","Northern Ireland","Male","25","20","25","65","25","25","30","80"
"2015","Quintile 5","18","Wales","Male","40","25","35","90","40","25","40","105"
"2016","Quintile 5","18","England","Male","3185","1580","1120","5550","3405","1710","1145","6260"
"2016","Quintile 5","18","Northern Ireland","Male","20","30","10","65","20","35","10","70"
"2016","Quintile 5","18","Wales","Male","60","55","45","150","65","60","50","175"
"2017","Quintile 5","18","England","Male","5120","2100","1420","7960","5790","2370","1490","9655"
"2017","Quintile 5","18","Northern Ireland","Male","45","40","40","115","50","45","40","135"
"2017","Quintile 5","18","Wales","Male","75","75","65","205","85","85","75","240"
"2018","Quintile 5","18","England","Male","7210","2450","2085","10520","8575","2810","2130","13520"
"2018","Quintile 5","18","Northern Ireland","Male","80","75","45","180","90","85","45","220"
"2018","Quintile 5","18","Wales","Male","140","80","60","250","160","90","65","315"
"2019","Quintile 5","18","England","Male","8860","2770","2165","12040","10855","3180","2250","16280"
"2019","Quintile 5","18","Northern Ireland","Male","100","45","25","160","115","55","25","195"
"2019","Quintile 5","18","Wales","Male","180","125","55","320","220","160","55","435"
"2020","Quintile 5","18","England","Male","4335","5465","4435","11830","4790","6755","5340","16880"
"2020","Quintile 5","18","Northern Ireland","Male","25","75","275","340","30","85","375","485"
"2020","Quintile 5","18","Wales","Male","65","165","270","420","65","210","370","645"
"2021","Quintile 5","18","England","Male","0","2340","445","2685","0","2670","460","3130"
"2021","Quintile 5","18","Northern Ireland","Male","0","50","5","55","0","55","5","60"
"2021","Quintile 5","18","Wales","Male","0","160","25","175","0","195","30","225"
"2022","Quintile 5","18","England","Male","465","3030","1110","4385","495","3545","1160","5200"
"2022","Quintile 5","18","Northern Ireland","Male","10","30","5","45","10","35","5","50"
"2022","Quintile 5","18","Wales","Male","10","80","60","140","10","85","70","165"
"2023","Quintile 5","18","England","Male","0","2225","995","3090","0","2540","1080","3620"
"2023","Quintile 5","18","Northern Ireland","Male","0","15","15","30","0","20","15","30"
"2023","Quintile 5","18","Wales","Male","0","35","25","60","0","40","30","70"
"2013","All","18","England","Female","0","840","455","1265","0","1025","460","1485"
"2013","All","18","Northern Ireland","Female","0","10","10","20","0","15","15","25"
"2013","All","18","Wales","Female","0","55","75","135","0","65","75","140"
"2014","All","18","England","Female","3855","3295","1635","8505","4070","3545","1695","9310"
"2014","All","18","Northern Ireland","Female","25","85","25","130","25","90","30","140"
"2014","All","18","Wales","Female","115","95","170","370","115","100","195","410"
"2015","All","18","England","Female","8520","5050","5115","17520","9210","5465","5170","19845"
"2015","All","18","Northern Ireland","Female","60","90","110","255","65","110","115","285"
"2015","All","18","Wales","Female","230","215","245","660","250","235","285","765"
"2016","All","18","England","Female","13310","10300","5905","27065","14545","11255","5990","31790"
"2016","All","18","Northern Ireland","Female","95","130","70","290","100","140","70","315"
"2016","All","18","Wales","Female","310","510","280","1025","320","600","325","1245"
"2017","All","18","England","Female","22185","12365","7925","38250","25695","13780","8220","47700"
"2017","All","18","Northern Ireland","Female","190","145","175","475","210","160","175","545"
"2017","All","18","Wales","Female","545","655","455","1515","575","750","500","1825"
"2018","All","18","England","Female","30635","15470","11020","49430","37930","17635","11205","66775"
"2018","All","18","Northern Ireland","Female","345","230","200","720","395","250","205","845"
"2018","All","18","Wales","Female","965","730","495","1930","1135","850","530","2515"
"2019","All","18","England","Female","36950","16330","10515","54010","47685","19015","10840","77540"
"2019","All","18","Northern Ireland","Female","345","180","135","600","395","210","135","745"
"2019","All","18","Wales","Female","1055","1090","350","2210","1270","1355","360","2990"
"2020","All","18","England","Female","17235","30110","21135","56160","19465","38305","25090","82860"
"2020","All","18","Northern Ireland","Female","110","315","1140","1455","120","370","1495","1985"
"2020","All","18","Wales","Female","265","1365","1715","2820","290","1785","2220","4295"
"2021","All","18","England","Female","0","14145","3035","16420","0","16645","3170","19815"
"2021","All","18","Northern Ireland","Female","0","195","30","215","0","215","35","250"
"2021","All","18","Wales","Female","0","1325","275","1495","0","1700","320","2020"
"2022","All","18","England","Female","2590","19995","4485","25585","2750","24370","4695","31810"
"2022","All","18","Northern Ireland","Female","25","165","40","220","25","195","40","260"
"2022","All","18","Wales","Female","50","655","400","1070","50","800","455","1305"
