"Year","POLAR4 Quintile","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2014","Quintile 2","All","Wales","Female","10","25","40","75","10","30","50","90"
"2015","Quintile 2","All","England","Female","1135","915","1035","2885","1240","1005","1050","3290"
"2015","Quintile 2","All","Northern Ireland","Female","10","10","10","25","10","15","10","30"
"2015","Quintile 2","All","Wales","Female","30","55","50","130","30","55","60","145"
"2016","Quintile 2","All","England","Female","2030","2060","1100","4695","2285","2245","1110","5640"
"2016","Quintile 2","All","Northern Ireland","Female","15","20","10","40","15","20","10","45"
"2016","Quintile 2","All","Wales","Female","50","155","60","245","50","185","65","300"
"2017","Quintile 2","All","England","Female","3215","2435","1550","6390","3805","2740","1615","8165"
"2017","Quintile 2","All","Northern Ireland","Female","30","20","25","65","30","20","25","75"
"2017","Quintile 2","All","Wales","Female","105","150","115","330","110","170","120","400"
"2018","Quintile 2","All","England","Female","4520","3120","2125","8340","5750","3570","2155","11475"
"2018","Quintile 2","All","Northern Ireland","Female","30","30","25","80","35","40","30","100"
"2018","Quintile 2","All","Wales","Female","195","210","110","450","220","250","115","585"
"2019","Quintile 2","All","England","Female","5575","3145","1930","8870","7315","3720","1985","13020"
"2019","Quintile 2","All","Northern Ireland","Female","30","20","25","70","40","25","25","90"
"2019","Quintile 2","All","Wales","Female","240","315","90","565","285","380","95","755"
"2020","Quintile 2","All","England","Female","2580","5575","4100","10020","2940","7340","4925","15205"
"2020","Quintile 2","All","Northern Ireland","Female","5","45","145","180","10","55","185","250"
"2020","Quintile 2","All","Wales","Female","50","355","410","690","55","470","520","1045"
"2021","Quintile 2","All","England","Female","0","2810","585","3240","0","3360","615","3970"
"2021","Quintile 2","All","Northern Ireland","Female","0","25","5","25","0","25","5","30"
"2021","Quintile 2","All","Wales","Female","0","355","60","395","0","460","65","525"
"2022","Quintile 2","All","England","Female","550","4160","900","5255","585","5130","940","6655"
"2022","Quintile 2","All","Northern Ireland","Female","5","20","5","30","5","25","5","35"
"2022","Quintile 2","All","Wales","Female","10","165","70","240","10","210","75","295"
"2023","Quintile 2","All","England","Female","0","2855","730","3430","0","3340","775","4120"
"2023","Quintile 2","All","Northern Ireland","Female","0","10","0","10","0","15","0","15"
"2023","Quintile 2","All","Wales","Female","0","75","45","115","0","90","55","140"
"2013","Quintile 3","All","England","Female","0","160","85","240","0","190","85","275"
"2013","Quintile 3","All","Wales","Female","0","20","25","45","0","25","25","50"
"2014","Quintile 3","All","England","Female","610","645","330","1540","655","695","340","1690"
"2014","Quintile 3","All","Northern Ireland","Female","0","10","5","15","0","10","5","15"
"2014","Quintile 3","All","Wales","Female","20","25","45","90","20","25","50","95"
"2015","Quintile 3","All","England","Female","1460","1025","1045","3270","1560","1105","1055","3720"
"2015","Quintile 3","All","Northern Ireland","Female","10","10","30","50","10","15","30","55"
"2015","Quintile 3","All","Wales","Female","55","45","50","150","55","50","65","170"
"2016","Quintile 3","All","England","Female","2415","2080","1250","5250","2640","2275","1275","6190"
"2016","Quintile 3","All","Northern Ireland","Female","10","35","15","55","10","35","15","55"
"2016","Quintile 3","All","Wales","Female","60","125","75","245","65","135","95","295"
"2017","Quintile 3","All","England","Female","4150","2530","1680","7450","4765","2810","1745","9320"
"2017","Quintile 3","All","Northern Ireland","Female","25","15","35","75","30","15","35","80"
"2017","Quintile 3","All","Wales","Female","115","175","140","385","130","205","150","485"
"2018","Quintile 3","All","England","Female","5780","3305","2250","9725","7175","3750","2305","13235"
"2018","Quintile 3","All","Northern Ireland","Female","50","40","40","120","55","45","40","140"
"2018","Quintile 3","All","Wales","Female","220","180","100","450","255","210","110","580"
"2019","Quintile 3","All","England","Female","7215","3310","2150","10615","9370","3825","2220","15415"
"2019","Quintile 3","All","Northern Ireland","Female","55","30","25","100","60","35","25","120"
"2019","Quintile 3","All","Wales","Female","235","230","60","465","280","290","65","635"
"2020","Quintile 3","All","England","Female","3345","5895","4380","11110","3800","7475","5155","16430"
"2020","Quintile 3","All","Northern Ireland","Female","20","55","215","265","25","60","290","375"
"2020","Quintile 3","All","Wales","Female","50","315","415","665","55","415","560","1030"
"2021","Quintile 3","All","England","Female","0","2580","585","3020","0","3015","605","3620"
"2021","Quintile 3","All","Northern Ireland","Female","0","30","5","30","0","35","5","35"
"2021","Quintile 3","All","Wales","Female","0","320","65","355","0","405","75","485"
"2022","Quintile 3","All","England","Female","495","3805","860","4905","525","4610","905","6040"
"2022","Quintile 3","All","Northern Ireland","Female","5","25","5","35","5","25","5","35"
"2022","Quintile 3","All","Wales","Female","15","150","115","265","15","180","135","330"
"2023","Quintile 3","All","England","Female","0","2945","830","3620","0","3415","875","4285"
"2023","Quintile 3","All","Northern Ireland","Female","0","15","5","20","0","15","5","20"
"2023","Quintile 3","All","Wales","Female","0","90","55","140","0","110","65","175"
"2013","Quintile 4","All","England","Female","0","190","105","290","0","225","105","330"
"2013","Quintile 4","All","Northern Ireland","Female","0","5","5","5","0","5","5","10"
"2013","Quintile 4","All","Wales","Female","0","10","25","35","0","10","25","35"
"2014","Quintile 4","All","England","Female","790","765","365","1855","820","830","375","2025"
"2014","Quintile 4","All","Northern Ireland","Female","10","25","10","40","10","25","10","45"
"2014","Quintile 4","All","Wales","Female","25","20","35","80","25","20","45","90"
"2015","Quintile 4","All","England","Female","1820","1130","1095","3795","1930","1230","1105","4270"
"2015","Quintile 4","All","Northern Ireland","Female","10","30","25","65","10","40","25","75"
"2015","Quintile 4","All","Wales","Female","35","50","60","140","40","60","75","175"
"2016","Quintile 4","All","England","Female","2915","2400","1300","6070","3130","2635","1315","7085"
"2016","Quintile 4","All","Northern Ireland","Female","25","25","15","65","30","25","20","70"
"2016","Quintile 4","All","Wales","Female","70","95","70","220","70","120","85","275"
"2017","Quintile 4","All","England","Female","5080","2750","1720","8640","5865","3050","1790","10705"
"2017","Quintile 4","All","Northern Ireland","Female","40","35","40","110","40","40","40","120"
"2017","Quintile 4","All","Wales","Female","115","145","75","305","115","160","85","365"
"2018","Quintile 4","All","England","Female","7070","3420","2505","11215","8700","3865","2545","15105"
"2018","Quintile 4","All","Northern Ireland","Female","85","40","50","160","90","40","50","180"
"2018","Quintile 4","All","Wales","Female","225","110","110","390","285","130","125","540"
"2019","Quintile 4","All","England","Female","8445","3765","2330","12280","10930","4320","2390","17640"
"2019","Quintile 4","All","Northern Ireland","Female","90","35","25","145","105","45","30","180"
"2019","Quintile 4","All","Wales","Female","215","160","70","400","280","190","70","540"
"2020","Quintile 4","All","England","Female","3805","6870","4635","12590","4295","8595","5460","18350"
"2020","Quintile 4","All","Northern Ireland","Female","25","65","260","335","25","85","340","455"
"2020","Quintile 4","All","Wales","Female","50","195","350","515","60","260","470","790"
"2021","Quintile 4","All","England","Female","0","3100","670","3605","0","3620","695","4315"
"2021","Quintile 4","All","Northern Ireland","Female","0","50","5","55","0","55","5","60"
"2021","Quintile 4","All","Wales","Female","0","195","60","230","0","255","70","320"
"2022","Quintile 4","All","England","Female","465","4440","975","5590","485","5365","1005","6855"
"2022","Quintile 4","All","Northern Ireland","Female","5","40","10","55","10","45","10","65"
"2022","Quintile 4","All","Wales","Female","10","110","85","205","15","140","95","245"
"2023","Quintile 4","All","England","Female","0","3155","830","3840","0","3590","885","4480"
"2023","Quintile 4","All","Northern Ireland","Female","0","30","5","35","0","35","5","40"
"2023","Quintile 4","All","Wales","Female","0","60","35","95","0","70","35","110"
"2013","Quintile 5","All","England","Female","0","220","145","355","0","295","145","440"
"2013","Quintile 5","All","Northern Ireland","Female","0","5","0","10","0","10","0","10"
"2013","Quintile 5","All","Wales","Female","0","10","10","20","0","10","10","20"
"2014","Quintile 5","All","England","Female","1585","895","455","2845","1665","960","475","3100"
"2014","Quintile 5","All","Northern Ireland","Female","10","35","10","55","10","40","10","60"
"2014","Quintile 5","All","Wales","Female","40","15","30","85","40","20","30","90"
"2015","Quintile 5","All","England","Female","3280","1285","1135","5415","3565","1365","1150","6080"
"2015","Quintile 5","All","Northern Ireland","Female","25","35","40","100","30","35","40","105"
"2015","Quintile 5","All","Wales","Female","85","35","45","155","95","35","50","180"
"2016","Quintile 5","All","England","Female","4680","2230","1425","7770","5050","2405","1440","8900"
"2016","Quintile 5","All","Northern Ireland","Female","40","40","20","100","45","45","20","110"
"2016","Quintile 5","All","Wales","Female","105","55","45","195","105","70","45","225"
"2017","Quintile 5","All","England","Female","7410","2805","1785","11000","8450","3115","1835","13405"
"2017","Quintile 5","All","Northern Ireland","Female","75","60","50","170","90","65","50","205"
"2017","Quintile 5","All","Wales","Female","155","85","75","295","165","95","80","340"
"2018","Quintile 5","All","England","Female","10050","3285","2435","13995","12225","3735","2480","18440"
"2018","Quintile 5","All","Northern Ireland","Female","145","80","70","285","165","90","70","330"
"2018","Quintile 5","All","Wales","Female","225","120","95","380","260","130","100","490"
"2019","Quintile 5","All","England","Female","11560","3485","2530","15300","14540","4030","2600","21170"
"2019","Quintile 5","All","Northern Ireland","Female","135","65","40","220","150","75","40","265"
"2019","Quintile 5","All","Wales","Female","230","155","80","410","270","185","80","535"
"2020","Quintile 5","All","England","Female","5175","7200","4535","14085","5750","8845","5265","19860"
"2020","Quintile 5","All","Northern Ireland","Female","40","110","370","490","45","125","470","640"
"2020","Quintile 5","All","Wales","Female","75","200","245","430","80","260","300","640"
"2021","Quintile 5","All","England","Female","0","3425","705","3935","0","4000","750","4750"
"2021","Quintile 5","All","Northern Ireland","Female","0","70","15","80","0","80","20","100"
"2021","Quintile 5","All","Wales","Female","0","175","40","200","0","215","50","265"
"2022","Quintile 5","All","England","Female","470","4245","1040","5495","490","5140","1085","6715"
"2022","Quintile 5","All","Northern Ireland","Female","5","60","15","75","5","70","15","90"
"2022","Quintile 5","All","Wales","Female","5","110","65","180","5","135","75","220"
"2023","Quintile 5","All","England","Female","0","2975","970","3790","0","3420","1035","4455"
"2023","Quintile 5","All","Northern Ireland","Female","0","35","10","45","0","40","15","50"
"2023","Quintile 5","All","Wales","Female","0","60","35","90","0","75","45","120"
"2013","Unknown","All","England","Male","0","5","0","5","0","5","0","10"
"2014","Unknown","All","England","Male","5","5","5","10","5","5","5","10"
"2015","Unknown","All","England","Male","5","0","0","5","5","0","0","5"
"2016","Unknown","All","England","Male","5","10","5","20","5","10","5","20"
"2017","Unknown","All","England","Male","10","10","5","25","15","10","5","30"
"2017","Unknown","All","Wales","Male","0","0","0","5","0","0","5","5"
"2018","Unknown","All","England","Male","10","15","5","30","15","15","5","40"
"2018","Unknown","All","Northern Ireland","Male","0","0","0","5","0","0","0","5"
"2019","Unknown","All","England","Male","20","15","5","30","30","15","5","50"
"2019","Unknown","All","Northern Ireland","Male","0","0","0","5","0","0","0","5"
"2019","Unknown","All","Wales","Male","0","0","0","0","0","0","0","5"
"2020","Unknown","All","England","Male","10","10","10","25","10","15","15","40"
"2020","Unknown","All","Wales","Male","0","5","5","5","0","5","5","10"
"2021","Unknown","All","England","Male","0","10","0","10","0","10","5","15"
"2022","Unknown","All","England","Male","0","5","0","5","0","5","0","5"
"2023","Unknown","All","England","Male","0","5","0","5","0","5","0","5"
"2013","Quintile 1","All","England","Male","0","85","35","120","0","100","35","140"
"2013","Quintile 1","All","Wales","Male","0","0","5","5","0","0","5","10"
"2014","Quintile 1","All","England","Male","325","260","160","710","355","300","160","815"
"2014","Quintile 1","All","Northern Ireland","Male","0","5","0","10","0","5","0","10"
"2014","Quintile 1","All","Wales","Male","10","10","15","30","10","10","15","30"
"2015","Quintile 1","All","England","Male","570","420","520","1405","615","450","535","1605"
"2015","Quintile 1","All","Northern Ireland","Male","0","10","5","15","0","10","5","15"
"2015","Quintile 1","All","Wales","Male","10","10","20","40","10","15","20","40"
"2016","Quintile 1","All","England","Male","825","790","585","1990","965","875","595","2440"
"2016","Quintile 1","All","Northern Ireland","Male","5","15","5","25","5","15","5","25"
"2016","Quintile 1","All","Wales","Male","15","30","15","60","15","40","20","75"
"2017","Quintile 1","All","England","Male","1455","1120","755","2955","1810","1280","805","3895"
"2017","Quintile 1","All","Northern Ireland","Male","10","10","5","25","10","10","5","30"
"2017","Quintile 1","All","Wales","Male","30","35","35","95","30","45","40","115"
"2018","Quintile 1","All","England","Male","2050","1420","1040","3865","2580","1690","1055","5325"
"2018","Quintile 1","All","Northern Ireland","Male","20","20","15","45","25","20","15","60"
"2018","Quintile 1","All","Wales","Male","60","60","45","150","70","75","45","185"
"2019","Quintile 1","All","England","Male","2470","1530","1050","4195","3210","1830","1115","6155"
"2019","Quintile 1","All","Northern Ireland","Male","20","20","15","50","25","30","15","65"
"2019","Quintile 1","All","Wales","Male","55","150","40","215","65","195","45","305"
"2020","Quintile 1","All","England","Male","1365","2905","2260","5300","1590","3920","2880","8390"
"2020","Quintile 1","All","Northern Ireland","Male","10","30","115","145","10","40","165","215"
"2020","Quintile 1","All","Wales","Male","25","170","195","320","25","240","270","535"
"2021","Quintile 1","All","England","Male","0","1235","240","1430","0","1415","245","1665"
"2021","Quintile 1","All","Northern Ireland","Male","0","15","5","20","0","15","5","20"
"2021","Quintile 1","All","Wales","Male","0","165","25","185","0","210","35","245"
"2022","Quintile 1","All","England","Male","395","1865","580","2640","440","2245","640","3325"
"2022","Quintile 1","All","Northern Ireland","Male","0","15","0","20","0","20","0","20"
"2022","Quintile 1","All","Wales","Male","10","60","40","105","10","70","50","130"
"2023","Quintile 1","All","England","Male","0","1480","495","1900","0","1750","545","2295"
"2023","Quintile 1","All","Northern Ireland","Male","0","5","0","5","0","5","0","5"
"2023","Quintile 1","All","Wales","Male","0","20","10","30","0","20","10","30"
"2013","Quintile 2","All","England","Male","0","130","55","185","0","170","55","230"
"2013","Quintile 2","All","Wales","Male","0","5","15","20","0","5","15","20"
"2014","Quintile 2","All","England","Male","480","365","210","1010","520","420","225","1165"
"2014","Quintile 2","All","Northern Ireland","Male","5","5","0","5","5","5","0","5"
"2014","Quintile 2","All","Wales","Male","10","15","20","50","15","15","25","55"
"2015","Quintile 2","All","England","Male","790","595","715","1925","895","655","720","2265"
"2015","Quintile 2","All","Northern Ireland","Male","5","5","5","10","5","5","5","10"
"2015","Quintile 2","All","Wales","Male","15","25","35","75","15","25","45","85"
"2016","Quintile 2","All","England","Male","1260","1185","790","2980","1440","1320","800","3565"
"2016","Quintile 2","All","Northern Ireland","Male","5","10","5","20","5","15","5","20"
"2016","Quintile 2","All","Wales","Male","20","55","45","110","25","65","50","135"
"2017","Quintile 2","All","England","Male","2095","1440","1060","4125","2565","1605","1110","5285"
"2017","Quintile 2","All","Northern Ireland","Male","20","10","10","40","20","10","15","45"
"2017","Quintile 2","All","Wales","Male","50","95","50","185","50","115","60","225"
"2018","Quintile 2","All","England","Male","2860","1895","1455","5355","3555","2230","1480","7265"
"2018","Quintile 2","All","Northern Ireland","Male","25","15","5","45","30","15","5","50"
"2018","Quintile 2","All","Wales","Male","105","95","70","245","120","110","80","310"
"2019","Quintile 2","All","England","Male","3475","2000","1440","5755","4470","2425","1495","8385"
"2019","Quintile 2","All","Northern Ireland","Male","15","10","5","25","20","15","5","40"
"2019","Quintile 2","All","Wales","Male","115","210","50","330","140","270","55","465"
"2020","Quintile 2","All","England","Male","1725","3770","3060","6960","1960","4985","3845","10790"
"2020","Quintile 2","All","Northern Ireland","Male","5","30","95","120","10","35","145","185"
"2020","Quintile 2","All","Wales","Male","35","255","300","475","35","340","415","790"
"2021","Quintile 2","All","England","Male","0","1690","355","1980","0","1975","365","2340"
"2021","Quintile 2","All","Northern Ireland","Male","0","15","0","15","0","15","0","15"
"2021","Quintile 2","All","Wales","Male","0","230","40","250","0","300","50","350"
"2022","Quintile 2","All","England","Male","390","2510","655","3350","420","3070","700","4190"
"2022","Quintile 2","All","Northern Ireland","Male","0","10","0","15","0","15","0","15"
"2022","Quintile 2","All","Wales","Male","10","95","80","175","10","115","95","220"
"2023","Quintile 2","All","England","Male","0","1855","660","2400","0","2175","720","2890"
"2023","Quintile 2","All","Northern Ireland","Male","0","5","5","10","0","5","5","10"
"2023","Quintile 2","All","Wales","Male","0","50","20","65","0","55","25","80"
"2013","Quintile 3","All","England","Male","0","140","75","210","0","165","75","240"
"2013","Quintile 3","All","Northern Ireland","Male","0","0","0","0","0","5","0","5"
"2013","Quintile 3","All","Wales","Male","0","0","20","20","0","0","20","20"
"2014","Quintile 3","All","England","Male","585","490","280","1305","620","535","300","1455"
"2014","Quintile 3","All","Northern Ireland","Male","5","5","5","10","5","10","5","15"
"2014","Quintile 3","All","Wales","Male","15","15","55","85","15","20","75","105"
"2015","Quintile 3","All","England","Male","1020","760","775","2370","1105","840","785","2735"
"2015","Quintile 3","All","Northern Ireland","Male","5","5","10","20","5","5","10","20"
"2015","Quintile 3","All","Wales","Male","20","30","60","105","25","35","80","135"
"2016","Quintile 3","All","England","Male","1510","1280","875","3390","1675","1375","895","3945"
"2016","Quintile 3","All","Northern Ireland","Male","5","15","10","25","5","15","10","25"
"2016","Quintile 3","All","Wales","Male","35","60","50","140","35","70","65","165"
"2017","Quintile 3","All","England","Male","2620","1605","1205","4890","3075","1820","1280","6175"
"2017","Quintile 3","All","Northern Ireland","Male","15","15","20","45","20","15","20","55"
"2017","Quintile 3","All","Wales","Male","55","100","85","225","60","120","105","285"
"2018","Quintile 3","All","England","Male","3680","2035","1635","6330","4500","2320","1670","8490"
"2018","Quintile 3","All","Northern Ireland","Male","45","25","15","80","50","30","15","90"
"2018","Quintile 3","All","Wales","Male","115","100","80","260","150","115","90","355"
"2019","Quintile 3","All","England","Male","4850","2275","1730","7505","6165","2650","1805","10620"
"2019","Quintile 3","All","Northern Ireland","Male","45","15","20","75","50","20","25","90"
"2019","Quintile 3","All","Wales","Male","120","180","55","320","145","245","55","445"
"2020","Quintile 3","All","England","Male","2290","4095","3455","8040","2610","5275","4170","12060"
"2020","Quintile 3","All","Northern Ireland","Male","15","35","130","165","15","50","180","245"
"2020","Quintile 3","All","Wales","Male","35","195","280","440","40","255","390","685"
"2021","Quintile 3","All","England","Male","0","1715","370","2005","0","2000","380","2380"
"2021","Quintile 3","All","Northern Ireland","Male","0","20","0","20","0","25","0","25"
"2021","Quintile 3","All","Wales","Male","0","170","45","200","0","220","60","280"
"2022","Quintile 3","All","England","Male","425","2510","735","3455","455","2995","785","4235"
"2022","Quintile 3","All","Northern Ireland","Male","0","15","5","25","0","20","5","25"
"2022","Quintile 3","All","Wales","Male","10","75","80","155","10","95","100","210"
"2023","Quintile 3","All","England","Male","0","1870","700","2475","0","2125","770","2895"
"2023","Quintile 3","All","Northern Ireland","Male","0","5","0","10","0","5","0","10"
"2023","Quintile 3","All","Wales","Male","0","45","40","85","0","55","45","100"
"2013","Quintile 4","All","England","Male","0","165","90","250","0","195","95","290"
"2013","Quintile 4","All","Northern Ireland","Male","0","0","5","5","0","0","5","10"
"2013","Quintile 4","All","Wales","Male","0","5","20","20","0","5","20","20"
"2014","Quintile 4","All","England","Male","740","565","320","1570","775","610","335","1720"
"2014","Quintile 4","All","Northern Ireland","Male","5","10","5","20","5","10","10","20"
"2014","Quintile 4","All","Wales","Male","15","10","20","40","15","10","20","45"
"2015","Quintile 4","All","England","Male","1300","670","765","2580","1390","735","780","2900"
"2015","Quintile 4","All","Northern Ireland","Male","5","5","10","25","5","5","10","25"
"2015","Quintile 4","All","Wales","Male","15","25","55","95","20","25","70","115"
"2016","Quintile 4","All","England","Male","1830","1385","970","3915","1995","1525","1000","4515"
"2016","Quintile 4","All","Northern Ireland","Male","15","20","5","40","20","25","5","50"
"2016","Quintile 4","All","Wales","Male","40","55","70","155","40","70","85","195"
"2017","Quintile 4","All","England","Male","3190","1805","1305","5710","3640","2040","1365","7045"
"2017","Quintile 4","All","Northern Ireland","Male","20","25","25","65","20","25","25","70"
"2017","Quintile 4","All","Wales","Male","60","80","55","185","65","90","65","225"
"2018","Quintile 4","All","England","Male","4835","2265","1835","7850","5830","2590","1875","10290"
"2018","Quintile 4","All","Northern Ireland","Male","45","45","30","115","50","50","30","135"
"2018","Quintile 4","All","Wales","Male","125","90","70","260","145","95","80","320"
"2019","Quintile 4","All","England","Male","5955","2665","1840","8890","7460","3100","1910","12470"
"2019","Quintile 4","All","Northern Ireland","Male","55","25","15","85","65","25","15","105"
"2019","Quintile 4","All","Wales","Male","140","150","45","295","175","190","45","410"
"2020","Quintile 4","All","England","Male","2870","4865","3935","9635","3200","6205","4805","14210"
"2020","Quintile 4","All","Northern Ireland","Male","20","40","185","230","20","55","245","320"
"2020","Quintile 4","All","Wales","Male","50","155","255","395","55","215","375","640"
"2021","Quintile 4","All","England","Male","0","2100","415","2435","0","2390","435","2825"
"2021","Quintile 4","All","Northern Ireland","Male","0","20","5","25","0","25","5","30"
"2021","Quintile 4","All","Wales","Male","0","145","25","160","0","185","30","215"
"2022","Quintile 4","All","England","Male","445","3255","875","4365","480","3815","920","5215"
"2022","Quintile 4","All","Northern Ireland","Male","5","15","0","25","5","20","0","25"
"2022","Quintile 4","All","Wales","Male","15","55","55","120","15","60","65","140"
"2023","Quintile 4","All","England","Male","0","2250","775","2920","0","2525","845","3375"
"2023","Quintile 4","All","Northern Ireland","Male","0","10","5","15","0","10","5","15"
"2023","Quintile 4","All","Wales","Male","0","40","40","75","0","45","45","90"
"2013","Quintile 5","All","England","Male","0","175","160","330","0","220","165","385"
"2013","Quintile 5","All","Northern Ireland","Male","0","5","0","5","0","5","0","5"
"2013","Quintile 5","All","Wales","Male","0","5","15","25","0","10","15","25"
"2014","Quintile 5","All","England","Male","1305","700","425","2355","1365","735","435","2540"
"2014","Quintile 5","All","Northern Ireland","Male","10","10","10","35","10","15","15","40"
"2014","Quintile 5","All","Wales","Male","30","10","15","55","30","15","15","60"
"2015","Quintile 5","All","England","Male","2390","965","995","4120","2535","1040","1010","4585"
"2015","Quintile 5","All","Northern Ireland","Male","25","20","25","65","25","25","30","80"
"2015","Quintile 5","All","Wales","Male","40","25","35","90","40","25","40","105"
"2016","Quintile 5","All","England","Male","3185","1580","1120","5550","3405","1710","1145","6260"
"2016","Quintile 5","All","Northern Ireland","Male","20","30","10","65","20","35","10","70"
"2016","Quintile 5","All","Wales","Male","60","55","45","150","65","60","50","175"
"2017","Quintile 5","All","England","Male","5120","2100","1420","7960","5790","2370","1490","9655"
"2017","Quintile 5","All","Northern Ireland","Male","45","40","40","115","50","45","40","135"
"2017","Quintile 5","All","Wales","Male","75","75","65","205","85","85","75","240"
"2018","Quintile 5","All","England","Male","7210","2450","2085","10520","8575","2810","2130","13520"
"2018","Quintile 5","All","Northern Ireland","Male","80","75","45","180","90","85","45","220"
"2018","Quintile 5","All","Wales","Male","140","80","60","250","160","90","65","315"
"2019","Quintile 5","All","England","Male","8860","2770","2165","12040","10855","3180","2250","16280"
"2019","Quintile 5","All","Northern Ireland","Male","100","45","25","160","115","55","25","195"
"2019","Quintile 5","All","Wales","Male","180","125","55","320","220","160","55","435"
"2020","Quintile 5","All","England","Male","4335","5465","4435","11830","4790","6755","5340","16880"
"2020","Quintile 5","All","Northern Ireland","Male","25","75","275","340","30","85","375","485"
"2020","Quintile 5","All","Wales","Male","65","165","270","420","65","210","370","645"
"2021","Quintile 5","All","England","Male","0","2340","445","2685","0","2670","460","3130"
"2021","Quintile 5","All","Northern Ireland","Male","0","50","5","55","0","55","5","60"
"2021","Quintile 5","All","Wales","Male","0","160","25","175","0","195","30","225"
"2022","Quintile 5","All","England","Male","465","3030","1110","4385","495","3545","1160","5200"
"2022","Quintile 5","All","Northern Ireland","Male","10","30","5","45","10","35","5","50"
"2022","Quintile 5","All","Wales","Male","10","80","60","140","10","85","70","165"
"2023","Quintile 5","All","England","Male","0","2225","995","3090","0","2540","1080","3620"
"2023","Quintile 5","All","Northern Ireland","Male","0","15","15","30","0","20","15","30"
"2023","Quintile 5","All","Wales","Male","0","35","25","60","0","40","30","70"
"2013","All","All","England","Female","0","840","455","1265","0","1025","460","1485"
"2013","All","All","Northern Ireland","Female","0","10","10","20","0","15","15","25"
"2013","All","All","Wales","Female","0","55","75","135","0","65","75","140"
"2014","All","All","England","Female","3855","3295","1635","8505","4070","3545","1695","9310"
"2014","All","All","Northern Ireland","Female","25","85","25","130","25","90","30","140"
"2014","All","All","Wales","Female","115","95","170","370","115","100","195","410"
"2015","All","All","England","Female","8520","5050","5115","17520","9210","5465","5170","19845"
"2015","All","All","Northern Ireland","Female","60","90","110","255","65","110","115","285"
"2015","All","All","Wales","Female","230","215","245","660","250","235","285","765"
"2016","All","All","England","Female","13310","10300","5905","27065","14545","11255","5990","31790"
"2016","All","All","Northern Ireland","Female","95","130","70","290","100","140","70","315"
"2016","All","All","Wales","Female","310","510","280","1025","320","600","325","1245"
"2017","All","All","England","Female","22185","12365","7925","38250","25695","13780","8220","47700"
"2017","All","All","Northern Ireland","Female","190","145","175","475","210","160","175","545"
"2017","All","All","Wales","Female","545","655","455","1515","575","750","500","1825"
"2018","All","All","England","Female","30635","15470","11020","49430","37930","17635","11205","66775"
"2018","All","All","Northern Ireland","Female","345","230","200","720","395","250","205","845"
"2018","All","All","Wales","Female","965","730","495","1930","1135","850","530","2515"
"2019","All","All","England","Female","36950","16330","10515","54010","47685","19015","10840","77540"
"2019","All","All","Northern Ireland","Female","345","180","135","600","395","210","135","745"
"2019","All","All","Wales","Female","1055","1090","350","2210","1270","1355","360","2990"
"2020","All","All","England","Female","17235","30110","21135","56160","19465","38305","25090","82860"
"2020","All","All","Northern Ireland","Female","110","315","1140","1455","120","370","1495","1985"
"2020","All","All","Wales","Female","265","1365","1715","2820","290","1785","2220","4295"
"2021","All","All","England","Female","0","14145","3035","16420","0","16645","3170","19815"
"2021","All","All","Northern Ireland","Female","0","195","30","215","0","215","35","250"
"2021","All","All","Wales","Female","0","1325","275","1495","0","1700","320","2020"
"2022","All","All","England","Female","2590","19995","4485","25585","2750","24370","4695","31810"
"2022","All","All","Northern Ireland","Female","25","165","40","220","25","195","40","260"
"2022","All","All","Wales","Female","50","655","400","1070","50","800","455","1305"
"2023","All","All","England","Female","0","14290","3995","17530","0","16540","4245","20780"
"2023","All","All","Northern Ireland","Female","0","105","30","130","0","130","30","160"
"2023","All","All","Wales","Female","0","340","200","520","0","410","235","645"
"2013","All","All","England","Male","0","705","420","1100","0","860","425","1290"
"2013","All","All","Northern Ireland","Male","0","10","5","15","0","10","5","20"
"2013","All","All","Wales","Male","0","20","75","95","0","20","75","95"
"2014","All","All","England","Male","3435","2380","1395","6955","3640","2605","1465","7705"
"2014","All","All","Northern Ireland","Male","25","35","20","80","25","40","30","95"
"2014","All","All","Wales","Male","75","60","125","260","80","65","150","290"
"2015","All","All","England","Male","6070","3410","3775","12410","6540","3725","3835","14100"
"2015","All","All","Northern Ireland","Male","40","40","60","135","40","50","60","150"
"2015","All","All","Wales","Male","100","115","205","405","105","120","255","480"
"2016","All","All","England","Male","8615","6230","4345","17845","9485","6815","4445","20745"
"2016","All","All","Northern Ireland","Male","50","90","30","170","55","105","30","190"
"2016","All","All","Wales","Male","170","255","225","620","180","295","270","745"
"2017","All","All","England","Male","14495","8080","5750","25665","16900","9125","6060","32080"
"2017","All","All","Northern Ireland","Male","110","100","100","295","120","110","105","335"
"2017","All","All","Wales","Male","275","390","295","900","295","455","345","1095"
"2018","All","All","England","Male","20645","10080","8050","33945","25055","11660","8215","44930"
"2018","All","All","Northern Ireland","Male","215","185","110","465","240","205","115","560"
"2018","All","All","Wales","Male","545","420","325","1165","650","480","360","1495"
"2019","All","All","England","Male","25625","11255","8235","38420","32190","13195","8580","53965"
"2019","All","All","Northern Ireland","Male","235","120","75","395","275","140","80","500"
