"Year","Qualification group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","1845","1395","0.756","0"
"2012","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","1520","1170","0.772","0"
"2013","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","1305","1050","0.805","0"
"2014","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","1235","975","0.789","0"
"2015","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","1270","1030","0.812","0"
"2016","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","1165","900","0.773","0"
"2017","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","1045","810","0.774","0"
"2018","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","865","685","0.791","0"
"2019","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","905","710","0.785","0"
"2020","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","915","710","0.776","0"
"2021","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","965","785","0.81","0"
"2022","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","970","725","0.747","0"
"2023","A level Only (Without extended project)","18","Wales","Male","All","Main scheme application","990","760","0.767","0"
"2011","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","5","0"," ","0"
"2012","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","260","175","0.669","0"
"2013","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","290","190","0.648","0"
"2014","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","310","200","0.656","0"
"2015","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","425","290","0.681","0"
"2016","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","395","265","0.664","0"
"2017","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","370","245","0.661","0"
"2018","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","405","240","0.6","0"
"2019","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","390","245","0.627","0"
"2020","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","440","295","0.667","0"
"2021","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","430","280","0.653","0"
"2022","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","405","245","0.602","0"
"2023","BTEC Only","18","Northern Ireland","Male","All","Main scheme application","335","190","0.5630000000000001","0"
"2008","BTEC Only","18","England","Male","All","Main scheme application","125","90","0.718","0"
"2009","BTEC Only","18","England","Male","All","Main scheme application","145","105","0.724","0"
"2010","BTEC Only","18","England","Male","All","Main scheme application","205","120","0.601","0"
"2011","BTEC Only","18","England","Male","All","Main scheme application","215","150","0.6880000000000001","0"
"2012","BTEC Only","18","England","Male","All","Main scheme application","10420","7730","0.742","0"
"2013","BTEC Only","18","England","Male","All","Main scheme application","11820","9165","0.775","0"
"2014","BTEC Only","18","England","Male","All","Main scheme application","14165","11040","0.78","0"
"2015","BTEC Only","18","England","Male","All","Main scheme application","14930","11715","0.784","0"
"2016","BTEC Only","18","England","Male","All","Main scheme application","14565","11555","0.793","0"
"2017","BTEC Only","18","England","Male","All","Main scheme application","13870","10995","0.793","0"
"2018","BTEC Only","18","England","Male","All","Main scheme application","12470","9945","0.798","0"
"2019","BTEC Only","18","England","Male","All","Main scheme application","11780","9305","0.79","0"
"2020","BTEC Only","18","England","Male","All","Main scheme application","12825","10375","0.809","0"
"2021","BTEC Only","18","England","Male","All","Main scheme application","14490","11270","0.778","0"
"2022","BTEC Only","18","England","Male","All","Main scheme application","13265","9750","0.735","0"
"2023","BTEC Only","18","England","Male","All","Main scheme application","12505","9120","0.729","0"
"2012","BTEC Only","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2017","BTEC Only","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2019","BTEC Only","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2020","BTEC Only","18","Scotland","Male","All","Main scheme application","5","0"," ","0"
"2022","BTEC Only","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2008","BTEC Only","18","Wales","Male","All","Main scheme application","5","5"," ","0"
"2009","BTEC Only","18","Wales","Male","All","Main scheme application","10","5"," ","0"
"2010","BTEC Only","18","Wales","Male","All","Main scheme application","5","5"," ","0"
"2011","BTEC Only","18","Wales","Male","All","Main scheme application","5","5"," ","0"
"2012","BTEC Only","18","Wales","Male","All","Main scheme application","355","255","0.725","0"
"2013","BTEC Only","18","Wales","Male","All","Main scheme application","345","280","0.81","0"
"2014","BTEC Only","18","Wales","Male","All","Main scheme application","375","290","0.781","0"
"2015","BTEC Only","18","Wales","Male","All","Main scheme application","415","320","0.77","0"
"2016","BTEC Only","18","Wales","Male","All","Main scheme application","435","335","0.771","0"
"2017","BTEC Only","18","Wales","Male","All","Main scheme application","380","290","0.77","0"
"2018","BTEC Only","18","Wales","Male","All","Main scheme application","320","255","0.791","0"
"2019","BTEC Only","18","Wales","Male","All","Main scheme application","245","195","0.804","0"
"2020","BTEC Only","18","Wales","Male","All","Main scheme application","240","200","0.849","0"
"2021","BTEC Only","18","Wales","Male","All","Main scheme application","300","225","0.762","0"
"2022","BTEC Only","18","Wales","Male","All","Main scheme application","300","215","0.728","0"
"2023","BTEC Only","18","Wales","Male","All","Main scheme application","270","190","0.708","0"
"2008","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","5","5"," ","0"
"2009","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","5","5"," ","0"
"2010","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","20","10","0.611","0"
"2011","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","20","10","0.556","0"
"2012","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","355","250","0.707","0"
"2013","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","445","310","0.7010000000000001","0"
"2014","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","550","405","0.741","0"
"2015","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","655","425","0.644","0"
"2016","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","760","520","0.686","0"
"2017","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","770","505","0.657","0"
"2018","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","840","575","0.681","0"
"2019","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","785","550","0.7030000000000001","0"
"2020","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","800","650","0.81","0"
"2021","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","985","770","0.782","0"
"2022","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","950","675","0.711","0"
"2023","A level & BTEC","18","Northern Ireland","Male","All","Main scheme application","895","540","0.6","0"
"2008","A level & BTEC","18","England","Male","All","Main scheme application","140","110","0.783","0"
"2009","A level & BTEC","18","England","Male","All","Main scheme application","320","250","0.784","0"
"2010","A level & BTEC","18","England","Male","All","Main scheme application","425","300","0.7010000000000001","0"
"2011","A level & BTEC","18","England","Male","All","Main scheme application","575","400","0.6930000000000001","0"
"2012","A level & BTEC","18","England","Male","All","Main scheme application","5410","4110","0.76","0"
"2013","A level & BTEC","18","England","Male","All","Main scheme application","6580","5185","0.788","0"
"2014","A level & BTEC","18","England","Male","All","Main scheme application","8460","6665","0.788","0"
"2015","A level & BTEC","18","England","Male","All","Main scheme application","8895","7065","0.794","0"
"2016","A level & BTEC","18","England","Male","All","Main scheme application","8895","7120","0.8","0"
"2017","A level & BTEC","18","England","Male","All","Main scheme application","8305","6675","0.804","0"
"2018","A level & BTEC","18","England","Male","All","Main scheme application","7120","5610","0.788","0"
"2019","A level & BTEC","18","England","Male","All","Main scheme application","7365","5780","0.785","0"
"2020","A level & BTEC","18","England","Male","All","Main scheme application","8575","6775","0.79","0"
"2021","A level & BTEC","18","England","Male","All","Main scheme application","9805","7830","0.798","0"
"2022","A level & BTEC","18","England","Male","All","Main scheme application","9880","7520","0.761","0"
"2023","A level & BTEC","18","England","Male","All","Main scheme application","9125","6740","0.739","0"
"2012","A level & BTEC","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2020","A level & BTEC","18","Scotland","Male","All","Main scheme application","10","5"," ","0"
"2021","A level & BTEC","18","Scotland","Male","All","Main scheme application","10","10"," ","0"
"2022","A level & BTEC","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2023","A level & BTEC","18","Scotland","Male","All","Main scheme application","5","5"," ","0"
"2008","A level & BTEC","18","Wales","Male","All","Main scheme application","5","5"," ","0"
"2009","A level & BTEC","18","Wales","Male","All","Main scheme application","10","10"," ","0"
"2010","A level & BTEC","18","Wales","Male","All","Main scheme application","10","5"," ","0"
"2011","A level & BTEC","18","Wales","Male","All","Main scheme application","20","15","0.762","0"
"2012","A level & BTEC","18","Wales","Male","All","Main scheme application","110","90","0.804","0"
"2013","A level & BTEC","18","Wales","Male","All","Main scheme application","110","85","0.78","0"
"2014","A level & BTEC","18","Wales","Male","All","Main scheme application","170","140","0.808","0"
"2015","A level & BTEC","18","Wales","Male","All","Main scheme application","150","120","0.796","0"
"2016","A level & BTEC","18","Wales","Male","All","Main scheme application","145","115","0.79","0"
"2017","A level & BTEC","18","Wales","Male","All","Main scheme application","130","100","0.748","0"
"2018","A level & BTEC","18","Wales","Male","All","Main scheme application","115","95","0.835","0"
"2019","A level & BTEC","18","Wales","Male","All","Main scheme application","100","80","0.8270000000000001","0"
"2020","A level & BTEC","18","Wales","Male","All","Main scheme application","85","75","0.871","0"
"2021","A level & BTEC","18","Wales","Male","All","Main scheme application","125","100","0.8150000000000001","0"
"2022","A level & BTEC","18","Wales","Male","All","Main scheme application","130","105","0.803","0"
"2023","A level & BTEC","18","Wales","Male","All","Main scheme application","105","80","0.769","0"
"2008","SQA Only","18","England","Male","All","Main scheme application","10","10","1","0"
"2009","SQA Only","18","England","Male","All","Main scheme application","10","10"," ","0"
"2010","SQA Only","18","England","Male","All","Main scheme application","10","5"," ","0"
"2011","SQA Only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2012","SQA Only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2014","SQA Only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2016","SQA Only","18","England","Male","All","Main scheme application","5","0"," ","0"
"2017","SQA Only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2018","SQA Only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2019","SQA Only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2020","SQA Only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2021","SQA Only","18","England","Male","All","Main scheme application","5","0"," ","0"
"2022","SQA Only","18","England","Male","All","Main scheme application","5","0"," ","0"
"2023","SQA Only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2008","SQA Only","18","Scotland","Male","All","Main scheme application","7315","5625","0.769","0"
"2009","SQA Only","18","Scotland","Male","All","Main scheme application","7600","5825","0.767","0"
"2010","SQA Only","18","Scotland","Male","All","Main scheme application","8035","5725","0.712","0"
"2011","SQA Only","18","Scotland","Male","All","Main scheme application","8020","5510","0.687","0"
"2012","SQA Only","18","Scotland","Male","All","Main scheme application","7740","5355","0.6920000000000001","0"
"2013","SQA Only","18","Scotland","Male","All","Main scheme application","7800","5435","0.6970000000000001","0"
"2014","SQA Only","18","Scotland","Male","All","Main scheme application","7795","5480","0.7030000000000001","0"
"2015","SQA Only","18","Scotland","Male","All","Main scheme application","7820","5420","0.6930000000000001","0"
"2016","SQA Only","18","Scotland","Male","All","Main scheme application","7590","5450","0.718","0"
"2017","SQA Only","18","Scotland","Male","All","Main scheme application","7315","5400","0.738","0"
"2018","SQA Only","18","Scotland","Male","All","Main scheme application","7030","5465","0.777","0"
"2019","SQA Only","18","Scotland","Male","All","Main scheme application","6575","5010","0.762","0"
"2020","SQA Only","18","Scotland","Male","All","Main scheme application","6470","5260","0.8130000000000001","0"
"2021","SQA Only","18","Scotland","Male","All","Main scheme application","7490","6125","0.8170000000000001","0"
"2022","SQA Only","18","Scotland","Male","All","Main scheme application","7895","6300","0.798","0"
"2023","SQA Only","18","Scotland","Male","All","Main scheme application","7670","6205","0.809","0"
"2019","IB Only","18","Northern Ireland","Male","All","Main scheme application","5","5"," ","0"
"2022","IB Only","18","Northern Ireland","Male","All","Main scheme application","5","5"," ","0"
"2023","IB Only","18","Northern Ireland","Male","All","Main scheme application","5","0"," ","0"
"2008","IB Only","18","England","Male","All","Main scheme application","575","440","0.762","0"
"2009","IB Only","18","England","Male","All","Main scheme application","830","565","0.685","0"
"2010","IB Only","18","England","Male","All","Main scheme application","1020","680","0.668","0"
"2011","IB Only","18","England","Male","All","Main scheme application","1045","725","0.6910000000000001","0"
"2012","IB Only","18","England","Male","All","Main scheme application","1060","785","0.739","0"
"2013","IB Only","18","England","Male","All","Main scheme application","985","715","0.722","0"
"2014","IB Only","18","England","Male","All","Main scheme application","1060","805","0.758","0"
"2015","IB Only","18","England","Male","All","Main scheme application","955","735","0.77","0"
"2016","IB Only","18","England","Male","All","Main scheme application","955","740","0.771","0"
"2017","IB Only","18","England","Male","All","Main scheme application","1035","790","0.765","0"
"2018","IB Only","18","England","Male","All","Main scheme application","970","725","0.75","0"
"2019","IB Only","18","England","Male","All","Main scheme application","1075","795","0.741","0"
"2020","IB Only","18","England","Male","All","Main scheme application","1120","875","0.778","0"
"2021","IB Only","18","England","Male","All","Main scheme application","1155","955","0.8280000000000001","0"
"2022","IB Only","18","England","Male","All","Main scheme application","1205","960","0.799","0"
"2023","IB Only","18","England","Male","All","Main scheme application","1210","910","0.753","0"
"2008","IB Only","18","Scotland","Male","All","Main scheme application","10","5"," ","0"
"2009","IB Only","18","Scotland","Male","All","Main scheme application","25","15","0.708","0"
"2010","IB Only","18","Scotland","Male","All","Main scheme application","20","15","0.81","0"
"2011","IB Only","18","Scotland","Male","All","Main scheme application","10","10"," ","0"
"2012","IB Only","18","Scotland","Male","All","Main scheme application","25","15","0.68","0"
"2013","IB Only","18","Scotland","Male","All","Main scheme application","20","15","0.636","0"
"2014","IB Only","18","Scotland","Male","All","Main scheme application","20","15","0.895","0"
"2015","IB Only","18","Scotland","Male","All","Main scheme application","25","20","0.667","0"
"2016","IB Only","18","Scotland","Male","All","Main scheme application","20","15","0.778","0"
"2017","IB Only","18","Scotland","Male","All","Main scheme application","35","25","0.788","0"
"2018","IB Only","18","Scotland","Male","All","Main scheme application","20","15","0.773","0"
"2019","IB Only","18","Scotland","Male","All","Main scheme application","30","20","0.655","0"
"2020","IB Only","18","Scotland","Male","All","Main scheme application","20","20","0.864","0"
"2021","IB Only","18","Scotland","Male","All","Main scheme application","35","30","0.9390000000000001","0"
"2022","IB Only","18","Scotland","Male","All","Main scheme application","25","20","0.6920000000000001","0"
"2023","IB Only","18","Scotland","Male","All","Main scheme application","35","25","0.771","0"
"2008","IB Only","18","Wales","Male","All","Main scheme application","15","10"," ","0"
"2009","IB Only","18","Wales","Male","All","Main scheme application","35","20","0.667","0"
"2010","IB Only","18","Wales","Male","All","Main scheme application","20","15","0.65","0"
"2011","IB Only","18","Wales","Male","All","Main scheme application","25","20","0.72","0"
"2012","IB Only","18","Wales","Male","All","Main scheme application","25","15","0.654","0"
"2013","IB Only","18","Wales","Male","All","Main scheme application","10","10"," ","0"
"2014","IB Only","18","Wales","Male","All","Main scheme application","10","10"," ","0"
"2015","IB Only","18","Wales","Male","All","Main scheme application","15","5"," ","0"
"2016","IB Only","18","Wales","Male","All","Main scheme application","5","5"," ","0"
"2017","IB Only","18","Wales","Male","All","Main scheme application","10","10"," ","0"
"2018","IB Only","18","Wales","Male","All","Main scheme application","10","5"," ","0"
"2019","IB Only","18","Wales","Male","All","Main scheme application","10","5"," ","0"
"2020","IB Only","18","Wales","Male","All","Main scheme application","10","5"," ","0"
"2021","IB Only","18","Wales","Male","All","Main scheme application","5","5"," ","0"
"2022","IB Only","18","Wales","Male","All","Main scheme application","10","10"," ","0"
"2023","IB Only","18","Wales","Male","All","Main scheme application","15","10","0.75","0"
"2012","A level & WB","18","England","Male","All","Main scheme application","5","5"," ","0"
"2013","A level & WB","18","England","Male","All","Main scheme application","5","5"," ","0"
"2014","A level & WB","18","England","Male","All","Main scheme application","5","5"," ","0"
"2015","A level & WB","18","England","Male","All","Main scheme application","5","5"," ","0"
"2016","A level & WB","18","England","Male","All","Main scheme application","20","15","0.833","0"
"2017","A level & WB","18","England","Male","All","Main scheme application","10","5"," ","0"
"2018","A level & WB","18","England","Male","All","Main scheme application","5","5"," ","0"
"2019","A level & WB","18","England","Male","All","Main scheme application","10","10"," ","0"
"2020","A level & WB","18","England","Male","All","Main scheme application","25","20","0.741","0"
"2021","A level & WB","18","England","Male","All","Main scheme application","20","15","0.789","0"
"2022","A level & WB","18","England","Male","All","Main scheme application","20","15","0.895","0"
"2023","A level & WB","18","England","Male","All","Main scheme application","15","10","0.8","0"
"2008","A level & WB","18","Wales","Male","All","Main scheme application","300","250","0.8310000000000001","0"
"2009","A level & WB","18","Wales","Male","All","Main scheme application","640","540","0.848","0"
"2010","A level & WB","18","Wales","Male","All","Main scheme application","1170","955","0.8160000000000001","0"
"2011","A level & WB","18","Wales","Male","All","Main scheme application","1895","1535","0.81","0"
"2012","A level & WB","18","Wales","Male","All","Main scheme application","1910","1585","0.8290000000000001","0"
"2013","A level & WB","18","Wales","Male","All","Main scheme application","2015","1720","0.853","0"
"2014","A level & WB","18","Wales","Male","All","Main scheme application","2070","1715","0.8300000000000001","0"
"2015","A level & WB","18","Wales","Male","All","Main scheme application","1940","1615","0.8320000000000001","0"
"2016","A level & WB","18","Wales","Male","All","Main scheme application","2030","1720","0.847","0"
"2017","A level & WB","18","Wales","Male","All","Main scheme application","2090","1735","0.8290000000000001","0"
"2018","A level & WB","18","Wales","Male","All","Main scheme application","2060","1730","0.84","0"
"2019","A level & WB","18","Wales","Male","All","Main scheme application","2005","1640","0.8170000000000001","0"
"2020","A level & WB","18","Wales","Male","All","Main scheme application","1995","1640","0.8210000000000001","0"
"2021","A level & WB","18","Wales","Male","All","Main scheme application","2195","1880","0.856","0"
"2022","A level & WB","18","Wales","Male","All","Main scheme application","2310","1875","0.811","0"
"2023","A level & WB","18","Wales","Male","All","Main scheme application","2145","1725","0.804","0"
"2015","Cambridge Technicals only","18","Northern Ireland","Male","All","Main scheme application","5","5"," ","0"
"2016","Cambridge Technicals only","18","Northern Ireland","Male","All","Main scheme application","10","10"," ","0"
"2017","Cambridge Technicals only","18","Northern Ireland","Male","All","Main scheme application","35","25","0.622","0"
"2018","Cambridge Technicals only","18","Northern Ireland","Male","All","Main scheme application","35","15","0.486","0"
"2019","Cambridge Technicals only","18","Northern Ireland","Male","All","Main scheme application","35","20","0.595","0"
"2020","Cambridge Technicals only","18","Northern Ireland","Male","All","Main scheme application","45","30","0.681","0"
"2021","Cambridge Technicals only","18","Northern Ireland","Male","All","Main scheme application","45","25","0.605","0"
"2022","Cambridge Technicals only","18","Northern Ireland","Male","All","Main scheme application","45","25","0.6","0"
"2023","Cambridge Technicals only","18","Northern Ireland","Male","All","Main scheme application","35","20","0.636","0"
"2013","Cambridge Technicals only","18","England","Male","All","Main scheme application","5","0"," ","0"
"2014","Cambridge Technicals only","18","England","Male","All","Main scheme application","160","115","0.716","0"
"2015","Cambridge Technicals only","18","England","Male","All","Main scheme application","190","140","0.738","0"
"2016","Cambridge Technicals only","18","England","Male","All","Main scheme application","335","270","0.8170000000000001","0"
"2017","Cambridge Technicals only","18","England","Male","All","Main scheme application","430","330","0.77","0"
"2018","Cambridge Technicals only","18","England","Male","All","Main scheme application","645","490","0.762","0"
"2019","Cambridge Technicals only","18","England","Male","All","Main scheme application","940","720","0.764","0"
"2020","Cambridge Technicals only","18","England","Male","All","Main scheme application","975","790","0.811","0"
"2021","Cambridge Technicals only","18","England","Male","All","Main scheme application","1175","900","0.764","0"
"2022","Cambridge Technicals only","18","England","Male","All","Main scheme application","1540","1100","0.713","0"
"2023","Cambridge Technicals only","18","England","Male","All","Main scheme application","1520","985","0.647","0"
"2014","Cambridge Technicals only","18","Wales","Male","All","Main scheme application","5","0"," ","0"
"2015","Cambridge Technicals only","18","Wales","Male","All","Main scheme application","5","5"," ","0"
"2017","Cambridge Technicals only","18","Wales","Male","All","Main scheme application","10","10","0.833","0"
"2018","Cambridge Technicals only","18","Wales","Male","All","Main scheme application","10","10","1","0"
"2019","Cambridge Technicals only","18","Wales","Male","All","Main scheme application","10","10"," ","0"
"2020","Cambridge Technicals only","18","Wales","Male","All","Main scheme application","25","20","0.87","0"
"2021","Cambridge Technicals only","18","Wales","Male","All","Main scheme application","5","5"," ","0"
"2022","Cambridge Technicals only","18","Wales","Male","All","Main scheme application","15","10","0.714","0"
"2023","Cambridge Technicals only","18","Wales","Male","All","Main scheme application","15","5"," ","0"
"2013","Access to HE only","18","England","Male","All","Main scheme application","5","0"," ","0"
"2014","Access to HE only","18","England","Male","All","Main scheme application","10","5"," ","0"
"2015","Access to HE only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2016","Access to HE only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2017","Access to HE only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2018","Access to HE only","18","England","Male","All","Main scheme application","5","5"," ","0"
"2019","Access to HE only","18","England","Male","All","Main scheme application","20","10","0.667","0"
"2020","Access to HE only","18","England","Male","All","Main scheme application","10","10"," ","0"
"2021","Access to HE only","18","England","Male","All","Main scheme application","20","15","0.81","0"
"2022","Access to HE only","18","England","Male","All","Main scheme application","25","20","0.783","0"
"2023","Access to HE only","18","England","Male","All","Main scheme application","15","10"," ","0"
"2019","Access to HE only","18","Wales","Male","All","Main scheme application","5","5"," ","0"
"2020","Access to HE only","18","Wales","Male","All","Main scheme application","5","0"," ","0"
"2014","A level & Cambridge Technicals","18","Northern Ireland","Male","All","Main scheme application","15","10","0.706","0"
"2015","A level & Cambridge Technicals","18","Northern Ireland","Male","All","Main scheme application","35","20","0.583","0"
"2016","A level & Cambridge Technicals","18","Northern Ireland","Male","All","Main scheme application","45","30","0.711","0"
"2017","A level & Cambridge Technicals","18","Northern Ireland","Male","All","Main scheme application","50","30","0.667","0"
"2018","A level & Cambridge Technicals","18","Northern Ireland","Male","All","Main scheme application","60","40","0.683","0"
"2019","A level & Cambridge Technicals","18","Northern Ireland","Male","All","Main scheme application","165","110","0.665","0"
"2020","A level & Cambridge Technicals","18","Northern Ireland","Male","All","Main scheme application","225","190","0.841","0"
"2021","A level & Cambridge Technicals","18","Northern Ireland","Male","All","Main scheme application","220","175","0.812","0"
"2022","A level & Cambridge Technicals","18","Northern Ireland","Male","All","Main scheme application","225","170","0.752","0"
"2023","A level & Cambridge Technicals","18","Northern Ireland","Male","All","Main scheme application","230","155","0.6890000000000001","0"
"2013","A level & Cambridge Technicals","18","England","Male","All","Main scheme application","25","15","0.64","0"
"2014","A level & Cambridge Technicals","18","England","Male","All","Main scheme application","590","455","0.773","0"
"2015","A level & Cambridge Technicals","18","England","Male","All","Main scheme application","885","700","0.793","0"
"2016","A level & Cambridge Technicals","18","England","Male","All","Main scheme application","1115","905","0.8130000000000001","0"
"2017","A level & Cambridge Technicals","18","England","Male","All","Main scheme application","1180","950","0.803","0"
"2018","A level & Cambridge Technicals","18","England","Male","All","Main scheme application","1550","1220","0.788","0"
"2019","A level & Cambridge Technicals","18","England","Male","All","Main scheme application","1755","1390","0.791","0"
"2020","A level & Cambridge Technicals","18","England","Male","All","Main scheme application","2025","1590","0.784","0"
"2021","A level & Cambridge Technicals","18","England","Male","All","Main scheme application","2150","1700","0.79","0"
"2022","A level & Cambridge Technicals","18","England","Male","All","Main scheme application","2665","1995","0.748","0"
"2023","A level & Cambridge Technicals","18","England","Male","All","Main scheme application","2700","1985","0.735","0"
"2014","A level & Cambridge Technicals","18","Wales","Male","All","Main scheme application","10","10"," ","0"
"2015","A level & Cambridge Technicals","18","Wales","Male","All","Main scheme application","15","10","0.923","0"
"2016","A level & Cambridge Technicals","18","Wales","Male","All","Main scheme application","15","15","0.929","0"
"2017","A level & Cambridge Technicals","18","Wales","Male","All","Main scheme application","10","10"," ","0"
"2018","A level & Cambridge Technicals","18","Wales","Male","All","Main scheme application","10","10"," ","0"
"2019","A level & Cambridge Technicals","18","Wales","Male","All","Main scheme application","5","5"," ","0"
"2020","A level & Cambridge Technicals","18","Wales","Male","All","Main scheme application","15","15","0.875","0"
"2021","A level & Cambridge Technicals","18","Wales","Male","All","Main scheme application","15","10"," ","0"
"2022","A level & Cambridge Technicals","18","Wales","Male","All","Main scheme application","20","20","0.909","0"
"2023","A level & Cambridge Technicals","18","Wales","Male","All","Main scheme application","25","25","0.92","0"
"2008","Other","18","Northern Ireland","Male","All","Main scheme application","1080","680","0.629","0"
"2009","Other","18","Northern Ireland","Male","All","Main scheme application","1250","775","0.617","0"
"2010","Other","18","Northern Ireland","Male","All","Main scheme application","1435","795","0.554","0"
"2011","Other","18","Northern Ireland","Male","All","Main scheme application","1385","700","0.506","0"
"2012","Other","18","Northern Ireland","Male","All","Main scheme application","695","280","0.404","0"
"2013","Other","18","Northern Ireland","Male","All","Main scheme application","655","280","0.428","0"
"2014","Other","18","Northern Ireland","Male","All","Main scheme application","620","260","0.41600000000000004","0"
"2015","Other","18","Northern Ireland","Male","All","Main scheme application","480","175","0.369","0"
"2016","Other","18","Northern Ireland","Male","All","Main scheme application","480","205","0.425","0"
"2017","Other","18","Northern Ireland","Male","All","Main scheme application","430","145","0.341","0"
"2018","Other","18","Northern Ireland","Male","All","Main scheme application","470","210","0.443","0"
"2019","Other","18","Northern Ireland","Male","All","Main scheme application","545","270","0.5","0"
"2020","Other","18","Northern Ireland","Male","All","Main scheme application","470","345","0.731","0"
"2021","Other","18","Northern Ireland","Male","All","Main scheme application","540","345","0.64","0"
"2022","Other","18","Northern Ireland","Male","All","Main scheme application","610","310","0.511","0"
"2023","Other","18","Northern Ireland","Male","All","Main scheme application","575","235","0.40700000000000003","0"
"2008","Other","18","England","Male","All","Main scheme application","20915","14310","0.684","0"
"2009","Other","18","England","Male","All","Main scheme application","23690","15885","0.671","0"
"2010","Other","18","England","Male","All","Main scheme application","27185","16540","0.609","0"
"2011","Other","18","England","Male","All","Main scheme application","27010","16885","0.625","0"
"2012","Other","18","England","Male","All","Main scheme application","11405","5995","0.526","0"
"2013","Other","18","England","Male","All","Main scheme application","11315","6670","0.59","0"
"2014","Other","18","England","Male","All","Main scheme application","10995","6445","0.586","0"
"2015","Other","18","England","Male","All","Main scheme application","11060","6580","0.595","0"
"2016","Other","18","England","Male","All","Main scheme application","11695","7345","0.628","0"
"2017","Other","18","England","Male","All","Main scheme application","12460","7750","0.622","0"
"2018","Other","18","England","Male","All","Main scheme application","13845","8865","0.64","0"
"2019","Other","18","England","Male","All","Main scheme application","15480","9990","0.645","0"
"2020","Other","18","England","Male","All","Main scheme application","13100","9760","0.745","0"
"2021","Other","18","England","Male","All","Main scheme application","14940","10775","0.721","0"
"2022","Other","18","England","Male","All","Main scheme application","19590","12740","0.65","0"
"2023","Other","18","England","Male","All","Main scheme application","20285","12115","0.597","0"
"2008","Other","18","Scotland","Male","All","Main scheme application","275","175","0.628","0"
"2009","Other","18","Scotland","Male","All","Main scheme application","260","170","0.658","0"
"2010","Other","18","Scotland","Male","All","Main scheme application","245","135","0.551","0"
"2011","Other","18","Scotland","Male","All","Main scheme application","205","125","0.616","0"
"2012","Other","18","Scotland","Male","All","Main scheme application","175","100","0.557","0"
"2013","Other","18","Scotland","Male","All","Main scheme application","185","115","0.613","0"
"2014","Other","18","Scotland","Male","All","Main scheme application","120","60","0.521","0"
