"Year","Qualification group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","BTEC Only","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","BTEC Only","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","BTEC Only","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","BTEC Only","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","BTEC Only","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","BTEC Only","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2019","BTEC Only","18","Wales","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2020","BTEC Only","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2019","A level & BTEC","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","A level & BTEC","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","A level & BTEC","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2008","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.9570000000000001","5"
"2013","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","1","0"
"2014","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","35","35","0.973","5"
"2015","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","60","60","0.984","0"
"2016","A level & BTEC","18","England","Female","Not main scheme applicant","Not main scheme application","40","40","0.9510000000000001","5"
