"Year","Predicted A level points","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","3 point(s)","All","All","Female","50","25","0.54"
"2020","3 point(s)","All","All","Female","35","20","0.5710000000000001"
"2021","3 point(s)","All","All","Female","70","40","0.586"
"2022","3 point(s)","All","All","Female","100","65","0.65"
"2023","3 point(s)","All","All","Female","70","45","0.657"
"2010","4 point(s)","All","All","Female","295","160","0.549"
"2011","4 point(s)","All","All","Female","245","110","0.441"
"2012","4 point(s)","All","All","Female","110","50","0.445"
"2013","4 point(s)","All","All","Female","100","55","0.55"
"2014","4 point(s)","All","All","Female","85","45","0.541"
"2015","4 point(s)","All","All","Female","90","40","0.444"
"2016","4 point(s)","All","All","Female","35","15","0.4"
"2017","4 point(s)","All","All","Female","65","35","0.554"
"2018","4 point(s)","All","All","Female","130","90","0.685"
"2019","4 point(s)","All","All","Female","125","75","0.592"
"2020","4 point(s)","All","All","Female","145","85","0.5720000000000001"
"2021","4 point(s)","All","All","Female","195","135","0.7030000000000001"
"2022","4 point(s)","All","All","Female","180","110","0.611"
"2023","4 point(s)","All","All","Female","190","110","0.584"
"2010","5 point(s)","All","All","Female","1205","635","0.529"
"2011","5 point(s)","All","All","Female","885","350","0.394"
"2012","5 point(s)","All","All","Female","545","235","0.431"
"2013","5 point(s)","All","All","Female","335","200","0.6"
"2014","5 point(s)","All","All","Female","290","160","0.552"
"2015","5 point(s)","All","All","Female","245","145","0.588"
"2016","5 point(s)","All","All","Female","265","175","0.66"
"2017","5 point(s)","All","All","Female","300","165","0.543"
"2018","5 point(s)","All","All","Female","330","220","0.667"
"2019","5 point(s)","All","All","Female","395","255","0.646"
"2020","5 point(s)","All","All","Female","320","230","0.722"
"2021","5 point(s)","All","All","Female","365","260","0.718"
"2022","5 point(s)","All","All","Female","510","325","0.635"
"2023","5 point(s)","All","All","Female","495","330","0.665"
"2010","6 point(s)","All","All","Female","3415","1865","0.546"
"2011","6 point(s)","All","All","Female","2600","1210","0.465"
"2012","6 point(s)","All","All","Female","1820","935","0.513"
"2013","6 point(s)","All","All","Female","1490","860","0.578"
"2014","6 point(s)","All","All","Female","1150","680","0.593"
"2015","6 point(s)","All","All","Female","1015","620","0.609"
"2016","6 point(s)","All","All","Female","855","555","0.647"
"2017","6 point(s)","All","All","Female","1140","690","0.604"
"2018","6 point(s)","All","All","Female","960","670","0.6990000000000001"
"2019","6 point(s)","All","All","Female","1080","725","0.67"
"2020","6 point(s)","All","All","Female","895","665","0.744"
"2021","6 point(s)","All","All","Female","1070","775","0.724"
"2022","6 point(s)","All","All","Female","1410","985","0.6970000000000001"
"2023","6 point(s)","All","All","Female","1240","875","0.705"
"2010","7 point(s)","All","All","Female","8165","4940","0.605"
"2011","7 point(s)","All","All","Female","6435","3405","0.529"
"2012","7 point(s)","All","All","Female","4275","2195","0.513"
"2013","7 point(s)","All","All","Female","3615","2250","0.622"
"2014","7 point(s)","All","All","Female","3100","1975","0.637"
"2015","7 point(s)","All","All","Female","3180","2090","0.657"
"2016","7 point(s)","All","All","Female","2695","1725","0.64"
"2017","7 point(s)","All","All","Female","2600","1765","0.679"
"2018","7 point(s)","All","All","Female","2400","1715","0.714"
"2019","7 point(s)","All","All","Female","2270","1665","0.733"
"2020","7 point(s)","All","All","Female","2170","1605","0.74"
"2021","7 point(s)","All","All","Female","2325","1795","0.772"
"2022","7 point(s)","All","All","Female","2940","2190","0.745"
"2023","7 point(s)","All","All","Female","2775","2025","0.73"
"2010","8 point(s)","All","All","Female","15725","10035","0.638"
"2011","8 point(s)","All","All","Female","13320","7630","0.5730000000000001"
"2012","8 point(s)","All","All","Female","10500","6065","0.578"
"2013","8 point(s)","All","All","Female","8570","5610","0.654"
"2014","8 point(s)","All","All","Female","7970","5470","0.687"
"2015","8 point(s)","All","All","Female","6930","4765","0.6880000000000001"
"2016","8 point(s)","All","All","Female","6965","4805","0.6900000000000001"
"2017","8 point(s)","All","All","Female","6220","4445","0.714"
"2018","8 point(s)","All","All","Female","5565","4085","0.734"
"2019","8 point(s)","All","All","Female","4615","3540","0.767"
"2020","8 point(s)","All","All","Female","4760","3615","0.759"
"2021","8 point(s)","All","All","Female","4955","3755","0.757"
"2022","8 point(s)","All","All","Female","5565","4255","0.765"
"2023","8 point(s)","All","All","Female","4795","3610","0.753"
"2010","9 point(s)","All","All","Female","31800","21505","0.676"
"2011","9 point(s)","All","All","Female","29360","18065","0.615"
"2012","9 point(s)","All","All","Female","23870","14815","0.621"
"2013","9 point(s)","All","All","Female","20765","14330","0.6900000000000001"
"2014","9 point(s)","All","All","Female","19615","14075","0.718"
"2015","9 point(s)","All","All","Female","18965","14060","0.741"
"2016","9 point(s)","All","All","Female","17530","13080","0.746"
"2017","9 point(s)","All","All","Female","16960","12840","0.757"
"2018","9 point(s)","All","All","Female","15235","11905","0.781"
"2019","9 point(s)","All","All","Female","13880","10880","0.784"
"2020","9 point(s)","All","All","Female","12595","9955","0.791"
"2021","9 point(s)","All","All","Female","13745","10840","0.789"
"2022","9 point(s)","All","All","Female","13990","10880","0.778"
"2023","9 point(s)","All","All","Female","11865","9285","0.783"
"2010","10 point(s)","All","All","Female","41180","28970","0.704"
"2011","10 point(s)","All","All","Female","39680","26345","0.664"
"2012","10 point(s)","All","All","Female","36300","24420","0.673"
"2013","10 point(s)","All","All","Female","32690","23705","0.725"
"2014","10 point(s)","All","All","Female","31590","23490","0.744"
"2015","10 point(s)","All","All","Female","32035","24505","0.765"
"2016","10 point(s)","All","All","Female","30165","22935","0.76"
"2017","10 point(s)","All","All","Female","28990","22545","0.778"
"2018","10 point(s)","All","All","Female","25115","19835","0.79"
"2019","10 point(s)","All","All","Female","22115","17635","0.797"
"2020","10 point(s)","All","All","Female","21790","17630","0.809"
"2021","10 point(s)","All","All","Female","22715","18405","0.81"
"2022","10 point(s)","All","All","Female","22670","17920","0.791"
"2023","10 point(s)","All","All","Female","20575","16395","0.797"
"2010","11 point(s)","All","All","Female","49250","35885","0.729"
"2011","11 point(s)","All","All","Female","50710","35090","0.6920000000000001"
"2012","11 point(s)","All","All","Female","46505","33160","0.713"
"2013","11 point(s)","All","All","Female","45740","34565","0.756"
"2014","11 point(s)","All","All","Female","45105","34945","0.775"
"2015","11 point(s)","All","All","Female","47780","37355","0.782"
"2016","11 point(s)","All","All","Female","46085","36310","0.788"
"2017","11 point(s)","All","All","Female","44690","35625","0.797"
"2018","11 point(s)","All","All","Female","41210","33455","0.812"
"2019","11 point(s)","All","All","Female","36710","30135","0.8210000000000001"
"2020","11 point(s)","All","All","Female","35045","28785","0.8210000000000001"
"2021","11 point(s)","All","All","Female","36620","30155","0.8230000000000001"
"2022","11 point(s)","All","All","Female","35300","28270","0.801"
"2023","11 point(s)","All","All","Female","33075","26885","0.8130000000000001"
"2010","12 point(s)","All","All","Female","61905","46790","0.756"
"2011","12 point(s)","All","All","Female","62540","45980","0.735"
"2012","12 point(s)","All","All","Female","60530","45340","0.749"
"2013","12 point(s)","All","All","Female","61320","48330","0.788"
"2014","12 point(s)","All","All","Female","60015","47900","0.798"
"2015","12 point(s)","All","All","Female","62335","50460","0.809"
"2016","12 point(s)","All","All","Female","62320","51080","0.8200000000000001"
"2017","12 point(s)","All","All","Female","62605","51610","0.8240000000000001"
"2018","12 point(s)","All","All","Female","59755","49355","0.8260000000000001"
"2019","12 point(s)","All","All","Female","55190","45995","0.833"
"2020","12 point(s)","All","All","Female","53335","44755","0.839"
"2021","12 point(s)","All","All","Female","56540","47120","0.833"
"2022","12 point(s)","All","All","Female","51455","41075","0.798"
"2023","12 point(s)","All","All","Female","48260","39560","0.8200000000000001"
"2010","13 point(s)","All","All","Female","63450","49335","0.778"
"2011","13 point(s)","All","All","Female","64715","49980","0.772"
"2012","13 point(s)","All","All","Female","64005","50760","0.793"
"2013","13 point(s)","All","All","Female","67205","55395","0.8240000000000001"
"2014","13 point(s)","All","All","Female","68295","57075","0.836"
"2015","13 point(s)","All","All","Female","72750","60825","0.836"
"2016","13 point(s)","All","All","Female","73860","62245","0.843"
"2017","13 point(s)","All","All","Female","73340","62485","0.852"
"2018","13 point(s)","All","All","Female","68495","58780","0.858"
"2019","13 point(s)","All","All","Female","65500","56320","0.86"
"2020","13 point(s)","All","All","Female","63475","54645","0.861"
"2021","13 point(s)","All","All","Female","66370","56280","0.848"
"2022","13 point(s)","All","All","Female","61670","49390","0.801"
"2023","13 point(s)","All","All","Female","60250","49385","0.8200000000000001"
"2010","14 point(s)","All","All","Female","62445","48165","0.771"
"2011","14 point(s)","All","All","Female","63140","49205","0.779"
"2012","14 point(s)","All","All","Female","64485","53390","0.8280000000000001"
"2013","14 point(s)","All","All","Female","66280","56055","0.846"
"2014","14 point(s)","All","All","Female","68290","58610","0.858"
"2015","14 point(s)","All","All","Female","72510","62725","0.865"
"2016","14 point(s)","All","All","Female","74640","64880","0.869"
"2017","14 point(s)","All","All","Female","75520","65915","0.873"
"2018","14 point(s)","All","All","Female","74360","65020","0.874"
"2019","14 point(s)","All","All","Female","70330","61650","0.877"
"2020","14 point(s)","All","All","Female","69185","60755","0.878"
"2021","14 point(s)","All","All","Female","71745","61105","0.852"
"2022","14 point(s)","All","All","Female","71220","56225","0.789"
"2023","14 point(s)","All","All","Female","69630","57305","0.8230000000000001"
"2010","15 point(s)","All","All","Female","80040","57605","0.72"
"2011","15 point(s)","All","All","Female","73660","53840","0.731"
"2012","15 point(s)","All","All","Female","69755","54290","0.778"
"2013","15 point(s)","All","All","Female","70730","56345","0.797"
"2014","15 point(s)","All","All","Female","69595","56150","0.807"
"2015","15 point(s)","All","All","Female","70060","58140","0.8300000000000001"
"2016","15 point(s)","All","All","Female","71125","59140","0.8310000000000001"
"2017","15 point(s)","All","All","Female","75160","63330","0.843"
"2018","15 point(s)","All","All","Female","75750","63230","0.835"
"2019","15 point(s)","All","All","Female","75345","62520","0.8300000000000001"
"2020","15 point(s)","All","All","Female","76500","64125","0.838"
"2021","15 point(s)","All","All","Female","81960","65865","0.804"
"2022","15 point(s)","All","All","Female","82205","60695","0.738"
"2023","15 point(s)","All","All","Female","81370","63465","0.78"
"2010","16 point(s)","All","All","Female","28425","19310","0.679"
"2011","16 point(s)","All","All","Female","36970","25835","0.6990000000000001"
"2012","16 point(s)","All","All","Female","40280","29960","0.744"
"2013","16 point(s)","All","All","Female","42405","32010","0.755"
"2014","16 point(s)","All","All","Female","42815","33060","0.772"
"2015","16 point(s)","All","All","Female","44685","35625","0.797"
"2016","16 point(s)","All","All","Female","45475","36565","0.804"
"2017","16 point(s)","All","All","Female","46875","38045","0.812"
"2018","16 point(s)","All","All","Female","47040","37715","0.802"
"2019","16 point(s)","All","All","Female","51920","41585","0.801"
"2020","16 point(s)","All","All","Female","54390","43700","0.803"
"2021","16 point(s)","All","All","Female","59975","45955","0.766"
"2022","16 point(s)","All","All","Female","68410","47590","0.6960000000000001"
"2023","16 point(s)","All","All","Female","71615","52400","0.732"
"2010","17 point(s)","All","All","Female","17740","11805","0.665"
"2011","17 point(s)","All","All","Female","21420","14680","0.685"
"2012","17 point(s)","All","All","Female","24690","17980","0.728"
"2013","17 point(s)","All","All","Female","24820","18285","0.737"
"2014","17 point(s)","All","All","Female","25100","18940","0.755"
"2015","17 point(s)","All","All","Female","26925","21000","0.78"
"2016","17 point(s)","All","All","Female","27285","21390","0.784"
"2017","17 point(s)","All","All","Female","27965","22215","0.794"
"2018","17 point(s)","All","All","Female","29000","23015","0.794"
"2019","17 point(s)","All","All","Female","33040","26170","0.792"
"2020","17 point(s)","All","All","Female","35065","27730","0.791"
"2021","17 point(s)","All","All","Female","40870","30820","0.754"
"2022","17 point(s)","All","All","Female","48855","33525","0.686"
"2023","17 point(s)","All","All","Female","53470","38370","0.718"
"2010","18 point(s)","All","All","Female","17180","12265","0.714"
"2011","18 point(s)","All","All","Female","21080","14965","0.71"
"2012","18 point(s)","All","All","Female","22855","16825","0.736"
"2013","18 point(s)","All","All","Female","21865","16445","0.752"
"2014","18 point(s)","All","All","Female","21570","16715","0.775"
"2015","18 point(s)","All","All","Female","23210","18390","0.792"
"2016","18 point(s)","All","All","Female","23455","18780","0.801"
"2017","18 point(s)","All","All","Female","22355","18330","0.8200000000000001"
"2018","18 point(s)","All","All","Female","24220","19675","0.812"
"2019","18 point(s)","All","All","Female","28535","23140","0.811"
"2020","18 point(s)","All","All","Female","31645","25540","0.807"
"2021","18 point(s)","All","All","Female","38975","29750","0.763"
"2022","18 point(s)","All","All","Female","53105","37715","0.71"
"2023","18 point(s)","All","All","Female","57595","43060","0.748"
"2013","0 point(s)","All","All","Male","5","5"," "
"2022","0 point(s)","All","All","Male","5","0"," "
"2023","0 point(s)","All","All","Male","5","5"," "
"2018","1 point(s)","All","All","Male","5","0"," "
"2023","1 point(s)","All","All","Male","5","0"," "
"2010","2 point(s)","All","All","Male","10","0"," "
"2013","2 point(s)","All","All","Male","5","0"," "
"2014","2 point(s)","All","All","Male","5","5"," "
"2017","2 point(s)","All","All","Male","5","5"," "
"2018","2 point(s)","All","All","Male","5","5"," "
"2019","2 point(s)","All","All","Male","5","5"," "
"2020","2 point(s)","All","All","Male","5","0"," "
"2021","2 point(s)","All","All","Male","20","15","0.75"
"2022","2 point(s)","All","All","Male","10","5"," "
"2023","2 point(s)","All","All","Male","10","5"," "
"2010","3 point(s)","All","All","Male","175","100","0.583"
"2011","3 point(s)","All","All","Male","110","45","0.427"
"2012","3 point(s)","All","All","Male","45","25","0.578"
"2013","3 point(s)","All","All","Male","25","10","0.48"
"2014","3 point(s)","All","All","Male","15","10"," "
"2015","3 point(s)","All","All","Male","25","10","0.44"
"2016","3 point(s)","All","All","Male","25","15","0.56"
"2017","3 point(s)","All","All","Male","10","5"," "
"2018","3 point(s)","All","All","Male","60","35","0.583"
"2019","3 point(s)","All","All","Male","70","35","0.486"
"2020","3 point(s)","All","All","Male","105","80","0.743"
"2021","3 point(s)","All","All","Male","105","60","0.59"
"2022","3 point(s)","All","All","Male","140","85","0.6"
"2023","3 point(s)","All","All","Male","140","85","0.607"
"2010","4 point(s)","All","All","Male","430","265","0.621"
"2011","4 point(s)","All","All","Male","375","210","0.5650000000000001"
"2012","4 point(s)","All","All","Male","200","110","0.54"
"2013","4 point(s)","All","All","Male","155","90","0.5740000000000001"
"2014","4 point(s)","All","All","Male","125","75","0.6"
"2015","4 point(s)","All","All","Male","95","45","0.47400000000000003"
"2016","4 point(s)","All","All","Male","110","65","0.5730000000000001"
"2017","4 point(s)","All","All","Male","120","60","0.483"
"2018","4 point(s)","All","All","Male","170","100","0.5760000000000001"
"2019","4 point(s)","All","All","Male","290","190","0.652"
"2020","4 point(s)","All","All","Male","210","150","0.714"
"2021","4 point(s)","All","All","Male","350","235","0.669"
"2022","4 point(s)","All","All","Male","370","260","0.7000000000000001"
"2023","4 point(s)","All","All","Male","340","235","0.6940000000000001"
"2010","5 point(s)","All","All","Male","1530","1015","0.662"
"2011","5 point(s)","All","All","Male","1225","660","0.539"
"2012","5 point(s)","All","All","Male","830","475","0.5750000000000001"
"2013","5 point(s)","All","All","Male","630","380","0.606"
"2014","5 point(s)","All","All","Male","525","330","0.63"
"2015","5 point(s)","All","All","Male","445","275","0.618"
"2016","5 point(s)","All","All","Male","345","220","0.641"
"2017","5 point(s)","All","All","Male","470","295","0.623"
"2018","5 point(s)","All","All","Male","510","350","0.686"
"2019","5 point(s)","All","All","Male","605","405","0.673"
"2020","5 point(s)","All","All","Male","615","450","0.728"
"2021","5 point(s)","All","All","Male","780","565","0.726"
"2022","5 point(s)","All","All","Male","855","585","0.685"
"2023","5 point(s)","All","All","Male","755","510","0.675"
"2010","6 point(s)","All","All","Male","4810","3200","0.665"
"2011","6 point(s)","All","All","Male","3765","2145","0.5690000000000001"
"2012","6 point(s)","All","All","Male","2475","1445","0.583"
"2013","6 point(s)","All","All","Male","1830","1210","0.661"
"2014","6 point(s)","All","All","Male","1785","1180","0.661"
"2015","6 point(s)","All","All","Male","1470","995","0.676"
"2016","6 point(s)","All","All","Male","1265","845","0.668"
"2017","6 point(s)","All","All","Male","1350","865","0.641"
"2018","6 point(s)","All","All","Male","1395","985","0.707"
"2019","6 point(s)","All","All","Male","1585","1160","0.732"
"2020","6 point(s)","All","All","Male","1460","1060","0.727"
"2021","6 point(s)","All","All","Male","2025","1520","0.752"
"2022","6 point(s)","All","All","Male","2045","1565","0.764"
"2023","6 point(s)","All","All","Male","1765","1325","0.751"
"2010","7 point(s)","All","All","Male","9050","6440","0.712"
"2011","7 point(s)","All","All","Male","7080","4405","0.622"
"2012","7 point(s)","All","All","Male","5635","3465","0.615"
"2013","7 point(s)","All","All","Male","4545","3195","0.7030000000000001"
"2014","7 point(s)","All","All","Male","4135","2900","0.7010000000000001"
"2015","7 point(s)","All","All","Male","3765","2665","0.708"
"2016","7 point(s)","All","All","Male","3375","2330","0.6900000000000001"
"2017","7 point(s)","All","All","Male","3465","2450","0.707"
"2018","7 point(s)","All","All","Male","3080","2285","0.742"
"2019","7 point(s)","All","All","Male","3160","2290","0.725"
"2020","7 point(s)","All","All","Male","2820","2150","0.763"
"2021","7 point(s)","All","All","Male","3495","2665","0.763"
"2022","7 point(s)","All","All","Male","4190","3255","0.777"
"2023","7 point(s)","All","All","Male","3160","2435","0.771"
"2010","8 point(s)","All","All","Male","15800","11550","0.731"
"2011","8 point(s)","All","All","Male","13580","9165","0.675"
"2012","8 point(s)","All","All","Male","10055","6705","0.667"
"2013","8 point(s)","All","All","Male","9225","6840","0.742"
"2014","8 point(s)","All","All","Male","8505","6310","0.742"
"2015","8 point(s)","All","All","Male","7555","5575","0.738"
"2016","8 point(s)","All","All","Male","7190","5435","0.756"
"2017","8 point(s)","All","All","Male","6915","5055","0.731"
"2018","8 point(s)","All","All","Male","6065","4715","0.777"
"2019","8 point(s)","All","All","Male","5970","4590","0.769"
"2020","8 point(s)","All","All","Male","5470","4285","0.784"
"2021","8 point(s)","All","All","Male","6940","5525","0.796"
"2022","8 point(s)","All","All","Male","7150","5610","0.785"
"2023","8 point(s)","All","All","Male","6015","4745","0.789"
"2010","9 point(s)","All","All","Male","29205","22260","0.762"
"2011","9 point(s)","All","All","Male","26935","19350","0.718"
"2012","9 point(s)","All","All","Male","22185","15630","0.705"
"2013","9 point(s)","All","All","Male","20170","15755","0.781"
"2014","9 point(s)","All","All","Male","19040","14920","0.784"
"2015","9 point(s)","All","All","Male","17505","13775","0.787"
"2016","9 point(s)","All","All","Male","16700","13150","0.787"
"2017","9 point(s)","All","All","Male","15940","12570","0.789"
"2018","9 point(s)","All","All","Male","14445","11555","0.8"
"2019","9 point(s)","All","All","Male","14025","11205","0.799"
"2020","9 point(s)","All","All","Male","13295","10700","0.805"
"2021","9 point(s)","All","All","Male","15620","12725","0.8150000000000001"
"2022","9 point(s)","All","All","Male","15630","12705","0.8130000000000001"
"2023","9 point(s)","All","All","Male","13515","10855","0.803"
"2010","10 point(s)","All","All","Male","34285","26745","0.78"
"2011","10 point(s)","All","All","Male","33405","24710","0.74"
"2012","10 point(s)","All","All","Male","29635","22430","0.757"
"2013","10 point(s)","All","All","Male","26935","21700","0.806"
"2014","10 point(s)","All","All","Male","26840","21780","0.811"
"2015","10 point(s)","All","All","Male","26675","21560","0.808"
"2016","10 point(s)","All","All","Male","25550","20790","0.8140000000000001"
"2017","10 point(s)","All","All","Male","23735","19235","0.81"
"2018","10 point(s)","All","All","Male","22560","18490","0.8200000000000001"
"2019","10 point(s)","All","All","Male","19585","15990","0.8160000000000001"
"2020","10 point(s)","All","All","Male","18855","15495","0.8220000000000001"
"2021","10 point(s)","All","All","Male","22845","19135","0.838"
"2022","10 point(s)","All","All","Male","23455","19235","0.8200000000000001"
"2023","10 point(s)","All","All","Male","20510","16885","0.8230000000000001"
"2010","11 point(s)","All","All","Male","38705","30750","0.794"
"2011","11 point(s)","All","All","Male","39465","30755","0.779"
"2012","11 point(s)","All","All","Male","35130","27660","0.787"
"2013","11 point(s)","All","All","Male","34930","28980","0.8300000000000001"
"2014","11 point(s)","All","All","Male","33745","28420","0.842"
"2015","11 point(s)","All","All","Male","34035","28545","0.839"
"2016","11 point(s)","All","All","Male","34030","28530","0.838"
"2017","11 point(s)","All","All","Male","33225","27665","0.833"
"2018","11 point(s)","All","All","Male","30975","25950","0.838"
"2019","11 point(s)","All","All","Male","28640","23885","0.834"
"2020","11 point(s)","All","All","Male","27450","23090","0.841"
"2021","11 point(s)","All","All","Male","31000","26335","0.849"
"2022","11 point(s)","All","All","Male","31785","26480","0.833"
"2023","11 point(s)","All","All","Male","30120","25355","0.842"
"2010","12 point(s)","All","All","Male","46790","37525","0.802"
"2011","12 point(s)","All","All","Male","46695","37405","0.801"
"2012","12 point(s)","All","All","Male","43080","35185","0.8170000000000001"
"2013","12 point(s)","All","All","Male","43775","37600","0.859"
"2014","12 point(s)","All","All","Male","42730","37050","0.867"
"2015","12 point(s)","All","All","Male","42595","36775","0.863"
"2016","12 point(s)","All","All","Male","43730","37755","0.863"
"2017","12 point(s)","All","All","Male","43750","37690","0.861"
"2018","12 point(s)","All","All","Male","41635","35865","0.861"
"2019","12 point(s)","All","All","Male","41220","35350","0.858"
"2020","12 point(s)","All","All","Male","38650","33150","0.858"
"2021","12 point(s)","All","All","Male","42965","37110","0.864"
"2022","12 point(s)","All","All","Male","42760","35665","0.834"
"2023","12 point(s)","All","All","Male","40345","33995","0.843"
"2010","13 point(s)","All","All","Male","45895","37395","0.8150000000000001"
"2011","13 point(s)","All","All","Male","47935","39225","0.8180000000000001"
"2012","13 point(s)","All","All","Male","44935","38000","0.846"
"2013","13 point(s)","All","All","Male","45910","40070","0.873"
"2014","13 point(s)","All","All","Male","46825","41460","0.885"
"2015","13 point(s)","All","All","Male","49580","43895","0.885"
"2016","13 point(s)","All","All","Male","49520","43980","0.888"
"2017","13 point(s)","All","All","Male","49935","43950","0.88"
"2018","13 point(s)","All","All","Male","47750","42160","0.883"
"2019","13 point(s)","All","All","Male","45925","40410","0.88"
"2020","13 point(s)","All","All","Male","44320","38695","0.873"
"2021","13 point(s)","All","All","Male","46855","40425","0.863"
"2022","13 point(s)","All","All","Male","45545","37815","0.8300000000000001"
"2023","13 point(s)","All","All","Male","45900","38540","0.84"
"2010","14 point(s)","All","All","Male","44080","34620","0.785"
"2011","14 point(s)","All","All","Male","44250","35860","0.81"
"2012","14 point(s)","All","All","Male","44465","38155","0.858"
"2013","14 point(s)","All","All","Male","45565","40050","0.879"
"2014","14 point(s)","All","All","Male","45700","40400","0.884"
"2015","14 point(s)","All","All","Male","46640","41490","0.89"
"2016","14 point(s)","All","All","Male","47255","42155","0.892"
"2017","14 point(s)","All","All","Male","49420","43990","0.89"
"2018","14 point(s)","All","All","Male","48305","42795","0.886"
"2019","14 point(s)","All","All","Male","47760","42440","0.889"
"2020","14 point(s)","All","All","Male","46590","41270","0.886"
"2021","14 point(s)","All","All","Male","47770","41005","0.858"
"2022","14 point(s)","All","All","Male","49890","40085","0.803"
"2023","14 point(s)","All","All","Male","51320","42865","0.835"
"2010","15 point(s)","All","All","Male","57965","41595","0.718"
"2011","15 point(s)","All","All","Male","52430","38440","0.733"
"2012","15 point(s)","All","All","Male","48170","37835","0.785"
"2013","15 point(s)","All","All","Male","49865","40105","0.804"
"2014","15 point(s)","All","All","Male","46710","38280","0.8200000000000001"
"2015","15 point(s)","All","All","Male","46320","38830","0.838"
"2016","15 point(s)","All","All","Male","45790","38345","0.837"
"2017","15 point(s)","All","All","Male","48015","40615","0.846"
"2018","15 point(s)","All","All","Male","48090","40365","0.839"
"2019","15 point(s)","All","All","Male","48825","40690","0.833"
"2020","15 point(s)","All","All","Male","48395","40455","0.836"
"2021","15 point(s)","All","All","Male","52480","42105","0.802"
"2022","15 point(s)","All","All","Male","54515","39935","0.733"
"2023","15 point(s)","All","All","Male","56840","44045","0.775"
"2010","16 point(s)","All","All","Male","23555","16020","0.68"
"2011","16 point(s)","All","All","Male","28930","19835","0.686"
"2012","16 point(s)","All","All","Male","30915","22745","0.736"
"2013","16 point(s)","All","All","Male","32395","24480","0.756"
"2014","16 point(s)","All","All","Male","33775","26190","0.775"
"2015","16 point(s)","All","All","Male","33190","26290","0.792"
"2016","16 point(s)","All","All","Male","34035","27135","0.797"
"2017","16 point(s)","All","All","Male","36030","28880","0.802"
"2018","16 point(s)","All","All","Male","34995","28130","0.804"
"2019","16 point(s)","All","All","Male","37440","29770","0.795"
"2020","16 point(s)","All","All","Male","37965","30340","0.799"
"2021","16 point(s)","All","All","Male","40765","30830","0.756"
"2022","16 point(s)","All","All","Male","45195","30765","0.681"
"2023","16 point(s)","All","All","Male","48175","34660","0.719"
"2010","17 point(s)","All","All","Male","15335","10170","0.663"
"2011","17 point(s)","All","All","Male","18835","12505","0.664"
"2012","17 point(s)","All","All","Male","21375","15175","0.71"
"2013","17 point(s)","All","All","Male","21355","15620","0.731"
"2014","17 point(s)","All","All","Male","22395","16825","0.751"
"2015","17 point(s)","All","All","Male","23190","17685","0.763"
"2016","17 point(s)","All","All","Male","24565","18785","0.765"
"2017","17 point(s)","All","All","Male","25570","19825","0.775"
"2018","17 point(s)","All","All","Male","26535","20355","0.767"
"2019","17 point(s)","All","All","Male","28085","21345","0.76"
"2020","17 point(s)","All","All","Male","29555","22265","0.753"
"2021","17 point(s)","All","All","Male","33035","23585","0.714"
"2022","17 point(s)","All","All","Male","37020","23640","0.639"
"2023","17 point(s)","All","All","Male","41530","28120","0.677"
"2010","18 point(s)","All","All","Male","20440","14560","0.712"
"2011","18 point(s)","All","All","Male","23540","16895","0.718"
"2012","18 point(s)","All","All","Male","26730","19730","0.738"
"2013","18 point(s)","All","All","Male","26595","20095","0.756"
"2014","18 point(s)","All","All","Male","26705","20725","0.776"
"2015","18 point(s)","All","All","Male","29260","22895","0.782"
"2016","18 point(s)","All","All","Male","28670","22595","0.788"
"2017","18 point(s)","All","All","Male","28770","22930","0.797"
"2018","18 point(s)","All","All","Male","30230","23915","0.791"
"2019","18 point(s)","All","All","Male","32380","25580","0.79"
"2020","18 point(s)","All","All","Male","35955","27865","0.775"
"2021","18 point(s)","All","All","Male","40970","30010","0.732"
"2022","18 point(s)","All","All","Male","51645","35260","0.683"
"2023","18 point(s)","All","All","Male","59110","41610","0.704"
"2010","All","All","All","Female","482305","349310","0.724"
"2011","All","All","All","Female","486790","346700","0.712"
"2012","All","All","All","Female","470545","350430","0.745"
"2013","All","All","All","Female","467975","364460","0.779"
"2014","All","All","All","Female","464605","369300","0.795"
"2015","All","All","All","Female","482715","390745","0.809"
"2016","All","All","All","Female","482760","393685","0.8150000000000001"
"2017","All","All","All","Female","484810","400040","0.8250000000000001"
"2018","All","All","All","Female","469605","388790","0.8280000000000001"
"2019","All","All","All","Female","461095","382315","0.8290000000000001"
"2020","All","All","All","Female","461355","383855","0.8320000000000001"
"2021","All","All","All","Female","498505","403060","0.809"
"2022","All","All","All","Female","519590","391205","0.753"
"2023","All","All","All","Female","517275","403115","0.779"
"2010","All","All","All","Male","388065","294215","0.758"
"2011","All","All","All","Male","388555","291620","0.751"
"2012","All","All","All","Male","365845","284765","0.778"
"2013","All","All","All","Male","363920","296185","0.8140000000000001"
"2014","All","All","All","Male","359560","296855","0.8260000000000001"
"2015","All","All","All","Male","362345","301300","0.8320000000000001"
"2016","All","All","All","Male","362150","302125","0.834"
"2017","All","All","All","Male","366725","306080","0.835"
"2018","All","All","All","Male","356805","298050","0.835"
"2019","All","All","All","Male","355585","295340","0.8310000000000001"
"2020","All","All","All","Male","351710","291505","0.8290000000000001"
"2021","All","All","All","Male","388020","313850","0.809"
"2022","All","All","All","Male","412215","312960","0.759"
"2023","All","All","All","Male","419555","326280","0.778"
