"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","UK","Wales","Wales","21 - 24","Female","15","0"," "
"2022","UK","Wales","Wales","21 - 24","Female","1080","580","0.537"
"2023","UK","Wales","Wales","21 - 24","Female","1005","510","0.506"
"2020","International","EU (excluding UK)","Belgium","21 - 24","Female","10","0"," "
"2019","International","EU (excluding UK)","Finland","21 - 24","Female","10","5"," "
"2019","International","EU (excluding UK)","France","21 - 24","Female","50","15","0.32"
"2020","International","EU (excluding UK)","France","21 - 24","Female","50","20","0.44"
"2021","International","EU (excluding UK)","France","21 - 24","Female","40","20","0.47500000000000003"
"2022","International","EU (excluding UK)","France","21 - 24","Female","10","5"," "
"2023","International","EU (excluding UK)","France","21 - 24","Female","10","0"," "
"2019","International","EU (excluding UK)","Germany","21 - 24","Female","5","0"," "
"2020","International","EU (excluding UK)","Germany","21 - 24","Female","20","5"," "
"2021","International","EU (excluding UK)","Germany","21 - 24","Female","10","5"," "
"2022","International","EU (excluding UK)","Germany","21 - 24","Female","10","5"," "
"2019","International","EU (excluding UK)","Ireland","21 - 24","Female","245","30","0.122"
"2020","International","EU (excluding UK)","Ireland","21 - 24","Female","265","45","0.162"
"2021","International","EU (excluding UK)","Ireland","21 - 24","Female","175","20","0.114"
"2022","International","EU (excluding UK)","Ireland","21 - 24","Female","110","20","0.164"
"2023","International","EU (excluding UK)","Ireland","21 - 24","Female","125","30","0.224"
"2019","International","EU (excluding UK)","Italy","21 - 24","Female","15","5"," "
"2020","International","EU (excluding UK)","Italy","21 - 24","Female","5","0"," "
"2021","International","EU (excluding UK)","Italy","21 - 24","Female","10","5"," "
"2020","International","EU (excluding UK)","Netherlands","21 - 24","Female","5","0"," "
"2021","International","EU (excluding UK)","Netherlands","21 - 24","Female","10","0"," "
"2019","International","EU (excluding UK)","Poland","21 - 24","Female","5","0"," "
"2020","International","EU (excluding UK)","Spain","21 - 24","Female","5","0"," "
"2022","International","EU (excluding UK)","Spain","21 - 24","Female","5","0"," "
"2023","International","EU (excluding UK)","Spain","21 - 24","Female","5","5"," "
"2019","International","EU (excluding UK)","Sweden","21 - 24","Female","5","0"," "
"2020","International","EU (excluding UK)","Czech Republic","21 - 24","Female","5","5"," "
"2021","International","Not EU","Jersey","21 - 24","Female","5","0"," "
"2021","International","Not EU","Australia","21 - 24","Female","5","0"," "
"2023","International","Not EU","Bahrain","21 - 24","Female","5","0"," "
"2020","International","Not EU","Canada","21 - 24","Female","20","5"," "
"2021","International","Not EU","Canada","21 - 24","Female","5","0"," "
"2022","International","Not EU","Canada","21 - 24","Female","15","5"," "
"2023","International","Not EU","Canada","21 - 24","Female","15","0"," "
"2020","International","Not EU","China","21 - 24","Female","10","5"," "
"2022","International","Not EU","China","21 - 24","Female","10","5"," "
"2023","International","Not EU","China","21 - 24","Female","5","0"," "
"2021","International","Not EU","Taiwan","21 - 24","Female","5","0"," "
"2020","International","Not EU","Hong Kong","21 - 24","Female","10","0"," "
"2021","International","Not EU","Hong Kong","21 - 24","Female","5","0"," "
