"Year","Achieved SQA advanced higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","9 point(s)","All","Main scheme applicant","All","220","200","0.913","0"
"2019","9 point(s)","All","Main scheme applicant","All","215","200","0.93","0"
"2020","9 point(s)","All","Main scheme applicant","All","215","200","0.926","0"
"2021","9 point(s)","All","Main scheme applicant","All","170","145","0.87","0"
"2022","9 point(s)","All","Main scheme applicant","All","285","255","0.882","0"
"2023","9 point(s)","All","Main scheme applicant","All","310","285","0.922","0"
"2010","10 point(s)","All","Main scheme applicant","All","195","180","0.918","0"
"2011","10 point(s)","All","Main scheme applicant","All","250","225","0.9","0"
"2012","10 point(s)","All","Main scheme applicant","All","235","215","0.923","0"
"2013","10 point(s)","All","Main scheme applicant","All","260","235","0.915","0"
"2014","10 point(s)","All","Main scheme applicant","All","275","245","0.895","0"
"2015","10 point(s)","All","Main scheme applicant","All","305","275","0.908","0"
"2016","10 point(s)","All","Main scheme applicant","All","245","225","0.907","0"
"2017","10 point(s)","All","Main scheme applicant","All","285","260","0.922","0"
"2018","10 point(s)","All","Main scheme applicant","All","275","250","0.909","0"
"2019","10 point(s)","All","Main scheme applicant","All","260","245","0.935","0"
"2020","10 point(s)","All","Main scheme applicant","All","260","230","0.895","0"
"2021","10 point(s)","All","Main scheme applicant","All","290","275","0.9450000000000001","0"
"2022","10 point(s)","All","Main scheme applicant","All","315","285","0.902","0"
"2023","10 point(s)","All","Main scheme applicant","All","375","355","0.9470000000000001","0"
"2010","11 point(s)","All","Main scheme applicant","All","235","215","0.923","0"
"2011","11 point(s)","All","Main scheme applicant","All","260","240","0.916","0"
"2012","11 point(s)","All","Main scheme applicant","All","260","235","0.905","0"
"2013","11 point(s)","All","Main scheme applicant","All","310","285","0.913","0"
"2014","11 point(s)","All","Main scheme applicant","All","290","270","0.9410000000000001","0"
"2015","11 point(s)","All","Main scheme applicant","All","325","295","0.916","0"
"2016","11 point(s)","All","Main scheme applicant","All","325","300","0.917","0"
"2017","11 point(s)","All","Main scheme applicant","All","335","305","0.908","0"
"2018","11 point(s)","All","Main scheme applicant","All","360","330","0.914","0"
"2019","11 point(s)","All","Main scheme applicant","All","315","300","0.9520000000000001","0"
"2020","11 point(s)","All","Main scheme applicant","All","310","280","0.909","0"
"2021","11 point(s)","All","Main scheme applicant","All","380","355","0.932","0"
"2022","11 point(s)","All","Main scheme applicant","All","405","370","0.918","0"
"2023","11 point(s)","All","Main scheme applicant","All","400","380","0.9450000000000001","0"
"2010","12 point(s)","All","Main scheme applicant","All","435","405","0.933","0"
"2011","12 point(s)","All","Main scheme applicant","All","450","425","0.9400000000000001","0"
"2012","12 point(s)","All","Main scheme applicant","All","460","425","0.918","0"
"2013","12 point(s)","All","Main scheme applicant","All","560","520","0.927","0"
"2014","12 point(s)","All","Main scheme applicant","All","525","495","0.9390000000000001","0"
"2015","12 point(s)","All","Main scheme applicant","All","565","530","0.936","0"
"2016","12 point(s)","All","Main scheme applicant","All","660","615","0.932","0"
"2017","12 point(s)","All","Main scheme applicant","All","610","570","0.9380000000000001","0"
"2018","12 point(s)","All","Main scheme applicant","All","645","610","0.9410000000000001","0"
"2019","12 point(s)","All","Main scheme applicant","All","610","580","0.9490000000000001","0"
"2020","12 point(s)","All","Main scheme applicant","All","1020","955","0.936","0"
"2021","12 point(s)","All","Main scheme applicant","All","1260","1160","0.921","0"
"2022","12 point(s)","All","Main scheme applicant","All","855","800","0.937","0"
"2023","12 point(s)","All","Main scheme applicant","All","820","785","0.9540000000000001","0"
"2010","All","All","Main scheme applicant","All","1445","1320","0.915","0"
"2011","All","All","Main scheme applicant","All","1590","1465","0.923","0"
"2012","All","All","Main scheme applicant","All","1580","1425","0.902","0"
"2013","All","All","Main scheme applicant","All","1765","1625","0.921","0"
"2014","All","All","Main scheme applicant","All","1770","1630","0.922","0"
"2015","All","All","Main scheme applicant","All","1885","1735","0.921","0"
"2016","All","All","Main scheme applicant","All","1845","1695","0.918","0"
"2017","All","All","Main scheme applicant","All","1915","1760","0.921","0"
"2018","All","All","Main scheme applicant","All","1955","1810","0.924","0"
"2019","All","All","Main scheme applicant","All","1850","1740","0.9400000000000001","0"
"2020","All","All","Main scheme applicant","All","2150","1985","0.923","0"
"2021","All","All","Main scheme applicant","All","2375","2180","0.918","0"
"2022","All","All","Main scheme applicant","All","2445","2240","0.917","0"
"2023","All","All","Main scheme applicant","All","2580","2435","0.9440000000000001","0"
"2011","12 point(s)","Unknown","All","All","5","5"," ","0"
"2022","4 point(s)","Quintile 1","All","All","5","5"," ","0"
"2022","5 point(s)","Quintile 1","All","All","10","5"," ","0"
"2023","5 point(s)","Quintile 1","All","All","5","5"," ","0"
"2016","6 point(s)","Quintile 1","All","All","5","5"," ","0"
"2017","6 point(s)","Quintile 1","All","All","5","5"," ","0"
"2018","6 point(s)","Quintile 1","All","All","5","5"," ","0"
"2019","6 point(s)","Quintile 1","All","All","5","5"," ","0"
"2020","6 point(s)","Quintile 1","All","All","5","5"," ","0"
"2022","6 point(s)","Quintile 1","All","All","10","10","1","0"
"2023","6 point(s)","Quintile 1","All","All","5","5"," ","0"
"2010","7 point(s)","Quintile 1","All","All","5","5"," ","0"
"2012","7 point(s)","Quintile 1","All","All","10","5"," ","0"
"2015","7 point(s)","Quintile 1","All","All","5","5"," ","0"
