"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","30 - 34","EU (excluding UK)","Female","25","5"," "
"2023","30 - 34","EU (excluding UK)","Female","15","5"," "
"2019","35 and over","EU (excluding UK)","Female","35","10"," "
"2020","35 and over","EU (excluding UK)","Female","35","5"," "
"2021","35 and over","EU (excluding UK)","Female","10","0"," "
"2022","35 and over","EU (excluding UK)","Female","20","5"," "
"2023","35 and over","EU (excluding UK)","Female","15","5"," "
"2019","21 - 24","Northern Ireland","Male","40","5"," "
"2020","21 - 24","Northern Ireland","Male","20","0"," "
"2021","21 - 24","Northern Ireland","Male","65","5"," "
"2022","21 - 24","Northern Ireland","Male","70","25","0.357"
"2023","21 - 24","Northern Ireland","Male","15","5"," "
"2019","25 - 29","Northern Ireland","Male","30","5"," "
"2020","25 - 29","Northern Ireland","Male","20","0"," "
"2021","25 - 29","Northern Ireland","Male","30","5"," "
"2022","25 - 29","Northern Ireland","Male","10","5"," "
"2023","25 - 29","Northern Ireland","Male","10","5"," "
"2020","30 - 34","Northern Ireland","Male","10","0"," "
"2021","30 - 34","Northern Ireland","Male","10","0"," "
"2022","30 - 34","Northern Ireland","Male","10","5"," "
"2023","30 - 34","Northern Ireland","Male","5","0"," "
"2021","35 and over","Northern Ireland","Male","5","5"," "
"2022","35 and over","Northern Ireland","Male","10","5"," "
"2023","35 and over","Northern Ireland","Male","5","0"," "
"2023","18","England","Male","5","0"," "
"2019","21 - 24","England","Male","50","10","0.24"
"2020","21 - 24","England","Male","45","10","0.244"
"2021","21 - 24","England","Male","55","10","0.182"
"2022","21 - 24","England","Male","110","35","0.3"
"2023","21 - 24","England","Male","80","40","0.47500000000000003"
"2019","25 - 29","England","Male","35","10","0.314"
"2020","25 - 29","England","Male","30","5"," "
"2021","25 - 29","England","Male","30","10","0.367"
"2022","25 - 29","England","Male","40","10"," "
"2023","25 - 29","England","Male","30","10","0.333"
"2019","30 - 34","England","Male","10","5"," "
"2020","30 - 34","England","Male","25","10","0.44"
"2021","30 - 34","England","Male","25","0"," "
"2022","30 - 34","England","Male","15","5"," "
"2023","30 - 34","England","Male","20","5"," "
"2019","35 and over","England","Male","10","0"," "
"2020","35 and over","England","Male","10","0"," "
"2021","35 and over","England","Male","15","5"," "
"2022","35 and over","England","Male","5","0"," "
"2023","35 and over","England","Male","10","5"," "
"2019","18","Scotland","Male","5","0"," "
"2020","18","Scotland","Male","5","0"," "
"2021","18","Scotland","Male","5","0"," "
"2022","18","Scotland","Male","5","0"," "
"2023","18","Scotland","Male","10","0"," "
"2022","19","Scotland","Male","5","0"," "
"2021","20","Scotland","Male","5","0"," "
"2022","20","Scotland","Male","5","0"," "
"2023","20","Scotland","Male","10","0"," "
"2019","21 - 24","Scotland","Male","1440","300","0.20800000000000002"
"2020","21 - 24","Scotland","Male","1345","310","0.23"
"2021","21 - 24","Scotland","Male","1900","385","0.203"
"2022","21 - 24","Scotland","Male","1435","315","0.219"
"2023","21 - 24","Scotland","Male","1120","285","0.253"
"2019","25 - 29","Scotland","Male","1290","285","0.219"
"2020","25 - 29","Scotland","Male","1425","325","0.228"
"2021","25 - 29","Scotland","Male","1785","315","0.177"
"2022","25 - 29","Scotland","Male","1295","310","0.23900000000000002"
"2023","25 - 29","Scotland","Male","1040","265","0.255"
"2019","30 - 34","Scotland","Male","600","135","0.223"
"2020","30 - 34","Scotland","Male","615","135","0.216"
"2021","30 - 34","Scotland","Male","725","165","0.228"
"2022","30 - 34","Scotland","Male","670","180","0.27"
"2023","30 - 34","Scotland","Male","415","115","0.272"
"2019","35 and over","Scotland","Male","945","215","0.226"
"2020","35 and over","Scotland","Male","840","220","0.26"
"2021","35 and over","Scotland","Male","990","210","0.21"
"2022","35 and over","Scotland","Male","730","185","0.252"
"2023","35 and over","Scotland","Male","555","145","0.263"
"2022","18","Wales","Male","5","0"," "
"2023","18","Wales","Male","5","0"," "
"2023","20","Wales","Male","5","0"," "
"2021","21 - 24","Wales","Male","5","0"," "
"2022","21 - 24","Wales","Male","365","175","0.47700000000000004"
"2023","21 - 24","Wales","Male","340","180","0.524"
"2019","25 - 29","Wales","Male","5","0"," "
"2020","25 - 29","Wales","Male","10","0"," "
"2022","25 - 29","Wales","Male","175","85","0.48"
"2023","25 - 29","Wales","Male","160","80","0.506"
"2019","30 - 34","Wales","Male","5","0"," "
"2022","30 - 34","Wales","Male","75","35","0.493"
"2023","30 - 34","Wales","Male","45","20","0.489"
"2019","35 and over","Wales","Male","5","0"," "
"2022","35 and over","Wales","Male","65","35","0.554"
"2023","35 and over","Wales","Male","45","25","0.556"
"2019","21 - 24","Not EU","Male","10","0"," "
"2020","21 - 24","Not EU","Male","15","5"," "
"2021","21 - 24","Not EU","Male","5","0"," "
"2022","21 - 24","Not EU","Male","15","0"," "
"2023","21 - 24","Not EU","Male","25","5"," "
"2019","25 - 29","Not EU","Male","5","5"," "
"2020","25 - 29","Not EU","Male","15","5"," "
"2021","25 - 29","Not EU","Male","15","5"," "
"2022","25 - 29","Not EU","Male","60","15","0.233"
"2023","25 - 29","Not EU","Male","25","10"," "
"2019","30 - 34","Not EU","Male","15","0"," "
"2020","30 - 34","Not EU","Male","20","5"," "
"2021","30 - 34","Not EU","Male","5","0"," "
"2022","30 - 34","Not EU","Male","40","10"," "
"2023","30 - 34","Not EU","Male","10","0"," "
"2019","35 and over","Not EU","Male","20","0"," "
"2020","35 and over","Not EU","Male","10","0"," "
"2021","35 and over","Not EU","Male","35","5"," "
"2022","35 and over","Not EU","Male","60","20","0.3"
"2023","35 and over","Not EU","Male","35","5"," "
"2019","21 - 24","EU (excluding UK)","Male","95","15","0.137"
"2020","21 - 24","EU (excluding UK)","Male","95","20","0.211"
"2021","21 - 24","EU (excluding UK)","Male","40","5"," "
"2022","21 - 24","EU (excluding UK)","Male","65","10"," "
"2023","21 - 24","EU (excluding UK)","Male","25","0"," "
"2019","25 - 29","EU (excluding UK)","Male","55","5"," "
"2020","25 - 29","EU (excluding UK)","Male","60","10","0.167"
"2021","25 - 29","EU (excluding UK)","Male","40","10"," "
"2022","25 - 29","EU (excluding UK)","Male","20","5"," "
"2023","25 - 29","EU (excluding UK)","Male","5","0"," "
"2019","30 - 34","EU (excluding UK)","Male","45","10"," "
"2020","30 - 34","EU (excluding UK)","Male","50","15","0.32"
"2021","30 - 34","EU (excluding UK)","Male","20","0"," "
"2022","30 - 34","EU (excluding UK)","Male","10","5"," "
"2023","30 - 34","EU (excluding UK)","Male","10","0"," "
"2019","35 and over","EU (excluding UK)","Male","15","5"," "
"2020","35 and over","EU (excluding UK)","Male","15","5"," "
"2021","35 and over","EU (excluding UK)","Male","25","0"," "
"2022","35 and over","EU (excluding UK)","Male","10","0"," "
"2023","35 and over","EU (excluding UK)","Male","20","0"," "
"2019","All","Northern Ireland","Female","225","40","0.178"
"2020","All","Northern Ireland","Female","165","30","0.194"
"2021","All","Northern Ireland","Female","240","45","0.192"
"2022","All","Northern Ireland","Female","160","40","0.263"
"2023","All","Northern Ireland","Female","125","20","0.16"
"2019","All","England","Female","245","70","0.278"
"2020","All","England","Female","185","55","0.28600000000000003"
"2021","All","England","Female","370","95","0.254"
"2022","All","England","Female","360","120","0.339"
"2023","All","England","Female","245","105","0.437"
