"Year","Applied by deadline","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","All","25 - 29","Wales","Male","Main scheme applicant","Main scheme application","460","265","0.583","0"
"2015","All","25 - 29","Wales","Male","Main scheme applicant","Main scheme application","435","275","0.629","0"
"2016","All","25 - 29","Wales","Male","Main scheme applicant","Main scheme application","395","220","0.555","0"
"2017","All","25 - 29","Wales","Male","Main scheme applicant","Main scheme application","355","215","0.607","0"
"2018","All","25 - 29","Wales","Male","Main scheme applicant","Main scheme application","360","240","0.665","0"
"2019","All","25 - 29","Wales","Male","Main scheme applicant","Main scheme application","335","200","0.596","0"
"2020","All","25 - 29","Wales","Male","Main scheme applicant","Main scheme application","325","205","0.641","0"
"2021","All","25 - 29","Wales","Male","Main scheme applicant","Main scheme application","395","240","0.61","0"
"2022","All","25 - 29","Wales","Male","Main scheme applicant","Main scheme application","390","215","0.554","0"
"2023","All","25 - 29","Wales","Male","Main scheme applicant","Main scheme application","320","200","0.62","0"
"2006","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","135","85","0.622","0"
"2007","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","135","85","0.654","0"
"2008","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","145","75","0.531","0"
"2009","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","175","115","0.638","0"
"2010","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","215","115","0.53","0"
"2011","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","230","115","0.498","0"
"2012","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","230","110","0.48","0"
"2013","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","190","105","0.5640000000000001","0"
"2014","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","200","110","0.55","0"
"2015","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","180","95","0.533","0"
"2016","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","195","120","0.617","0"
"2017","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","165","105","0.64","0"
"2018","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","170","110","0.645","0"
"2019","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","140","95","0.674","0"
"2020","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","175","110","0.621","0"
"2021","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","165","95","0.579","0"
"2022","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","180","105","0.577","0"
"2023","All","30 - 34","Wales","Male","Main scheme applicant","Main scheme application","150","90","0.595","0"
"2006","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","225","115","0.518","0"
"2007","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","220","120","0.55","0"
"2008","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","245","145","0.605","0"
"2009","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","330","200","0.605","0"
"2010","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","340","180","0.524","0"
"2011","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","320","160","0.494","0"
"2012","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","265","150","0.5700000000000001","0"
"2013","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","265","155","0.586","0"
"2014","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","290","160","0.559","0"
"2015","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","255","145","0.5720000000000001","0"
"2016","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","235","110","0.47300000000000003","0"
"2017","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","245","155","0.642","0"
"2018","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","240","155","0.637","0"
"2019","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","220","130","0.6","0"
"2020","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","260","160","0.625","0"
"2021","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","220","110","0.5","0"
"2022","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","260","140","0.538","0"
"2023","All","35 and over","Wales","Male","Main scheme applicant","Main scheme application","200","110","0.535","0"
"2006","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","1160","545","0.47200000000000003","0"
"2007","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","1320","590","0.445","0"
"2008","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","1455","615","0.423","0"
"2009","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","1595","675","0.425","0"
"2010","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","1710","670","0.39","0"
"2011","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","1800","660","0.367","0"
"2012","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","2260","800","0.355","0"
"2013","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","2565","900","0.35000000000000003","0"
"2014","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","2825","1040","0.368","0"
"2015","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","2795","1020","0.364","0"
"2016","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","2785","1000","0.359","0"
"2017","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","3070","1120","0.366","0"
"2018","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","3510","1295","0.369","0"
"2019","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","3510","1285","0.366","0"
"2020","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","4080","1480","0.363","0"
"2021","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","4450","1580","0.355","0"
"2022","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","4930","1620","0.329","0"
"2023","All","17 and under","Not EU","Male","Main scheme applicant","Main scheme application","5105","1570","0.307","0"
"2006","All","18","Not EU","Male","Main scheme applicant","Main scheme application","4995","2770","0.555","0"
"2007","All","18","Not EU","Male","Main scheme applicant","Main scheme application","5560","2970","0.534","0"
"2008","All","18","Not EU","Male","Main scheme applicant","Main scheme application","6165","3130","0.508","0"
"2009","All","18","Not EU","Male","Main scheme applicant","Main scheme application","6595","3265","0.495","0"
"2010","All","18","Not EU","Male","Main scheme applicant","Main scheme application","7335","3470","0.47300000000000003","0"
"2011","All","18","Not EU","Male","Main scheme applicant","Main scheme application","7835","3675","0.46900000000000003","0"
"2012","All","18","Not EU","Male","Main scheme applicant","Main scheme application","8880","3885","0.438","0"
"2013","All","18","Not EU","Male","Main scheme applicant","Main scheme application","9820","4315","0.44","0"
"2014","All","18","Not EU","Male","Main scheme applicant","Main scheme application","10580","4410","0.417","0"
"2015","All","18","Not EU","Male","Main scheme applicant","Main scheme application","11360","4910","0.432","0"
"2016","All","18","Not EU","Male","Main scheme applicant","Main scheme application","11495","5030","0.438","0"
"2017","All","18","Not EU","Male","Main scheme applicant","Main scheme application","12160","5365","0.441","0"
"2018","All","18","Not EU","Male","Main scheme applicant","Main scheme application","13790","6000","0.435","0"
"2019","All","18","Not EU","Male","Main scheme applicant","Main scheme application","15560","6605","0.424","0"
"2020","All","18","Not EU","Male","Main scheme applicant","Main scheme application","17090","7405","0.433","0"
"2021","All","18","Not EU","Male","Main scheme applicant","Main scheme application","20145","8245","0.40900000000000003","0"
"2022","All","18","Not EU","Male","Main scheme applicant","Main scheme application","21515","8570","0.398","0"
"2023","All","18","Not EU","Male","Main scheme applicant","Main scheme application","22205","8525","0.384","0"
"2006","All","19","Not EU","Male","Main scheme applicant","Main scheme application","4700","2675","0.5690000000000001","0"
"2007","All","19","Not EU","Male","Main scheme applicant","Main scheme application","5150","2815","0.547","0"
"2008","All","19","Not EU","Male","Main scheme applicant","Main scheme application","5795","2965","0.512","0"
"2009","All","19","Not EU","Male","Main scheme applicant","Main scheme application","6150","3150","0.512","0"
"2010","All","19","Not EU","Male","Main scheme applicant","Main scheme application","6605","3335","0.505","0"
"2011","All","19","Not EU","Male","Main scheme applicant","Main scheme application","6860","3350","0.488","0"
"2012","All","19","Not EU","Male","Main scheme applicant","Main scheme application","7240","3330","0.46","0"
"2013","All","19","Not EU","Male","Main scheme applicant","Main scheme application","7430","3590","0.483","0"
"2014","All","19","Not EU","Male","Main scheme applicant","Main scheme application","7915","3645","0.461","0"
"2015","All","19","Not EU","Male","Main scheme applicant","Main scheme application","7930","3665","0.462","0"
"2016","All","19","Not EU","Male","Main scheme applicant","Main scheme application","8005","3675","0.459","0"
"2017","All","19","Not EU","Male","Main scheme applicant","Main scheme application","8130","3895","0.47900000000000004","0"
"2018","All","19","Not EU","Male","Main scheme applicant","Main scheme application","8170","3830","0.46900000000000003","0"
"2019","All","19","Not EU","Male","Main scheme applicant","Main scheme application","9285","4275","0.461","0"
"2020","All","19","Not EU","Male","Main scheme applicant","Main scheme application","10170","4815","0.47300000000000003","0"
"2021","All","19","Not EU","Male","Main scheme applicant","Main scheme application","10975","4955","0.451","0"
"2022","All","19","Not EU","Male","Main scheme applicant","Main scheme application","11215","5030","0.449","0"
"2023","All","19","Not EU","Male","Main scheme applicant","Main scheme application","12035","4970","0.41300000000000003","0"
"2006","All","20","Not EU","Male","Main scheme applicant","Main scheme application","2915","1575","0.541","0"
"2007","All","20","Not EU","Male","Main scheme applicant","Main scheme application","3140","1590","0.507","0"
"2008","All","20","Not EU","Male","Main scheme applicant","Main scheme application","3560","1810","0.508","0"
"2009","All","20","Not EU","Male","Main scheme applicant","Main scheme application","3850","1905","0.495","0"
"2010","All","20","Not EU","Male","Main scheme applicant","Main scheme application","4145","2075","0.501","0"
"2011","All","20","Not EU","Male","Main scheme applicant","Main scheme application","4150","2035","0.491","0"
"2012","All","20","Not EU","Male","Main scheme applicant","Main scheme application","4395","2090","0.47500000000000003","0"
"2013","All","20","Not EU","Male","Main scheme applicant","Main scheme application","4555","2215","0.486","0"
"2014","All","20","Not EU","Male","Main scheme applicant","Main scheme application","4640","2175","0.46900000000000003","0"
"2015","All","20","Not EU","Male","Main scheme applicant","Main scheme application","4535","2075","0.458","0"
"2016","All","20","Not EU","Male","Main scheme applicant","Main scheme application","4370","2070","0.47300000000000003","0"
"2017","All","20","Not EU","Male","Main scheme applicant","Main scheme application","4285","2090","0.488","0"
"2018","All","20","Not EU","Male","Main scheme applicant","Main scheme application","4080","1855","0.454","0"
"2019","All","20","Not EU","Male","Main scheme applicant","Main scheme application","4100","1870","0.456","0"
"2020","All","20","Not EU","Male","Main scheme applicant","Main scheme application","4625","2195","0.47500000000000003","0"
"2021","All","20","Not EU","Male","Main scheme applicant","Main scheme application","5140","2530","0.492","0"
"2022","All","20","Not EU","Male","Main scheme applicant","Main scheme application","5665","2690","0.47500000000000003","0"
"2023","All","20","Not EU","Male","Main scheme applicant","Main scheme application","5980","2600","0.435","0"
"2006","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","4640","2330","0.502","0"
"2007","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","4525","2280","0.504","0"
"2008","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","4820","2280","0.47300000000000003","0"
"2009","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","4970","2260","0.455","0"
"2010","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","5345","2335","0.437","0"
"2011","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","5435","2395","0.44","0"
"2012","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","5610","2355","0.419","0"
"2013","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","5375","2355","0.438","0"
"2014","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","5120","2145","0.419","0"
"2015","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","4990","2140","0.429","0"
"2016","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","4540","1895","0.417","0"
"2017","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","4265","1790","0.42","0"
"2018","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","4250","1725","0.406","0"
"2019","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","4180","1705","0.40800000000000003","0"
"2020","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","4125","1730","0.42","0"
"2021","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","4655","1990","0.428","0"
"2022","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","5850","2345","0.401","0"
"2023","All","21 - 24","Not EU","Male","Main scheme applicant","Main scheme application","6675","2435","0.365","0"
"2006","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","2000","960","0.48","0"
"2007","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1795","855","0.47600000000000003","0"
"2008","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1875","815","0.435","0"
"2009","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1645","630","0.383","0"
"2010","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1680","565","0.338","0"
"2011","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1430","485","0.338","0"
"2012","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1385","435","0.315","0"
"2013","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1310","405","0.31","0"
"2014","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1190","385","0.324","0"
"2015","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1200","395","0.331","0"
"2016","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1120","350","0.313","0"
"2017","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1115","430","0.388","0"
"2018","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1010","340","0.336","0"
"2019","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1030","350","0.34","0"
"2020","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1035","365","0.352","0"
"2021","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1290","395","0.305","0"
"2022","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1690","470","0.278","0"
"2023","All","25 - 29","Not EU","Male","Main scheme applicant","Main scheme application","1800","465","0.259","0"
"2006","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","700","325","0.46","0"
"2007","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","645","280","0.435","0"
"2008","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","585","245","0.41500000000000004","0"
"2009","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","535","185","0.34800000000000003","0"
"2010","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","575","205","0.352","0"
"2011","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","490","145","0.291","0"
"2012","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","465","110","0.23800000000000002","0"
"2013","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","430","115","0.269","0"
"2014","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","415","130","0.31","0"
"2015","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","395","90","0.228","0"
"2016","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","360","90","0.25","0"
"2017","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","325","70","0.222","0"
"2018","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","320","95","0.296","0"
"2019","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","345","90","0.26","0"
"2020","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","350","100","0.278","0"
"2021","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","480","125","0.263","0"
"2022","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","675","155","0.229","0"
"2023","All","30 - 34","Not EU","Male","Main scheme applicant","Main scheme application","720","165","0.232","0"
"2006","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","415","170","0.403","0"
"2007","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","385","180","0.465","0"
"2008","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","405","160","0.391","0"
"2009","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","360","135","0.377","0"
"2010","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","370","105","0.28","0"
"2011","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","295","85","0.281","0"
"2012","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","325","85","0.265","0"
"2013","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","270","70","0.268","0"
"2014","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","280","80","0.291","0"
"2015","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","245","60","0.23500000000000001","0"
"2016","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","245","65","0.268","0"
"2017","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","245","70","0.28800000000000003","0"
"2018","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","250","60","0.25","0"
"2019","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","295","75","0.249","0"
"2020","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","310","85","0.279","0"
"2021","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","450","105","0.23600000000000002","0"
"2022","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","645","145","0.224","0"
"2023","All","35 and over","Not EU","Male","Main scheme applicant","Main scheme application","605","110","0.179","0"
"2006","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","860","430","0.501","0"
"2007","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","900","485","0.54","0"
"2008","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","810","405","0.497","0"
"2009","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","965","495","0.511","0"
"2010","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1030","440","0.425","0"
"2011","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1160","505","0.434","0"
"2012","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1070","485","0.453","0"
"2013","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1200","580","0.482","0"
"2014","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1270","650","0.513","0"
"2015","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1525","740","0.484","0"
"2016","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1580","820","0.517","0"
"2017","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1590","840","0.526","0"
"2018","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1695","875","0.517","0"
"2019","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1740","915","0.526","0"
"2020","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1745","955","0.546","0"
"2021","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1255","515","0.40900000000000003","0"
"2022","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","995","405","0.40900000000000003","0"
"2023","All","17 and under","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","980","380","0.388","0"
"2006","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2945","1630","0.554","0"
"2007","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","3205","1790","0.558","0"
"2008","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","3445","1975","0.5730000000000001","0"
"2009","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","4125","2230","0.541","0"
"2010","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","5105","2540","0.497","0"
"2011","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","5330","2695","0.505","0"
"2012","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","5285","2750","0.52","0"
"2013","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","5460","2875","0.526","0"
"2014","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","5885","3180","0.54","0"
"2015","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","6585","3645","0.554","0"
"2016","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","7000","3925","0.561","0"
"2017","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","6975","3955","0.5670000000000001","0"
"2018","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","7230","4065","0.562","0"
"2019","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","7275","3925","0.54","0"
"2020","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","7335","4150","0.5660000000000001","0"
"2021","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","4825","2085","0.432","0"
"2022","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","4170","1925","0.462","0"
"2023","All","18","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","4075","1795","0.441","0"
"2006","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2450","1450","0.591","0"
"2007","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","3040","1745","0.5740000000000001","0"
"2008","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","3425","2025","0.591","0"
"2009","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","4350","2520","0.58","0"
"2010","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","5275","2895","0.549","0"
"2011","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","6105","3410","0.558","0"
"2012","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","5190","2740","0.528","0"
"2013","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","5455","2930","0.537","0"
"2014","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","5440","2965","0.545","0"
"2015","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","5845","3250","0.556","0"
"2016","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","6315","3560","0.5640000000000001","0"
"2017","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","6030","3485","0.578","0"
"2018","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","6080","3485","0.5730000000000001","0"
"2019","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","6195","3575","0.577","0"
"2020","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","6065","3405","0.561","0"
"2021","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2665","1195","0.449","0"
"2022","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2110","950","0.449","0"
"2023","All","19","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2150","935","0.434","0"
"2006","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1835","1155","0.63","0"
"2007","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2055","1285","0.624","0"
"2008","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2130","1365","0.64","0"
"2009","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2520","1565","0.621","0"
"2010","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2875","1480","0.514","0"
"2011","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2900","1605","0.554","0"
"2012","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2380","1220","0.512","0"
"2013","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2470","1295","0.523","0"
"2014","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2535","1470","0.58","0"
"2015","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2415","1405","0.582","0"
"2016","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2485","1475","0.594","0"
"2017","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2485","1500","0.604","0"
"2018","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2195","1295","0.589","0"
"2019","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2240","1280","0.5710000000000001","0"
"2020","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2070","1190","0.5750000000000001","0"
"2021","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","865","375","0.435","0"
"2022","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","715","325","0.454","0"
"2023","All","20","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","655","300","0.456","0"
"2006","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","3170","2015","0.636","0"
"2007","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","3430","2090","0.609","0"
"2008","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","3125","1935","0.619","0"
"2009","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","3495","2015","0.577","0"
"2010","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","3865","1910","0.494","0"
"2011","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","3695","1860","0.503","0"
"2012","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2670","1280","0.47900000000000004","0"
"2013","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2605","1285","0.493","0"
"2014","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2685","1360","0.507","0"
"2015","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2635","1365","0.519","0"
"2016","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2620","1415","0.541","0"
"2017","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2330","1205","0.517","0"
"2018","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2200","1210","0.549","0"
"2019","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","2055","1105","0.539","0"
"2020","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1870","990","0.529","0"
"2021","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","935","375","0.404","0"
"2022","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","630","250","0.396","0"
"2023","All","21 - 24","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","620","225","0.359","0"
"2006","All","25 - 29","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","845","460","0.544","0"
"2007","All","25 - 29","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","835","470","0.562","0"
"2008","All","25 - 29","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","740","430","0.582","0"
"2009","All","25 - 29","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","800","405","0.509","0"
"2010","All","25 - 29","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","1025","445","0.436","0"
"2011","All","25 - 29","EU (excluding UK)","Male","Main scheme applicant","Main scheme application","965","415","0.429","0"
