"Year","UK region","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","North West","19","England","Male","All","Main scheme application","3840","2750","0.716","0"
"2023","North West","19","England","Male","All","Main scheme application","3555","2575","0.724","0"
"2006","Yorkshire and The Humber","19","England","Male","All","Main scheme application","2130","1625","0.764","0"
"2007","Yorkshire and The Humber","19","England","Male","All","Main scheme application","2505","1960","0.782","0"
"2008","Yorkshire and The Humber","19","England","Male","All","Main scheme application","2745","2225","0.812","0"
"2009","Yorkshire and The Humber","19","England","Male","All","Main scheme application","3090","2380","0.77","0"
"2010","Yorkshire and The Humber","19","England","Male","All","Main scheme application","3560","2560","0.719","0"
"2011","Yorkshire and The Humber","19","England","Male","All","Main scheme application","3720","2685","0.721","0"
"2012","Yorkshire and The Humber","19","England","Male","All","Main scheme application","3080","2190","0.71","0"
"2013","Yorkshire and The Humber","19","England","Male","All","Main scheme application","3425","2615","0.764","0"
"2014","Yorkshire and The Humber","19","England","Male","All","Main scheme application","3355","2495","0.744","0"
"2015","Yorkshire and The Humber","19","England","Male","All","Main scheme application","3520","2725","0.775","0"
"2016","Yorkshire and The Humber","19","England","Male","All","Main scheme application","3300","2555","0.774","0"
"2017","Yorkshire and The Humber","19","England","Male","All","Main scheme application","3200","2460","0.769","0"
"2018","Yorkshire and The Humber","19","England","Male","All","Main scheme application","2885","2205","0.764","0"
"2019","Yorkshire and The Humber","19","England","Male","All","Main scheme application","2730","2055","0.754","0"
"2020","Yorkshire and The Humber","19","England","Male","All","Main scheme application","2460","1860","0.756","0"
"2021","Yorkshire and The Humber","19","England","Male","All","Main scheme application","2540","1940","0.762","0"
"2022","Yorkshire and The Humber","19","England","Male","All","Main scheme application","2620","1920","0.732","0"
"2023","Yorkshire and The Humber","19","England","Male","All","Main scheme application","2540","1765","0.6950000000000001","0"
"2006","East Midlands","19","England","Male","All","Main scheme application","1820","1470","0.807","0"
"2007","East Midlands","19","England","Male","All","Main scheme application","2240","1805","0.805","0"
"2008","East Midlands","19","England","Male","All","Main scheme application","2395","1890","0.789","0"
"2009","East Midlands","19","England","Male","All","Main scheme application","2635","2035","0.773","0"
"2010","East Midlands","19","England","Male","All","Main scheme application","3085","2190","0.711","0"
"2011","East Midlands","19","England","Male","All","Main scheme application","3290","2395","0.728","0"
"2012","East Midlands","19","England","Male","All","Main scheme application","2515","1875","0.745","0"
"2013","East Midlands","19","England","Male","All","Main scheme application","2780","2155","0.776","0"
"2014","East Midlands","19","England","Male","All","Main scheme application","2900","2235","0.771","0"
"2015","East Midlands","19","England","Male","All","Main scheme application","2635","2020","0.766","0"
"2016","East Midlands","19","England","Male","All","Main scheme application","2890","2240","0.776","0"
"2017","East Midlands","19","England","Male","All","Main scheme application","2745","2140","0.78","0"
"2018","East Midlands","19","England","Male","All","Main scheme application","2435","1895","0.779","0"
"2019","East Midlands","19","England","Male","All","Main scheme application","2355","1835","0.779","0"
"2020","East Midlands","19","England","Male","All","Main scheme application","2120","1650","0.779","0"
"2021","East Midlands","19","England","Male","All","Main scheme application","2060","1625","0.789","0"
"2022","East Midlands","19","England","Male","All","Main scheme application","2160","1620","0.751","0"
"2023","East Midlands","19","England","Male","All","Main scheme application","2100","1505","0.715","0"
"2006","West Midlands","19","England","Male","All","Main scheme application","2530","1885","0.745","0"
"2007","West Midlands","19","England","Male","All","Main scheme application","3180","2475","0.778","0"
"2008","West Midlands","19","England","Male","All","Main scheme application","3210","2445","0.762","0"
"2009","West Midlands","19","England","Male","All","Main scheme application","3775","2895","0.767","0"
"2010","West Midlands","19","England","Male","All","Main scheme application","4225","3055","0.723","0"
"2011","West Midlands","19","England","Male","All","Main scheme application","4355","3110","0.714","0"
"2012","West Midlands","19","England","Male","All","Main scheme application","3720","2660","0.715","0"
"2013","West Midlands","19","England","Male","All","Main scheme application","4085","3145","0.77","0"
"2014","West Midlands","19","England","Male","All","Main scheme application","4085","3050","0.747","0"
"2015","West Midlands","19","England","Male","All","Main scheme application","4185","3115","0.744","0"
"2016","West Midlands","19","England","Male","All","Main scheme application","4270","3165","0.741","0"
"2017","West Midlands","19","England","Male","All","Main scheme application","3795","2825","0.745","0"
"2018","West Midlands","19","England","Male","All","Main scheme application","3680","2720","0.739","0"
"2019","West Midlands","19","England","Male","All","Main scheme application","3425","2640","0.771","0"
"2020","West Midlands","19","England","Male","All","Main scheme application","3185","2380","0.747","0"
"2021","West Midlands","19","England","Male","All","Main scheme application","3155","2390","0.759","0"
"2022","West Midlands","19","England","Male","All","Main scheme application","3080","2220","0.72","0"
"2023","West Midlands","19","England","Male","All","Main scheme application","3230","2215","0.685","0"
"2006","East of England","19","England","Male","All","Main scheme application","2280","1785","0.784","0"
"2007","East of England","19","England","Male","All","Main scheme application","3080","2470","0.801","0"
"2008","East of England","19","England","Male","All","Main scheme application","3350","2670","0.797","0"
"2009","East of England","19","England","Male","All","Main scheme application","3685","2925","0.794","0"
"2010","East of England","19","England","Male","All","Main scheme application","4160","3120","0.75","0"
"2011","East of England","19","England","Male","All","Main scheme application","4390","3270","0.745","0"
"2012","East of England","19","England","Male","All","Main scheme application","3535","2630","0.745","0"
"2013","East of England","19","England","Male","All","Main scheme application","4100","3205","0.781","0"
"2014","East of England","19","England","Male","All","Main scheme application","4235","3215","0.759","0"
"2015","East of England","19","England","Male","All","Main scheme application","4240","3285","0.775","0"
"2016","East of England","19","England","Male","All","Main scheme application","4000","3145","0.787","0"
"2017","East of England","19","England","Male","All","Main scheme application","3820","2980","0.78","0"
"2018","East of England","19","England","Male","All","Main scheme application","3495","2710","0.775","0"
"2019","East of England","19","England","Male","All","Main scheme application","3355","2650","0.789","0"
"2020","East of England","19","England","Male","All","Main scheme application","3145","2485","0.789","0"
"2021","East of England","19","England","Male","All","Main scheme application","3155","2480","0.787","0"
"2022","East of England","19","England","Male","All","Main scheme application","3035","2285","0.753","0"
"2023","East of England","19","England","Male","All","Main scheme application","2915","2170","0.744","0"
"2006","London","19","England","Male","All","Main scheme application","6005","4185","0.6970000000000001","0"
"2007","London","19","England","Male","All","Main scheme application","6725","4600","0.684","0"
"2008","London","19","England","Male","All","Main scheme application","7110","4930","0.6940000000000001","0"
"2009","London","19","England","Male","All","Main scheme application","7945","5310","0.669","0"
"2010","London","19","England","Male","All","Main scheme application","8755","5720","0.653","0"
"2011","London","19","England","Male","All","Main scheme application","9510","6100","0.642","0"
"2012","London","19","England","Male","All","Main scheme application","7765","4915","0.633","0"
"2013","London","19","England","Male","All","Main scheme application","8685","5795","0.667","0"
"2014","London","19","England","Male","All","Main scheme application","9015","6060","0.672","0"
"2015","London","19","England","Male","All","Main scheme application","9350","6170","0.66","0"
"2016","London","19","England","Male","All","Main scheme application","9330","6265","0.672","0"
"2017","London","19","England","Male","All","Main scheme application","8605","6015","0.6990000000000001","0"
"2018","London","19","England","Male","All","Main scheme application","8160","5655","0.6930000000000001","0"
"2019","London","19","England","Male","All","Main scheme application","7925","5450","0.6880000000000001","0"
"2020","London","19","England","Male","All","Main scheme application","7085","4955","0.7000000000000001","0"
"2021","London","19","England","Male","All","Main scheme application","6630","4865","0.733","0"
"2022","London","19","England","Male","All","Main scheme application","6840","4645","0.679","0"
"2023","London","19","England","Male","All","Main scheme application","6915","4505","0.651","0"
"2006","South East","19","England","Male","All","Main scheme application","4185","3300","0.788","0"
"2007","South East","19","England","Male","All","Main scheme application","5190","4150","0.8","0"
"2008","South East","19","England","Male","All","Main scheme application","5675","4550","0.802","0"
"2009","South East","19","England","Male","All","Main scheme application","6235","4945","0.793","0"
"2010","South East","19","England","Male","All","Main scheme application","7050","5380","0.763","0"
"2011","South East","19","England","Male","All","Main scheme application","7160","5425","0.757","0"
"2012","South East","19","England","Male","All","Main scheme application","5775","4475","0.774","0"
"2013","South East","19","England","Male","All","Main scheme application","6705","5285","0.788","0"
"2014","South East","19","England","Male","All","Main scheme application","6680","5275","0.79","0"
"2015","South East","19","England","Male","All","Main scheme application","6830","5385","0.789","0"
"2016","South East","19","England","Male","All","Main scheme application","6790","5295","0.78","0"
"2017","South East","19","England","Male","All","Main scheme application","6485","5185","0.8","0"
"2018","South East","19","England","Male","All","Main scheme application","5875","4740","0.806","0"
"2019","South East","19","England","Male","All","Main scheme application","5330","4280","0.804","0"
"2020","South East","19","England","Male","All","Main scheme application","5155","4135","0.802","0"
"2021","South East","19","England","Male","All","Main scheme application","5025","4005","0.797","0"
"2022","South East","19","England","Male","All","Main scheme application","5255","4075","0.776","0"
"2023","South East","19","England","Male","All","Main scheme application","5165","3910","0.757","0"
"2006","South West","19","England","Male","All","Main scheme application","2275","1815","0.798","0"
"2007","South West","19","England","Male","All","Main scheme application","2945","2410","0.8180000000000001","0"
"2008","South West","19","England","Male","All","Main scheme application","3235","2615","0.809","0"
"2009","South West","19","England","Male","All","Main scheme application","3690","2950","0.799","0"
"2010","South West","19","England","Male","All","Main scheme application","4085","3160","0.774","0"
"2011","South West","19","England","Male","All","Main scheme application","4025","3080","0.765","0"
"2012","South West","19","England","Male","All","Main scheme application","3200","2425","0.758","0"
"2013","South West","19","England","Male","All","Main scheme application","3805","3080","0.809","0"
"2014","South West","19","England","Male","All","Main scheme application","3690","2955","0.801","0"
"2015","South West","19","England","Male","All","Main scheme application","3910","3135","0.802","0"
"2016","South West","19","England","Male","All","Main scheme application","3805","3065","0.805","0"
"2017","South West","19","England","Male","All","Main scheme application","3585","2940","0.8210000000000001","0"
"2018","South West","19","England","Male","All","Main scheme application","3345","2710","0.81","0"
"2019","South West","19","England","Male","All","Main scheme application","3240","2660","0.8220000000000001","0"
"2020","South West","19","England","Male","All","Main scheme application","2930","2425","0.8280000000000001","0"
"2021","South West","19","England","Male","All","Main scheme application","2945","2395","0.8140000000000001","0"
"2022","South West","19","England","Male","All","Main scheme application","2925","2330","0.797","0"
"2023","South West","19","England","Male","All","Main scheme application","3000","2395","0.797","0"
"2006","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","840","575","0.681","0"
"2007","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","875","625","0.716","0"
"2008","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","895","665","0.745","0"
"2009","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","920","670","0.726","0"
"2010","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","1195","800","0.669","0"
"2011","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","1395","940","0.674","0"
"2012","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","1225","810","0.66","0"
"2013","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","1340","915","0.683","0"
"2014","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","1425","970","0.681","0"
"2015","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","1465","935","0.638","0"
"2016","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","1610","1105","0.685","0"
"2017","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","1450","950","0.655","0"
"2018","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","1390","950","0.683","0"
"2019","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","1245","875","0.705","0"
"2020","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","1160","875","0.755","0"
"2021","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","960","725","0.757","0"
"2022","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","850","600","0.704","0"
"2023","Northern Ireland","19","Northern Ireland","Male","All","Main scheme application","825","540","0.658","0"
"2006","Scotland","19","Scotland","Male","All","Main scheme application","1675","1240","0.74","0"
"2007","Scotland","19","Scotland","Male","All","Main scheme application","1820","1350","0.742","0"
"2008","Scotland","19","Scotland","Male","All","Main scheme application","1710","1250","0.731","0"
"2009","Scotland","19","Scotland","Male","All","Main scheme application","2020","1485","0.736","0"
"2010","Scotland","19","Scotland","Male","All","Main scheme application","2305","1485","0.644","0"
"2011","Scotland","19","Scotland","Male","All","Main scheme application","2350","1550","0.661","0"
"2012","Scotland","19","Scotland","Male","All","Main scheme application","2385","1635","0.684","0"
"2013","Scotland","19","Scotland","Male","All","Main scheme application","2345","1555","0.663","0"
"2014","Scotland","19","Scotland","Male","All","Main scheme application","2320","1570","0.676","0"
"2015","Scotland","19","Scotland","Male","All","Main scheme application","2410","1595","0.662","0"
"2016","Scotland","19","Scotland","Male","All","Main scheme application","2475","1685","0.681","0"
"2017","Scotland","19","Scotland","Male","All","Main scheme application","2445","1670","0.684","0"
"2018","Scotland","19","Scotland","Male","All","Main scheme application","2505","1825","0.729","0"
"2019","Scotland","19","Scotland","Male","All","Main scheme application","2305","1700","0.737","0"
"2020","Scotland","19","Scotland","Male","All","Main scheme application","2205","1645","0.746","0"
"2021","Scotland","19","Scotland","Male","All","Main scheme application","2425","1820","0.75","0"
"2022","Scotland","19","Scotland","Male","All","Main scheme application","2475","1865","0.753","0"
"2023","Scotland","19","Scotland","Male","All","Main scheme application","2460","1850","0.753","0"
"2006","Wales","19","Wales","Male","All","Main scheme application","1200","900","0.751","0"
"2007","Wales","19","Wales","Male","All","Main scheme application","1465","1155","0.788","0"
"2008","Wales","19","Wales","Male","All","Main scheme application","1500","1185","0.791","0"
"2009","Wales","19","Wales","Male","All","Main scheme application","1700","1345","0.791","0"
"2010","Wales","19","Wales","Male","All","Main scheme application","1785","1330","0.744","0"
"2011","Wales","19","Wales","Male","All","Main scheme application","1895","1345","0.71","0"
"2012","Wales","19","Wales","Male","All","Main scheme application","1840","1390","0.756","0"
"2013","Wales","19","Wales","Male","All","Main scheme application","1830","1425","0.779","0"
"2014","Wales","19","Wales","Male","All","Main scheme application","1890","1475","0.78","0"
"2015","Wales","19","Wales","Male","All","Main scheme application","1895","1490","0.787","0"
"2016","Wales","19","Wales","Male","All","Main scheme application","1925","1525","0.792","0"
"2017","Wales","19","Wales","Male","All","Main scheme application","1715","1365","0.797","0"
"2018","Wales","19","Wales","Male","All","Main scheme application","1570","1240","0.79","0"
"2019","Wales","19","Wales","Male","All","Main scheme application","1520","1205","0.795","0"
"2020","Wales","19","Wales","Male","All","Main scheme application","1490","1240","0.8300000000000001","0"
"2021","Wales","19","Wales","Male","All","Main scheme application","1430","1130","0.792","0"
"2022","Wales","19","Wales","Male","All","Main scheme application","1350","1035","0.767","0"
"2023","Wales","19","Wales","Male","All","Main scheme application","1250","980","0.783","0"
"2006","Unknown","19","England","Male","All","Main scheme application","195","150","0.759","0"
"2007","Unknown","19","England","Male","All","Main scheme application","210","145","0.6890000000000001","0"
"2008","Unknown","19","England","Male","All","Main scheme application","590","430","0.729","0"
"2009","Unknown","19","England","Male","All","Main scheme application","170","120","0.722","0"
"2010","Unknown","19","England","Male","All","Main scheme application","135","95","0.6910000000000001","0"
"2011","Unknown","19","England","Male","All","Main scheme application","125","90","0.722","0"
"2012","Unknown","19","England","Male","All","Main scheme application","120","70","0.585","0"
"2013","Unknown","19","England","Male","All","Main scheme application","90","70","0.8180000000000001","0"
"2014","Unknown","19","England","Male","All","Main scheme application","95","65","0.6950000000000001","0"
"2015","Unknown","19","England","Male","All","Main scheme application","75","55","0.733","0"
"2016","Unknown","19","England","Male","All","Main scheme application","80","60","0.759","0"
"2017","Unknown","19","England","Male","All","Main scheme application","70","50","0.743","0"
"2018","Unknown","19","England","Male","All","Main scheme application","70","45","0.671","0"
"2019","Unknown","19","England","Male","All","Main scheme application","55","40","0.717","0"
"2020","Unknown","19","England","Male","All","Main scheme application","55","35","0.6980000000000001","0"
"2021","Unknown","19","England","Male","All","Main scheme application","55","35","0.66","0"
"2022","Unknown","19","England","Male","All","Main scheme application","10","5"," ","0"
"2023","Unknown","19","England","Male","All","Main scheme application","10","10"," ","0"
"2006","North East","20","England","Male","All","Main scheme application","405","310","0.763","0"
"2007","North East","20","England","Male","All","Main scheme application","435","320","0.742","0"
"2008","North East","20","England","Male","All","Main scheme application","525","385","0.732","0"
"2009","North East","20","England","Male","All","Main scheme application","580","430","0.741","0"
"2010","North East","20","England","Male","All","Main scheme application","650","445","0.6900000000000001","0"
"2011","North East","20","England","Male","All","Main scheme application","725","505","0.6950000000000001","0"
"2012","North East","20","England","Male","All","Main scheme application","660","475","0.716","0"
"2013","North East","20","England","Male","All","Main scheme application","700","535","0.764","0"
"2014","North East","20","England","Male","All","Main scheme application","675","505","0.744","0"
"2015","North East","20","England","Male","All","Main scheme application","650","465","0.718","0"
"2016","North East","20","England","Male","All","Main scheme application","505","380","0.755","0"
"2017","North East","20","England","Male","All","Main scheme application","485","385","0.792","0"
"2018","North East","20","England","Male","All","Main scheme application","465","360","0.771","0"
"2019","North East","20","England","Male","All","Main scheme application","425","340","0.798","0"
"2020","North East","20","England","Male","All","Main scheme application","435","340","0.779","0"
"2021","North East","20","England","Male","All","Main scheme application","360","275","0.771","0"
"2022","North East","20","England","Male","All","Main scheme application","360","250","0.6960000000000001","0"
"2023","North East","20","England","Male","All","Main scheme application","365","265","0.726","0"
"2006","North West","20","England","Male","All","Main scheme application","1200","880","0.734","0"
"2007","North West","20","England","Male","All","Main scheme application","1275","945","0.738","0"
"2008","North West","20","England","Male","All","Main scheme application","1540","1170","0.761","0"
"2009","North West","20","England","Male","All","Main scheme application","1715","1255","0.733","0"
"2010","North West","20","England","Male","All","Main scheme application","2055","1450","0.706","0"
"2011","North West","20","England","Male","All","Main scheme application","2195","1525","0.6950000000000001","0"
"2012","North West","20","England","Male","All","Main scheme application","1910","1265","0.662","0"
"2013","North West","20","England","Male","All","Main scheme application","1920","1370","0.714","0"
"2014","North West","20","England","Male","All","Main scheme application","1955","1365","0.6980000000000001","0"
"2015","North West","20","England","Male","All","Main scheme application","1870","1305","0.6970000000000001","0"
"2016","North West","20","England","Male","All","Main scheme application","1720","1205","0.7000000000000001","0"
"2017","North West","20","England","Male","All","Main scheme application","1665","1180","0.709","0"
"2018","North West","20","England","Male","All","Main scheme application","1555","1125","0.725","0"
"2019","North West","20","England","Male","All","Main scheme application","1460","1050","0.72","0"
"2020","North West","20","England","Male","All","Main scheme application","1460","1080","0.74","0"
"2021","North West","20","England","Male","All","Main scheme application","1435","1025","0.715","0"
"2022","North West","20","England","Male","All","Main scheme application","1350","920","0.683","0"
"2023","North West","20","England","Male","All","Main scheme application","1375","920","0.669","0"
"2006","Yorkshire and The Humber","20","England","Male","All","Main scheme application","855","620","0.726","0"
"2007","Yorkshire and The Humber","20","England","Male","All","Main scheme application","950","720","0.759","0"
"2008","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1005","760","0.756","0"
"2009","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1235","890","0.72","0"
"2010","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1425","935","0.655","0"
"2011","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1475","995","0.672","0"
"2012","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1355","910","0.672","0"
"2013","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1290","940","0.73","0"
"2014","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1345","960","0.714","0"
"2015","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1295","920","0.712","0"
"2016","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1245","890","0.714","0"
"2017","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1125","835","0.739","0"
"2018","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1000","710","0.708","0"
"2019","Yorkshire and The Humber","20","England","Male","All","Main scheme application","1015","710","0.7000000000000001","0"
"2020","Yorkshire and The Humber","20","England","Male","All","Main scheme application","965","715","0.741","0"
"2021","Yorkshire and The Humber","20","England","Male","All","Main scheme application","920","635","0.6920000000000001","0"
"2022","Yorkshire and The Humber","20","England","Male","All","Main scheme application","920","605","0.655","0"
"2023","Yorkshire and The Humber","20","England","Male","All","Main scheme application","895","590","0.661","0"
"2006","East Midlands","20","England","Male","All","Main scheme application","745","550","0.738","0"
"2007","East Midlands","20","England","Male","All","Main scheme application","760","585","0.771","0"
"2008","East Midlands","20","England","Male","All","Main scheme application","945","735","0.775","0"
"2009","East Midlands","20","England","Male","All","Main scheme application","1045","760","0.729","0"
"2010","East Midlands","20","England","Male","All","Main scheme application","1130","760","0.672","0"
"2011","East Midlands","20","England","Male","All","Main scheme application","1195","810","0.676","0"
"2012","East Midlands","20","England","Male","All","Main scheme application","1035","695","0.671","0"
"2013","East Midlands","20","England","Male","All","Main scheme application","995","755","0.759","0"
"2014","East Midlands","20","England","Male","All","Main scheme application","1110","820","0.739","0"
"2015","East Midlands","20","England","Male","All","Main scheme application","1050","750","0.718","0"
"2016","East Midlands","20","England","Male","All","Main scheme application","1005","740","0.734","0"
"2017","East Midlands","20","England","Male","All","Main scheme application","980","740","0.755","0"
"2018","East Midlands","20","England","Male","All","Main scheme application","945","720","0.762","0"
"2019","East Midlands","20","England","Male","All","Main scheme application","840","620","0.736","0"
"2020","East Midlands","20","England","Male","All","Main scheme application","825","600","0.728","0"
"2021","East Midlands","20","England","Male","All","Main scheme application","830","620","0.746","0"
"2022","East Midlands","20","England","Male","All","Main scheme application","765","535","0.7000000000000001","0"
"2023","East Midlands","20","England","Male","All","Main scheme application","825","570","0.6920000000000001","0"
"2006","West Midlands","20","England","Male","All","Main scheme application","995","695","0.6960000000000001","0"
"2007","West Midlands","20","England","Male","All","Main scheme application","1090","780","0.715","0"
"2008","West Midlands","20","England","Male","All","Main scheme application","1215","905","0.745","0"
"2009","West Midlands","20","England","Male","All","Main scheme application","1380","990","0.719","0"
"2010","West Midlands","20","England","Male","All","Main scheme application","1575","1040","0.661","0"
"2011","West Midlands","20","England","Male","All","Main scheme application","1670","1100","0.657","0"
"2012","West Midlands","20","England","Male","All","Main scheme application","1450","995","0.685","0"
"2013","West Midlands","20","England","Male","All","Main scheme application","1510","1080","0.715","0"
"2014","West Midlands","20","England","Male","All","Main scheme application","1520","1035","0.683","0"
"2015","West Midlands","20","England","Male","All","Main scheme application","1500","1075","0.716","0"
"2016","West Midlands","20","England","Male","All","Main scheme application","1490","1065","0.716","0"
"2017","West Midlands","20","England","Male","All","Main scheme application","1375","960","0.6990000000000001","0"
"2018","West Midlands","20","England","Male","All","Main scheme application","1230","865","0.7020000000000001","0"
"2019","West Midlands","20","England","Male","All","Main scheme application","1215","880","0.725","0"
"2020","West Midlands","20","England","Male","All","Main scheme application","1230","920","0.748","0"
"2021","West Midlands","20","England","Male","All","Main scheme application","1205","830","0.687","0"
"2022","West Midlands","20","England","Male","All","Main scheme application","1145","770","0.675","0"
"2023","West Midlands","20","England","Male","All","Main scheme application","1125","745","0.662","0"
"2006","East of England","20","England","Male","All","Main scheme application","850","640","0.75","0"
"2007","East of England","20","England","Male","All","Main scheme application","990","735","0.742","0"
"2008","East of England","20","England","Male","All","Main scheme application","1115","840","0.754","0"
"2009","East of England","20","England","Male","All","Main scheme application","1240","905","0.731","0"
"2010","East of England","20","England","Male","All","Main scheme application","1350","930","0.6900000000000001","0"
"2011","East of England","20","England","Male","All","Main scheme application","1415","975","0.6890000000000001","0"
"2012","East of England","20","England","Male","All","Main scheme application","1240","870","0.7010000000000001","0"
"2013","East of England","20","England","Male","All","Main scheme application","1300","935","0.717","0"
"2014","East of England","20","England","Male","All","Main scheme application","1355","990","0.73","0"
"2015","East of England","20","England","Male","All","Main scheme application","1235","880","0.715","0"
"2016","East of England","20","England","Male","All","Main scheme application","1285","940","0.733","0"
"2017","East of England","20","England","Male","All","Main scheme application","1205","895","0.744","0"
"2018","East of England","20","England","Male","All","Main scheme application","1115","805","0.721","0"
"2019","East of England","20","England","Male","All","Main scheme application","1050","780","0.745","0"
"2020","East of England","20","England","Male","All","Main scheme application","1000","745","0.745","0"
"2021","East of England","20","England","Male","All","Main scheme application","1080","820","0.758","0"
"2022","East of England","20","England","Male","All","Main scheme application","990","675","0.681","0"
"2023","East of England","20","England","Male","All","Main scheme application","955","670","0.6990000000000001","0"
"2006","London","20","England","Male","All","Main scheme application","2420","1520","0.629","0"
"2007","London","20","England","Male","All","Main scheme application","2565","1635","0.638","0"
"2008","London","20","England","Male","All","Main scheme application","2990","1925","0.643","0"
"2009","London","20","England","Male","All","Main scheme application","3275","2035","0.622","0"
"2010","London","20","England","Male","All","Main scheme application","3635","2110","0.58","0"
"2011","London","20","England","Male","All","Main scheme application","3815","2215","0.581","0"
"2012","London","20","England","Male","All","Main scheme application","3000","1795","0.598","0"
"2013","London","20","England","Male","All","Main scheme application","2930","1840","0.629","0"
"2014","London","20","England","Male","All","Main scheme application","3070","1880","0.612","0"
"2015","London","20","England","Male","All","Main scheme application","3055","1950","0.637","0"
"2016","London","20","England","Male","All","Main scheme application","3065","1885","0.615","0"
"2017","London","20","England","Male","All","Main scheme application","2820","1905","0.674","0"
"2018","London","20","England","Male","All","Main scheme application","2620","1770","0.675","0"
"2019","London","20","England","Male","All","Main scheme application","2420","1620","0.669","0"
"2020","London","20","England","Male","All","Main scheme application","2380","1675","0.704","0"
"2021","London","20","England","Male","All","Main scheme application","2245","1515","0.675","0"
"2022","London","20","England","Male","All","Main scheme application","2265","1460","0.645","0"
"2023","London","20","England","Male","All","Main scheme application","2290","1425","0.622","0"
"2006","South East","20","England","Male","All","Main scheme application","1455","1125","0.773","0"
"2007","South East","20","England","Male","All","Main scheme application","1580","1170","0.742","0"
"2008","South East","20","England","Male","All","Main scheme application","1970","1485","0.753","0"
"2009","South East","20","England","Male","All","Main scheme application","2155","1535","0.712","0"
"2010","South East","20","England","Male","All","Main scheme application","2350","1625","0.6920000000000001","0"
"2011","South East","20","England","Male","All","Main scheme application","2385","1645","0.6890000000000001","0"
"2012","South East","20","England","Male","All","Main scheme application","1885","1350","0.714","0"
"2013","South East","20","England","Male","All","Main scheme application","1870","1360","0.726","0"
"2014","South East","20","England","Male","All","Main scheme application","2245","1640","0.731","0"
"2015","South East","20","England","Male","All","Main scheme application","2060","1505","0.732","0"
"2016","South East","20","England","Male","All","Main scheme application","1965","1450","0.738","0"
"2017","South East","20","England","Male","All","Main scheme application","1935","1470","0.759","0"
"2018","South East","20","England","Male","All","Main scheme application","1785","1355","0.758","0"
"2019","South East","20","England","Male","All","Main scheme application","1770","1310","0.741","0"
"2020","South East","20","England","Male","All","Main scheme application","1665","1295","0.78","0"
"2021","South East","20","England","Male","All","Main scheme application","1680","1255","0.748","0"
"2022","South East","20","England","Male","All","Main scheme application","1585","1155","0.728","0"
"2023","South East","20","England","Male","All","Main scheme application","1565","1055","0.673","0"
"2006","South West","20","England","Male","All","Main scheme application","965","730","0.758","0"
"2007","South West","20","England","Male","All","Main scheme application","985","750","0.759","0"
"2008","South West","20","England","Male","All","Main scheme application","1230","945","0.769","0"
"2009","South West","20","England","Male","All","Main scheme application","1400","1050","0.749","0"
"2010","South West","20","England","Male","All","Main scheme application","1460","1030","0.708","0"
"2011","South West","20","England","Male","All","Main scheme application","1550","1065","0.686","0"
"2012","South West","20","England","Male","All","Main scheme application","1225","865","0.706","0"
"2013","South West","20","England","Male","All","Main scheme application","1275","960","0.754","0"
"2014","South West","20","England","Male","All","Main scheme application","1370","1040","0.757","0"
"2015","South West","20","England","Male","All","Main scheme application","1345","1020","0.76","0"
"2016","South West","20","England","Male","All","Main scheme application","1295","980","0.757","0"
"2017","South West","20","England","Male","All","Main scheme application","1230","955","0.774","0"
"2018","South West","20","England","Male","All","Main scheme application","1200","970","0.808","0"
"2019","South West","20","England","Male","All","Main scheme application","1170","925","0.788","0"
"2020","South West","20","England","Male","All","Main scheme application","1150","905","0.788","0"
"2021","South West","20","England","Male","All","Main scheme application","1130","845","0.75","0"
"2022","South West","20","England","Male","All","Main scheme application","1075","810","0.752","0"
"2023","South West","20","England","Male","All","Main scheme application","975","715","0.731","0"
