"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2023","RPA","30 - 34","England","Male","Not main scheme applicant","Not main scheme application","15"
"2019","Direct Clearing","35 and over","England","Male","Not main scheme applicant","Not main scheme application","50"
"2020","Direct Clearing","35 and over","England","Male","Not main scheme applicant","Not main scheme application","90"
"2021","Direct Clearing","35 and over","England","Male","Not main scheme applicant","Not main scheme application","35"
"2022","Direct Clearing","35 and over","England","Male","Not main scheme applicant","Not main scheme application","40"
"2023","Direct Clearing","35 and over","England","Male","Not main scheme applicant","Not main scheme application","90"
"2019","RPA","35 and over","England","Male","Not main scheme applicant","Not main scheme application","80"
"2020","RPA","35 and over","England","Male","Not main scheme applicant","Not main scheme application","70"
"2021","RPA","35 and over","England","Male","Not main scheme applicant","Not main scheme application","50"
"2022","RPA","35 and over","England","Male","Not main scheme applicant","Not main scheme application","55"
"2023","RPA","35 and over","England","Male","Not main scheme applicant","Not main scheme application","85"
"2023","Direct Clearing","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","10"
"2019","RPA","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","21 - 24","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2020","Direct Clearing","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2023","Direct Clearing","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","10"
"2019","RPA","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","25 - 29","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","30 - 34","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2022","Direct Clearing","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","10"
"2023","RPA","35 and over","Scotland","Male","Not main scheme applicant","Not main scheme application","5"
"2020","Direct Clearing","21 - 24","Wales","Male","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","5"
"2021","Direct Clearing","25 - 29","Wales","Male","Not main scheme applicant","Not main scheme application","5"
"2019","Direct Clearing","35 and over","Wales","Male","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","19","Not EU","Male","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","19","Not EU","Male","Not main scheme applicant","Not main scheme application","5"
"2022","RPA","21 - 24","Not EU","Male","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","21 - 24","Not EU","Male","Not main scheme applicant","Not main scheme application","5"
"2019","RPA","25 - 29","Not EU","Male","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","25 - 29","Not EU","Male","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","30 - 34","Not EU","Male","Not main scheme applicant","Not main scheme application","5"
"2021","RPA","30 - 34","Not EU","Male","Not main scheme applicant","Not main scheme application","5"
"2023","RPA","30 - 34","Not EU","Male","Not main scheme applicant","Not main scheme application","5"
"2020","RPA","35 and over","Not EU","Male","Not main scheme applicant","Not main scheme application","5"
"2021","RPA","35 and over","Not EU","Male","Not main scheme applicant","Not main scheme application","5"
"2020","Extra","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5"
"2022","Extra","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10"
"2023","Extra","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15"
"2019","Main scheme Clearing","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","40"
"2020","Main scheme Clearing","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","65"
"2021","Main scheme Clearing","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","65"
"2022","Main scheme Clearing","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","85"
"2023","Main scheme Clearing","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","95"
"2022","Extra","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5"
"2023","Extra","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15"
"2020","Main scheme Clearing","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25"
"2021","Main scheme Clearing","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","30"
"2022","Main scheme Clearing","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25"
"2023","Main scheme Clearing","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","30"
"2019","Extra","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5"
"2022","Extra","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5"
"2020","Main scheme Clearing","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10"
"2021","Main scheme Clearing","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","10"
"2022","Main scheme Clearing","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","20"
"2023","Main scheme Clearing","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","15"
