"Year","Parental responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Not declared","18","Scotland","Male","Not main scheme applicant","Not main scheme application","190","190","0.99","0"
"2023","Not declared","18","Wales","Male","Not main scheme applicant","Not main scheme application","55","55","0.981","0"
"2023","Does not have parental responsibility","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","Does not have parental responsibility","18","England","Male","Not main scheme applicant","Not main scheme application","1080","970","0.898","145"
"2023","Does not have parental responsibility","18","Scotland","Male","Not main scheme applicant","Not main scheme application","45","40","0.907","15"
"2023","Does not have parental responsibility","18","Wales","Male","Not main scheme applicant","Not main scheme application","60","55","0.902","10"
"2023","Has parental responsibility","18","England","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","19","England","Male","Not main scheme applicant","Not main scheme application","1840","1755","0.9550000000000001","10"
"2023","Not declared","19","Scotland","Male","Not main scheme applicant","Not main scheme application","145","145","0.986","0"
"2023","Not declared","19","Wales","Male","Not main scheme applicant","Not main scheme application","70","65","0.93","0"
"2023","Does not have parental responsibility","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","55","50","0.926","5"
"2023","Does not have parental responsibility","19","England","Male","Not main scheme applicant","Not main scheme application","2310","2085","0.903","220"
"2023","Does not have parental responsibility","19","Scotland","Male","Not main scheme applicant","Not main scheme application","80","70","0.877","25"
"2023","Does not have parental responsibility","19","Wales","Male","Not main scheme applicant","Not main scheme application","90","85","0.902","10"
"2023","Has parental responsibility","19","England","Male","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2023","Not declared","20","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Male","Not main scheme applicant","Not main scheme application","1505","1420","0.9430000000000001","10"
"2023","Not declared","20","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.969","0"
"2023","Not declared","20","Wales","Male","Not main scheme applicant","Not main scheme application","70","65","0.985","0"
