"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","Female","18","Northern Ireland","Main scheme applicant","Not main scheme application","115","90","0.805","0"
"2023","Female","18","Northern Ireland","Main scheme applicant","Not main scheme application","150","115","0.758","0"
"2019","Male","18","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","18","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","18","Northern Ireland","Main scheme applicant","Not main scheme application","10","10","1","0"
"2019","Female","19","Northern Ireland","Main scheme applicant","Not main scheme application","30","20","0.655","0"
"2020","Female","19","Northern Ireland","Main scheme applicant","Not main scheme application","35","25","0.794","0"
"2021","Female","19","Northern Ireland","Main scheme applicant","Not main scheme application","35","30","0.853","0"
"2022","Female","19","Northern Ireland","Main scheme applicant","Not main scheme application","35","30","0.838","0"
"2023","Female","19","Northern Ireland","Main scheme applicant","Not main scheme application","45","35","0.745","0"
"2022","Male","19","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","20","Northern Ireland","Main scheme applicant","Not main scheme application","15","10","0.588","0"
"2020","Female","20","Northern Ireland","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2021","Female","20","Northern Ireland","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Female","20","Northern Ireland","Main scheme applicant","Not main scheme application","25","20","0.846","0"
"2023","Female","20","Northern Ireland","Main scheme applicant","Not main scheme application","20","15","0.789","0"
"2020","Male","20","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Male","20","Northern Ireland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","21 - 24","Northern Ireland","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2020","Female","21 - 24","Northern Ireland","Main scheme applicant","Not main scheme application","15","10","0.625","0"
"2021","Female","21 - 24","Northern Ireland","Main scheme applicant","Not main scheme application","40","30","0.667","0"
"2022","Female","21 - 24","Northern Ireland","Main scheme applicant","Not main scheme application","40","30","0.756","0"
"2023","Female","21 - 24","Northern Ireland","Main scheme applicant","Not main scheme application","35","25","0.7030000000000001","0"
"2020","Male","21 - 24","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Male","21 - 24","Northern Ireland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Male","21 - 24","Northern Ireland","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Male","21 - 24","Northern Ireland","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","25 - 29","Northern Ireland","Main scheme applicant","Not main scheme application","5","0"," ","0"
