"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","Male","21 - 24","England","Not main scheme applicant","Not main scheme application","40","30","0.8160000000000001","0"
"2020","Male","21 - 24","England","Not main scheme applicant","Not main scheme application","55","50","0.912","0"
"2021","Male","21 - 24","England","Not main scheme applicant","Not main scheme application","25","20","0.846","0"
"2022","Male","21 - 24","England","Not main scheme applicant","Not main scheme application","45","30","0.66","0"
"2023","Male","21 - 24","England","Not main scheme applicant","Not main scheme application","65","50","0.742","0"
"2019","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","305","255","0.8320000000000001","0"
"2020","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","465","385","0.8270000000000001","0"
"2021","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","270","235","0.857","0"
"2022","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","315","245","0.776","0"
"2023","Female","25 - 29","England","Not main scheme applicant","Not main scheme application","325","255","0.788","0"
"2019","Male","25 - 29","England","Not main scheme applicant","Not main scheme application","45","40","0.909","0"
"2020","Male","25 - 29","England","Not main scheme applicant","Not main scheme application","90","75","0.8200000000000001","0"
"2021","Male","25 - 29","England","Not main scheme applicant","Not main scheme application","40","35","0.875","0"
"2022","Male","25 - 29","England","Not main scheme applicant","Not main scheme application","55","50","0.891","0"
"2023","Male","25 - 29","England","Not main scheme applicant","Not main scheme application","60","35","0.638","0"
"2019","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","230","195","0.857","0"
"2020","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","355","290","0.8220000000000001","0"
"2021","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","200","160","0.8","0"
"2022","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","225","170","0.747","0"
"2023","Female","30 - 34","England","Not main scheme applicant","Not main scheme application","305","250","0.8160000000000001","0"
"2019","Male","30 - 34","England","Not main scheme applicant","Not main scheme application","40","35","0.857","0"
"2020","Male","30 - 34","England","Not main scheme applicant","Not main scheme application","70","50","0.732","0"
"2021","Male","30 - 34","England","Not main scheme applicant","Not main scheme application","40","30","0.744","0"
