"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","Female","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2022","Female","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","10","10","0.833","0"
"2023","Female","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","20","15","0.684","0"
"2019","Male","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Male","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","15","10","0.8","0"
"2021","Male","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Male","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2023","Male","21 - 24","Scotland","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","Female","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","20","15","0.737","0"
"2020","Female","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","25","20","0.846","0"
"2021","Female","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Female","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2023","Female","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","20","15","0.889","0"
"2019","Male","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","Male","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","25","20","0.8150000000000001","0"
"2021","Male","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Male","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Male","25 - 29","Scotland","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Female","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2019","Male","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Male","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Male","30 - 34","Scotland","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","35 and over","Scotland","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2020","Female","35 and over","Scotland","Not main scheme applicant","Not main scheme application","20","10","0.5710000000000001","0"
"2021","Female","35 and over","Scotland","Not main scheme applicant","Not main scheme application","15","10","0.733","0"
"2022","Female","35 and over","Scotland","Not main scheme applicant","Not main scheme application","15","10","0.706","0"
"2023","Female","35 and over","Scotland","Not main scheme applicant","Not main scheme application","20","15","0.7000000000000001","0"
"2019","Male","35 and over","Scotland","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Male","35 and over","Scotland","Not main scheme applicant","Not main scheme application","20","15","0.789","0"
"2021","Male","35 and over","Scotland","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Male","35 and over","Scotland","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Male","35 and over","Scotland","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2022","Female","21 - 24","Wales","Not main scheme applicant","Not main scheme application","30","25","0.793","0"
"2023","Female","21 - 24","Wales","Not main scheme applicant","Not main scheme application","40","35","0.833","0"
"2022","Male","21 - 24","Wales","Not main scheme applicant","Not main scheme application","25","20","0.8260000000000001","0"
"2023","Male","21 - 24","Wales","Not main scheme applicant","Not main scheme application","25","20","0.846","0"
"2022","Female","25 - 29","Wales","Not main scheme applicant","Not main scheme application","25","15","0.739","0"
"2023","Female","25 - 29","Wales","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Male","25 - 29","Wales","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2023","Male","25 - 29","Wales","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Female","30 - 34","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","30 - 34","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","30 - 34","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Female","35 and over","Wales","Not main scheme applicant","Not main scheme application","15","10","0.786","0"
"2023","Female","35 and over","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Male","35 and over","Wales","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","35 and over","Wales","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Female","25 - 29","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","Female","25 - 29","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Female","18","Scotland","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","21 - 24","Scotland","Main scheme applicant","Not main scheme application","60","30","0.484","0"
"2020","Female","21 - 24","Scotland","Main scheme applicant","Not main scheme application","60","10"," ","0"
"2021","Female","21 - 24","Scotland","Main scheme applicant","Not main scheme application","85","25","0.321","0"
"2022","Female","21 - 24","Scotland","Main scheme applicant","Not main scheme application","55","30","0.5660000000000001","0"
"2023","Female","21 - 24","Scotland","Main scheme applicant","Not main scheme application","35","25","0.622","0"
"2019","Male","21 - 24","Scotland","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2020","Male","21 - 24","Scotland","Main scheme applicant","Not main scheme application","25","10","0.417","0"
"2021","Male","21 - 24","Scotland","Main scheme applicant","Not main scheme application","25","5"," ","0"
"2022","Male","21 - 24","Scotland","Main scheme applicant","Not main scheme application","15","10"," ","0"
