"Year","Tariff group of provider","Deferred entry","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","Medium tariff","Deferred","Not main scheme applicant","All","280","230","0.8290000000000001"
"2023","Medium tariff","Deferred","Not main scheme applicant","All","285","250","0.867"
"2006","Lower tariff","Not deferred","Main scheme applicant","All","267525","127265","0.47600000000000003"
"2007","Lower tariff","Not deferred","Main scheme applicant","All","282290","134020","0.47500000000000003"
"2008","Lower tariff","Not deferred","Main scheme applicant","All","298365","149270","0.5"
"2009","Lower tariff","Not deferred","Main scheme applicant","All","334135","169410","0.507"
"2010","Lower tariff","Not deferred","Main scheme applicant","All","384545","181110","0.47100000000000003"
"2011","Lower tariff","Not deferred","Main scheme applicant","All","411830","199690","0.485"
"2012","Lower tariff","Not deferred","Main scheme applicant","All","366775","169660","0.463"
"2013","Lower tariff","Not deferred","Main scheme applicant","All","373620","178480","0.47800000000000004"
"2014","Lower tariff","Not deferred","Main scheme applicant","All","387095","184735","0.47700000000000004"
"2015","Lower tariff","Not deferred","Main scheme applicant","All","387880","184970","0.47700000000000004"
"2016","Lower tariff","Not deferred","Main scheme applicant","All","382870","180330","0.47100000000000003"
"2017","Lower tariff","Not deferred","Main scheme applicant","All","357830","169935","0.47500000000000003"
"2018","Lower tariff","Not deferred","Main scheme applicant","All","342065","164490","0.481"
"2019","Lower tariff","Not deferred","Main scheme applicant","All","337715","161585","0.47800000000000004"
"2020","Lower tariff","Not deferred","Main scheme applicant","All","342435","162010","0.47300000000000003"
"2021","Lower tariff","Not deferred","Main scheme applicant","All","357705","158135","0.442"
"2022","Lower tariff","Not deferred","Main scheme applicant","All","367670","161435","0.439"
"2023","Lower tariff","Not deferred","Main scheme applicant","All","355295","151750","0.427"
"2006","Higher tariff","Not deferred","Main scheme applicant","All","244435","98120","0.401"
"2007","Higher tariff","Not deferred","Main scheme applicant","All","258180","103410","0.401"
"2008","Higher tariff","Not deferred","Main scheme applicant","All","271140","110720","0.40800000000000003"
"2009","Higher tariff","Not deferred","Main scheme applicant","All","289020","112135","0.388"
"2010","Higher tariff","Not deferred","Main scheme applicant","All","316365","111910","0.354"
"2011","Higher tariff","Not deferred","Main scheme applicant","All","324775","114580","0.353"
"2012","Higher tariff","Not deferred","Main scheme applicant","All","306110","112850","0.369"
"2013","Higher tariff","Not deferred","Main scheme applicant","All","321005","120855","0.376"
"2014","Higher tariff","Not deferred","Main scheme applicant","All","334715","124910","0.373"
"2015","Higher tariff","Not deferred","Main scheme applicant","All","352815","133575","0.379"
"2016","Higher tariff","Not deferred","Main scheme applicant","All","362140","137590","0.38"
"2017","Higher tariff","Not deferred","Main scheme applicant","All","359915","137215","0.381"
"2018","Higher tariff","Not deferred","Main scheme applicant","All","358425","137140","0.383"
"2019","Higher tariff","Not deferred","Main scheme applicant","All","365730","140050","0.383"
"2020","Higher tariff","Not deferred","Main scheme applicant","All","377370","156435","0.41500000000000004"
"2021","Higher tariff","Not deferred","Main scheme applicant","All","404010","159210","0.394"
"2022","Higher tariff","Not deferred","Main scheme applicant","All","412205","148285","0.36"
"2023","Higher tariff","Not deferred","Main scheme applicant","All","405260","148435","0.366"
"2006","Medium tariff","Not deferred","Main scheme applicant","All","288545","104215","0.361"
"2007","Medium tariff","Not deferred","Main scheme applicant","All","308705","112070","0.363"
"2008","Medium tariff","Not deferred","Main scheme applicant","All","323025","124100","0.384"
"2009","Medium tariff","Not deferred","Main scheme applicant","All","355500","131145","0.369"
"2010","Medium tariff","Not deferred","Main scheme applicant","All","408595","134400","0.329"
"2011","Medium tariff","Not deferred","Main scheme applicant","All","434775","141145","0.325"
"2012","Medium tariff","Not deferred","Main scheme applicant","All","393480","128770","0.327"
"2013","Medium tariff","Not deferred","Main scheme applicant","All","408930","137280","0.336"
"2014","Medium tariff","Not deferred","Main scheme applicant","All","424400","142240","0.335"
"2015","Medium tariff","Not deferred","Main scheme applicant","All","435390","147865","0.34"
"2016","Medium tariff","Not deferred","Main scheme applicant","All","436545","152255","0.34900000000000003"
"2017","Medium tariff","Not deferred","Main scheme applicant","All","419500","153605","0.366"
"2018","Medium tariff","Not deferred","Main scheme applicant","All","408590","150350","0.368"
"2019","Medium tariff","Not deferred","Main scheme applicant","All","405825","149540","0.368"
"2020","Medium tariff","Not deferred","Main scheme applicant","All","408775","152375","0.373"
"2021","Medium tariff","Not deferred","Main scheme applicant","All","424700","148895","0.35100000000000003"
"2022","Medium tariff","Not deferred","Main scheme applicant","All","434680","150815","0.34700000000000003"
"2023","Medium tariff","Not deferred","Main scheme applicant","All","421780","144175","0.342"
"2006","Lower tariff","Deferred","Main scheme applicant","All","17515","7935","0.453"
"2007","Lower tariff","Deferred","Main scheme applicant","All","17480","7995","0.457"
"2008","Lower tariff","Deferred","Main scheme applicant","All","18310","8900","0.486"
"2009","Lower tariff","Deferred","Main scheme applicant","All","19290","9435","0.489"
"2010","Lower tariff","Deferred","Main scheme applicant","All","21980","9580","0.436"
"2011","Lower tariff","Deferred","Main scheme applicant","All","12335","4365","0.354"
"2012","Lower tariff","Deferred","Main scheme applicant","All","17215","8105","0.47100000000000003"
"2013","Lower tariff","Deferred","Main scheme applicant","All","17205","8945","0.52"
"2014","Lower tariff","Deferred","Main scheme applicant","All","18605","9805","0.527"
"2015","Lower tariff","Deferred","Main scheme applicant","All","18795","10100","0.537"
"2016","Lower tariff","Deferred","Main scheme applicant","All","19060","9775","0.513"
"2017","Lower tariff","Deferred","Main scheme applicant","All","17905","9820","0.548"
"2018","Lower tariff","Deferred","Main scheme applicant","All","16580","9050","0.546"
"2019","Lower tariff","Deferred","Main scheme applicant","All","15965","8745","0.548"
"2020","Lower tariff","Deferred","Main scheme applicant","All","17025","9390","0.552"
"2021","Lower tariff","Deferred","Main scheme applicant","All","19255","9640","0.501"
"2022","Lower tariff","Deferred","Main scheme applicant","All","18665","8775","0.47000000000000003"
"2023","Lower tariff","Deferred","Main scheme applicant","All","18715","8880","0.47400000000000003"
"2006","Higher tariff","Deferred","Main scheme applicant","All","21975","10975","0.499"
"2007","Higher tariff","Deferred","Main scheme applicant","All","21670","10950","0.505"
"2008","Higher tariff","Deferred","Main scheme applicant","All","22190","11200","0.505"
"2009","Higher tariff","Deferred","Main scheme applicant","All","22165","10765","0.486"
"2010","Higher tariff","Deferred","Main scheme applicant","All","22555","9935","0.44"
"2011","Higher tariff","Deferred","Main scheme applicant","All","13315","4635","0.34800000000000003"
"2012","Higher tariff","Deferred","Main scheme applicant","All","17755","7895","0.445"
"2013","Higher tariff","Deferred","Main scheme applicant","All","16780","7905","0.47100000000000003"
"2014","Higher tariff","Deferred","Main scheme applicant","All","17765","8325","0.46900000000000003"
"2015","Higher tariff","Deferred","Main scheme applicant","All","19040","8885","0.467"
"2016","Higher tariff","Deferred","Main scheme applicant","All","19240","8800","0.457"
"2017","Higher tariff","Deferred","Main scheme applicant","All","20035","9505","0.47400000000000003"
"2018","Higher tariff","Deferred","Main scheme applicant","All","19005","9700","0.511"
"2019","Higher tariff","Deferred","Main scheme applicant","All","19550","10105","0.517"
"2020","Higher tariff","Deferred","Main scheme applicant","All","22395","13600","0.607"
"2021","Higher tariff","Deferred","Main scheme applicant","All","24460","14520","0.594"
"2022","Higher tariff","Deferred","Main scheme applicant","All","21315","10785","0.506"
"2023","Higher tariff","Deferred","Main scheme applicant","All","22340","11385","0.51"
"2006","Medium tariff","Deferred","Main scheme applicant","All","21070","8615","0.40900000000000003"
"2007","Medium tariff","Deferred","Main scheme applicant","All","21510","8835","0.41100000000000003"
"2008","Medium tariff","Deferred","Main scheme applicant","All","21685","9505","0.438"
"2009","Medium tariff","Deferred","Main scheme applicant","All","21970","9260","0.422"
"2010","Medium tariff","Deferred","Main scheme applicant","All","23610","9415","0.399"
"2011","Medium tariff","Deferred","Main scheme applicant","All","13120","4055","0.309"
"2012","Medium tariff","Deferred","Main scheme applicant","All","18750","7875","0.42"
"2013","Medium tariff","Deferred","Main scheme applicant","All","18015","8240","0.457"
"2014","Medium tariff","Deferred","Main scheme applicant","All","18750","8775","0.468"
"2015","Medium tariff","Deferred","Main scheme applicant","All","19755","9365","0.47400000000000003"
"2016","Medium tariff","Deferred","Main scheme applicant","All","20405","10025","0.491"
"2017","Medium tariff","Deferred","Main scheme applicant","All","20910","11145","0.533"
"2018","Medium tariff","Deferred","Main scheme applicant","All","20085","10825","0.539"
"2019","Medium tariff","Deferred","Main scheme applicant","All","20160","10720","0.532"
"2020","Medium tariff","Deferred","Main scheme applicant","All","20725","11655","0.5630000000000001"
"2021","Medium tariff","Deferred","Main scheme applicant","All","22555","12005","0.532"
"2022","Medium tariff","Deferred","Main scheme applicant","All","21420","10875","0.508"
"2023","Medium tariff","Deferred","Main scheme applicant","All","23610","12285","0.52"
"2006","All","Not deferred","Not main scheme applicant","All","33860","33220","0.981"
"2007","All","Not deferred","Not main scheme applicant","All","36350","35605","0.979"
"2008","All","Not deferred","Not main scheme applicant","All","43540","42265","0.971"
"2009","All","Not deferred","Not main scheme applicant","All","41180","39090","0.9490000000000001"
"2010","All","Not deferred","Not main scheme applicant","All","32340","30635","0.9470000000000001"
"2011","All","Not deferred","Not main scheme applicant","All","25310","23395","0.924"
"2012","All","Not deferred","Not main scheme applicant","All","31785","29435","0.926"
"2013","All","Not deferred","Not main scheme applicant","All","35705","33455","0.937"
"2014","All","Not deferred","Not main scheme applicant","All","35450","33130","0.935"
"2015","All","Not deferred","Not main scheme applicant","All","39635","37055","0.935"
"2016","All","Not deferred","Not main scheme applicant","All","38570","35975","0.933"
"2017","All","Not deferred","Not main scheme applicant","All","45395","42035","0.926"
"2018","All","Not deferred","Not main scheme applicant","All","54250","51025","0.9410000000000001"
"2019","All","Not deferred","Not main scheme applicant","All","63740","59740","0.937"
"2020","All","Not deferred","Not main scheme applicant","All","68990","63925","0.927"
"2021","All","Not deferred","Not main scheme applicant","All","63525","59035","0.929"
"2022","All","Not deferred","Not main scheme applicant","All","77515","71675","0.925"
"2023","All","Not deferred","Not main scheme applicant","All","83750","76905","0.918"
"2006","All","Deferred","Not main scheme applicant","All","550","545","0.991"
"2007","All","Deferred","Not main scheme applicant","All","550","540","0.976"
"2008","All","Deferred","Not main scheme applicant","All","680","665","0.978"
"2009","All","Deferred","Not main scheme applicant","All","785","615","0.784"
"2010","All","Deferred","Not main scheme applicant","All","355","345","0.977"
"2011","All","Deferred","Not main scheme applicant","All","170","165","0.976"
"2012","All","Deferred","Not main scheme applicant","All","330","325","0.979"
"2013","All","Deferred","Not main scheme applicant","All","440","435","0.982"
"2014","All","Deferred","Not main scheme applicant","All","465","450","0.9590000000000001"
"2015","All","Deferred","Not main scheme applicant","All","465","450","0.974"
"2016","All","Deferred","Not main scheme applicant","All","445","425","0.9590000000000001"
"2017","All","Deferred","Not main scheme applicant","All","640","625","0.977"
"2018","All","Deferred","Not main scheme applicant","All","810","785","0.97"
"2019","All","Deferred","Not main scheme applicant","All","780","755","0.968"
"2020","All","Deferred","Not main scheme applicant","All","1240","1080","0.869"
"2021","All","Deferred","Not main scheme applicant","All","715","620","0.87"
"2022","All","Deferred","Not main scheme applicant","All","690","535","0.777"
"2023","All","Deferred","Not main scheme applicant","All","770","650","0.842"
"2006","All","Not deferred","Main scheme applicant","All","444990","329600","0.741"
"2007","All","Not deferred","Main scheme applicant","All","471075","349505","0.742"
"2008","All","Not deferred","Main scheme applicant","All","515740","384085","0.745"
"2009","All","Not deferred","Main scheme applicant","All","567675","412690","0.727"
"2010","All","Not deferred","Main scheme applicant","All","636490","427420","0.672"
"2011","All","Not deferred","Main scheme applicant","All","657505","455420","0.6930000000000001"
"2012","All","Not deferred","Main scheme applicant","All","601275","411280","0.684"
"2013","All","Not deferred","Main scheme applicant","All","621485","436615","0.7030000000000001"
"2014","All","Not deferred","Main scheme applicant","All","644560","451885","0.7010000000000001"
"2015","All","Not deferred","Main scheme applicant","All","657955","466410","0.709"
"2016","All","Not deferred","Main scheme applicant","All","660270","470180","0.712"
"2017","All","Not deferred","Main scheme applicant","All","634945","460760","0.726"
"2018","All","Not deferred","Main scheme applicant","All","622355","451975","0.726"
"2019","All","Not deferred","Main scheme applicant","All","623485","451175","0.724"
"2020","All","Not deferred","Main scheme applicant","All","639575","470825","0.736"
"2021","All","Not deferred","Main scheme applicant","All","666030","466240","0.7000000000000001"
"2022","All","Not deferred","Main scheme applicant","All","670130","460535","0.687"
"2023","All","Not deferred","Main scheme applicant","All","653460","444360","0.68"
"2006","All","Deferred","Main scheme applicant","All","39805","27525","0.6910000000000001"
"2007","All","Deferred","Main scheme applicant","All","40525","27780","0.686"
"2008","All","Deferred","Main scheme applicant","All","43800","29610","0.676"
"2009","All","Deferred","Main scheme applicant","All","45275","29460","0.651"
"2010","All","Deferred","Main scheme applicant","All","49885","28930","0.58"
"2011","All","Deferred","Main scheme applicant","All","28790","13050","0.453"
"2012","All","Deferred","Main scheme applicant","All","39505","23875","0.604"
"2013","All","Deferred","Main scheme applicant","All","39115","25090","0.641"
"2014","All","Deferred","Main scheme applicant","All","42230","26910","0.637"
"2015","All","Deferred","Main scheme applicant","All","43800","28350","0.647"
"2016","All","Deferred","Main scheme applicant","All","44995","28600","0.636"
"2017","All","Deferred","Main scheme applicant","All","44980","30465","0.677"
"2018","All","Deferred","Main scheme applicant","All","42025","29575","0.704"
"2019","All","Deferred","Main scheme applicant","All","42005","29565","0.704"
"2020","All","Deferred","Main scheme applicant","All","47425","34645","0.731"
"2021","All","Deferred","Main scheme applicant","All","50185","36165","0.721"
"2022","All","Deferred","Main scheme applicant","All","47050","30430","0.647"
"2023","All","Deferred","Main scheme applicant","All","48820","32550","0.667"
"2006","Lower tariff","All","Not main scheme applicant","All","21835","21520","0.986"
"2007","Lower tariff","All","Not main scheme applicant","All","23770","23360","0.983"
"2008","Lower tariff","All","Not main scheme applicant","All","28455","27615","0.971"
"2009","Lower tariff","All","Not main scheme applicant","All","28060","26550","0.9460000000000001"
"2010","Lower tariff","All","Not main scheme applicant","All","18875","17705","0.9380000000000001"
"2011","Lower tariff","All","Not main scheme applicant","All","15145","13725","0.906"
"2012","Lower tariff","All","Not main scheme applicant","All","19990","18295","0.915"
"2013","Lower tariff","All","Not main scheme applicant","All","24180","22575","0.934"
"2014","Lower tariff","All","Not main scheme applicant","All","26620","24980","0.9390000000000001"
"2015","Lower tariff","All","Not main scheme applicant","All","27695","25940","0.936"
"2016","Lower tariff","All","Not main scheme applicant","All","26310","24550","0.933"
"2017","Lower tariff","All","Not main scheme applicant","All","31470","29165","0.927"
"2018","Lower tariff","All","Not main scheme applicant","All","39245","37135","0.9460000000000001"
"2019","Lower tariff","All","Not main scheme applicant","All","47320","44595","0.9420000000000001"
"2020","Lower tariff","All","Not main scheme applicant","All","49280","45960","0.933"
"2021","Lower tariff","All","Not main scheme applicant","All","48675","45495","0.935"
"2022","Lower tariff","All","Not main scheme applicant","All","58515","54615","0.933"
"2023","Lower tariff","All","Not main scheme applicant","All","56960","52490","0.922"
"2006","Higher tariff","All","Not main scheme applicant","All","3090","2985","0.965"
"2007","Higher tariff","All","Not main scheme applicant","All","3150","3010","0.9560000000000001"
"2008","Higher tariff","All","Not main scheme applicant","All","3530","3365","0.9530000000000001"
"2009","Higher tariff","All","Not main scheme applicant","All","3165","2925","0.923"
"2010","Higher tariff","All","Not main scheme applicant","All","2280","2125","0.932"
"2011","Higher tariff","All","Not main scheme applicant","All","2330","2170","0.93"
"2012","Higher tariff","All","Not main scheme applicant","All","2730","2545","0.932"
"2013","Higher tariff","All","Not main scheme applicant","All","3015","2850","0.9460000000000001"
"2014","Higher tariff","All","Not main scheme applicant","All","2795","2605","0.932"
"2015","Higher tariff","All","Not main scheme applicant","All","3065","2875","0.9380000000000001"
"2016","Higher tariff","All","Not main scheme applicant","All","3200","2975","0.93"
"2017","Higher tariff","All","Not main scheme applicant","All","3465","3170","0.915"
"2018","Higher tariff","All","Not main scheme applicant","All","3780","3450","0.913"
"2019","Higher tariff","All","Not main scheme applicant","All","4100","3800","0.926"
"2020","Higher tariff","All","Not main scheme applicant","All","4825","4290","0.89"
"2021","Higher tariff","All","Not main scheme applicant","All","3195","2925","0.914"
"2022","Higher tariff","All","Not main scheme applicant","All","3440","2985","0.868"
"2023","Higher tariff","All","Not main scheme applicant","All","3430","3005","0.876"
"2006","Medium tariff","All","Not main scheme applicant","All","9490","9260","0.976"
"2007","Medium tariff","All","Not main scheme applicant","All","9985","9775","0.979"
"2008","Medium tariff","All","Not main scheme applicant","All","12240","11950","0.977"
"2009","Medium tariff","All","Not main scheme applicant","All","10740","10230","0.9530000000000001"
"2010","Medium tariff","All","Not main scheme applicant","All","11535","11150","0.966"
"2011","Medium tariff","All","Not main scheme applicant","All","8005","7665","0.9580000000000001"
"2012","Medium tariff","All","Not main scheme applicant","All","9395","8920","0.9490000000000001"
"2013","Medium tariff","All","Not main scheme applicant","All","8950","8465","0.9460000000000001"
"2014","Medium tariff","All","Not main scheme applicant","All","6505","5990","0.921"
"2015","Medium tariff","All","Not main scheme applicant","All","9340","8695","0.931"
"2016","Medium tariff","All","Not main scheme applicant","All","9500","8875","0.934"
"2017","Medium tariff","All","Not main scheme applicant","All","11100","10330","0.93"
"2018","Medium tariff","All","Not main scheme applicant","All","12035","11230","0.933"
"2019","Medium tariff","All","Not main scheme applicant","All","13100","12100","0.924"
"2020","Medium tariff","All","Not main scheme applicant","All","16130","14750","0.914"
"2021","Medium tariff","All","Not main scheme applicant","All","12370","11240","0.909"
"2022","Medium tariff","All","Not main scheme applicant","All","16255","14610","0.899"
"2023","Medium tariff","All","Not main scheme applicant","All","24130","22055","0.914"
"2006","Lower tariff","All","Main scheme applicant","All","279150","135200","0.484"
"2007","Lower tariff","All","Main scheme applicant","All","293560","142015","0.484"
"2008","Lower tariff","All","Main scheme applicant","All","309675","158170","0.511"
"2009","Lower tariff","All","Main scheme applicant","All","345680","178845","0.517"
"2010","Lower tariff","All","Main scheme applicant","All","396120","190690","0.481"
"2011","Lower tariff","All","Main scheme applicant","All","417475","204055","0.489"
"2012","Lower tariff","All","Main scheme applicant","All","375145","177765","0.47400000000000003"
"2013","Lower tariff","All","Main scheme applicant","All","381700","187425","0.491"
"2014","Lower tariff","All","Main scheme applicant","All","395540","194540","0.492"
"2015","Lower tariff","All","Main scheme applicant","All","396585","195070","0.492"
"2016","Lower tariff","All","Main scheme applicant","All","391595","190110","0.485"
"2017","Lower tariff","All","Main scheme applicant","All","366515","179755","0.49"
"2018","Lower tariff","All","Main scheme applicant","All","350580","173535","0.495"
"2019","Lower tariff","All","Main scheme applicant","All","345910","170330","0.492"
"2020","Lower tariff","All","Main scheme applicant","All","350265","171400","0.489"
"2021","Lower tariff","All","Main scheme applicant","All","366910","167775","0.457"
"2022","Lower tariff","All","Main scheme applicant","All","375815","170205","0.453"
"2023","Lower tariff","All","Main scheme applicant","All","363800","160630","0.442"
"2006","Higher tariff","All","Main scheme applicant","All","260515","109095","0.419"
"2007","Higher tariff","All","Main scheme applicant","All","273855","114365","0.418"
"2008","Higher tariff","All","Main scheme applicant","All","286775","121920","0.425"
"2009","Higher tariff","All","Main scheme applicant","All","304415","122900","0.404"
"2010","Higher tariff","All","Main scheme applicant","All","331185","121845","0.368"
"2011","Higher tariff","All","Main scheme applicant","All","333070","119215","0.358"
"2012","Higher tariff","All","Main scheme applicant","All","317295","120740","0.381"
"2013","Higher tariff","All","Main scheme applicant","All","331120","128760","0.389"
"2014","Higher tariff","All","Main scheme applicant","All","345050","133240","0.386"
"2015","Higher tariff","All","Main scheme applicant","All","363885","142460","0.391"
"2016","Higher tariff","All","Main scheme applicant","All","372840","146390","0.393"
"2017","Higher tariff","All","Main scheme applicant","All","370960","146720","0.396"
"2018","Higher tariff","All","Main scheme applicant","All","369135","146840","0.398"
"2019","Higher tariff","All","Main scheme applicant","All","376705","150155","0.399"
"2020","Higher tariff","All","Main scheme applicant","All","387280","170035","0.439"
"2021","Higher tariff","All","Main scheme applicant","All","416450","173725","0.417"
"2022","Higher tariff","All","Main scheme applicant","All","423135","159070","0.376"
"2023","Higher tariff","All","Main scheme applicant","All","416835","159820","0.383"
"2006","Medium tariff","All","Main scheme applicant","All","304905","112830","0.37"
"2007","Medium tariff","All","Main scheme applicant","All","324800","120905","0.372"
"2008","Medium tariff","All","Main scheme applicant","All","338960","133605","0.394"
"2009","Medium tariff","All","Main scheme applicant","All","371560","140405","0.378"
"2010","Medium tariff","All","Main scheme applicant","All","424750","143815","0.339"
"2011","Medium tariff","All","Main scheme applicant","All","443210","145200","0.328"
"2012","Medium tariff","All","Main scheme applicant","All","405735","136645","0.337"
"2013","Medium tariff","All","Main scheme applicant","All","420370","145525","0.34600000000000003"
"2014","Medium tariff","All","Main scheme applicant","All","435705","151015","0.34700000000000003"
"2015","Medium tariff","All","Main scheme applicant","All","447260","157230","0.352"
"2016","Medium tariff","All","Main scheme applicant","All","448430","162280","0.362"
"2017","Medium tariff","All","Main scheme applicant","All","431485","164750","0.382"
"2018","Medium tariff","All","Main scheme applicant","All","420370","161175","0.383"
"2019","Medium tariff","All","Main scheme applicant","All","417640","160260","0.384"
"2020","Medium tariff","All","Main scheme applicant","All","419930","164035","0.391"
"2021","Medium tariff","All","Main scheme applicant","All","438120","160900","0.367"
"2022","Medium tariff","All","Main scheme applicant","All","446675","161690","0.362"
"2023","Medium tariff","All","Main scheme applicant","All","434775","156465","0.36"
"2006","All","All","Not main scheme applicant","All","34415","33765","0.981"
"2007","All","All","Not main scheme applicant","All","36905","36145","0.979"
"2008","All","All","Not main scheme applicant","All","44225","42930","0.971"
"2009","All","All","Not main scheme applicant","All","41965","39705","0.9460000000000001"
"2010","All","All","Not main scheme applicant","All","32690","30980","0.9480000000000001"
"2011","All","All","Not main scheme applicant","All","25480","23560","0.925"
"2012","All","All","Not main scheme applicant","All","32115","29760","0.927"
"2013","All","All","Not main scheme applicant","All","36145","33890","0.9380000000000001"
"2014","All","All","Not main scheme applicant","All","35920","33575","0.935"
"2015","All","All","Not main scheme applicant","All","40100","37505","0.935"
"2016","All","All","Not main scheme applicant","All","39010","36400","0.933"
"2017","All","All","Not main scheme applicant","All","46035","42665","0.927"
"2018","All","All","Not main scheme applicant","All","55060","51815","0.9410000000000001"
"2019","All","All","Not main scheme applicant","All","64520","60495","0.9380000000000001"
"2020","All","All","Not main scheme applicant","All","70235","65005","0.926"
"2021","All","All","Not main scheme applicant","All","64240","59655","0.929"
"2022","All","All","Not main scheme applicant","All","78210","72210","0.923"
"2023","All","All","Not main scheme applicant","All","84520","77555","0.918"
"2006","All","All","Main scheme applicant","All","467200","357125","0.764"
"2007","All","All","Main scheme applicant","All","492740","377285","0.766"
"2008","All","All","Main scheme applicant","All","538110","413695","0.769"
"2009","All","All","Main scheme applicant","All","590185","442150","0.749"
"2010","All","All","Main scheme applicant","All","657955","456350","0.6940000000000001"
"2011","All","All","Main scheme applicant","All","667950","468470","0.7010000000000001"
"2012","All","All","Main scheme applicant","All","616520","435150","0.706"
"2013","All","All","Main scheme applicant","All","635780","461705","0.726"
"2014","All","All","Main scheme applicant","All","658895","478790","0.727"
"2015","All","All","Main scheme applicant","All","672900","494760","0.735"
"2016","All","All","Main scheme applicant","All","674740","498775","0.739"
"2017","All","All","Main scheme applicant","All","649565","491225","0.756"
"2018","All","All","Main scheme applicant","All","636820","481550","0.756"
"2019","All","All","Main scheme applicant","All","637950","480745","0.754"
"2020","All","All","Main scheme applicant","All","652675","505470","0.774"
"2021","All","All","Main scheme applicant","All","681880","502405","0.737"
"2022","All","All","Main scheme applicant","All","683530","490965","0.718"
"2023","All","All","Main scheme applicant","All","667505","476910","0.714"
"2006","Lower tariff","Not deferred","All","All","289050","148480","0.514"
"2007","Lower tariff","Not deferred","All","All","305745","157070","0.514"
"2008","Lower tariff","Not deferred","All","All","326410","176485","0.541"
"2009","Lower tariff","Not deferred","All","All","361655","195555","0.541"
"2010","Lower tariff","Not deferred","All","All","403220","198615","0.493"
"2011","Lower tariff","Not deferred","All","All","426900","213340","0.5"
"2012","Lower tariff","Not deferred","All","All","386580","187765","0.486"
"2013","Lower tariff","Not deferred","All","All","397545","200800","0.505"
"2014","Lower tariff","Not deferred","All","All","413425","209435","0.507"
"2015","Lower tariff","Not deferred","All","All","415295","210630","0.507"
"2016","Lower tariff","Not deferred","All","All","408915","204625","0.5"
"2017","Lower tariff","Not deferred","All","All","388925","198735","0.511"
"2018","Lower tariff","Not deferred","All","All","380810","201130","0.528"
"2019","Lower tariff","Not deferred","All","All","384600","205760","0.535"
"2020","Lower tariff","Not deferred","All","All","391080","207440","0.53"
"2021","Lower tariff","Not deferred","All","All","405980","203285","0.501"
"2022","Lower tariff","Not deferred","All","All","425825","215780","0.507"
"2023","Lower tariff","Not deferred","All","All","411840","203900","0.495"
"2006","Higher tariff","Not deferred","All","All","247465","101045","0.40800000000000003"
"2007","Higher tariff","Not deferred","All","All","261270","106370","0.40700000000000003"
"2008","Higher tariff","Not deferred","All","All","274595","114010","0.41500000000000004"
"2009","Higher tariff","Not deferred","All","All","292095","114980","0.394"
"2010","Higher tariff","Not deferred","All","All","318605","114000","0.358"
"2011","Higher tariff","Not deferred","All","All","327085","116730","0.357"
"2012","Higher tariff","Not deferred","All","All","308800","115360","0.374"
"2013","Higher tariff","Not deferred","All","All","323980","123670","0.382"
"2014","Higher tariff","Not deferred","All","All","337460","127470","0.378"
"2015","Higher tariff","Not deferred","All","All","355820","136395","0.383"
"2016","Higher tariff","Not deferred","All","All","365295","140520","0.385"
"2017","Higher tariff","Not deferred","All","All","363310","140320","0.386"
"2018","Higher tariff","Not deferred","All","All","362125","140515","0.388"
"2019","Higher tariff","Not deferred","All","All","369740","143760","0.389"
"2020","Higher tariff","Not deferred","All","All","382015","160560","0.42"
"2021","Higher tariff","Not deferred","All","All","407135","162065","0.398"
"2022","Higher tariff","Not deferred","All","All","415590","151230","0.364"
"2023","Higher tariff","Not deferred","All","All","408620","151380","0.37"
"2006","Medium tariff","Not deferred","All","All","297855","113300","0.38"
"2007","Medium tariff","Not deferred","All","All","318510","121670","0.382"
"2008","Medium tariff","Not deferred","All","All","335065","135855","0.405"
"2009","Medium tariff","Not deferred","All","All","366085","141245","0.386"
"2010","Medium tariff","Not deferred","All","All","420015","145440","0.34600000000000003"
"2011","Medium tariff","Not deferred","All","All","442710","148745","0.336"
"2012","Medium tariff","Not deferred","All","All","402770","137590","0.342"
"2013","Medium tariff","Not deferred","All","All","417735","145600","0.34900000000000003"
"2014","Medium tariff","Not deferred","All","All","430775","148105","0.34400000000000003"
"2015","Medium tariff","Not deferred","All","All","444605","156440","0.352"
"2016","Medium tariff","Not deferred","All","All","445920","161005","0.361"
"2017","Medium tariff","Not deferred","All","All","430400","163735","0.38"
"2018","Medium tariff","Not deferred","All","All","420395","161355","0.384"
"2019","Medium tariff","Not deferred","All","All","418670","161395","0.385"
"2020","Medium tariff","Not deferred","All","All","424485","166745","0.393"
"2021","Medium tariff","Not deferred","All","All","436830","159920","0.366"
"2022","Medium tariff","Not deferred","All","All","450650","165195","0.367"
"2023","Medium tariff","Not deferred","All","All","445625","165985","0.372"
"2006","Lower tariff","Deferred","All","All","17820","8240","0.462"
"2007","Lower tariff","Deferred","All","All","17795","8305","0.467"
"2008","Lower tariff","Deferred","All","All","18715","9300","0.497"
"2009","Lower tariff","Deferred","All","All","19830","9840","0.496"
"2010","Lower tariff","Deferred","All","All","22180","9780","0.441"
"2011","Lower tariff","Deferred","All","All","12415","4445","0.358"
"2012","Lower tariff","Deferred","All","All","17405","8295","0.47700000000000004"
"2013","Lower tariff","Deferred","All","All","17465","9200","0.527"
"2014","Lower tariff","Deferred","All","All","18895","10085","0.534"
