"Year","Predicted SQA higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","20 point(s)","Quintile 5","Main scheme applicant","All","25","25","0.92","0"
"2021","20 point(s)","Quintile 5","Main scheme applicant","All","30","20","0.759","0"
"2022","20 point(s)","Quintile 5","Main scheme applicant","All","15","15","0.765","0"
"2023","20 point(s)","Quintile 5","Main scheme applicant","All","25","15","0.6960000000000001","0"
"2015","All","Unknown","Main scheme applicant","All","5","0"," ","0"
"2010","All","Quintile 1","Main scheme applicant","All","30","20","0.6900000000000001","0"
"2011","All","Quintile 1","Main scheme applicant","All","20","10","0.611","0"
"2012","All","Quintile 1","Main scheme applicant","All","20","10","0.5","0"
"2013","All","Quintile 1","Main scheme applicant","All","25","15","0.654","0"
"2014","All","Quintile 1","Main scheme applicant","All","45","20","0.488","0"
"2015","All","Quintile 1","Main scheme applicant","All","55","30","0.5740000000000001","0"
"2016","All","Quintile 1","Main scheme applicant","All","35","20","0.543","0"
"2017","All","Quintile 1","Main scheme applicant","All","35","20","0.588","0"
"2018","All","Quintile 1","Main scheme applicant","All","35","20","0.647","0"
"2019","All","Quintile 1","Main scheme applicant","All","40","25","0.675","0"
"2020","All","Quintile 1","Main scheme applicant","All","45","40","0.864","0"
"2021","All","Quintile 1","Main scheme applicant","All","40","30","0.75","0"
"2022","All","Quintile 1","Main scheme applicant","All","30","15","0.5710000000000001","0"
"2023","All","Quintile 1","Main scheme applicant","All","40","30","0.75","0"
"2010","All","Quintile 2","Main scheme applicant","All","40","25","0.667","0"
"2011","All","Quintile 2","Main scheme applicant","All","50","25","0.531","0"
"2012","All","Quintile 2","Main scheme applicant","All","60","30","0.492","0"
"2013","All","Quintile 2","Main scheme applicant","All","60","40","0.655","0"
"2014","All","Quintile 2","Main scheme applicant","All","85","40","0.458","0"
"2015","All","Quintile 2","Main scheme applicant","All","65","35","0.5","0"
"2016","All","Quintile 2","Main scheme applicant","All","75","40","0.562","0"
"2017","All","Quintile 2","Main scheme applicant","All","50","30","0.625","0"
"2018","All","Quintile 2","Main scheme applicant","All","60","40","0.623","0"
"2019","All","Quintile 2","Main scheme applicant","All","60","40","0.623","0"
"2020","All","Quintile 2","Main scheme applicant","All","85","70","0.8210000000000001","0"
"2021","All","Quintile 2","Main scheme applicant","All","70","55","0.797","0"
"2022","All","Quintile 2","Main scheme applicant","All","50","35","0.735","0"
"2023","All","Quintile 2","Main scheme applicant","All","55","40","0.7020000000000001","0"
"2010","All","Quintile 3","Main scheme applicant","All","75","45","0.597","0"
"2011","All","Quintile 3","Main scheme applicant","All","75","40","0.521","0"
"2012","All","Quintile 3","Main scheme applicant","All","100","50","0.515","0"
"2013","All","Quintile 3","Main scheme applicant","All","75","45","0.592","0"
"2014","All","Quintile 3","Main scheme applicant","All","90","50","0.544","0"
"2015","All","Quintile 3","Main scheme applicant","All","95","55","0.552","0"
"2016","All","Quintile 3","Main scheme applicant","All","90","40","0.461","0"
"2017","All","Quintile 3","Main scheme applicant","All","75","50","0.658","0"
"2018","All","Quintile 3","Main scheme applicant","All","95","60","0.66","0"
"2019","All","Quintile 3","Main scheme applicant","All","50","30","0.5710000000000001","0"
"2020","All","Quintile 3","Main scheme applicant","All","85","65","0.771","0"
"2021","All","Quintile 3","Main scheme applicant","All","85","65","0.795","0"
"2022","All","Quintile 3","Main scheme applicant","All","70","55","0.783","0"
"2023","All","Quintile 3","Main scheme applicant","All","65","45","0.73","0"
"2010","All","Quintile 4","Main scheme applicant","All","95","60","0.634","0"
"2011","All","Quintile 4","Main scheme applicant","All","95","50","0.553","0"
"2012","All","Quintile 4","Main scheme applicant","All","120","60","0.525","0"
