"Year","Predicted A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","12 point(s)","Mixed","Main scheme applicant","Main scheme application","900","625","0.6960000000000001","0"
"2018","12 point(s)","Mixed","Main scheme applicant","Main scheme application","960","670","0.6990000000000001","0"
"2019","12 point(s)","Mixed","Main scheme applicant","Main scheme application","910","630","0.6920000000000001","0"
"2020","12 point(s)","Mixed","Main scheme applicant","Main scheme application","980","695","0.708","0"
"2021","12 point(s)","Mixed","Main scheme applicant","Main scheme application","1125","830","0.735","0"
"2022","12 point(s)","Mixed","Main scheme applicant","Main scheme application","1120","810","0.724","0"
"2023","12 point(s)","Mixed","Main scheme applicant","Main scheme application","1025","680","0.665","0"
"2010","13 point(s)","Mixed","Main scheme applicant","Main scheme application","720","510","0.706","0"
"2011","13 point(s)","Mixed","Main scheme applicant","Main scheme application","750","540","0.723","0"
"2012","13 point(s)","Mixed","Main scheme applicant","Main scheme application","760","545","0.714","0"
"2013","13 point(s)","Mixed","Main scheme applicant","Main scheme application","775","550","0.71","0"
"2014","13 point(s)","Mixed","Main scheme applicant","Main scheme application","875","605","0.6910000000000001","0"
"2015","13 point(s)","Mixed","Main scheme applicant","Main scheme application","995","695","0.6990000000000001","0"
"2016","13 point(s)","Mixed","Main scheme applicant","Main scheme application","1050","745","0.706","0"
"2017","13 point(s)","Mixed","Main scheme applicant","Main scheme application","1095","745","0.678","0"
"2018","13 point(s)","Mixed","Main scheme applicant","Main scheme application","1040","740","0.712","0"
"2019","13 point(s)","Mixed","Main scheme applicant","Main scheme application","1105","745","0.671","0"
"2020","13 point(s)","Mixed","Main scheme applicant","Main scheme application","1120","740","0.662","0"
"2021","13 point(s)","Mixed","Main scheme applicant","Main scheme application","1265","985","0.777","0"
"2022","13 point(s)","Mixed","Main scheme applicant","Main scheme application","1230","845","0.6880000000000001","0"
"2023","13 point(s)","Mixed","Main scheme applicant","Main scheme application","1310","875","0.669","0"
"2010","14 point(s)","Mixed","Main scheme applicant","Main scheme application","680","500","0.737","0"
"2011","14 point(s)","Mixed","Main scheme applicant","Main scheme application","765","565","0.734","0"
"2012","14 point(s)","Mixed","Main scheme applicant","Main scheme application","770","545","0.707","0"
"2013","14 point(s)","Mixed","Main scheme applicant","Main scheme application","845","625","0.736","0"
"2014","14 point(s)","Mixed","Main scheme applicant","Main scheme application","855","625","0.732","0"
"2015","14 point(s)","Mixed","Main scheme applicant","Main scheme application","1040","745","0.719","0"
"2016","14 point(s)","Mixed","Main scheme applicant","Main scheme application","1035","720","0.6980000000000001","0"
"2017","14 point(s)","Mixed","Main scheme applicant","Main scheme application","1175","820","0.6980000000000001","0"
"2018","14 point(s)","Mixed","Main scheme applicant","Main scheme application","1160","790","0.682","0"
"2019","14 point(s)","Mixed","Main scheme applicant","Main scheme application","1155","750","0.648","0"
"2020","14 point(s)","Mixed","Main scheme applicant","Main scheme application","1225","840","0.687","0"
"2021","14 point(s)","Mixed","Main scheme applicant","Main scheme application","1335","1035","0.774","0"
"2022","14 point(s)","Mixed","Main scheme applicant","Main scheme application","1465","1045","0.713","0"
"2023","14 point(s)","Mixed","Main scheme applicant","Main scheme application","1480","980","0.664","0"
"2010","15 point(s)","Mixed","Main scheme applicant","Main scheme application","895","680","0.76","0"
"2011","15 point(s)","Mixed","Main scheme applicant","Main scheme application","925","715","0.774","0"
"2012","15 point(s)","Mixed","Main scheme applicant","Main scheme application","845","635","0.75","0"
"2013","15 point(s)","Mixed","Main scheme applicant","Main scheme application","920","700","0.763","0"
"2014","15 point(s)","Mixed","Main scheme applicant","Main scheme application","890","700","0.786","0"
"2015","15 point(s)","Mixed","Main scheme applicant","Main scheme application","965","765","0.794","0"
"2016","15 point(s)","Mixed","Main scheme applicant","Main scheme application","965","720","0.743","0"
"2017","15 point(s)","Mixed","Main scheme applicant","Main scheme application","1125","810","0.717","0"
"2018","15 point(s)","Mixed","Main scheme applicant","Main scheme application","1210","870","0.719","0"
"2019","15 point(s)","Mixed","Main scheme applicant","Main scheme application","1280","855","0.671","0"
"2020","15 point(s)","Mixed","Main scheme applicant","Main scheme application","1365","920","0.673","0"
"2021","15 point(s)","Mixed","Main scheme applicant","Main scheme application","1480","1160","0.783","0"
"2022","15 point(s)","Mixed","Main scheme applicant","Main scheme application","1640","1125","0.686","0"
"2023","15 point(s)","Mixed","Main scheme applicant","Main scheme application","1725","1175","0.682","0"
"2010","16 point(s)","Mixed","Main scheme applicant","Main scheme application","330","265","0.805","0"
"2011","16 point(s)","Mixed","Main scheme applicant","Main scheme application","515","405","0.788","0"
"2012","16 point(s)","Mixed","Main scheme applicant","Main scheme application","580","455","0.785","0"
"2013","16 point(s)","Mixed","Main scheme applicant","Main scheme application","645","505","0.781","0"
"2014","16 point(s)","Mixed","Main scheme applicant","Main scheme application","645","510","0.791","0"
"2015","16 point(s)","Mixed","Main scheme applicant","Main scheme application","735","570","0.778","0"
"2016","16 point(s)","Mixed","Main scheme applicant","Main scheme application","780","605","0.772","0"
"2017","16 point(s)","Mixed","Main scheme applicant","Main scheme application","855","650","0.759","0"
"2018","16 point(s)","Mixed","Main scheme applicant","Main scheme application","890","665","0.751","0"
"2019","16 point(s)","Mixed","Main scheme applicant","Main scheme application","1040","745","0.715","0"
"2020","16 point(s)","Mixed","Main scheme applicant","Main scheme application","1100","820","0.745","0"
"2021","16 point(s)","Mixed","Main scheme applicant","Main scheme application","1225","975","0.796","0"
"2022","16 point(s)","Mixed","Main scheme applicant","Main scheme application","1460","1060","0.726","0"
"2023","16 point(s)","Mixed","Main scheme applicant","Main scheme application","1665","1150","0.6890000000000001","0"
"2010","17 point(s)","Mixed","Main scheme applicant","Main scheme application","260","220","0.839","0"
"2011","17 point(s)","Mixed","Main scheme applicant","Main scheme application","320","275","0.865","0"
"2012","17 point(s)","Mixed","Main scheme applicant","Main scheme application","370","315","0.848","0"
"2013","17 point(s)","Mixed","Main scheme applicant","Main scheme application","415","350","0.845","0"
"2014","17 point(s)","Mixed","Main scheme applicant","Main scheme application","450","385","0.851","0"
"2015","17 point(s)","Mixed","Main scheme applicant","Main scheme application","470","395","0.839","0"
"2016","17 point(s)","Mixed","Main scheme applicant","Main scheme application","560","450","0.807","0"
"2017","17 point(s)","Mixed","Main scheme applicant","Main scheme application","560","455","0.812","0"
"2018","17 point(s)","Mixed","Main scheme applicant","Main scheme application","610","490","0.807","0"
"2019","17 point(s)","Mixed","Main scheme applicant","Main scheme application","740","575","0.78","0"
"2020","17 point(s)","Mixed","Main scheme applicant","Main scheme application","820","635","0.771","0"
"2021","17 point(s)","Mixed","Main scheme applicant","Main scheme application","950","805","0.849","0"
"2022","17 point(s)","Mixed","Main scheme applicant","Main scheme application","1150","865","0.753","0"
"2023","17 point(s)","Mixed","Main scheme applicant","Main scheme application","1370","1020","0.743","0"
"2010","18 point(s)","Mixed","Main scheme applicant","Main scheme application","315","280","0.877","0"
"2011","18 point(s)","Mixed","Main scheme applicant","Main scheme application","385","345","0.893","0"
"2012","18 point(s)","Mixed","Main scheme applicant","Main scheme application","430","370","0.856","0"
"2013","18 point(s)","Mixed","Main scheme applicant","Main scheme application","455","400","0.885","0"
"2014","18 point(s)","Mixed","Main scheme applicant","Main scheme application","500","450","0.896","0"
"2015","18 point(s)","Mixed","Main scheme applicant","Main scheme application","505","455","0.903","0"
"2016","18 point(s)","Mixed","Main scheme applicant","Main scheme application","565","500","0.885","0"
"2017","18 point(s)","Mixed","Main scheme applicant","Main scheme application","630","555","0.879","0"
"2018","18 point(s)","Mixed","Main scheme applicant","Main scheme application","595","505","0.85","0"
"2019","18 point(s)","Mixed","Main scheme applicant","Main scheme application","770","650","0.839","0"
"2020","18 point(s)","Mixed","Main scheme applicant","Main scheme application","865","735","0.85","0"
"2021","18 point(s)","Mixed","Main scheme applicant","Main scheme application","1060","940","0.888","0"
"2022","18 point(s)","Mixed","Main scheme applicant","Main scheme application","1465","1225","0.835","0"
"2023","18 point(s)","Mixed","Main scheme applicant","Main scheme application","1765","1455","0.8240000000000001","0"
"2022","3 point(s)","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","4 point(s)","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","4 point(s)","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","4 point(s)","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","4 point(s)","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","4 point(s)","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","4 point(s)","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","5 point(s)","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","5 point(s)","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2013","5 point(s)","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2014","5 point(s)","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","5 point(s)","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","5 point(s)","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","5 point(s)","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","5 point(s)","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","5 point(s)","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","5 point(s)","Other","Main scheme applicant","Main scheme application","20","10"," ","0"
"2010","6 point(s)","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","6 point(s)","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","6 point(s)","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2013","6 point(s)","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","6 point(s)","Other","Main scheme applicant","Main scheme application","15","10"," ","0"
"2015","6 point(s)","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2016","6 point(s)","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","6 point(s)","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","6 point(s)","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","6 point(s)","Other","Main scheme applicant","Main scheme application","15","5"," ","0"
"2020","6 point(s)","Other","Main scheme applicant","Main scheme application","15","10","0.857","0"
"2021","6 point(s)","Other","Main scheme applicant","Main scheme application","25","15","0.556","0"
"2022","6 point(s)","Other","Main scheme applicant","Main scheme application","20","5"," ","0"
"2023","6 point(s)","Other","Main scheme applicant","Main scheme application","30","10","0.41400000000000003","0"
"2010","7 point(s)","Other","Main scheme applicant","Main scheme application","30","10"," ","0"
"2011","7 point(s)","Other","Main scheme applicant","Main scheme application","25","10","0.435","0"
"2012","7 point(s)","Other","Main scheme applicant","Main scheme application","25","10","0.423","0"
"2013","7 point(s)","Other","Main scheme applicant","Main scheme application","20","10","0.5","0"
"2014","7 point(s)","Other","Main scheme applicant","Main scheme application","15","10","0.733","0"
"2015","7 point(s)","Other","Main scheme applicant","Main scheme application","25","10","0.47800000000000004","0"
"2016","7 point(s)","Other","Main scheme applicant","Main scheme application","25","10","0.435","0"
"2017","7 point(s)","Other","Main scheme applicant","Main scheme application","20","5"," ","0"
"2018","7 point(s)","Other","Main scheme applicant","Main scheme application","20","10","0.5710000000000001","0"
"2019","7 point(s)","Other","Main scheme applicant","Main scheme application","20","10","0.5710000000000001","0"
"2020","7 point(s)","Other","Main scheme applicant","Main scheme application","20","10","0.55","0"
"2021","7 point(s)","Other","Main scheme applicant","Main scheme application","30","15","0.533","0"
"2022","7 point(s)","Other","Main scheme applicant","Main scheme application","55","30","0.547","0"
"2023","7 point(s)","Other","Main scheme applicant","Main scheme application","40","15","0.317","0"
"2010","8 point(s)","Other","Main scheme applicant","Main scheme application","60","30","0.542","0"
"2011","8 point(s)","Other","Main scheme applicant","Main scheme application","45","15","0.318","0"
"2012","8 point(s)","Other","Main scheme applicant","Main scheme application","55","30","0.491","0"
"2013","8 point(s)","Other","Main scheme applicant","Main scheme application","40","20","0.47600000000000003","0"
"2014","8 point(s)","Other","Main scheme applicant","Main scheme application","55","30","0.528","0"
"2015","8 point(s)","Other","Main scheme applicant","Main scheme application","60","35","0.617","0"
"2016","8 point(s)","Other","Main scheme applicant","Main scheme application","50","30","0.58","0"
"2017","8 point(s)","Other","Main scheme applicant","Main scheme application","45","25","0.553","0"
"2018","8 point(s)","Other","Main scheme applicant","Main scheme application","45","25","0.522","0"
"2019","8 point(s)","Other","Main scheme applicant","Main scheme application","50","25","0.54","0"
"2020","8 point(s)","Other","Main scheme applicant","Main scheme application","60","30","0.5","0"
"2021","8 point(s)","Other","Main scheme applicant","Main scheme application","60","45","0.746","0"
"2022","8 point(s)","Other","Main scheme applicant","Main scheme application","80","45","0.582","0"
"2023","8 point(s)","Other","Main scheme applicant","Main scheme application","70","35","0.5","0"
"2010","9 point(s)","Other","Main scheme applicant","Main scheme application","90","50","0.5670000000000001","0"
"2011","9 point(s)","Other","Main scheme applicant","Main scheme application","115","70","0.598","0"
"2012","9 point(s)","Other","Main scheme applicant","Main scheme application","90","45","0.484","0"
"2013","9 point(s)","Other","Main scheme applicant","Main scheme application","90","50","0.5710000000000001","0"
"2014","9 point(s)","Other","Main scheme applicant","Main scheme application","90","55","0.6","0"
"2015","9 point(s)","Other","Main scheme applicant","Main scheme application","105","70","0.676","0"
"2016","9 point(s)","Other","Main scheme applicant","Main scheme application","90","55","0.626","0"
"2017","9 point(s)","Other","Main scheme applicant","Main scheme application","115","70","0.619","0"
"2018","9 point(s)","Other","Main scheme applicant","Main scheme application","110","65","0.62","0"
"2019","9 point(s)","Other","Main scheme applicant","Main scheme application","110","60","0.518","0"
"2020","9 point(s)","Other","Main scheme applicant","Main scheme application","110","75","0.652","0"
"2021","9 point(s)","Other","Main scheme applicant","Main scheme application","150","90","0.611","0"
"2022","9 point(s)","Other","Main scheme applicant","Main scheme application","170","100","0.587","0"
"2023","9 point(s)","Other","Main scheme applicant","Main scheme application","175","95","0.534","0"
"2010","10 point(s)","Other","Main scheme applicant","Main scheme application","135","85","0.606","0"
"2011","10 point(s)","Other","Main scheme applicant","Main scheme application","105","60","0.602","0"
"2012","10 point(s)","Other","Main scheme applicant","Main scheme application","135","90","0.674","0"
"2013","10 point(s)","Other","Main scheme applicant","Main scheme application","135","75","0.547","0"
"2014","10 point(s)","Other","Main scheme applicant","Main scheme application","145","95","0.657","0"
"2015","10 point(s)","Other","Main scheme applicant","Main scheme application","145","90","0.615","0"
"2016","10 point(s)","Other","Main scheme applicant","Main scheme application","160","95","0.604","0"
"2017","10 point(s)","Other","Main scheme applicant","Main scheme application","145","90","0.632","0"
"2018","10 point(s)","Other","Main scheme applicant","Main scheme application","155","95","0.592","0"
"2019","10 point(s)","Other","Main scheme applicant","Main scheme application","165","100","0.626","0"
"2020","10 point(s)","Other","Main scheme applicant","Main scheme application","195","130","0.668","0"
"2021","10 point(s)","Other","Main scheme applicant","Main scheme application","205","145","0.705","0"
"2022","10 point(s)","Other","Main scheme applicant","Main scheme application","225","135","0.598","0"
"2023","10 point(s)","Other","Main scheme applicant","Main scheme application","245","145","0.597","0"
"2010","11 point(s)","Other","Main scheme applicant","Main scheme application","150","95","0.625","0"
"2011","11 point(s)","Other","Main scheme applicant","Main scheme application","180","110","0.629","0"
"2012","11 point(s)","Other","Main scheme applicant","Main scheme application","160","85","0.525","0"
"2013","11 point(s)","Other","Main scheme applicant","Main scheme application","165","105","0.633","0"
"2014","11 point(s)","Other","Main scheme applicant","Main scheme application","200","110","0.545","0"
"2015","11 point(s)","Other","Main scheme applicant","Main scheme application","220","145","0.662","0"
"2016","11 point(s)","Other","Main scheme applicant","Main scheme application","215","125","0.592","0"
"2017","11 point(s)","Other","Main scheme applicant","Main scheme application","245","150","0.623","0"
"2018","11 point(s)","Other","Main scheme applicant","Main scheme application","220","145","0.647","0"
"2019","11 point(s)","Other","Main scheme applicant","Main scheme application","215","145","0.659","0"
"2020","11 point(s)","Other","Main scheme applicant","Main scheme application","245","150","0.613","0"
"2021","11 point(s)","Other","Main scheme applicant","Main scheme application","295","205","0.687","0"
"2022","11 point(s)","Other","Main scheme applicant","Main scheme application","335","220","0.654","0"
"2023","11 point(s)","Other","Main scheme applicant","Main scheme application","335","200","0.602","0"
"2010","12 point(s)","Other","Main scheme applicant","Main scheme application","180","125","0.6910000000000001","0"
"2011","12 point(s)","Other","Main scheme applicant","Main scheme application","185","115","0.629","0"
"2012","12 point(s)","Other","Main scheme applicant","Main scheme application","220","130","0.587","0"
"2013","12 point(s)","Other","Main scheme applicant","Main scheme application","235","160","0.679","0"
"2014","12 point(s)","Other","Main scheme applicant","Main scheme application","235","145","0.606","0"
"2015","12 point(s)","Other","Main scheme applicant","Main scheme application","250","160","0.64","0"
"2016","12 point(s)","Other","Main scheme applicant","Main scheme application","265","155","0.581","0"
"2017","12 point(s)","Other","Main scheme applicant","Main scheme application","300","190","0.635","0"
"2018","12 point(s)","Other","Main scheme applicant","Main scheme application","340","220","0.648","0"
"2019","12 point(s)","Other","Main scheme applicant","Main scheme application","395","255","0.654","0"
"2020","12 point(s)","Other","Main scheme applicant","Main scheme application","360","230","0.646","0"
"2021","12 point(s)","Other","Main scheme applicant","Main scheme application","415","290","0.6970000000000001","0"
"2022","12 point(s)","Other","Main scheme applicant","Main scheme application","445","275","0.611","0"
"2023","12 point(s)","Other","Main scheme applicant","Main scheme application","475","275","0.582","0"
"2010","13 point(s)","Other","Main scheme applicant","Main scheme application","190","120","0.649","0"
"2011","13 point(s)","Other","Main scheme applicant","Main scheme application","190","125","0.663","0"
"2012","13 point(s)","Other","Main scheme applicant","Main scheme application","240","160","0.66","0"
"2013","13 point(s)","Other","Main scheme applicant","Main scheme application","260","185","0.707","0"
"2014","13 point(s)","Other","Main scheme applicant","Main scheme application","265","155","0.577","0"
"2015","13 point(s)","Other","Main scheme applicant","Main scheme application","280","170","0.614","0"
"2016","13 point(s)","Other","Main scheme applicant","Main scheme application","350","220","0.632","0"
"2017","13 point(s)","Other","Main scheme applicant","Main scheme application","360","215","0.606","0"
"2018","13 point(s)","Other","Main scheme applicant","Main scheme application","375","230","0.614","0"
"2019","13 point(s)","Other","Main scheme applicant","Main scheme application","400","255","0.632","0"
"2020","13 point(s)","Other","Main scheme applicant","Main scheme application","460","280","0.602","0"
"2021","13 point(s)","Other","Main scheme applicant","Main scheme application","480","345","0.724","0"
"2022","13 point(s)","Other","Main scheme applicant","Main scheme application","520","330","0.637","0"
"2023","13 point(s)","Other","Main scheme applicant","Main scheme application","525","315","0.602","0"
"2010","14 point(s)","Other","Main scheme applicant","Main scheme application","180","115","0.648","0"
"2011","14 point(s)","Other","Main scheme applicant","Main scheme application","185","135","0.73","0"
"2012","14 point(s)","Other","Main scheme applicant","Main scheme application","220","135","0.616","0"
"2013","14 point(s)","Other","Main scheme applicant","Main scheme application","230","155","0.667","0"
"2014","14 point(s)","Other","Main scheme applicant","Main scheme application","270","170","0.638","0"
"2015","14 point(s)","Other","Main scheme applicant","Main scheme application","295","185","0.626","0"
"2016","14 point(s)","Other","Main scheme applicant","Main scheme application","300","180","0.604","0"
"2017","14 point(s)","Other","Main scheme applicant","Main scheme application","375","215","0.5710000000000001","0"
"2018","14 point(s)","Other","Main scheme applicant","Main scheme application","370","210","0.5650000000000001","0"
"2019","14 point(s)","Other","Main scheme applicant","Main scheme application","455","280","0.614","0"
"2020","14 point(s)","Other","Main scheme applicant","Main scheme application","505","300","0.598","0"
"2021","14 point(s)","Other","Main scheme applicant","Main scheme application","465","335","0.719","0"
"2022","14 point(s)","Other","Main scheme applicant","Main scheme application","520","315","0.607","0"
"2023","14 point(s)","Other","Main scheme applicant","Main scheme application","580","325","0.5640000000000001","0"
"2010","15 point(s)","Other","Main scheme applicant","Main scheme application","220","140","0.639","0"
"2011","15 point(s)","Other","Main scheme applicant","Main scheme application","240","160","0.667","0"
"2012","15 point(s)","Other","Main scheme applicant","Main scheme application","255","170","0.663","0"
"2013","15 point(s)","Other","Main scheme applicant","Main scheme application","225","145","0.636","0"
"2014","15 point(s)","Other","Main scheme applicant","Main scheme application","275","170","0.611","0"
"2015","15 point(s)","Other","Main scheme applicant","Main scheme application","270","170","0.637","0"
"2016","15 point(s)","Other","Main scheme applicant","Main scheme application","285","170","0.589","0"
"2017","15 point(s)","Other","Main scheme applicant","Main scheme application","350","200","0.5650000000000001","0"
"2018","15 point(s)","Other","Main scheme applicant","Main scheme application","390","235","0.601","0"
"2019","15 point(s)","Other","Main scheme applicant","Main scheme application","445","255","0.5730000000000001","0"
"2020","15 point(s)","Other","Main scheme applicant","Main scheme application","475","255","0.535","0"
"2021","15 point(s)","Other","Main scheme applicant","Main scheme application","585","390","0.671","0"
"2022","15 point(s)","Other","Main scheme applicant","Main scheme application","655","385","0.586","0"
"2023","15 point(s)","Other","Main scheme applicant","Main scheme application","685","375","0.547","0"
"2010","16 point(s)","Other","Main scheme applicant","Main scheme application","105","80","0.781","0"
"2011","16 point(s)","Other","Main scheme applicant","Main scheme application","135","100","0.715","0"
"2012","16 point(s)","Other","Main scheme applicant","Main scheme application","140","95","0.664","0"
"2013","16 point(s)","Other","Main scheme applicant","Main scheme application","180","115","0.646","0"
"2014","16 point(s)","Other","Main scheme applicant","Main scheme application","195","135","0.687","0"
"2015","16 point(s)","Other","Main scheme applicant","Main scheme application","185","115","0.618","0"
"2016","16 point(s)","Other","Main scheme applicant","Main scheme application","205","135","0.655","0"
"2017","16 point(s)","Other","Main scheme applicant","Main scheme application","270","165","0.623","0"
"2018","16 point(s)","Other","Main scheme applicant","Main scheme application","320","180","0.5690000000000001","0"
"2019","16 point(s)","Other","Main scheme applicant","Main scheme application","400","240","0.6","0"
"2020","16 point(s)","Other","Main scheme applicant","Main scheme application","395","225","0.5730000000000001","0"
"2021","16 point(s)","Other","Main scheme applicant","Main scheme application","460","315","0.682","0"
"2022","16 point(s)","Other","Main scheme applicant","Main scheme application","530","335","0.626","0"
"2023","16 point(s)","Other","Main scheme applicant","Main scheme application","635","345","0.542","0"
"2010","17 point(s)","Other","Main scheme applicant","Main scheme application","55","45","0.807","0"
"2011","17 point(s)","Other","Main scheme applicant","Main scheme application","80","70","0.889","0"
"2012","17 point(s)","Other","Main scheme applicant","Main scheme application","115","90","0.805","0"
"2013","17 point(s)","Other","Main scheme applicant","Main scheme application","90","65","0.736","0"
"2014","17 point(s)","Other","Main scheme applicant","Main scheme application","125","90","0.728","0"
"2015","17 point(s)","Other","Main scheme applicant","Main scheme application","130","105","0.78","0"
"2016","17 point(s)","Other","Main scheme applicant","Main scheme application","155","110","0.706","0"
"2017","17 point(s)","Other","Main scheme applicant","Main scheme application","175","135","0.764","0"
"2018","17 point(s)","Other","Main scheme applicant","Main scheme application","205","135","0.67","0"
"2019","17 point(s)","Other","Main scheme applicant","Main scheme application","260","160","0.612","0"
"2020","17 point(s)","Other","Main scheme applicant","Main scheme application","265","160","0.608","0"
"2021","17 point(s)","Other","Main scheme applicant","Main scheme application","340","265","0.774","0"
"2022","17 point(s)","Other","Main scheme applicant","Main scheme application","415","275","0.671","0"
"2023","17 point(s)","Other","Main scheme applicant","Main scheme application","545","325","0.593","0"
"2010","18 point(s)","Other","Main scheme applicant","Main scheme application","60","50","0.836","0"
"2011","18 point(s)","Other","Main scheme applicant","Main scheme application","85","75","0.917","0"
"2012","18 point(s)","Other","Main scheme applicant","Main scheme application","125","105","0.837","0"
"2013","18 point(s)","Other","Main scheme applicant","Main scheme application","95","85","0.866","0"
"2014","18 point(s)","Other","Main scheme applicant","Main scheme application","135","105","0.797","0"
"2015","18 point(s)","Other","Main scheme applicant","Main scheme application","140","115","0.8200000000000001","0"
"2016","18 point(s)","Other","Main scheme applicant","Main scheme application","130","100","0.789","0"
"2017","18 point(s)","Other","Main scheme applicant","Main scheme application","145","110","0.762","0"
"2018","18 point(s)","Other","Main scheme applicant","Main scheme application","165","130","0.771","0"
"2019","18 point(s)","Other","Main scheme applicant","Main scheme application","205","160","0.778","0"
"2020","18 point(s)","Other","Main scheme applicant","Main scheme application","250","205","0.8210000000000001","0"
"2021","18 point(s)","Other","Main scheme applicant","Main scheme application","280","230","0.8190000000000001","0"
"2022","18 point(s)","Other","Main scheme applicant","Main scheme application","515","375","0.727","0"
"2023","18 point(s)","Other","Main scheme applicant","Main scheme application","600","440","0.733","0"
"2011","5 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2015","5 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","5 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2011","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2013","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2016","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2018","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","0"," ","0"
"2023","6 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10"," ","0"
"2011","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2013","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","0"," ","0"
"2014","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2015","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2016","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","0"," ","0"
"2017","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.714","0"
"2023","7 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","40","25","0.595","0"
"2011","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","30","15","0.484","0"
"2012","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","15","0.765","0"
"2013","8 point(s)","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10"," ","0"
