"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","International","EU (excluding UK)","Ireland","20","Female","45","0"," "
"2022","International","EU (excluding UK)","Ireland","20","Female","55","5"," "
"2023","International","EU (excluding UK)","Ireland","20","Female","15","0"," "
"2019","International","EU (excluding UK)","Italy","20","Female","20","0"," "
"2020","International","EU (excluding UK)","Italy","20","Female","5","0"," "
"2021","International","EU (excluding UK)","Italy","20","Female","10","0"," "
"2022","International","EU (excluding UK)","Italy","20","Female","5","0"," "
"2020","International","EU (excluding UK)","Netherlands","20","Female","5","0"," "
"2020","International","EU (excluding UK)","Spain","20","Female","5","0"," "
"2019","International","Not EU","Jersey","20","Female","5","0"," "
"2022","International","Not EU","Canada","20","Female","5","0"," "
"2023","International","Not EU","China","20","Female","5","0"," "
"2019","International","Not EU","Ghana","20","Female","5","0"," "
"2023","International","Not EU","Gibraltar","20","Female","5","0"," "
"2023","International","Not EU","India","20","Female","5","0"," "
"2023","International","Not EU","Jamaica","20","Female","5","0"," "
"2023","International","Not EU","Nigeria","20","Female","5","0"," "
"2022","International","Not EU","Singapore","20","Female","5","0"," "
"2023","International","Not EU","South Africa","20","Female","5","0"," "
"2022","International","Not EU","Switzerland","20","Female","5","0"," "
"2019","International","Not EU","United Arab Emirates","20","Female","5","0"," "
"2021","International","Not EU","United States of America","20","Female","5","0"," "
"2022","International","Not EU","United States of America","20","Female","5","0"," "
"2021","International","Not EU","Not Known","20","Female","5","0"," "
"2019","UK","England","England","21 - 24","Female","3755","925","0.247"
"2020","UK","England","England","21 - 24","Female","3635","1000","0.276"
"2021","UK","England","England","21 - 24","Female","4720","1155","0.245"
"2022","UK","England","England","21 - 24","Female","3885","765","0.197"
"2023","UK","England","England","21 - 24","Female","2790","670","0.24"
"2019","UK","Northern Ireland","Northern Ireland","21 - 24","Female","110","15","0.136"
"2020","UK","Northern Ireland","Northern Ireland","21 - 24","Female","115","30","0.243"
"2021","UK","Northern Ireland","Northern Ireland","21 - 24","Female","140","20","0.136"
"2022","UK","Northern Ireland","Northern Ireland","21 - 24","Female","100","10","0.11"
"2023","UK","Northern Ireland","Northern Ireland","21 - 24","Female","85","10"," "
"2019","UK","Scotland","Scotland","21 - 24","Female","300","55","0.187"
"2020","UK","Scotland","Scotland","21 - 24","Female","375","70","0.192"
"2021","UK","Scotland","Scotland","21 - 24","Female","410","65","0.154"
"2022","UK","Scotland","Scotland","21 - 24","Female","375","60","0.155"
"2023","UK","Scotland","Scotland","21 - 24","Female","245","55","0.233"
"2019","UK","Wales","Wales","21 - 24","Female","425","65","0.158"
"2020","UK","Wales","Wales","21 - 24","Female","335","50","0.152"
"2021","UK","Wales","Wales","21 - 24","Female","365","45","0.11800000000000001"
"2022","UK","Wales","Wales","21 - 24","Female","230","40","0.178"
"2023","UK","Wales","Wales","21 - 24","Female","185","40","0.227"
"2021","International","EU (excluding UK)","Belgium","21 - 24","Female","5","0"," "
"2021","International","EU (excluding UK)","Finland","21 - 24","Female","10","0"," "
"2019","International","EU (excluding UK)","France","21 - 24","Female","15","5"," "
"2020","International","EU (excluding UK)","France","21 - 24","Female","10","0"," "
"2022","International","EU (excluding UK)","France","21 - 24","Female","5","0"," "
"2021","International","EU (excluding UK)","Germany","21 - 24","Female","5","0"," "
"2022","International","EU (excluding UK)","Germany","21 - 24","Female","5","0"," "
"2023","International","EU (excluding UK)","Germany","21 - 24","Female","5","0"," "
"2019","International","EU (excluding UK)","Hungary","21 - 24","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","21 - 24","Female","60","10"," "
"2020","International","EU (excluding UK)","Ireland","21 - 24","Female","60","10"," "
"2021","International","EU (excluding UK)","Ireland","21 - 24","Female","50","5"," "
"2022","International","EU (excluding UK)","Ireland","21 - 24","Female","75","5"," "
"2023","International","EU (excluding UK)","Ireland","21 - 24","Female","65","10","0.169"
"2019","International","EU (excluding UK)","Italy","21 - 24","Female","10","0"," "
"2020","International","EU (excluding UK)","Italy","21 - 24","Female","5","0"," "
"2021","International","EU (excluding UK)","Italy","21 - 24","Female","15","5"," "
"2022","International","EU (excluding UK)","Italy","21 - 24","Female","5","0"," "
"2019","International","EU (excluding UK)","Malta","21 - 24","Female","5","0"," "
"2019","International","EU (excluding UK)","Romania","21 - 24","Female","5","0"," "
"2019","International","EU (excluding UK)","Spain","21 - 24","Female","10","0"," "
"2020","International","EU (excluding UK)","Spain","21 - 24","Female","15","5"," "
"2021","International","EU (excluding UK)","Spain","21 - 24","Female","10","0"," "
"2023","International","EU (excluding UK)","Spain","21 - 24","Female","5","0"," "
"2019","International","EU (excluding UK)","Sweden","21 - 24","Female","5","0"," "
"2020","International","EU (excluding UK)","Sweden","21 - 24","Female","5","0"," "
"2020","International","EU (excluding UK)","Reunion","21 - 24","Female","5","0"," "
"2019","International","EU (excluding UK)","Slovakia","21 - 24","Female","5","0"," "
"2023","International","EU (excluding UK)","Cyprus (European Union)","21 - 24","Female","5","0"," "
"2019","International","Not EU","Jersey","21 - 24","Female","10","0"," "
"2021","International","Not EU","Jersey","21 - 24","Female","5","0"," "
"2019","International","Not EU","Isle of Man","21 - 24","Female","5","0"," "
"2022","International","Not EU","Isle of Man","21 - 24","Female","5","0"," "
"2021","International","Not EU","Afghanistan","21 - 24","Female","5","0"," "
"2019","International","Not EU","Australia","21 - 24","Female","5","0"," "
"2023","International","Not EU","Australia","21 - 24","Female","5","0"," "
"2019","International","Not EU","Canada","21 - 24","Female","15","5"," "
"2021","International","Not EU","Canada","21 - 24","Female","10","0"," "
"2022","International","Not EU","Canada","21 - 24","Female","10","5"," "
"2023","International","Not EU","Canada","21 - 24","Female","10","5"," "
"2019","International","Not EU","Ghana","21 - 24","Female","5","0"," "
"2021","International","Not EU","Ghana","21 - 24","Female","5","0"," "
"2022","International","Not EU","Ghana","21 - 24","Female","15","0"," "
"2023","International","Not EU","Ghana","21 - 24","Female","15","0"," "
"2019","International","Not EU","Gibraltar","21 - 24","Female","5","0"," "
"2023","International","Not EU","Hong Kong","21 - 24","Female","5","5"," "
"2021","International","Not EU","Iceland","21 - 24","Female","5","0"," "
"2022","International","Not EU","India","21 - 24","Female","5","0"," "
"2021","International","Not EU","Israel","21 - 24","Female","5","0"," "
"2021","International","Not EU","Kenya","21 - 24","Female","5","0"," "
"2021","International","Not EU","Malawi","21 - 24","Female","5","0"," "
"2019","International","Not EU","Malaysia","21 - 24","Female","5","0"," "
"2021","International","Not EU","Nigeria","21 - 24","Female","5","0"," "
"2022","International","Not EU","Nigeria","21 - 24","Female","5","0"," "
"2023","International","Not EU","Nigeria","21 - 24","Female","10","0"," "
"2020","International","Not EU","Norway","21 - 24","Female","5","0"," "
"2020","International","Not EU","Zimbabwe","21 - 24","Female","5","0"," "
"2022","International","Not EU","St Lucia","21 - 24","Female","5","0"," "
"2023","International","Not EU","Saudi Arabia","21 - 24","Female","5","0"," "
"2021","International","Not EU","Seychelles","21 - 24","Female","5","0"," "
"2021","International","Not EU","Singapore","21 - 24","Female","5","0"," "
"2021","International","Not EU","South Africa","21 - 24","Female","5","0"," "
"2020","International","Not EU","Switzerland","21 - 24","Female","5","0"," "
"2022","International","Not EU","Switzerland","21 - 24","Female","5","0"," "
"2019","International","Not EU","Turkey","21 - 24","Female","5","0"," "
"2020","International","Not EU","United States of America","21 - 24","Female","5","0"," "
"2021","International","Not EU","United States of America","21 - 24","Female","25","0"," "
"2022","International","Not EU","United States of America","21 - 24","Female","15","0"," "
"2023","International","Not EU","United States of America","21 - 24","Female","10","0"," "
"2020","International","Not EU","Not Known","21 - 24","Female","5","0"," "
"2021","International","Not EU","Cayman Islands","21 - 24","Female","5","0"," "
"2023","International","Not EU","Montenegro","21 - 24","Female","5","0"," "
"2019","UK","England","England","25 - 29","Female","3165","855","0.271"
"2020","UK","England","England","25 - 29","Female","3095","975","0.315"
"2021","UK","England","England","25 - 29","Female","4330","1185","0.273"
"2022","UK","England","England","25 - 29","Female","3565","945","0.266"
"2023","UK","England","England","25 - 29","Female","2335","685","0.293"
"2019","UK","Northern Ireland","Northern Ireland","25 - 29","Female","110","25","0.218"
"2020","UK","Northern Ireland","Northern Ireland","25 - 29","Female","85","20","0.247"
"2021","UK","Northern Ireland","Northern Ireland","25 - 29","Female","105","25","0.219"
"2022","UK","Northern Ireland","Northern Ireland","25 - 29","Female","70","15","0.186"
"2023","UK","Northern Ireland","Northern Ireland","25 - 29","Female","50","10"," "
"2019","UK","Scotland","Scotland","25 - 29","Female","265","50","0.192"
"2020","UK","Scotland","Scotland","25 - 29","Female","360","65","0.178"
"2021","UK","Scotland","Scotland","25 - 29","Female","535","85","0.163"
"2022","UK","Scotland","Scotland","25 - 29","Female","325","55","0.17500000000000002"
"2023","UK","Scotland","Scotland","25 - 29","Female","205","45","0.22"
"2019","UK","Wales","Wales","25 - 29","Female","290","35","0.114"
"2020","UK","Wales","Wales","25 - 29","Female","260","60","0.223"
"2021","UK","Wales","Wales","25 - 29","Female","440","60","0.14100000000000001"
"2022","UK","Wales","Wales","25 - 29","Female","275","55","0.193"
"2023","UK","Wales","Wales","25 - 29","Female","210","60","0.281"
"2021","International","EU (excluding UK)","Austria","25 - 29","Female","5","0"," "
"2019","International","EU (excluding UK)","Germany","25 - 29","Female","5","0"," "
"2022","International","EU (excluding UK)","Germany","25 - 29","Female","5","0"," "
"2023","International","EU (excluding UK)","Germany","25 - 29","Female","5","0"," "
"2019","International","EU (excluding UK)","Greece","25 - 29","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","25 - 29","Female","5","0"," "
"2020","International","EU (excluding UK)","Ireland","25 - 29","Female","20","0"," "
"2021","International","EU (excluding UK)","Ireland","25 - 29","Female","25","0"," "
"2022","International","EU (excluding UK)","Ireland","25 - 29","Female","15","0"," "
"2023","International","EU (excluding UK)","Ireland","25 - 29","Female","10","5"," "
"2019","International","EU (excluding UK)","Italy","25 - 29","Female","5","0"," "
"2020","International","EU (excluding UK)","Italy","25 - 29","Female","5","0"," "
"2022","International","EU (excluding UK)","Portugal","25 - 29","Female","5","0"," "
"2020","International","EU (excluding UK)","Spain","25 - 29","Female","5","0"," "
"2021","International","EU (excluding UK)","Spain","25 - 29","Female","5","0"," "
"2022","International","EU (excluding UK)","Spain","25 - 29","Female","5","0"," "
"2022","International","Not EU","Guernsey","25 - 29","Female","5","0"," "
"2023","International","Not EU","Afghanistan","25 - 29","Female","5","0"," "
"2020","International","Not EU","Australia","25 - 29","Female","5","0"," "
"2021","International","Not EU","Australia","25 - 29","Female","5","0"," "
"2020","International","Not EU","Barbados","25 - 29","Female","5","0"," "
"2019","International","Not EU","Bermuda","25 - 29","Female","5","5"," "
"2019","International","Not EU","Canada","25 - 29","Female","15","5"," "
"2020","International","Not EU","Canada","25 - 29","Female","5","0"," "
"2021","International","Not EU","Canada","25 - 29","Female","20","5"," "
"2022","International","Not EU","Canada","25 - 29","Female","5","0"," "
"2023","International","Not EU","Canada","25 - 29","Female","5","5"," "
"2019","International","Not EU","Ethiopia","25 - 29","Female","5","0"," "
"2019","International","Not EU","Ghana","25 - 29","Female","10","5"," "
"2020","International","Not EU","Ghana","25 - 29","Female","20","0"," "
"2021","International","Not EU","Ghana","25 - 29","Female","10","0"," "
"2022","International","Not EU","Ghana","25 - 29","Female","45","0"," "
"2023","International","Not EU","Ghana","25 - 29","Female","25","5"," "
"2020","International","Not EU","India","25 - 29","Female","5","0"," "
"2023","International","Not EU","Kenya","25 - 29","Female","5","5"," "
"2021","International","Not EU","Nigeria","25 - 29","Female","5","0"," "
"2022","International","Not EU","Nigeria","25 - 29","Female","20","5"," "
"2023","International","Not EU","Nigeria","25 - 29","Female","5","0"," "
"2020","International","Not EU","Norway","25 - 29","Female","5","0"," "
"2023","International","Not EU","Sierra Leone","25 - 29","Female","5","0"," "
"2019","International","Not EU","Switzerland","25 - 29","Female","10","5"," "
"2020","International","Not EU","Switzerland","25 - 29","Female","5","0"," "
"2023","International","Not EU","Switzerland","25 - 29","Female","5","0"," "
"2022","International","Not EU","Tanzania, United Republic of","25 - 29","Female","5","0"," "
"2020","International","Not EU","Uganda","25 - 29","Female","5","0"," "
"2019","International","Not EU","Egypt","25 - 29","Female","5","0"," "
"2019","International","Not EU","United States of America","25 - 29","Female","5","0"," "
"2020","International","Not EU","United States of America","25 - 29","Female","10","5"," "
"2021","International","Not EU","United States of America","25 - 29","Female","10","0"," "
"2023","International","Not EU","United States of America","25 - 29","Female","5","0"," "
"2021","International","Not EU","British Virgin Islands","25 - 29","Female","5","0"," "
"2020","International","Not EU","Not Known","25 - 29","Female","5","0"," "
