"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applicant","Main scheme application","Accepted applicants"
"2023","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Not main scheme applicant","Not main scheme application","185"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Not main scheme applicant","Not main scheme application","145"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Not main scheme applicant","Not main scheme application","115"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Not main scheme applicant","Not main scheme application","100"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","Not main scheme applicant","Not main scheme application","170"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","All","Not main scheme applicant","Not main scheme application","95"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","All","Not main scheme applicant","Not main scheme application","85"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","All","Not main scheme applicant","Not main scheme application","75"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","All","Not main scheme applicant","Not main scheme application","50"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","All","Not main scheme applicant","Not main scheme application","75"
"2019","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","All","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","All","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Not main scheme applicant","Not main scheme application","235"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Not main scheme applicant","Not main scheme application","260"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Not main scheme applicant","Not main scheme application","160"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Not main scheme applicant","Not main scheme application","175"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","All","Not main scheme applicant","Not main scheme application","215"
"2019","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Not main scheme applicant","Not main scheme application","35"
"2020","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Not main scheme applicant","Not main scheme application","35"
"2021","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Not main scheme applicant","Not main scheme application","40"
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","All","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Not main scheme applicant","Not main scheme application","30"
"2020","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Not main scheme applicant","Not main scheme application","60"
"2021","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Not main scheme applicant","Not main scheme application","55"
"2022","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Not main scheme applicant","Not main scheme application","35"
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","Not main scheme applicant","Not main scheme application","35"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Not main scheme applicant","Not main scheme application","1325"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Not main scheme applicant","Not main scheme application","1535"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Not main scheme applicant","Not main scheme application","1170"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Not main scheme applicant","Not main scheme application","1165"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","Not main scheme applicant","Not main scheme application","1255"
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Not main scheme applicant","Not main scheme application","40"
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","All","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Not main scheme applicant","Not main scheme application","340"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Not main scheme applicant","Not main scheme application","210"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Not main scheme applicant","Not main scheme application","220"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Not main scheme applicant","Not main scheme application","225"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","Not main scheme applicant","Not main scheme application","255"
"2023","(CAH09) mathematical sciences","(CAH09-01-02) operational research","All","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH09) mathematical sciences","(CAH09-01-03) statistics","All","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH22) education and teaching","(CAH22-01-01) education","All","Not main scheme applicant","Not main scheme application","1450"
"2020","(CAH22) education and teaching","(CAH22-01-01) education","All","Not main scheme applicant","Not main scheme application","1620"
"2021","(CAH22) education and teaching","(CAH22-01-01) education","All","Not main scheme applicant","Not main scheme application","1140"
"2022","(CAH22) education and teaching","(CAH22-01-01) education","All","Not main scheme applicant","Not main scheme application","1310"
"2023","(CAH22) education and teaching","(CAH22-01-01) education","All","Not main scheme applicant","Not main scheme application","1255"
"2019","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Not main scheme applicant","Not main scheme application","515"
"2020","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Not main scheme applicant","Not main scheme application","655"
"2021","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Not main scheme applicant","Not main scheme application","350"
"2022","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Not main scheme applicant","Not main scheme application","455"
"2023","(CAH22) education and teaching","(CAH22-01-02) teacher training","All","Not main scheme applicant","Not main scheme application","650"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Not main scheme applicant","Not main scheme application","35"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Not main scheme applicant","Not main scheme application","35"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-04) rural estate management","All","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-02) agricultural sciences","All","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Not main scheme applicant","Not main scheme application","275"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Not main scheme applicant","Not main scheme application","445"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Not main scheme applicant","Not main scheme application","345"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Not main scheme applicant","Not main scheme application","290"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","All","Not main scheme applicant","Not main scheme application","305"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Not main scheme applicant","Not main scheme application","320"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Not main scheme applicant","Not main scheme application","330"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Not main scheme applicant","Not main scheme application","215"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Not main scheme applicant","Not main scheme application","215"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Not main scheme applicant","Not main scheme application","230"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Not main scheme applicant","Not main scheme application","30"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","Not main scheme applicant","Not main scheme application","100"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","Not main scheme applicant","Not main scheme application","80"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","Not main scheme applicant","Not main scheme application","120"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","Not main scheme applicant","Not main scheme application","60"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Not main scheme applicant","Not main scheme application","95"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Not main scheme applicant","Not main scheme application","80"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Not main scheme applicant","Not main scheme application","85"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Not main scheme applicant","Not main scheme application","65"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH16) law","(CAH16-01-01) law","All","Not main scheme applicant","Not main scheme application","1830"
"2020","(CAH16) law","(CAH16-01-01) law","All","Not main scheme applicant","Not main scheme application","1620"
"2021","(CAH16) law","(CAH16-01-01) law","All","Not main scheme applicant","Not main scheme application","1325"
"2022","(CAH16) law","(CAH16-01-01) law","All","Not main scheme applicant","Not main scheme application","1370"
"2023","(CAH16) law","(CAH16-01-01) law","All","Not main scheme applicant","Not main scheme application","1575"
"2019","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH05) veterinary sciences","(CAH05-01-01) veterinary medicine and dentistry","All","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Not main scheme applicant","Not main scheme application","35"
"2020","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Not main scheme applicant","Not main scheme application","65"
"2021","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Not main scheme applicant","Not main scheme application","40"
"2022","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Not main scheme applicant","Not main scheme application","40"
"2023","(CAH05) veterinary sciences","(CAH05-01-02) others in veterinary sciences","All","Not main scheme applicant","Not main scheme application","35"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Main scheme applicant","Not main scheme application","795"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Main scheme applicant","Not main scheme application","870"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Main scheme applicant","Not main scheme application","820"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Main scheme applicant","Not main scheme application","915"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","All","Main scheme applicant","Not main scheme application","835"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Main scheme applicant","Not main scheme application","480"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Main scheme applicant","Not main scheme application","430"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Main scheme applicant","Not main scheme application","620"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Main scheme applicant","Not main scheme application","510"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-02) music","All","Main scheme applicant","Not main scheme application","545"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Main scheme applicant","Not main scheme application","420"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Main scheme applicant","Not main scheme application","415"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Main scheme applicant","Not main scheme application","380"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Main scheme applicant","Not main scheme application","455"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-04) cinematics and photography","All","Main scheme applicant","Not main scheme application","420"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Main scheme applicant","Not main scheme application","155"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Main scheme applicant","Not main scheme application","180"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Main scheme applicant","Not main scheme application","195"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Main scheme applicant","Not main scheme application","185"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-02) art","All","Main scheme applicant","Not main scheme application","165"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Main scheme applicant","Not main scheme application","395"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Main scheme applicant","Not main scheme application","370"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Main scheme applicant","Not main scheme application","560"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Main scheme applicant","Not main scheme application","440"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-03) drama","All","Main scheme applicant","Not main scheme application","450"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","All","Main scheme applicant","Not main scheme application","70"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","All","Main scheme applicant","Not main scheme application","75"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","All","Main scheme applicant","Not main scheme application","145"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","All","Main scheme applicant","Not main scheme application","130"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-04) dance","All","Main scheme applicant","Not main scheme application","135"
"2019","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Main scheme applicant","Not main scheme application","45"
"2020","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Main scheme applicant","Not main scheme application","50"
"2021","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Main scheme applicant","Not main scheme application","60"
"2022","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Main scheme applicant","Not main scheme application","35"
"2023","(CAH25) design, and creative and performing arts","(CAH25-02-01) performing arts (non-specific)","All","Main scheme applicant","Not main scheme application","30"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","All","Main scheme applicant","Not main scheme application","20"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","All","Main scheme applicant","Not main scheme application","30"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","All","Main scheme applicant","Not main scheme application","25"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","All","Main scheme applicant","Not main scheme application","35"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-05) others in creative arts and design","All","Main scheme applicant","Not main scheme application","25"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","All","Main scheme applicant","Not main scheme application","30"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","All","Main scheme applicant","Not main scheme application","90"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","All","Main scheme applicant","Not main scheme application","35"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","All","Main scheme applicant","Not main scheme application","35"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-01) creative arts and design (non-specific)","All","Main scheme applicant","Not main scheme application","30"
"2019","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","All","Main scheme applicant","Not main scheme application","190"
"2020","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","All","Main scheme applicant","Not main scheme application","205"
"2021","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","All","Main scheme applicant","Not main scheme application","205"
"2022","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","All","Main scheme applicant","Not main scheme application","215"
"2023","(CAH10) engineering and technology","(CAH10-01-06) bioengineering, medical and biomedical engineering","All","Main scheme applicant","Not main scheme application","250"
"2019","(CAH10) engineering and technology","(CAH10-03-02) materials technology","All","Main scheme applicant","Not main scheme application","15"
"2020","(CAH10) engineering and technology","(CAH10-03-02) materials technology","All","Main scheme applicant","Not main scheme application","25"
"2021","(CAH10) engineering and technology","(CAH10-03-02) materials technology","All","Main scheme applicant","Not main scheme application","10"
"2022","(CAH10) engineering and technology","(CAH10-03-02) materials technology","All","Main scheme applicant","Not main scheme application","30"
"2023","(CAH10) engineering and technology","(CAH10-03-02) materials technology","All","Main scheme applicant","Not main scheme application","35"
"2019","(CAH10) engineering and technology","(CAH10-03-06) others in technology","All","Main scheme applicant","Not main scheme application","50"
"2020","(CAH10) engineering and technology","(CAH10-03-06) others in technology","All","Main scheme applicant","Not main scheme application","45"
"2021","(CAH10) engineering and technology","(CAH10-03-06) others in technology","All","Main scheme applicant","Not main scheme application","45"
"2022","(CAH10) engineering and technology","(CAH10-03-06) others in technology","All","Main scheme applicant","Not main scheme application","45"
"2023","(CAH10) engineering and technology","(CAH10-03-06) others in technology","All","Main scheme applicant","Not main scheme application","40"
"2019","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","All","Main scheme applicant","Not main scheme application","120"
"2020","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","All","Main scheme applicant","Not main scheme application","150"
"2021","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","All","Main scheme applicant","Not main scheme application","135"
"2022","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","All","Main scheme applicant","Not main scheme application","145"
"2023","(CAH10) engineering and technology","(CAH10-01-03) production and manufacturing engineering","All","Main scheme applicant","Not main scheme application","195"
"2019","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","All","Main scheme applicant","Not main scheme application","375"
"2020","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","All","Main scheme applicant","Not main scheme application","430"
"2021","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","All","Main scheme applicant","Not main scheme application","280"
"2022","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","All","Main scheme applicant","Not main scheme application","375"
"2023","(CAH10) engineering and technology","(CAH10-01-04) aeronautical and aerospace engineering","All","Main scheme applicant","Not main scheme application","480"
"2019","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","All","Main scheme applicant","Not main scheme application","470"
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","All","Main scheme applicant","Not main scheme application","455"
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","All","Main scheme applicant","Not main scheme application","370"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","All","Main scheme applicant","Not main scheme application","435"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","All","Main scheme applicant","Not main scheme application","535"
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","All","Main scheme applicant","Not main scheme application","500"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","All","Main scheme applicant","Not main scheme application","610"
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","All","Main scheme applicant","Not main scheme application","435"
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","All","Main scheme applicant","Not main scheme application","470"
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","All","Main scheme applicant","Not main scheme application","490"
"2019","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","All","Main scheme applicant","Not main scheme application","35"
"2020","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","All","Main scheme applicant","Not main scheme application","25"
"2021","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","All","Main scheme applicant","Not main scheme application","15"
"2022","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","All","Main scheme applicant","Not main scheme application","35"
"2023","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","All","Main scheme applicant","Not main scheme application","15"
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","All","Main scheme applicant","Not main scheme application","305"
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","All","Main scheme applicant","Not main scheme application","320"
"2021","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","All","Main scheme applicant","Not main scheme application","215"
"2022","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","All","Main scheme applicant","Not main scheme application","235"
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","All","Main scheme applicant","Not main scheme application","290"
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","All","Main scheme applicant","Not main scheme application","610"
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","All","Main scheme applicant","Not main scheme application","510"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","All","Main scheme applicant","Not main scheme application","390"
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","All","Main scheme applicant","Not main scheme application","385"
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","All","Main scheme applicant","Not main scheme application","415"
"2019","(CAH10) engineering and technology","(CAH10-01-10) others in engineering","All","Main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","All","Main scheme applicant","Not main scheme application","825"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","All","Main scheme applicant","Not main scheme application","990"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","All","Main scheme applicant","Not main scheme application","660"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","All","Main scheme applicant","Not main scheme application","715"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","All","Main scheme applicant","Not main scheme application","905"
"2019","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","All","Main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","All","Main scheme applicant","Not main scheme application","5"
"2021","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","All","Main scheme applicant","Not main scheme application","10"
"2023","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","All","Main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","All","Main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","All","Main scheme applicant","Not main scheme application","5"
"2019","(CAH10) engineering and technology","(CAH10-03-07) materials science","All","Main scheme applicant","Not main scheme application","20"
"2020","(CAH10) engineering and technology","(CAH10-03-07) materials science","All","Main scheme applicant","Not main scheme application","10"
"2021","(CAH10) engineering and technology","(CAH10-03-07) materials science","All","Main scheme applicant","Not main scheme application","20"
"2022","(CAH10) engineering and technology","(CAH10-03-07) materials science","All","Main scheme applicant","Not main scheme application","15"
"2023","(CAH10) engineering and technology","(CAH10-03-07) materials science","All","Main scheme applicant","Not main scheme application","15"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","All","Main scheme applicant","Not main scheme application","225"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","All","Main scheme applicant","Not main scheme application","240"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","All","Main scheme applicant","Not main scheme application","175"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","All","Main scheme applicant","Not main scheme application","135"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","All","Main scheme applicant","Not main scheme application","220"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","All","Main scheme applicant","Not main scheme application","140"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","All","Main scheme applicant","Not main scheme application","170"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","All","Main scheme applicant","Not main scheme application","110"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","All","Main scheme applicant","Not main scheme application","125"
