"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applicant","Main scheme application","Accepted applicants"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","North East","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","North East","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","North East","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","North East","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","North East","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","North East","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","North East","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","North East","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","North East","Not main scheme applicant","Not main scheme application","35"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","North East","Not main scheme applicant","Not main scheme application","50"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","North East","Not main scheme applicant","Not main scheme application","30"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","North East","Not main scheme applicant","Not main scheme application","40"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","North East","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","North East","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","North East","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","North East","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
