"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2008","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","130","110","0.86"
"2009","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","145","110","0.762"
"2010","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","160","120","0.748"
"2011","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","225","160","0.705"
"2012","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","255","190","0.741"
"2013","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","215","160","0.745"
"2014","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","230","175","0.769"
"2015","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","215","175","0.806"
"2016","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","200","150","0.764"
"2017","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","185","160","0.859"
"2018","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","150","125","0.809"
"2019","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","145","115","0.796"
"2020","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","155","120","0.761"
"2021","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","165","130","0.787"
"2022","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","195","150","0.769"
"2023","Not deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","135","110","0.806"
"2006","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2007","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2009","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","10","5"," "
"2011","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2013","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2014","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","10","5"," "
"2015","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2016","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","10","5"," "
"2017","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
