"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2018","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Deferred","21 - 24","Wales","All","Main scheme applicant","Not main scheme application","5","0"," "
"2006","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","40","35","0.925"
"2007","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","45","40","0.864"
"2008","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","50","45","0.865"
"2009","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","55","45","0.849"
"2010","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","80","60","0.762"
"2011","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","100","70","0.6960000000000001"
"2012","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","105","80","0.743"
"2013","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","105","70","0.66"
"2014","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","105","80","0.767"
"2015","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","100","75","0.755"
"2016","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","90","70","0.787"
"2017","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","130","95","0.738"
"2018","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","90","65","0.725"
"2019","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","80","55","0.709"
"2020","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","75","60","0.789"
"2021","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","100","65","0.653"
"2022","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","70","45","0.629"
"2023","Not deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","75","55","0.75"
"2007","Deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2008","Deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2014","Deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","0"," "
"2015","Deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2016","Deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","10","0"," "
"2017","Deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","0"," "
"2018","Deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Deferred","25 - 29","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2006","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","15","15","0.933"
"2007","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","25","20","0.88"
"2008","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","35","30","0.848"
"2009","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","25","15","0.609"
"2010","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","40","25","0.595"
"2011","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","60","40","0.672"
"2012","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","65","45","0.73"
"2013","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","45","35","0.795"
"2014","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","65","50","0.758"
"2015","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","50","40","0.784"
"2016","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","55","35","0.649"
"2017","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","55","45","0.839"
"2018","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","50","40","0.745"
"2019","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","40","30","0.707"
"2020","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","65","45","0.687"
"2021","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","50","40","0.788"
"2022","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","35","25","0.676"
"2023","Not deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","40","35","0.881"
"2009","Deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2014","Deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","5","0"," "
"2016","Deferred","30 - 34","Wales","All","Main scheme applicant","Not main scheme application","5","0"," "
