"Year","Difference between predicted and achieved A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","3 points","Mixed","Main scheme applicant","Main scheme application","70","60","0.847","0"
"2021","3 points","Mixed","Main scheme applicant","Main scheme application","235","195","0.8310000000000001","0"
"2022","3 points","Mixed","Main scheme applicant","Main scheme application","170","125","0.733","0"
"2023","3 points","Mixed","Main scheme applicant","Main scheme application","35","20","0.541","0"
"2010","More than 3 points","Mixed","Main scheme applicant","Main scheme application","15","10","0.706","0"
"2011","More than 3 points","Mixed","Main scheme applicant","Main scheme application","20","10"," ","0"
"2012","More than 3 points","Mixed","Main scheme applicant","Main scheme application","10","5"," ","0"
"2013","More than 3 points","Mixed","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","More than 3 points","Mixed","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","More than 3 points","Mixed","Main scheme applicant","Main scheme application","15","10","0.667","0"
"2016","More than 3 points","Mixed","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","More than 3 points","Mixed","Main scheme applicant","Main scheme application","25","15","0.6960000000000001","0"
"2018","More than 3 points","Mixed","Main scheme applicant","Main scheme application","20","10","0.6","0"
"2019","More than 3 points","Mixed","Main scheme applicant","Main scheme application","25","10","0.44","0"
"2020","More than 3 points","Mixed","Main scheme applicant","Main scheme application","15","15","0.875","0"
"2021","More than 3 points","Mixed","Main scheme applicant","Main scheme application","75","60","0.753","0"
"2022","More than 3 points","Mixed","Main scheme applicant","Main scheme application","65","40","0.615","0"
"2023","More than 3 points","Mixed","Main scheme applicant","Main scheme application","15","5"," ","0"
"2010","-1 points","Mixed","Main scheme applicant","Main scheme application","1240","965","0.778","0"
"2011","-1 points","Mixed","Main scheme applicant","Main scheme application","1400","1110","0.793","0"
"2012","-1 points","Mixed","Main scheme applicant","Main scheme application","1380","1130","0.8180000000000001","0"
"2013","-1 points","Mixed","Main scheme applicant","Main scheme application","1510","1260","0.833","0"
"2014","-1 points","Mixed","Main scheme applicant","Main scheme application","1485","1215","0.8180000000000001","0"
"2015","-1 points","Mixed","Main scheme applicant","Main scheme application","1535","1295","0.841","0"
"2016","-1 points","Mixed","Main scheme applicant","Main scheme application","1550","1280","0.8260000000000001","0"
"2017","-1 points","Mixed","Main scheme applicant","Main scheme application","1530","1265","0.8270000000000001","0"
"2018","-1 points","Mixed","Main scheme applicant","Main scheme application","1445","1200","0.8300000000000001","0"
"2019","-1 points","Mixed","Main scheme applicant","Main scheme application","1420","1170","0.8240000000000001","0"
"2020","-1 points","Mixed","Main scheme applicant","Main scheme application","2110","1550","0.734","0"
"2021","-1 points","Mixed","Main scheme applicant","Main scheme application","2000","1595","0.799","0"
"2022","-1 points","Mixed","Main scheme applicant","Main scheme application","2070","1645","0.796","0"
"2023","-1 points","Mixed","Main scheme applicant","Main scheme application","1740","1440","0.8280000000000001","0"
"2010","-2 points","Mixed","Main scheme applicant","Main scheme application","1085","770","0.708","0"
"2011","-2 points","Mixed","Main scheme applicant","Main scheme application","1255","885","0.708","0"
"2012","-2 points","Mixed","Main scheme applicant","Main scheme application","1245","915","0.735","0"
"2013","-2 points","Mixed","Main scheme applicant","Main scheme application","1325","1010","0.764","0"
"2014","-2 points","Mixed","Main scheme applicant","Main scheme application","1395","1085","0.775","0"
"2015","-2 points","Mixed","Main scheme applicant","Main scheme application","1515","1165","0.771","0"
"2016","-2 points","Mixed","Main scheme applicant","Main scheme application","1595","1215","0.76","0"
"2017","-2 points","Mixed","Main scheme applicant","Main scheme application","1500","1150","0.767","0"
"2018","-2 points","Mixed","Main scheme applicant","Main scheme application","1505","1165","0.775","0"
"2019","-2 points","Mixed","Main scheme applicant","Main scheme application","1515","1170","0.775","0"
"2020","-2 points","Mixed","Main scheme applicant","Main scheme application","1500","995","0.664","0"
"2021","-2 points","Mixed","Main scheme applicant","Main scheme application","1285","935","0.729","0"
"2022","-2 points","Mixed","Main scheme applicant","Main scheme application","1725","1290","0.746","0"
"2023","-2 points","Mixed","Main scheme applicant","Main scheme application","2245","1790","0.798","0"
"2010","-3 points","Mixed","Main scheme applicant","Main scheme application","675","380","0.5680000000000001","0"
"2011","-3 points","Mixed","Main scheme applicant","Main scheme application","790","445","0.5650000000000001","0"
"2012","-3 points","Mixed","Main scheme applicant","Main scheme application","835","510","0.608","0"
"2013","-3 points","Mixed","Main scheme applicant","Main scheme application","915","595","0.652","0"
"2014","-3 points","Mixed","Main scheme applicant","Main scheme application","945","640","0.677","0"
"2015","-3 points","Mixed","Main scheme applicant","Main scheme application","1165","790","0.679","0"
"2016","-3 points","Mixed","Main scheme applicant","Main scheme application","1195","810","0.676","0"
"2017","-3 points","Mixed","Main scheme applicant","Main scheme application","1255","850","0.677","0"
"2018","-3 points","Mixed","Main scheme applicant","Main scheme application","1265","860","0.68","0"
"2019","-3 points","Mixed","Main scheme applicant","Main scheme application","1280","890","0.6950000000000001","0"
"2020","-3 points","Mixed","Main scheme applicant","Main scheme application","895","535","0.598","0"
"2021","-3 points","Mixed","Main scheme applicant","Main scheme application","765","485","0.635","0"
"2022","-3 points","Mixed","Main scheme applicant","Main scheme application","1365","895","0.655","0"
"2023","-3 points","Mixed","Main scheme applicant","Main scheme application","2015","1415","0.7030000000000001","0"
"2010","-4 points","Mixed","Main scheme applicant","Main scheme application","350","155","0.438","0"
"2011","-4 points","Mixed","Main scheme applicant","Main scheme application","405","180","0.443","0"
"2012","-4 points","Mixed","Main scheme applicant","Main scheme application","480","245","0.514","0"
"2013","-4 points","Mixed","Main scheme applicant","Main scheme application","495","275","0.558","0"
"2014","-4 points","Mixed","Main scheme applicant","Main scheme application","515","270","0.522","0"
"2015","-4 points","Mixed","Main scheme applicant","Main scheme application","650","380","0.584","0"
"2016","-4 points","Mixed","Main scheme applicant","Main scheme application","685","405","0.594","0"
"2017","-4 points","Mixed","Main scheme applicant","Main scheme application","785","480","0.61","0"
"2018","-4 points","Mixed","Main scheme applicant","Main scheme application","875","515","0.588","0"
"2019","-4 points","Mixed","Main scheme applicant","Main scheme application","1025","635","0.62","0"
"2020","-4 points","Mixed","Main scheme applicant","Main scheme application","465","255","0.548","0"
"2021","-4 points","Mixed","Main scheme applicant","Main scheme application","400","210","0.525","0"
"2022","-4 points","Mixed","Main scheme applicant","Main scheme application","905","520","0.578","0"
"2023","-4 points","Mixed","Main scheme applicant","Main scheme application","1510","965","0.64","0"
"2010","-5 points","Mixed","Main scheme applicant","Main scheme application","175","70","0.395","0"
"2011","-5 points","Mixed","Main scheme applicant","Main scheme application","225","75","0.336","0"
"2012","-5 points","Mixed","Main scheme applicant","Main scheme application","235","95","0.392","0"
"2013","-5 points","Mixed","Main scheme applicant","Main scheme application","245","115","0.48","0"
"2014","-5 points","Mixed","Main scheme applicant","Main scheme application","255","120","0.482","0"
"2015","-5 points","Mixed","Main scheme applicant","Main scheme application","340","160","0.468","0"
"2016","-5 points","Mixed","Main scheme applicant","Main scheme application","360","160","0.439","0"
"2017","-5 points","Mixed","Main scheme applicant","Main scheme application","475","240","0.506","0"
"2018","-5 points","Mixed","Main scheme applicant","Main scheme application","535","295","0.55","0"
"2019","-5 points","Mixed","Main scheme applicant","Main scheme application","695","365","0.525","0"
"2020","-5 points","Mixed","Main scheme applicant","Main scheme application","210","115","0.538","0"
"2021","-5 points","Mixed","Main scheme applicant","Main scheme application","210","100","0.486","0"
"2022","-5 points","Mixed","Main scheme applicant","Main scheme application","555","265","0.47700000000000004","0"
"2023","-5 points","Mixed","Main scheme applicant","Main scheme application","1055","585","0.552","0"
"2010","-6 points","Mixed","Main scheme applicant","Main scheme application","90","30","0.337","0"
"2011","-6 points","Mixed","Main scheme applicant","Main scheme application","95","25","0.28400000000000003","0"
"2012","-6 points","Mixed","Main scheme applicant","Main scheme application","100","35","0.378","0"
"2013","-6 points","Mixed","Main scheme applicant","Main scheme application","110","35","0.343","0"
"2014","-6 points","Mixed","Main scheme applicant","Main scheme application","150","55","0.358","0"
"2015","-6 points","Mixed","Main scheme applicant","Main scheme application","170","70","0.41200000000000003","0"
"2016","-6 points","Mixed","Main scheme applicant","Main scheme application","200","80","0.399","0"
"2017","-6 points","Mixed","Main scheme applicant","Main scheme application","300","150","0.503","0"
"2018","-6 points","Mixed","Main scheme applicant","Main scheme application","335","165","0.493","0"
"2019","-6 points","Mixed","Main scheme applicant","Main scheme application","460","215","0.463","0"
"2020","-6 points","Mixed","Main scheme applicant","Main scheme application","95","40","0.392","0"
"2021","-6 points","Mixed","Main scheme applicant","Main scheme application","105","45","0.443","0"
"2022","-6 points","Mixed","Main scheme applicant","Main scheme application","305","140","0.454","0"
"2023","-6 points","Mixed","Main scheme applicant","Main scheme application","645","305","0.47300000000000003","0"
"2010","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","105","20","0.187","0"
"2011","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","100","15","0.149","0"
"2012","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","105","20","0.2","0"
"2013","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","125","25","0.189","0"
"2014","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","155","45","0.28","0"
"2015","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","165","35","0.213","0"
"2016","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","205","55","0.266","0"
"2017","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","335","115","0.336","0"
"2018","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","405","170","0.41500000000000004","0"
"2019","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","595","230","0.384","0"
"2020","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","120","60","0.484","0"
"2021","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","105","30","0.308","0"
"2022","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","475","140","0.293","0"
"2023","Less than -6 points","Mixed","Main scheme applicant","Main scheme application","855","255","0.301","0"
"2010","0 points","Other","Main scheme applicant","Main scheme application","265","220","0.8290000000000001","0"
"2011","0 points","Other","Main scheme applicant","Main scheme application","265","220","0.838","0"
"2012","0 points","Other","Main scheme applicant","Main scheme application","265","210","0.8","0"
"2013","0 points","Other","Main scheme applicant","Main scheme application","275","230","0.836","0"
"2014","0 points","Other","Main scheme applicant","Main scheme application","290","235","0.8200000000000001","0"
"2015","0 points","Other","Main scheme applicant","Main scheme application","295","230","0.777","0"
"2016","0 points","Other","Main scheme applicant","Main scheme application","255","190","0.737","0"
"2017","0 points","Other","Main scheme applicant","Main scheme application","270","215","0.799","0"
"2018","0 points","Other","Main scheme applicant","Main scheme application","285","225","0.799","0"
"2019","0 points","Other","Main scheme applicant","Main scheme application","320","255","0.793","0"
"2020","0 points","Other","Main scheme applicant","Main scheme application","675","505","0.752","0"
"2021","0 points","Other","Main scheme applicant","Main scheme application","860","685","0.794","0"
"2022","0 points","Other","Main scheme applicant","Main scheme application","725","555","0.768","0"
"2023","0 points","Other","Main scheme applicant","Main scheme application","440","340","0.771","0"
"2010","1 points","Other","Main scheme applicant","Main scheme application","115","85","0.77","0"
"2011","1 points","Other","Main scheme applicant","Main scheme application","130","115","0.906","0"
"2012","1 points","Other","Main scheme applicant","Main scheme application","105","80","0.757","0"
"2013","1 points","Other","Main scheme applicant","Main scheme application","115","90","0.788","0"
"2014","1 points","Other","Main scheme applicant","Main scheme application","115","85","0.77","0"
"2015","1 points","Other","Main scheme applicant","Main scheme application","95","80","0.835","0"
"2016","1 points","Other","Main scheme applicant","Main scheme application","105","85","0.811","0"
"2017","1 points","Other","Main scheme applicant","Main scheme application","125","90","0.736","0"
"2018","1 points","Other","Main scheme applicant","Main scheme application","120","90","0.75","0"
"2019","1 points","Other","Main scheme applicant","Main scheme application","135","100","0.752","0"
"2020","1 points","Other","Main scheme applicant","Main scheme application","280","215","0.777","0"
"2021","1 points","Other","Main scheme applicant","Main scheme application","515","420","0.8190000000000001","0"
"2022","1 points","Other","Main scheme applicant","Main scheme application","340","265","0.777","0"
"2023","1 points","Other","Main scheme applicant","Main scheme application","125","85","0.6960000000000001","0"
"2010","2 points","Other","Main scheme applicant","Main scheme application","35","30","0.757","0"
"2011","2 points","Other","Main scheme applicant","Main scheme application","40","35","0.878","0"
"2012","2 points","Other","Main scheme applicant","Main scheme application","35","25","0.706","0"
"2013","2 points","Other","Main scheme applicant","Main scheme application","35","30","0.857","0"
"2014","2 points","Other","Main scheme applicant","Main scheme application","35","25","0.676","0"
"2015","2 points","Other","Main scheme applicant","Main scheme application","30","20","0.677","0"
"2016","2 points","Other","Main scheme applicant","Main scheme application","40","30","0.7000000000000001","0"
"2017","2 points","Other","Main scheme applicant","Main scheme application","55","35","0.611","0"
"2018","2 points","Other","Main scheme applicant","Main scheme application","45","30","0.66","0"
"2019","2 points","Other","Main scheme applicant","Main scheme application","35","25","0.8180000000000001","0"
"2020","2 points","Other","Main scheme applicant","Main scheme application","100","80","0.765","0"
"2021","2 points","Other","Main scheme applicant","Main scheme application","215","160","0.75","0"
"2022","2 points","Other","Main scheme applicant","Main scheme application","135","95","0.6990000000000001","0"
"2023","2 points","Other","Main scheme applicant","Main scheme application","50","35","0.7000000000000001","0"
"2010","3 points","Other","Main scheme applicant","Main scheme application","15","10","0.923","0"
"2011","3 points","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2012","3 points","Other","Main scheme applicant","Main scheme application","10","10"," ","0"
"2013","3 points","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","3 points","Other","Main scheme applicant","Main scheme application","15","10"," ","0"
"2015","3 points","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2016","3 points","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2017","3 points","Other","Main scheme applicant","Main scheme application","15","10"," ","0"
"2018","3 points","Other","Main scheme applicant","Main scheme application","20","15","0.65","0"
"2019","3 points","Other","Main scheme applicant","Main scheme application","15","10"," ","0"
"2020","3 points","Other","Main scheme applicant","Main scheme application","35","30","0.912","0"
"2021","3 points","Other","Main scheme applicant","Main scheme application","95","65","0.6950000000000001","0"
"2022","3 points","Other","Main scheme applicant","Main scheme application","65","45","0.7010000000000001","0"
"2023","3 points","Other","Main scheme applicant","Main scheme application","15","10"," ","0"
"2010","More than 3 points","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","More than 3 points","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","More than 3 points","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","More than 3 points","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2015","More than 3 points","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2016","More than 3 points","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2017","More than 3 points","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","More than 3 points","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","More than 3 points","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","More than 3 points","Other","Main scheme applicant","Main scheme application","45","25","0.628","0"
"2022","More than 3 points","Other","Main scheme applicant","Main scheme application","25","10","0.5","0"
"2023","More than 3 points","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2010","-1 points","Other","Main scheme applicant","Main scheme application","335","250","0.736","0"
"2011","-1 points","Other","Main scheme applicant","Main scheme application","350","260","0.737","0"
"2012","-1 points","Other","Main scheme applicant","Main scheme application","360","275","0.761","0"
"2013","-1 points","Other","Main scheme applicant","Main scheme application","375","280","0.74","0"
"2014","-1 points","Other","Main scheme applicant","Main scheme application","380","290","0.763","0"
"2015","-1 points","Other","Main scheme applicant","Main scheme application","375","290","0.783","0"
"2016","-1 points","Other","Main scheme applicant","Main scheme application","390","295","0.761","0"
"2017","-1 points","Other","Main scheme applicant","Main scheme application","415","320","0.769","0"
"2018","-1 points","Other","Main scheme applicant","Main scheme application","410","315","0.775","0"
"2019","-1 points","Other","Main scheme applicant","Main scheme application","415","325","0.787","0"
"2020","-1 points","Other","Main scheme applicant","Main scheme application","710","450","0.638","0"
"2021","-1 points","Other","Main scheme applicant","Main scheme application","710","540","0.757","0"
"2022","-1 points","Other","Main scheme applicant","Main scheme application","750","555","0.74","0"
"2023","-1 points","Other","Main scheme applicant","Main scheme application","585","450","0.768","0"
"2010","-2 points","Other","Main scheme applicant","Main scheme application","270","175","0.652","0"
"2011","-2 points","Other","Main scheme applicant","Main scheme application","305","215","0.711","0"
"2012","-2 points","Other","Main scheme applicant","Main scheme application","345","240","0.6900000000000001","0"
"2013","-2 points","Other","Main scheme applicant","Main scheme application","375","255","0.684","0"
"2014","-2 points","Other","Main scheme applicant","Main scheme application","395","275","0.7010000000000001","0"
"2015","-2 points","Other","Main scheme applicant","Main scheme application","460","335","0.73","0"
"2016","-2 points","Other","Main scheme applicant","Main scheme application","465","320","0.6900000000000001","0"
"2017","-2 points","Other","Main scheme applicant","Main scheme application","475","330","0.6890000000000001","0"
"2018","-2 points","Other","Main scheme applicant","Main scheme application","485","335","0.6910000000000001","0"
"2019","-2 points","Other","Main scheme applicant","Main scheme application","495","345","0.6960000000000001","0"
"2020","-2 points","Other","Main scheme applicant","Main scheme application","585","345","0.591","0"
"2021","-2 points","Other","Main scheme applicant","Main scheme application","565","390","0.6960000000000001","0"
"2022","-2 points","Other","Main scheme applicant","Main scheme application","675","460","0.682","0"
"2023","-2 points","Other","Main scheme applicant","Main scheme application","795","565","0.71","0"
"2010","-3 points","Other","Main scheme applicant","Main scheme application","190","100","0.531","0"
"2011","-3 points","Other","Main scheme applicant","Main scheme application","205","110","0.549","0"
"2012","-3 points","Other","Main scheme applicant","Main scheme application","280","170","0.599","0"
"2013","-3 points","Other","Main scheme applicant","Main scheme application","265","150","0.5760000000000001","0"
"2014","-3 points","Other","Main scheme applicant","Main scheme application","305","180","0.59","0"
"2015","-3 points","Other","Main scheme applicant","Main scheme application","340","220","0.65","0"
"2016","-3 points","Other","Main scheme applicant","Main scheme application","360","215","0.602","0"
"2017","-3 points","Other","Main scheme applicant","Main scheme application","425","265","0.621","0"
"2018","-3 points","Other","Main scheme applicant","Main scheme application","435","245","0.5650000000000001","0"
"2019","-3 points","Other","Main scheme applicant","Main scheme application","475","310","0.652","0"
"2020","-3 points","Other","Main scheme applicant","Main scheme application","415","210","0.504","0"
"2021","-3 points","Other","Main scheme applicant","Main scheme application","330","190","0.577","0"
"2022","-3 points","Other","Main scheme applicant","Main scheme application","590","355","0.6","0"
"2023","-3 points","Other","Main scheme applicant","Main scheme application","750","485","0.646","0"
"2010","-4 points","Other","Main scheme applicant","Main scheme application","115","45","0.398","0"
"2011","-4 points","Other","Main scheme applicant","Main scheme application","110","45","0.41400000000000003","0"
"2012","-4 points","Other","Main scheme applicant","Main scheme application","185","80","0.432","0"
"2013","-4 points","Other","Main scheme applicant","Main scheme application","165","85","0.515","0"
"2014","-4 points","Other","Main scheme applicant","Main scheme application","220","90","0.40900000000000003","0"
"2015","-4 points","Other","Main scheme applicant","Main scheme application","220","110","0.509","0"
"2016","-4 points","Other","Main scheme applicant","Main scheme application","275","135","0.502","0"
"2017","-4 points","Other","Main scheme applicant","Main scheme application","315","165","0.529","0"
"2018","-4 points","Other","Main scheme applicant","Main scheme application","300","165","0.55","0"
"2019","-4 points","Other","Main scheme applicant","Main scheme application","415","235","0.5700000000000001","0"
"2020","-4 points","Other","Main scheme applicant","Main scheme application","280","125","0.45","0"
"2021","-4 points","Other","Main scheme applicant","Main scheme application","225","110","0.489","0"
"2022","-4 points","Other","Main scheme applicant","Main scheme application","415","205","0.492","0"
"2023","-4 points","Other","Main scheme applicant","Main scheme application","660","380","0.5760000000000001","0"
"2010","-5 points","Other","Main scheme applicant","Main scheme application","50","15","0.354","0"
"2011","-5 points","Other","Main scheme applicant","Main scheme application","75","25","0.324","0"
"2012","-5 points","Other","Main scheme applicant","Main scheme application","85","25","0.325","0"
"2013","-5 points","Other","Main scheme applicant","Main scheme application","80","25","0.28400000000000003","0"
"2014","-5 points","Other","Main scheme applicant","Main scheme application","110","40","0.357","0"
"2015","-5 points","Other","Main scheme applicant","Main scheme application","145","45","0.322","0"
"2016","-5 points","Other","Main scheme applicant","Main scheme application","160","60","0.381","0"
"2017","-5 points","Other","Main scheme applicant","Main scheme application","175","70","0.40800000000000003","0"
"2018","-5 points","Other","Main scheme applicant","Main scheme application","240","115","0.485","0"
"2019","-5 points","Other","Main scheme applicant","Main scheme application","285","130","0.453","0"
"2020","-5 points","Other","Main scheme applicant","Main scheme application","130","45","0.34800000000000003","0"
"2021","-5 points","Other","Main scheme applicant","Main scheme application","120","55","0.45","0"
"2022","-5 points","Other","Main scheme applicant","Main scheme application","280","130","0.457","0"
"2023","-5 points","Other","Main scheme applicant","Main scheme application","490","210","0.425","0"
"2010","-6 points","Other","Main scheme applicant","Main scheme application","30","10","0.357","0"
"2011","-6 points","Other","Main scheme applicant","Main scheme application","35","10","0.324","0"
"2012","-6 points","Other","Main scheme applicant","Main scheme application","60","15","0.262","0"
"2013","-6 points","Other","Main scheme applicant","Main scheme application","50","20","0.353","0"
"2014","-6 points","Other","Main scheme applicant","Main scheme application","65","20","0.28400000000000003","0"
"2015","-6 points","Other","Main scheme applicant","Main scheme application","75","25","0.338","0"
"2016","-6 points","Other","Main scheme applicant","Main scheme application","75","20","0.25","0"
"2017","-6 points","Other","Main scheme applicant","Main scheme application","120","40","0.342","0"
"2018","-6 points","Other","Main scheme applicant","Main scheme application","155","70","0.449","0"
"2019","-6 points","Other","Main scheme applicant","Main scheme application","210","90","0.425","0"
"2020","-6 points","Other","Main scheme applicant","Main scheme application","90","40","0.433","0"
"2021","-6 points","Other","Main scheme applicant","Main scheme application","50","15","0.34","0"
"2022","-6 points","Other","Main scheme applicant","Main scheme application","175","60","0.352","0"
"2023","-6 points","Other","Main scheme applicant","Main scheme application","390","180","0.465","0"
"2010","Less than -6 points","Other","Main scheme applicant","Main scheme application","55","10","0.2","0"
"2011","Less than -6 points","Other","Main scheme applicant","Main scheme application","55","10"," ","0"
"2012","Less than -6 points","Other","Main scheme applicant","Main scheme application","60","10","0.186","0"
"2013","Less than -6 points","Other","Main scheme applicant","Main scheme application","50","5"," ","0"
"2014","Less than -6 points","Other","Main scheme applicant","Main scheme application","90","20","0.22","0"
"2015","Less than -6 points","Other","Main scheme applicant","Main scheme application","75","10","0.151","0"
"2016","Less than -6 points","Other","Main scheme applicant","Main scheme application","90","25","0.289","0"
"2017","Less than -6 points","Other","Main scheme applicant","Main scheme application","155","45","0.279","0"
"2018","Less than -6 points","Other","Main scheme applicant","Main scheme application","230","75","0.322","0"
"2019","Less than -6 points","Other","Main scheme applicant","Main scheme application","355","130","0.371","0"
"2020","Less than -6 points","Other","Main scheme applicant","Main scheme application","70","20","0.304","0"
"2021","Less than -6 points","Other","Main scheme applicant","Main scheme application","80","30","0.405","0"
"2022","Less than -6 points","Other","Main scheme applicant","Main scheme application","330","95","0.296","0"
"2023","Less than -6 points","Other","Main scheme applicant","Main scheme application","655","165","0.256","0"
"2010","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","230","185","0.801","0"
"2011","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","210","180","0.861","0"
"2012","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","185","150","0.8","0"
"2013","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","145","120","0.8160000000000001","0"
"2014","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","150","120","0.783","0"
"2015","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","200","165","0.8290000000000001","0"
"2016","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","170","140","0.8240000000000001","0"
"2017","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","195","160","0.8220000000000001","0"
"2018","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","205","175","0.85","0"
"2019","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","185","160","0.87","0"
"2020","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","380","285","0.753","0"
"2021","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","470","395","0.841","0"
"2022","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","305","220","0.718","0"
"2023","0 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","230","185","0.804","0"
"2010","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","135","110","0.8300000000000001","0"
"2011","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","95","80","0.8130000000000001","0"
"2012","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","70","60","0.8170000000000001","0"
"2013","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","60","45","0.738","0"
"2014","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","45","35","0.717","0"
"2015","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","65","60","0.879","0"
"2016","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","70","50","0.754","0"
"2017","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","55","40","0.764","0"
"2018","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","90","75","0.8240000000000001","0"
"2019","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","55","40","0.759","0"
"2020","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","155","120","0.773","0"
"2021","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","225","185","0.839","0"
"2022","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","145","110","0.766","0"
"2023","1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","40","30","0.75","0"
"2010","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","45","35","0.837","0"
"2011","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","40","35","0.85","0"
"2012","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","10","0.6","0"
"2013","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","20","1","0"
"2014","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.6880000000000001","0"
"2015","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.591","0"
"2016","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","25","20","0.8","0"
"2017","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.682","0"
"2018","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.895","0"
"2019","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","25","15","0.652","0"
"2020","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","50","40","0.875","0"
"2021","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","105","80","0.738","0"
"2022","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","50","35","0.735","0"
"2023","2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.762","0"
"2010","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","25","20","0.88","0"
"2011","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
