"Year","Achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2012","20 point(s)","White","Main scheme applicant","Not main scheme application","50","45","0.86","0"
"2013","20 point(s)","White","Main scheme applicant","Not main scheme application","55","55","0.9470000000000001","0"
"2014","20 point(s)","White","Main scheme applicant","Not main scheme application","75","65","0.904","0"
"2015","20 point(s)","White","Main scheme applicant","Not main scheme application","60","55","0.902","0"
"2016","20 point(s)","White","Main scheme applicant","Not main scheme application","65","50","0.797","0"
"2017","20 point(s)","White","Main scheme applicant","Not main scheme application","60","50","0.839","0"
"2018","20 point(s)","White","Main scheme applicant","Not main scheme application","45","40","0.8260000000000001","0"
"2019","20 point(s)","White","Main scheme applicant","Not main scheme application","60","55","0.887","0"
"2020","20 point(s)","White","Main scheme applicant","Not main scheme application","75","65","0.857","0"
"2021","20 point(s)","White","Main scheme applicant","Not main scheme application","90","65","0.7030000000000001","0"
"2022","20 point(s)","White","Main scheme applicant","Not main scheme application","120","100","0.84","0"
"2023","20 point(s)","White","Main scheme applicant","Not main scheme application","75","65","0.867","0"
"2022","8 point(s)","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","9 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","10 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","11 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","12 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","12 point(s)","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","12 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","12 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","13 point(s)","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","13 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","13 point(s)","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","13 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","14 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","14 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","14 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","14 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","14 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","15 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","15 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","16 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","16 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","16 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","16 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","16 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","17 point(s)","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","17 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","18 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","18 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","20 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","20 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","10 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
