"Year","Parent in UK armed forces status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Parent has not served in UK armed forces","17 and under","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Parent has served in UK armed forces","17 and under","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Main scheme applicant","Not main scheme application","200","180","0.905","0"
"2023","Not declared","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","18","Wales","Female","Main scheme applicant","Not main scheme application","10","10","1","0"
"2023","Parent has not served in UK armed forces","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","665","545","0.8210000000000001","0"
"2023","Parent has not served in UK armed forces","18","England","Female","Main scheme applicant","Not main scheme application","21480","19750","0.919","0"
"2023","Parent has not served in UK armed forces","18","Scotland","Female","Main scheme applicant","Not main scheme application","580","455","0.789","0"
"2023","Parent has not served in UK armed forces","18","Wales","Female","Main scheme applicant","Not main scheme application","660","600","0.911","0"
"2023","Parent has served in UK armed forces","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","20","0.76","0"
"2023","Parent has served in UK armed forces","18","England","Female","Main scheme applicant","Not main scheme application","695","650","0.935","0"
"2023","Parent has served in UK armed forces","18","Scotland","Female","Main scheme applicant","Not main scheme application","30","25","0.793","0"
"2023","Parent has served in UK armed forces","18","Wales","Female","Main scheme applicant","Not main scheme application","40","40","0.9510000000000001","0"
"2023","Not declared","19","England","Female","Main scheme applicant","Not main scheme application","85","75","0.874","0"
"2023","Not declared","19","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Parent has not served in UK armed forces","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","155","120","0.791","0"
"2023","Parent has not served in UK armed forces","19","England","Female","Main scheme applicant","Not main scheme application","4785","4170","0.872","0"
"2023","Parent has not served in UK armed forces","19","Scotland","Female","Main scheme applicant","Not main scheme application","195","145","0.731","0"
"2023","Parent has not served in UK armed forces","19","Wales","Female","Main scheme applicant","Not main scheme application","175","155","0.886","0"
"2023","Parent has served in UK armed forces","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Parent has served in UK armed forces","19","England","Female","Main scheme applicant","Not main scheme application","125","110","0.894","0"
"2023","Parent has served in UK armed forces","19","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Parent has served in UK armed forces","19","Wales","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Female","Main scheme applicant","Not main scheme application","25","20","0.833","0"
"2023","Not declared","20","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Parent has not served in UK armed forces","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","45","35","0.787","0"
"2023","Parent has not served in UK armed forces","20","England","Female","Main scheme applicant","Not main scheme application","1440","1195","0.8300000000000001","0"
"2023","Parent has not served in UK armed forces","20","Scotland","Female","Main scheme applicant","Not main scheme application","105","75","0.718","0"
"2023","Parent has not served in UK armed forces","20","Wales","Female","Main scheme applicant","Not main scheme application","75","55","0.747","0"
"2023","Parent has served in UK armed forces","20","England","Female","Main scheme applicant","Not main scheme application","25","20","0.87","0"
"2023","Not declared","21 - 24","England","Female","Main scheme applicant","Not main scheme application","45","30","0.66","0"
"2023","Not declared","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Parent has not served in UK armed forces","21 - 24","Northern Ireland","Female","Main scheme applicant","Not main scheme application","90","60","0.685","0"
"2023","Parent has not served in UK armed forces","21 - 24","England","Female","Main scheme applicant","Not main scheme application","1700","1175","0.6900000000000001","0"
"2023","Parent has not served in UK armed forces","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","215","135","0.619","0"
"2023","Parent has not served in UK armed forces","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","95","70","0.774","0"
"2023","Parent has served in UK armed forces","21 - 24","England","Female","Main scheme applicant","Not main scheme application","40","25","0.632","0"
"2023","Parent has served in UK armed forces","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Parent has served in UK armed forces","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","25 - 29","England","Female","Main scheme applicant","Not main scheme application","20","10","0.524","0"
"2023","Parent has not served in UK armed forces","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","35","30","0.757","0"
"2023","Parent has not served in UK armed forces","25 - 29","England","Female","Main scheme applicant","Not main scheme application","625","400","0.644","0"
"2023","Parent has not served in UK armed forces","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","85","55","0.667","0"
"2023","Parent has not served in UK armed forces","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","50","35","0.706","0"
"2023","Parent has served in UK armed forces","25 - 29","England","Female","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2023","Parent has served in UK armed forces","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15","15","0.882","0"
"2023","Parent has not served in UK armed forces","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","20","0.808","0"
"2023","Parent has not served in UK armed forces","30 - 34","England","Female","Main scheme applicant","Not main scheme application","455","280","0.616","0"
"2023","Parent has not served in UK armed forces","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","55","30","0.593","0"
"2023","Parent has not served in UK armed forces","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","30","25","0.871","0"
"2023","Parent has served in UK armed forces","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2023","Not declared","35 and over","England","Female","Main scheme applicant","Not main scheme application","45","25","0.523","0"
"2023","Parent has not served in UK armed forces","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","40","35","0.925","0"
"2023","Parent has not served in UK armed forces","35 and over","England","Female","Main scheme applicant","Not main scheme application","1035","650","0.628","0"
"2023","Parent has not served in UK armed forces","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","95","55","0.5670000000000001","0"
"2023","Parent has not served in UK armed forces","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","45","40","0.848","0"
"2023","Parent has served in UK armed forces","35 and over","England","Female","Main scheme applicant","Not main scheme application","15","10","0.647","0"
"2023","Parent has served in UK armed forces","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","17 and under","England","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Parent has not served in UK armed forces","17 and under","England","Male","Main scheme applicant","Not main scheme application","65","40","0.656","0"
"2023","Parent has not served in UK armed forces","17 and under","Scotland","Male","Main scheme applicant","Not main scheme application","20","10","0.667","0"
"2023","Not declared","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Main scheme applicant","Not main scheme application","250","230","0.912","0"
"2023","Not declared","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Parent has not served in UK armed forces","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","320","275","0.857","0"
"2023","Parent has not served in UK armed forces","18","England","Male","Main scheme applicant","Not main scheme application","17235","15985","0.927","0"
"2023","Parent has not served in UK armed forces","18","Scotland","Male","Main scheme applicant","Not main scheme application","370","320","0.862","0"
"2023","Parent has not served in UK armed forces","18","Wales","Male","Main scheme applicant","Not main scheme application","425","385","0.905","0"
"2023","Parent has served in UK armed forces","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2023","Parent has served in UK armed forces","18","England","Male","Main scheme applicant","Not main scheme application","505","475","0.937","0"
"2023","Parent has served in UK armed forces","18","Scotland","Male","Main scheme applicant","Not main scheme application","25","25","1","0"
"2023","Parent has served in UK armed forces","18","Wales","Male","Main scheme applicant","Not main scheme application","25","20","0.87","0"
"2023","Not declared","19","England","Male","Main scheme applicant","Not main scheme application","85","70","0.835","0"
"2023","Not declared","19","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Parent has not served in UK armed forces","19","Northern Ireland","Male","Main scheme applicant","Not main scheme application","85","75","0.839","0"
"2023","Parent has not served in UK armed forces","19","England","Male","Main scheme applicant","Not main scheme application","3580","3155","0.882","0"
"2023","Parent has not served in UK armed forces","19","Scotland","Male","Main scheme applicant","Not main scheme application","140","105","0.739","0"
"2023","Parent has not served in UK armed forces","19","Wales","Male","Main scheme applicant","Not main scheme application","100","95","0.9390000000000001","0"
"2023","Parent has served in UK armed forces","19","England","Male","Main scheme applicant","Not main scheme application","95","80","0.86","0"
"2023","Parent has served in UK armed forces","19","Scotland","Male","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Parent has served in UK armed forces","19","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Male","Main scheme applicant","Not main scheme application","30","25","0.793","0"
"2023","Parent has not served in UK armed forces","20","Northern Ireland","Male","Main scheme applicant","Not main scheme application","30","20","0.6880000000000001","0"
"2023","Parent has not served in UK armed forces","20","England","Male","Main scheme applicant","Not main scheme application","1115","925","0.8320000000000001","0"
"2023","Parent has not served in UK armed forces","20","Scotland","Male","Main scheme applicant","Not main scheme application","60","45","0.705","0"
"2023","Parent has not served in UK armed forces","20","Wales","Male","Main scheme applicant","Not main scheme application","40","35","0.872","0"
"2023","Parent has served in UK armed forces","20","England","Male","Main scheme applicant","Not main scheme application","30","25","0.806","0"
"2023","Parent has served in UK armed forces","20","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","21 - 24","England","Male","Main scheme applicant","Not main scheme application","30","25","0.8280000000000001","0"
"2023","Not declared","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Parent has not served in UK armed forces","21 - 24","Northern Ireland","Male","Main scheme applicant","Not main scheme application","30","25","0.774","0"
"2023","Parent has not served in UK armed forces","21 - 24","England","Male","Main scheme applicant","Not main scheme application","1160","910","0.786","0"
"2023","Parent has not served in UK armed forces","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","115","80","0.7010000000000001","0"
"2023","Parent has not served in UK armed forces","21 - 24","Wales","Male","Main scheme applicant","Not main scheme application","35","30","0.811","0"
"2023","Parent has served in UK armed forces","21 - 24","England","Male","Main scheme applicant","Not main scheme application","30","20","0.724","0"
"2023","Parent has served in UK armed forces","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
