"Year","Subject group HECoS","Detailed subject group HECoS","Ethnic group","Main scheme applicant","Main scheme application","Accepted applicants"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","White","Not main scheme applicant","Not main scheme application","220"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","White","Not main scheme applicant","Not main scheme application","220"
"2019","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","White","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","White","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","White","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","White","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH10) engineering and technology","(CAH10-03-04) maritime technology","White","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH10) engineering and technology","(CAH10-01-05) naval architecture","White","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","White","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","White","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","White","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","White","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","White","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","White","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","White","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","White","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","White","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","White","Not main scheme applicant","Not main scheme application","10"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","White","Not main scheme applicant","Not main scheme application","30"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","White","Not main scheme applicant","Not main scheme application","50"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","White","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","White","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","White","Not main scheme applicant","Not main scheme application","40"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","White","Not main scheme applicant","Not main scheme application","165"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","White","Not main scheme applicant","Not main scheme application","215"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","White","Not main scheme applicant","Not main scheme application","220"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","White","Not main scheme applicant","Not main scheme application","135"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","White","Not main scheme applicant","Not main scheme application","180"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","White","Not main scheme applicant","Not main scheme application","170"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","White","Not main scheme applicant","Not main scheme application","255"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","White","Not main scheme applicant","Not main scheme application","95"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","White","Not main scheme applicant","Not main scheme application","130"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","White","Not main scheme applicant","Not main scheme application","155"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","White","Not main scheme applicant","Not main scheme application","85"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","White","Not main scheme applicant","Not main scheme application","130"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","White","Not main scheme applicant","Not main scheme application","95"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","White","Not main scheme applicant","Not main scheme application","60"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","White","Not main scheme applicant","Not main scheme application","60"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","White","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","White","Not main scheme applicant","Not main scheme application","35"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","White","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","White","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","White","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","White","Not main scheme applicant","Not main scheme application","415"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","White","Not main scheme applicant","Not main scheme application","545"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","White","Not main scheme applicant","Not main scheme application","420"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","White","Not main scheme applicant","Not main scheme application","550"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-07) counselling, psychotherapy and occupational therapy","White","Not main scheme applicant","Not main scheme application","615"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","White","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","White","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","White","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","White","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","White","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","White","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","White","Not main scheme applicant","Not main scheme application","30"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","White","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","White","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","White","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","White","Not main scheme applicant","Not main scheme application","55"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","White","Not main scheme applicant","Not main scheme application","100"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","White","Not main scheme applicant","Not main scheme application","35"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","White","Not main scheme applicant","Not main scheme application","45"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","White","Not main scheme applicant","Not main scheme application","55"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","White","Not main scheme applicant","Not main scheme application","65"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","White","Not main scheme applicant","Not main scheme application","110"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","White","Not main scheme applicant","Not main scheme application","45"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","White","Not main scheme applicant","Not main scheme application","50"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","White","Not main scheme applicant","Not main scheme application","910"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","White","Not main scheme applicant","Not main scheme application","130"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","White","Not main scheme applicant","Not main scheme application","180"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","White","Not main scheme applicant","Not main scheme application","135"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","White","Not main scheme applicant","Not main scheme application","140"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","White","Not main scheme applicant","Not main scheme application","155"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","White","Not main scheme applicant","Not main scheme application","585"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","White","Not main scheme applicant","Not main scheme application","955"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","White","Not main scheme applicant","Not main scheme application","415"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","White","Not main scheme applicant","Not main scheme application","605"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","White","Not main scheme applicant","Not main scheme application","740"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","White","Not main scheme applicant","Not main scheme application","55"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","White","Not main scheme applicant","Not main scheme application","105"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","White","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","White","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","White","Not main scheme applicant","Not main scheme application","110"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","White","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","White","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","White","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","White","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","White","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","White","Not main scheme applicant","Not main scheme application","50"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","White","Not main scheme applicant","Not main scheme application","50"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","White","Not main scheme applicant","Not main scheme application","50"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","White","Not main scheme applicant","Not main scheme application","40"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","White","Not main scheme applicant","Not main scheme application","30"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","White","Not main scheme applicant","Not main scheme application","190"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","White","Not main scheme applicant","Not main scheme application","305"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","White","Not main scheme applicant","Not main scheme application","145"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","White","Not main scheme applicant","Not main scheme application","220"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","White","Not main scheme applicant","Not main scheme application","255"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","White","Not main scheme applicant","Not main scheme application","65"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","White","Not main scheme applicant","Not main scheme application","70"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","White","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","White","Not main scheme applicant","Not main scheme application","40"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","White","Not main scheme applicant","Not main scheme application","110"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","White","Not main scheme applicant","Not main scheme application","60"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","White","Not main scheme applicant","Not main scheme application","70"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","White","Not main scheme applicant","Not main scheme application","40"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","White","Not main scheme applicant","Not main scheme application","35"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","White","Not main scheme applicant","Not main scheme application","50"
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","White","Not main scheme applicant","Not main scheme application","150"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","White","Not main scheme applicant","Not main scheme application","145"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","White","Not main scheme applicant","Not main scheme application","115"
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","White","Not main scheme applicant","Not main scheme application","115"
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","White","Not main scheme applicant","Not main scheme application","115"
"2019","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","White","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","White","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","White","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","White","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","White","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-06) others in English studies","White","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH19) language and area studies","(CAH19-01-06) others in English studies","White","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-01-06) others in English studies","White","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-01-06) others in English studies","White","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-02) English language","White","Not main scheme applicant","Not main scheme application","55"
"2020","(CAH19) language and area studies","(CAH19-01-02) English language","White","Not main scheme applicant","Not main scheme application","45"
"2021","(CAH19) language and area studies","(CAH19-01-02) English language","White","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","White","Not main scheme applicant","Not main scheme application","35"
"2023","(CAH19) language and area studies","(CAH19-01-02) English language","White","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","White","Not main scheme applicant","Not main scheme application","145"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","White","Not main scheme applicant","Not main scheme application","135"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","White","Not main scheme applicant","Not main scheme application","80"
