"Year","Subject group HECoS","Detailed subject group HECoS","Ethnic group","Main scheme applicant","Main scheme application","Accepted applicants"
"2022","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","Mixed","All","Main scheme application","70"
"2023","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","Mixed","All","Main scheme application","65"
"2019","(CAH19) language and area studies","(CAH19-04-03) Italian studies","Mixed","All","Main scheme application","10"
"2020","(CAH19) language and area studies","(CAH19-04-03) Italian studies","Mixed","All","Main scheme application","10"
"2021","(CAH19) language and area studies","(CAH19-04-03) Italian studies","Mixed","All","Main scheme application","10"
"2022","(CAH19) language and area studies","(CAH19-04-03) Italian studies","Mixed","All","Main scheme application","10"
"2023","(CAH19) language and area studies","(CAH19-04-03) Italian studies","Mixed","All","Main scheme application","10"
"2019","(CAH19) language and area studies","(CAH19-01-07) linguistics","Mixed","All","Main scheme application","25"
"2020","(CAH19) language and area studies","(CAH19-01-07) linguistics","Mixed","All","Main scheme application","40"
"2021","(CAH19) language and area studies","(CAH19-01-07) linguistics","Mixed","All","Main scheme application","40"
"2022","(CAH19) language and area studies","(CAH19-01-07) linguistics","Mixed","All","Main scheme application","45"
"2023","(CAH19) language and area studies","(CAH19-01-07) linguistics","Mixed","All","Main scheme application","45"
"2019","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Mixed","All","Main scheme application","120"
"2020","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Mixed","All","Main scheme application","130"
"2021","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Mixed","All","Main scheme application","120"
"2022","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Mixed","All","Main scheme application","160"
"2023","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Mixed","All","Main scheme application","120"
"2019","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","Mixed","All","Main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","Mixed","All","Main scheme application","10"
"2021","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","Mixed","All","Main scheme application","10"
"2022","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","Mixed","All","Main scheme application","10"
"2023","(CAH19) language and area studies","(CAH19-04-05) Slavic studies","Mixed","All","Main scheme application","10"
"2019","(CAH19) language and area studies","(CAH19-04-06) Asian studies","Mixed","All","Main scheme application","85"
"2020","(CAH19) language and area studies","(CAH19-04-06) Asian studies","Mixed","All","Main scheme application","75"
"2021","(CAH19) language and area studies","(CAH19-04-06) Asian studies","Mixed","All","Main scheme application","75"
"2022","(CAH19) language and area studies","(CAH19-04-06) Asian studies","Mixed","All","Main scheme application","80"
"2023","(CAH19) language and area studies","(CAH19-04-06) Asian studies","Mixed","All","Main scheme application","60"
"2019","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","Mixed","All","Main scheme application","20"
"2020","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","Mixed","All","Main scheme application","15"
"2021","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","Mixed","All","Main scheme application","15"
"2022","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","Mixed","All","Main scheme application","15"
"2023","(CAH19) language and area studies","(CAH19-04-07) African and modern Middle Eastern studies","Mixed","All","Main scheme application","10"
"2019","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Mixed","All","Main scheme application","325"
"2020","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Mixed","All","Main scheme application","330"
"2021","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Mixed","All","Main scheme application","345"
"2022","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Mixed","All","Main scheme application","400"
"2023","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","Mixed","All","Main scheme application","375"
"2019","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","Mixed","All","Main scheme application","15"
"2020","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","Mixed","All","Main scheme application","10"
"2021","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","Mixed","All","Main scheme application","10"
"2022","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","Mixed","All","Main scheme application","15"
"2023","(CAH24) media, journalism and communications","(CAH24-01-02) publicity studies","Mixed","All","Main scheme application","10"
"2019","(CAH24) media, journalism and communications","(CAH24-01-01) information services","Mixed","All","Main scheme application","5"
"2021","(CAH24) media, journalism and communications","(CAH24-01-01) information services","Mixed","All","Main scheme application","5"
"2023","(CAH24) media, journalism and communications","(CAH24-01-01) information services","Mixed","All","Main scheme application","5"
"2019","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Mixed","All","Main scheme application","100"
"2020","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Mixed","All","Main scheme application","105"
"2021","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Mixed","All","Main scheme application","130"
"2022","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Mixed","All","Main scheme application","125"
"2023","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","Mixed","All","Main scheme application","135"
"2019","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","Mixed","All","Main scheme application","10"
"2020","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","Mixed","All","Main scheme application","5"
"2021","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","Mixed","All","Main scheme application","5"
"2022","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","Mixed","All","Main scheme application","5"
"2023","(CAH24) media, journalism and communications","(CAH24-01-03) publishing","Mixed","All","Main scheme application","5"
"2019","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Mixed","All","Main scheme application","30"
"2020","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Mixed","All","Main scheme application","40"
"2021","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Mixed","All","Main scheme application","50"
"2022","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Mixed","All","Main scheme application","40"
"2023","(CAH23) combined and general studies","(CAH23-01-04) liberal arts (non-specific)","Mixed","All","Main scheme application","60"
"2019","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Mixed","All","Main scheme application","25"
"2020","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Mixed","All","Main scheme application","20"
"2021","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Mixed","All","Main scheme application","15"
"2022","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Mixed","All","Main scheme application","20"
"2023","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","Mixed","All","Main scheme application","25"
"2019","(CAH23) combined and general studies","(CAH23-01-02) personal development","Mixed","All","Main scheme application","15"
"2020","(CAH23) combined and general studies","(CAH23-01-02) personal development","Mixed","All","Main scheme application","10"
"2021","(CAH23) combined and general studies","(CAH23-01-02) personal development","Mixed","All","Main scheme application","10"
"2022","(CAH23) combined and general studies","(CAH23-01-02) personal development","Mixed","All","Main scheme application","15"
"2023","(CAH23) combined and general studies","(CAH23-01-02) personal development","Mixed","All","Main scheme application","20"
"2019","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Mixed","All","Main scheme application","40"
"2020","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Mixed","All","Main scheme application","30"
"2021","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Mixed","All","Main scheme application","45"
"2022","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Mixed","All","Main scheme application","45"
"2023","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","Mixed","All","Main scheme application","40"
"2019","(CAH17) business and management","(CAH17-01-03) marketing","Mixed","All","Main scheme application","240"
"2020","(CAH17) business and management","(CAH17-01-03) marketing","Mixed","All","Main scheme application","295"
"2021","(CAH17) business and management","(CAH17-01-03) marketing","Mixed","All","Main scheme application","325"
"2022","(CAH17) business and management","(CAH17-01-03) marketing","Mixed","All","Main scheme application","365"
"2023","(CAH17) business and management","(CAH17-01-03) marketing","Mixed","All","Main scheme application","350"
"2019","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Mixed","All","Main scheme application","245"
"2020","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Mixed","All","Main scheme application","270"
"2021","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Mixed","All","Main scheme application","360"
"2022","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Mixed","All","Main scheme application","385"
"2023","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","Mixed","All","Main scheme application","420"
"2019","(CAH17) business and management","(CAH17-01-02) business studies","Mixed","All","Main scheme application","480"
"2020","(CAH17) business and management","(CAH17-01-02) business studies","Mixed","All","Main scheme application","515"
"2021","(CAH17) business and management","(CAH17-01-02) business studies","Mixed","All","Main scheme application","515"
"2022","(CAH17) business and management","(CAH17-01-02) business studies","Mixed","All","Main scheme application","560"
"2023","(CAH17) business and management","(CAH17-01-02) business studies","Mixed","All","Main scheme application","580"
"2019","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Mixed","All","Main scheme application","190"
"2020","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Mixed","All","Main scheme application","195"
"2021","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Mixed","All","Main scheme application","170"
"2022","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Mixed","All","Main scheme application","165"
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","Mixed","All","Main scheme application","155"
"2019","(CAH17) business and management","(CAH17-01-05) human resource management","Mixed","All","Main scheme application","30"
"2020","(CAH17) business and management","(CAH17-01-05) human resource management","Mixed","All","Main scheme application","25"
"2021","(CAH17) business and management","(CAH17-01-05) human resource management","Mixed","All","Main scheme application","30"
"2022","(CAH17) business and management","(CAH17-01-05) human resource management","Mixed","All","Main scheme application","30"
"2023","(CAH17) business and management","(CAH17-01-05) human resource management","Mixed","All","Main scheme application","35"
"2019","(CAH17) business and management","(CAH17-01-04) management studies","Mixed","All","Main scheme application","285"
"2020","(CAH17) business and management","(CAH17-01-04) management studies","Mixed","All","Main scheme application","280"
"2021","(CAH17) business and management","(CAH17-01-04) management studies","Mixed","All","Main scheme application","365"
"2022","(CAH17) business and management","(CAH17-01-04) management studies","Mixed","All","Main scheme application","360"
"2023","(CAH17) business and management","(CAH17-01-04) management studies","Mixed","All","Main scheme application","320"
"2019","(CAH17) business and management","(CAH17-01-08) accounting","Mixed","All","Main scheme application","185"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","Mixed","All","Main scheme application","225"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","Mixed","All","Main scheme application","265"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","Mixed","All","Main scheme application","285"
"2023","(CAH17) business and management","(CAH17-01-08) accounting","Mixed","All","Main scheme application","275"
"2019","(CAH17) business and management","(CAH17-01-07) finance","Mixed","All","Main scheme application","170"
"2020","(CAH17) business and management","(CAH17-01-07) finance","Mixed","All","Main scheme application","195"
"2021","(CAH17) business and management","(CAH17-01-07) finance","Mixed","All","Main scheme application","205"
"2022","(CAH17) business and management","(CAH17-01-07) finance","Mixed","All","Main scheme application","245"
"2023","(CAH17) business and management","(CAH17-01-07) finance","Mixed","All","Main scheme application","255"
"2019","(CAH15) social sciences","(CAH15-03-01) politics","Mixed","All","Main scheme application","355"
"2020","(CAH15) social sciences","(CAH15-03-01) politics","Mixed","All","Main scheme application","425"
"2021","(CAH15) social sciences","(CAH15-03-01) politics","Mixed","All","Main scheme application","485"
"2022","(CAH15) social sciences","(CAH15-03-01) politics","Mixed","All","Main scheme application","540"
"2023","(CAH15) social sciences","(CAH15-03-01) politics","Mixed","All","Main scheme application","540"
"2019","(CAH15) social sciences","(CAH15-01-04) anthropology","Mixed","All","Main scheme application","70"
"2020","(CAH15) social sciences","(CAH15-01-04) anthropology","Mixed","All","Main scheme application","85"
"2021","(CAH15) social sciences","(CAH15-01-04) anthropology","Mixed","All","Main scheme application","85"
"2022","(CAH15) social sciences","(CAH15-01-04) anthropology","Mixed","All","Main scheme application","90"
"2023","(CAH15) social sciences","(CAH15-01-04) anthropology","Mixed","All","Main scheme application","75"
"2019","(CAH15) social sciences","(CAH15-02-01) economics","Mixed","All","Main scheme application","450"
"2020","(CAH15) social sciences","(CAH15-02-01) economics","Mixed","All","Main scheme application","440"
"2021","(CAH15) social sciences","(CAH15-02-01) economics","Mixed","All","Main scheme application","545"
"2022","(CAH15) social sciences","(CAH15-02-01) economics","Mixed","All","Main scheme application","540"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","Mixed","All","Main scheme application","570"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Mixed","All","Main scheme application","95"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Mixed","All","Main scheme application","70"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Mixed","All","Main scheme application","85"
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Mixed","All","Main scheme application","80"
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","Mixed","All","Main scheme application","60"
"2019","(CAH15) social sciences","(CAH15-04-01) social work","Mixed","All","Main scheme application","180"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","Mixed","All","Main scheme application","200"
"2021","(CAH15) social sciences","(CAH15-04-01) social work","Mixed","All","Main scheme application","230"
"2022","(CAH15) social sciences","(CAH15-04-01) social work","Mixed","All","Main scheme application","180"
"2023","(CAH15) social sciences","(CAH15-04-01) social work","Mixed","All","Main scheme application","150"
"2019","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Mixed","All","Main scheme application","60"
"2020","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Mixed","All","Main scheme application","55"
"2021","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Mixed","All","Main scheme application","55"
"2022","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Mixed","All","Main scheme application","45"
"2023","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","Mixed","All","Main scheme application","65"
"2019","(CAH15) social sciences","(CAH15-04-03) health studies","Mixed","All","Main scheme application","75"
"2020","(CAH15) social sciences","(CAH15-04-03) health studies","Mixed","All","Main scheme application","70"
"2021","(CAH15) social sciences","(CAH15-04-03) health studies","Mixed","All","Main scheme application","90"
"2022","(CAH15) social sciences","(CAH15-04-03) health studies","Mixed","All","Main scheme application","80"
"2023","(CAH15) social sciences","(CAH15-04-03) health studies","Mixed","All","Main scheme application","70"
"2019","(CAH15) social sciences","(CAH15-01-03) social policy","Mixed","All","Main scheme application","45"
"2020","(CAH15) social sciences","(CAH15-01-03) social policy","Mixed","All","Main scheme application","55"
"2021","(CAH15) social sciences","(CAH15-01-03) social policy","Mixed","All","Main scheme application","65"
"2022","(CAH15) social sciences","(CAH15-01-03) social policy","Mixed","All","Main scheme application","50"
"2023","(CAH15) social sciences","(CAH15-01-03) social policy","Mixed","All","Main scheme application","65"
"2019","(CAH15) social sciences","(CAH15-01-02) sociology","Mixed","All","Main scheme application","680"
"2020","(CAH15) social sciences","(CAH15-01-02) sociology","Mixed","All","Main scheme application","700"
"2021","(CAH15) social sciences","(CAH15-01-02) sociology","Mixed","All","Main scheme application","820"
"2022","(CAH15) social sciences","(CAH15-01-02) sociology","Mixed","All","Main scheme application","755"
"2023","(CAH15) social sciences","(CAH15-01-02) sociology","Mixed","All","Main scheme application","710"
"2019","(CAH15) social sciences","(CAH15-01-05) development studies","Mixed","All","Main scheme application","25"
"2020","(CAH15) social sciences","(CAH15-01-05) development studies","Mixed","All","Main scheme application","25"
"2021","(CAH15) social sciences","(CAH15-01-05) development studies","Mixed","All","Main scheme application","25"
"2022","(CAH15) social sciences","(CAH15-01-05) development studies","Mixed","All","Main scheme application","35"
"2023","(CAH15) social sciences","(CAH15-01-05) development studies","Mixed","All","Main scheme application","20"
"2019","(CAH15) social sciences","(CAH15-01-06) cultural studies","Mixed","All","Main scheme application","10"
"2020","(CAH15) social sciences","(CAH15-01-06) cultural studies","Mixed","All","Main scheme application","5"
"2021","(CAH15) social sciences","(CAH15-01-06) cultural studies","Mixed","All","Main scheme application","10"
"2022","(CAH15) social sciences","(CAH15-01-06) cultural studies","Mixed","All","Main scheme application","5"
"2023","(CAH15) social sciences","(CAH15-01-06) cultural studies","Mixed","All","Main scheme application","5"
"2019","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Mixed","All","Main scheme application","570"
"2020","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Mixed","All","Main scheme application","610"
"2021","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Mixed","All","Main scheme application","725"
"2022","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Mixed","All","Main scheme application","755"
"2023","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","Mixed","All","Main scheme application","665"
"2019","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Mixed","All","Main scheme application","5"
"2020","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Mixed","All","Main scheme application","10"
"2021","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Mixed","All","Main scheme application","15"
"2022","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Mixed","All","Main scheme application","15"
"2023","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","Mixed","All","Main scheme application","10"
"2019","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Mixed","All","Main scheme application","15"
"2020","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Mixed","All","Main scheme application","15"
"2021","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Mixed","All","Main scheme application","20"
"2022","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Mixed","All","Main scheme application","15"
"2023","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","Mixed","All","Main scheme application","20"
"2019","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Mixed","All","Main scheme application","110"
"2020","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Mixed","All","Main scheme application","150"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Mixed","All","Main scheme application","165"
"2022","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Mixed","All","Main scheme application","160"
"2023","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","Mixed","All","Main scheme application","165"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Mixed","All","Main scheme application","95"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Mixed","All","Main scheme application","105"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Mixed","All","Main scheme application","110"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Mixed","All","Main scheme application","110"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","Mixed","All","Main scheme application","115"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Mixed","All","Main scheme application","190"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Mixed","All","Main scheme application","185"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Mixed","All","Main scheme application","215"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Mixed","All","Main scheme application","185"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","Mixed","All","Main scheme application","180"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Mixed","All","Main scheme application","50"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Mixed","All","Main scheme application","60"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Mixed","All","Main scheme application","75"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Mixed","All","Main scheme application","90"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","Mixed","All","Main scheme application","80"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Mixed","All","Main scheme application","15"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Mixed","All","Main scheme application","20"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Mixed","All","Main scheme application","25"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Mixed","All","Main scheme application","20"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","Mixed","All","Main scheme application","25"
"2020","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Mixed","All","Main scheme application","5"
"2022","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","Mixed","All","Main scheme application","5"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Mixed","All","Main scheme application","55"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Mixed","All","Main scheme application","60"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Mixed","All","Main scheme application","75"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Mixed","All","Main scheme application","75"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","Mixed","All","Main scheme application","75"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Mixed","All","Main scheme application","190"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Mixed","All","Main scheme application","265"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Mixed","All","Main scheme application","275"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Mixed","All","Main scheme application","305"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","Mixed","All","Main scheme application","260"
"2020","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Mixed","All","Main scheme application","5"
"2021","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Mixed","All","Main scheme application","5"
"2023","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","Mixed","All","Main scheme application","5"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","Mixed","All","Main scheme application","80"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","Mixed","All","Main scheme application","70"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","Mixed","All","Main scheme application","80"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","Mixed","All","Main scheme application","100"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","Mixed","All","Main scheme application","85"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Mixed","All","Main scheme application","40"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Mixed","All","Main scheme application","35"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Mixed","All","Main scheme application","30"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Mixed","All","Main scheme application","35"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","Mixed","All","Main scheme application","35"
"2019","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Mixed","All","Main scheme application","5"
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Mixed","All","Main scheme application","10"
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Mixed","All","Main scheme application","10"
"2022","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","Mixed","All","Main scheme application","5"
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Mixed","All","Main scheme application","50"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Mixed","All","Main scheme application","60"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Mixed","All","Main scheme application","50"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Mixed","All","Main scheme application","45"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","Mixed","All","Main scheme application","65"
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Mixed","All","Main scheme application","445"
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Mixed","All","Main scheme application","460"
"2021","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Mixed","All","Main scheme application","470"
"2022","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Mixed","All","Main scheme application","440"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","Mixed","All","Main scheme application","490"
"2019","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Mixed","All","Main scheme application","10"
"2020","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Mixed","All","Main scheme application","10"
"2021","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Mixed","All","Main scheme application","25"
"2022","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Mixed","All","Main scheme application","15"
"2023","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","Mixed","All","Main scheme application","15"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Mixed","All","Main scheme application","385"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Mixed","All","Main scheme application","385"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Mixed","All","Main scheme application","410"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Mixed","All","Main scheme application","390"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","Mixed","All","Main scheme application","450"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Mixed","All","Main scheme application","40"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Mixed","All","Main scheme application","20"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Mixed","All","Main scheme application","20"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Mixed","All","Main scheme application","35"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","Mixed","All","Main scheme application","30"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Mixed","All","Main scheme application","55"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Mixed","All","Main scheme application","55"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Mixed","All","Main scheme application","80"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Mixed","All","Main scheme application","90"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","Mixed","All","Main scheme application","75"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Mixed","All","Main scheme application","45"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Mixed","All","Main scheme application","60"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Mixed","All","Main scheme application","50"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","Mixed","All","Main scheme application","55"
