"Year","Achieved SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","All","Asian","Main scheme applicant","Main scheme application","240","190","0.785","0"
"2022","All","Asian","Main scheme applicant","Main scheme application","305","255","0.833","0"
"2023","All","Asian","Main scheme applicant","Main scheme application","360","320","0.892","0"
"2010","All","Mixed","Main scheme applicant","Main scheme application","25","20","0.792","0"
"2011","All","Mixed","Main scheme applicant","Main scheme application","35","35","0.9440000000000001","0"
"2012","All","Mixed","Main scheme applicant","Main scheme application","35","25","0.727","0"
"2013","All","Mixed","Main scheme applicant","Main scheme application","35","30","0.853","0"
"2014","All","Mixed","Main scheme applicant","Main scheme application","45","35","0.739","0"
"2015","All","Mixed","Main scheme applicant","Main scheme application","55","50","0.86","0"
"2016","All","Mixed","Main scheme applicant","Main scheme application","55","50","0.907","0"
"2017","All","Mixed","Main scheme applicant","Main scheme application","60","50","0.864","0"
"2018","All","Mixed","Main scheme applicant","Main scheme application","55","50","0.857","0"
"2019","All","Mixed","Main scheme applicant","Main scheme application","60","55","0.898","0"
"2020","All","Mixed","Main scheme applicant","Main scheme application","80","75","0.914","0"
"2021","All","Mixed","Main scheme applicant","Main scheme application","100","90","0.881","0"
"2022","All","Mixed","Main scheme applicant","Main scheme application","110","95","0.898","0"
"2023","All","Mixed","Main scheme applicant","Main scheme application","125","115","0.927","0"
"2010","All","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","All","Other","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","All","Other","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","All","Other","Main scheme applicant","Main scheme application","10","5"," ","0"
"2014","All","Other","Main scheme applicant","Main scheme application","15","10"," ","0"
"2015","All","Other","Main scheme applicant","Main scheme application","15","10"," ","0"
"2016","All","Other","Main scheme applicant","Main scheme application","15","15","0.882","0"
"2017","All","Other","Main scheme applicant","Main scheme application","15","10","0.733","0"
"2018","All","Other","Main scheme applicant","Main scheme application","15","15","1","0"
"2019","All","Other","Main scheme applicant","Main scheme application","20","15","0.684","0"
"2020","All","Other","Main scheme applicant","Main scheme application","25","20","0.778","0"
"2021","All","Other","Main scheme applicant","Main scheme application","30","20","0.7000000000000001","0"
"2022","All","Other","Main scheme applicant","Main scheme application","40","30","0.6900000000000001","0"
"2023","All","Other","Main scheme applicant","Main scheme application","45","35","0.837","0"
"2010","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2011","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2012","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2014","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","5"," ","0"
"2016","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","15","0.8130000000000001","0"
"2017","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","20","0.857","0"
"2018","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","25","20","0.833","0"
"2019","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","25","20","0.87","0"
"2020","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","25","20","0.917","0"
"2021","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.789","0"
"2022","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","30","20","0.759","0"
"2023","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","25","20","0.913","0"
"2012","4 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","4 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","5 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","5 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","5 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","5 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","5 point(s)","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","5 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","5 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","5 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","6 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","6 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","6 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
