"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2020","International","Not EU","Saudi Arabia","19","Female","5","0","0"
"2023","International","Not EU","Saudi Arabia","19","Female","5","0","0"
"2020","International","Not EU","Singapore","19","Female","5","0","0"
"2021","International","Not EU","Singapore","19","Female","5","0","0"
"2022","International","Not EU","Singapore","19","Female","5","0","0"
"2020","International","Not EU","South Africa","19","Female","5","0","0"
"2021","International","Not EU","South Africa","19","Female","5","0","0"
"2022","International","Not EU","South Africa","19","Female","5","0","0"
"2023","International","Not EU","South Africa","19","Female","5","0","0"
"2020","International","Not EU","United Arab Emirates","19","Female","5","0","0"
"2021","International","Not EU","United Arab Emirates","19","Female","5","0","0"
"2022","International","Not EU","United Arab Emirates","19","Female","5","0","0"
"2023","International","Not EU","United Arab Emirates","19","Female","5","5","0"
"2023","International","Not EU","Uganda","19","Female","5","0","0"
"2023","International","Not EU","Egypt","19","Female","5","0","0"
"2020","International","Not EU","United States of America","19","Female","5","0","0"
"2021","International","Not EU","United States of America","19","Female","5","0","0"
"2022","International","Not EU","United States of America","19","Female","5","0","0"
"2023","International","Not EU","United States of America","19","Female","5","0","0"
"2023","International","Not EU","Vietnam [Viet Nam]","19","Female","5","0","0"
"2023","International","Not EU","Turks and Caicos Islands","19","Female","5","5","0"
"2020","International","Not EU","Russian Federation","19","Female","5","0","0"
"2020","UK","England","England","20","Female","465","235","195"
"2021","UK","England","England","20","Female","355","130","100"
"2022","UK","England","England","20","Female","190","70","45"
"2023","UK","England","England","20","Female","385","170","125"
"2020","UK","Northern Ireland","Northern Ireland","20","Female","15","5","5"
"2021","UK","Northern Ireland","Northern Ireland","20","Female","5","5","5"
"2022","UK","Northern Ireland","Northern Ireland","20","Female","5","0","0"
"2023","UK","Northern Ireland","Northern Ireland","20","Female","5","0","0"
"2020","UK","Scotland","Scotland","20","Female","30","15","10"
"2021","UK","Scotland","Scotland","20","Female","20","5","5"
"2022","UK","Scotland","Scotland","20","Female","15","5","5"
"2023","UK","Scotland","Scotland","20","Female","45","20","15"
"2020","UK","Wales","Wales","20","Female","20","10","5"
"2021","UK","Wales","Wales","20","Female","15","10","5"
"2022","UK","Wales","Wales","20","Female","10","10","5"
"2023","UK","Wales","Wales","20","Female","25","15","10"
"2020","International","EU (excluding UK)","France","20","Female","5","0","0"
"2020","International","EU (excluding UK)","Germany","20","Female","5","0","0"
"2020","International","EU (excluding UK)","Ireland","20","Female","5","0","0"
"2021","International","EU (excluding UK)","Ireland","20","Female","5","0","0"
"2022","International","EU (excluding UK)","Ireland","20","Female","5","0","0"
"2023","International","EU (excluding UK)","Ireland","20","Female","5","0","0"
"2022","International","EU (excluding UK)","Italy","20","Female","5","0","0"
"2023","International","EU (excluding UK)","Italy","20","Female","5","0","0"
"2020","International","EU (excluding UK)","Poland","20","Female","5","0","0"
"2020","International","Not EU","China","20","Female","20","0","0"
"2021","International","Not EU","China","20","Female","10","0","0"
"2022","International","Not EU","China","20","Female","10","0","0"
"2023","International","Not EU","China","20","Female","10","0","0"
"2022","International","Not EU","Ghana","20","Female","5","0","0"
"2022","International","Not EU","Hong Kong","20","Female","5","0","0"
"2021","International","Not EU","India","20","Female","5","0","0"
"2022","International","Not EU","India","20","Female","5","0","0"
"2023","International","Not EU","India","20","Female","5","0","0"
"2020","International","Not EU","Malaysia","20","Female","10","0","0"
"2021","International","Not EU","Malaysia","20","Female","15","5","5"
"2022","International","Not EU","Malaysia","20","Female","5","5","5"
"2023","International","Not EU","Malaysia","20","Female","5","0","0"
"2022","International","Not EU","Nigeria","20","Female","15","0","0"
"2023","International","Not EU","Nigeria","20","Female","5","0","0"
"2020","International","Not EU","Norway","20","Female","5","0","0"
"2021","International","Not EU","Pakistan","20","Female","5","0","0"
"2022","International","Not EU","Pakistan","20","Female","5","0","0"
"2021","International","Not EU","Zimbabwe","20","Female","5","0","0"
"2020","International","Not EU","Singapore","20","Female","5","0","0"
"2021","International","Not EU","Singapore","20","Female","5","0","0"
"2021","International","Not EU","South Africa","20","Female","5","0","0"
"2023","International","Not EU","South Africa","20","Female","5","0","0"
"2023","International","Not EU","United Arab Emirates","20","Female","5","0","0"
"2023","International","Not EU","Turkey","20","Female","5","0","0"
"2020","International","Not EU","United States of America","20","Female","5","0","0"
"2021","International","Not EU","United States of America","20","Female","5","0","0"
"2022","International","Not EU","United States of America","20","Female","5","0","0"
