"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2020","International","Not EU","Hong Kong","21 - 24","Male","5","0","0"
"2021","International","Not EU","Hong Kong","21 - 24","Male","5","0","0"
"2020","International","Not EU","India","21 - 24","Male","5","0","0"
"2021","International","Not EU","India","21 - 24","Male","10","0","0"
"2022","International","Not EU","India","21 - 24","Male","10","0","0"
"2023","International","Not EU","India","21 - 24","Male","30","0","0"
"2023","International","Not EU","Iran, Islamic Republic of","21 - 24","Male","5","0","0"
"2022","International","Not EU","Korea, Republic of","21 - 24","Male","5","0","0"
"2022","International","Not EU","Malaysia","21 - 24","Male","5","0","0"
"2020","International","Not EU","Nigeria","21 - 24","Male","5","0","0"
"2021","International","Not EU","Nigeria","21 - 24","Male","15","0","0"
"2022","International","Not EU","Nigeria","21 - 24","Male","25","0","0"
"2023","International","Not EU","Nigeria","21 - 24","Male","15","0","0"
"2020","International","Not EU","Pakistan","21 - 24","Male","10","0","0"
"2021","International","Not EU","Pakistan","21 - 24","Male","5","0","0"
"2022","International","Not EU","Pakistan","21 - 24","Male","5","0","0"
"2023","International","Not EU","Pakistan","21 - 24","Male","15","0","0"
"2021","International","Not EU","Zimbabwe","21 - 24","Male","5","0","0"
"2021","International","Not EU","Saudi Arabia","21 - 24","Male","5","0","0"
"2022","International","Not EU","Saudi Arabia","21 - 24","Male","5","0","0"
"2023","International","Not EU","Saudi Arabia","21 - 24","Male","5","0","0"
"2021","International","Not EU","Singapore","21 - 24","Male","5","0","0"
"2022","International","Not EU","Singapore","21 - 24","Male","5","0","0"
"2023","International","Not EU","United Arab Emirates","21 - 24","Male","5","0","0"
"2021","International","Not EU","Turkey","21 - 24","Male","5","0","0"
"2022","International","Not EU","Turkey","21 - 24","Male","5","0","0"
"2020","International","Not EU","United States of America","21 - 24","Male","5","0","0"
"2022","International","Not EU","United States of America","21 - 24","Male","5","0","0"
"2023","International","Not EU","United States of America","21 - 24","Male","5","0","0"
"2023","International","Not EU","Bangladesh","21 - 24","Male","5","0","0"
"2021","International","Not EU","Uzbekistan","21 - 24","Male","5","0","0"
"2020","UK","England","England","25 - 29","Male","200","80","55"
"2021","UK","England","England","25 - 29","Male","125","50","35"
"2022","UK","England","England","25 - 29","Male","95","35","25"
"2023","UK","England","England","25 - 29","Male","155","55","40"
"2020","UK","Northern Ireland","Northern Ireland","25 - 29","Male","5","0","0"
"2021","UK","Northern Ireland","Northern Ireland","25 - 29","Male","5","0","0"
"2023","UK","Northern Ireland","Northern Ireland","25 - 29","Male","5","0","0"
"2020","UK","Scotland","Scotland","25 - 29","Male","30","10","5"
"2021","UK","Scotland","Scotland","25 - 29","Male","15","5","0"
"2022","UK","Scotland","Scotland","25 - 29","Male","15","10","10"
"2023","UK","Scotland","Scotland","25 - 29","Male","15","5","0"
"2020","UK","Wales","Wales","25 - 29","Male","15","5","5"
"2021","UK","Wales","Wales","25 - 29","Male","10","5","5"
"2022","UK","Wales","Wales","25 - 29","Male","10","5","5"
"2023","UK","Wales","Wales","25 - 29","Male","10","10","5"
"2023","International","Not EU","Canada","25 - 29","Male","5","0","0"
"2021","International","Not EU","Ghana","25 - 29","Male","5","0","0"
"2022","International","Not EU","Ghana","25 - 29","Male","5","0","0"
"2023","International","Not EU","Ghana","25 - 29","Male","10","0","0"
"2021","International","Not EU","India","25 - 29","Male","5","0","0"
"2022","International","Not EU","India","25 - 29","Male","5","0","0"
"2020","International","Not EU","Korea, Republic of","25 - 29","Male","5","0","0"
"2020","International","Not EU","Nigeria","25 - 29","Male","5","0","0"
"2021","International","Not EU","Nigeria","25 - 29","Male","10","5","0"
"2022","International","Not EU","Nigeria","25 - 29","Male","30","0","0"
"2023","International","Not EU","Nigeria","25 - 29","Male","15","0","0"
"2021","International","Not EU","Pakistan","25 - 29","Male","5","0","0"
"2022","International","Not EU","Pakistan","25 - 29","Male","5","0","0"
"2022","International","Not EU","Zimbabwe","25 - 29","Male","5","0","0"
"2020","International","Not EU","Saudi Arabia","25 - 29","Male","5","0","0"
"2023","International","Not EU","Saudi Arabia","25 - 29","Male","5","0","0"
"2020","UK","England","England","30 - 34","Male","135","60","40"
"2021","UK","England","England","30 - 34","Male","75","15","15"
"2022","UK","England","England","30 - 34","Male","60","20","15"
"2023","UK","England","England","30 - 34","Male","90","30","20"
"2022","UK","Northern Ireland","Northern Ireland","30 - 34","Male","5","0","0"
"2020","UK","Scotland","Scotland","30 - 34","Male","20","0","0"
"2021","UK","Scotland","Scotland","30 - 34","Male","15","5","5"
"2022","UK","Scotland","Scotland","30 - 34","Male","10","0","0"
"2023","UK","Scotland","Scotland","30 - 34","Male","10","0","0"
"2020","UK","Wales","Wales","30 - 34","Male","5","0","0"
"2022","UK","Wales","Wales","30 - 34","Male","5","0","0"
"2023","UK","Wales","Wales","30 - 34","Male","10","5","5"
"2021","International","Not EU","Ghana","30 - 34","Male","5","0","0"
"2022","International","Not EU","Ghana","30 - 34","Male","5","0","0"
"2020","International","Not EU","Nigeria","30 - 34","Male","5","0","0"
"2021","International","Not EU","Nigeria","30 - 34","Male","10","0","0"
"2022","International","Not EU","Nigeria","30 - 34","Male","20","0","0"
"2023","International","Not EU","Nigeria","30 - 34","Male","10","0","0"
"2021","International","Not EU","United States of America","30 - 34","Male","5","0","0"
"2020","UK","England","England","35 and over","Male","290","105","70"
"2021","UK","England","England","35 and over","Male","190","45","25"
"2022","UK","England","England","35 and over","Male","235","50","35"
"2023","UK","England","England","35 and over","Male","260","65","40"
"2020","UK","Northern Ireland","Northern Ireland","35 and over","Male","5","5","5"
"2022","UK","Northern Ireland","Northern Ireland","35 and over","Male","5","0","0"
"2020","UK","Scotland","Scotland","35 and over","Male","20","10","10"
"2021","UK","Scotland","Scotland","35 and over","Male","15","5","5"
"2022","UK","Scotland","Scotland","35 and over","Male","10","0","0"
"2023","UK","Scotland","Scotland","35 and over","Male","20","10","10"
"2020","UK","Wales","Wales","35 and over","Male","10","5","5"
"2021","UK","Wales","Wales","35 and over","Male","10","5","5"
"2022","UK","Wales","Wales","35 and over","Male","10","5","5"
"2023","UK","Wales","Wales","35 and over","Male","5","0","0"
"2020","International","Not EU","Nigeria","35 and over","Male","5","0","0"
"2021","International","Not EU","Nigeria","35 and over","Male","10","0","0"
"2022","International","Not EU","Nigeria","35 and over","Male","15","0","0"
"2023","International","Not EU","Nigeria","35 and over","Male","5","0","0"
"2023","International","Not EU","Zimbabwe","35 and over","Male","5","0","0"
"2020","International","Not EU","Not Known","35 and over","Male","5","0","0"
"2020","UK","England","All","17 and under","Female","25","15","5"
"2021","UK","England","All","17 and under","Female","10","5","5"
"2022","UK","England","All","17 and under","Female","10","0","0"
"2023","UK","England","All","17 and under","Female","20","5","5"
"2020","UK","Scotland","All","17 and under","Female","20","10","5"
"2021","UK","Scotland","All","17 and under","Female","15","5","5"
"2022","UK","Scotland","All","17 and under","Female","15","5","5"
"2023","UK","Scotland","All","17 and under","Female","25","10","10"
"2020","International","Not EU","All","17 and under","Female","70","10","10"
"2021","International","Not EU","All","17 and under","Female","70","15","10"
"2022","International","Not EU","All","17 and under","Female","95","10","5"
"2023","International","Not EU","All","17 and under","Female","85","10","5"
"2020","International","EU (excluding UK)","All","17 and under","Female","40","5","5"
"2021","International","EU (excluding UK)","All","17 and under","Female","20","5","0"
"2022","International","EU (excluding UK)","All","17 and under","Female","15","0","0"
"2023","International","EU (excluding UK)","All","17 and under","Female","35","5","5"
"2020","UK","Northern Ireland","All","18","Female","150","70","60"
"2021","UK","Northern Ireland","All","18","Female","135","65","55"
"2022","UK","Northern Ireland","All","18","Female","75","50","35"
"2023","UK","Northern Ireland","All","18","Female","90","25","20"
"2020","UK","England","All","18","Female","4870","2185","1570"
"2021","UK","England","All","18","Female","3625","1935","1490"
"2022","UK","England","All","18","Female","2505","1255","960"
"2023","UK","England","All","18","Female","4905","2320","1660"
"2020","UK","Scotland","All","18","Female","245","105","75"
"2021","UK","Scotland","All","18","Female","165","65","50"
"2022","UK","Scotland","All","18","Female","110","35","30"
"2023","UK","Scotland","All","18","Female","305","115","100"
"2020","UK","Wales","All","18","Female","140","75","55"
"2021","UK","Wales","All","18","Female","115","65","50"
"2022","UK","Wales","All","18","Female","85","55","45"
"2023","UK","Wales","All","18","Female","165","85","65"
"2020","International","Not EU","All","18","Female","345","80","50"
"2021","International","Not EU","All","18","Female","215","50","35"
"2022","International","Not EU","All","18","Female","270","65","50"
"2023","International","Not EU","All","18","Female","325","70","55"
"2020","International","EU (excluding UK)","All","18","Female","160","55","35"
"2021","International","EU (excluding UK)","All","18","Female","70","20","15"
"2022","International","EU (excluding UK)","All","18","Female","50","15","10"
"2023","International","EU (excluding UK)","All","18","Female","95","25","15"
"2020","UK","Northern Ireland","All","19","Female","45","20","20"
"2021","UK","Northern Ireland","All","19","Female","25","10","10"
"2022","UK","Northern Ireland","All","19","Female","5","5","5"
"2023","UK","Northern Ireland","All","19","Female","15","0","0"
"2020","UK","England","All","19","Female","1185","575","420"
"2021","UK","England","All","19","Female","785","400","285"
"2022","UK","England","All","19","Female","490","230","170"
"2023","UK","England","All","19","Female","1120","520","380"
"2020","UK","Scotland","All","19","Female","80","30","25"
"2021","UK","Scotland","All","19","Female","50","20","15"
"2022","UK","Scotland","All","19","Female","35","15","15"
"2023","UK","Scotland","All","19","Female","75","35","30"
"2020","UK","Wales","All","19","Female","55","30","20"
"2021","UK","Wales","All","19","Female","40","25","20"
"2022","UK","Wales","All","19","Female","15","5","5"
"2023","UK","Wales","All","19","Female","65","35","25"
"2020","International","Not EU","All","19","Female","180","35","20"
"2021","International","Not EU","All","19","Female","160","35","25"
"2022","International","Not EU","All","19","Female","125","20","10"
"2023","International","Not EU","All","19","Female","165","35","25"
"2020","International","EU (excluding UK)","All","19","Female","105","30","20"
"2021","International","EU (excluding UK)","All","19","Female","35","5","5"
"2022","International","EU (excluding UK)","All","19","Female","20","5","5"
"2023","International","EU (excluding UK)","All","19","Female","40","5","0"
"2020","UK","Northern Ireland","All","20","Female","15","5","5"
"2021","UK","Northern Ireland","All","20","Female","5","5","5"
"2022","UK","Northern Ireland","All","20","Female","5","0","0"
"2023","UK","Northern Ireland","All","20","Female","5","0","0"
"2020","UK","England","All","20","Female","465","235","195"
"2021","UK","England","All","20","Female","355","130","100"
"2022","UK","England","All","20","Female","190","70","45"
"2023","UK","England","All","20","Female","385","170","125"
"2020","UK","Scotland","All","20","Female","30","15","10"
"2021","UK","Scotland","All","20","Female","20","5","5"
"2022","UK","Scotland","All","20","Female","15","5","5"
"2023","UK","Scotland","All","20","Female","45","20","15"
"2020","UK","Wales","All","20","Female","20","10","5"
"2021","UK","Wales","All","20","Female","15","10","5"
"2022","UK","Wales","All","20","Female","10","10","5"
"2023","UK","Wales","All","20","Female","25","15","10"
"2020","International","Not EU","All","20","Female","65","10","10"
"2021","International","Not EU","All","20","Female","75","15","15"
"2022","International","Not EU","All","20","Female","80","15","15"
"2023","International","Not EU","All","20","Female","65","10","5"
"2020","International","EU (excluding UK)","All","20","Female","25","5","5"
"2021","International","EU (excluding UK)","All","20","Female","20","5","5"
"2022","International","EU (excluding UK)","All","20","Female","15","0","0"
"2023","International","EU (excluding UK)","All","20","Female","25","5","5"
"2020","UK","Northern Ireland","All","21 - 24","Female","25","10","10"
"2021","UK","Northern Ireland","All","21 - 24","Female","15","5","5"
"2023","UK","Northern Ireland","All","21 - 24","Female","5","0","0"
"2020","UK","England","All","21 - 24","Female","645","270","195"
"2021","UK","England","All","21 - 24","Female","510","170","135"
"2022","UK","England","All","21 - 24","Female","290","105","75"
"2023","UK","England","All","21 - 24","Female","565","215","145"
"2020","UK","Scotland","All","21 - 24","Female","90","25","15"
"2021","UK","Scotland","All","21 - 24","Female","65","25","15"
"2022","UK","Scotland","All","21 - 24","Female","25","10","5"
"2023","UK","Scotland","All","21 - 24","Female","60","15","10"
"2020","UK","Wales","All","21 - 24","Female","40","15","10"
"2021","UK","Wales","All","21 - 24","Female","35","15","15"
"2022","UK","Wales","All","21 - 24","Female","20","10","5"
"2023","UK","Wales","All","21 - 24","Female","35","15","10"
"2020","International","Not EU","All","21 - 24","Female","65","10","5"
"2021","International","Not EU","All","21 - 24","Female","75","15","10"
"2022","International","Not EU","All","21 - 24","Female","80","10","5"
"2023","International","Not EU","All","21 - 24","Female","80","5","5"
"2020","International","EU (excluding UK)","All","21 - 24","Female","50","15","10"
"2021","International","EU (excluding UK)","All","21 - 24","Female","30","5","5"
"2022","International","EU (excluding UK)","All","21 - 24","Female","25","0","0"
"2023","International","EU (excluding UK)","All","21 - 24","Female","15","5","5"
"2020","UK","Northern Ireland","All","25 - 29","Female","15","5","5"
"2023","UK","Northern Ireland","All","25 - 29","Female","5","0","0"
"2020","UK","England","All","25 - 29","Female","385","145","105"
"2021","UK","England","All","25 - 29","Female","250","70","50"
"2022","UK","England","All","25 - 29","Female","180","50","35"
"2023","UK","England","All","25 - 29","Female","295","85","55"
"2020","UK","Scotland","All","25 - 29","Female","70","15","10"
"2021","UK","Scotland","All","25 - 29","Female","25","5","5"
"2022","UK","Scotland","All","25 - 29","Female","30","5","5"
"2023","UK","Scotland","All","25 - 29","Female","30","10","5"
"2020","UK","Wales","All","25 - 29","Female","30","20","15"
"2021","UK","Wales","All","25 - 29","Female","30","10","5"
"2022","UK","Wales","All","25 - 29","Female","20","10","10"
"2023","UK","Wales","All","25 - 29","Female","20","5","5"
"2020","International","Not EU","All","25 - 29","Female","25","5","0"
"2021","International","Not EU","All","25 - 29","Female","50","5","5"
"2022","International","Not EU","All","25 - 29","Female","55","5","0"
"2023","International","Not EU","All","25 - 29","Female","45","5","0"
"2020","International","EU (excluding UK)","All","25 - 29","Female","25","5","5"
"2021","International","EU (excluding UK)","All","25 - 29","Female","5","0","0"
"2022","International","EU (excluding UK)","All","25 - 29","Female","5","0","0"
"2023","International","EU (excluding UK)","All","25 - 29","Female","5","0","0"
"2020","UK","Northern Ireland","All","30 - 34","Female","5","0","0"
"2021","UK","Northern Ireland","All","30 - 34","Female","5","0","0"
"2020","UK","England","All","30 - 34","Female","310","105","80"
"2021","UK","England","All","30 - 34","Female","190","60","40"
"2022","UK","England","All","30 - 34","Female","165","50","35"
"2023","UK","England","All","30 - 34","Female","220","65","45"
"2020","UK","Scotland","All","30 - 34","Female","35","10","5"
"2021","UK","Scotland","All","30 - 34","Female","20","10","10"
"2022","UK","Scotland","All","30 - 34","Female","10","5","0"
"2023","UK","Scotland","All","30 - 34","Female","20","5","5"
"2020","UK","Wales","All","30 - 34","Female","20","5","5"
"2021","UK","Wales","All","30 - 34","Female","20","10","5"
"2022","UK","Wales","All","30 - 34","Female","10","5","5"
"2023","UK","Wales","All","30 - 34","Female","15","10","5"
"2020","International","Not EU","All","30 - 34","Female","15","0","0"
"2021","International","Not EU","All","30 - 34","Female","30","5","0"
"2022","International","Not EU","All","30 - 34","Female","25","0","0"
"2023","International","Not EU","All","30 - 34","Female","20","0","0"
"2022","International","EU (excluding UK)","All","30 - 34","Female","5","0","0"
"2023","International","EU (excluding UK)","All","30 - 34","Female","5","0","0"
"2020","UK","Northern Ireland","All","35 and over","Female","10","5","0"
"2022","UK","Northern Ireland","All","35 and over","Female","5","0","0"
"2023","UK","Northern Ireland","All","35 and over","Female","5","0","0"
"2020","UK","England","All","35 and over","Female","680","250","195"
"2021","UK","England","All","35 and over","Female","520","125","85"
"2022","UK","England","All","35 and over","Female","450","100","70"
"2023","UK","England","All","35 and over","Female","530","165","120"
"2020","UK","Scotland","All","35 and over","Female","75","15","10"
"2021","UK","Scotland","All","35 and over","Female","30","10","10"
"2022","UK","Scotland","All","35 and over","Female","40","10","5"
"2023","UK","Scotland","All","35 and over","Female","30","10","5"
"2020","UK","Wales","All","35 and over","Female","35","20","15"
"2021","UK","Wales","All","35 and over","Female","40","20","15"
"2022","UK","Wales","All","35 and over","Female","20","10","10"
"2023","UK","Wales","All","35 and over","Female","30","10","10"
"2020","International","Not EU","All","35 and over","Female","30","0","0"
"2021","International","Not EU","All","35 and over","Female","30","0","0"
"2022","International","Not EU","All","35 and over","Female","50","0","0"
"2023","International","Not EU","All","35 and over","Female","25","0","0"
"2020","International","EU (excluding UK)","All","35 and over","Female","10","5","0"
"2021","International","EU (excluding UK)","All","35 and over","Female","5","0","0"
"2022","International","EU (excluding UK)","All","35 and over","Female","5","0","0"
"2023","International","EU (excluding UK)","All","35 and over","Female","5","0","0"
"2020","UK","England","All","17 and under","Male","15","5","5"
"2021","UK","England","All","17 and under","Male","10","0","0"
"2022","UK","England","All","17 and under","Male","15","5","0"
"2023","UK","England","All","17 and under","Male","15","5","5"
"2020","UK","Scotland","All","17 and under","Male","5","0","0"
"2021","UK","Scotland","All","17 and under","Male","10","0","0"
"2022","UK","Scotland","All","17 and under","Male","10","5","5"
"2023","UK","Scotland","All","17 and under","Male","15","5","5"
"2020","International","Not EU","All","17 and under","Male","70","20","10"
"2021","International","Not EU","All","17 and under","Male","60","10","5"
"2022","International","Not EU","All","17 and under","Male","85","10","5"
"2023","International","Not EU","All","17 and under","Male","95","10","5"
"2020","International","EU (excluding UK)","All","17 and under","Male","20","10","5"
"2021","International","EU (excluding UK)","All","17 and under","Male","10","0","0"
"2022","International","EU (excluding UK)","All","17 and under","Male","5","5","5"
"2023","International","EU (excluding UK)","All","17 and under","Male","15","5","5"
"2020","UK","Northern Ireland","All","18","Male","95","40","30"
"2021","UK","Northern Ireland","All","18","Male","75","45","30"
"2022","UK","Northern Ireland","All","18","Male","85","55","45"
"2023","UK","Northern Ireland","All","18","Male","30","10","5"
"2020","UK","England","All","18","Male","4515","1910","1295"
"2021","UK","England","All","18","Male","2910","1610","1170"
"2022","UK","England","All","18","Male","2640","1405","1035"
"2023","UK","England","All","18","Male","4195","2030","1395"
"2020","UK","Scotland","All","18","Male","150","75","65"
"2021","UK","Scotland","All","18","Male","105","50","40"
"2022","UK","Scotland","All","18","Male","100","50","35"
"2023","UK","Scotland","All","18","Male","170","80","65"
"2020","UK","Wales","All","18","Male","110","65","45"
"2021","UK","Wales","All","18","Male","80","55","40"
"2022","UK","Wales","All","18","Male","80","50","35"
"2023","UK","Wales","All","18","Male","110","75","55"
"2020","International","Not EU","All","18","Male","415","105","65"
"2021","International","Not EU","All","18","Male","255","90","65"
"2022","International","Not EU","All","18","Male","255","55","40"
"2023","International","Not EU","All","18","Male","290","75","55"
"2020","International","EU (excluding UK)","All","18","Male","130","45","30"
"2021","International","EU (excluding UK)","All","18","Male","60","15","10"
"2022","International","EU (excluding UK)","All","18","Male","35","10","10"
"2023","International","EU (excluding UK)","All","18","Male","55","15","15"
"2020","UK","Northern Ireland","All","19","Male","45","20","20"
"2021","UK","Northern Ireland","All","19","Male","20","15","10"
"2022","UK","Northern Ireland","All","19","Male","5","5","0"
"2023","UK","Northern Ireland","All","19","Male","5","0","0"
"2020","UK","England","All","19","Male","1015","480","325"
"2021","UK","England","All","19","Male","650","355","240"
"2022","UK","England","All","19","Male","525","290","215"
"2023","UK","England","All","19","Male","1010","475","300"
"2020","UK","Scotland","All","19","Male","45","20","15"
"2021","UK","Scotland","All","19","Male","35","10","10"
"2022","UK","Scotland","All","19","Male","25","15","10"
"2023","UK","Scotland","All","19","Male","55","25","15"
"2020","UK","Wales","All","19","Male","40","20","15"
"2021","UK","Wales","All","19","Male","30","20","15"
"2022","UK","Wales","All","19","Male","20","10","10"
"2023","UK","Wales","All","19","Male","35","20","15"
"2020","International","Not EU","All","19","Male","235","65","45"
"2021","International","Not EU","All","19","Male","200","50","30"
"2022","International","Not EU","All","19","Male","185","35","25"
"2023","International","Not EU","All","19","Male","200","35","20"
"2020","International","EU (excluding UK)","All","19","Male","65","20","10"
"2021","International","EU (excluding UK)","All","19","Male","25","10","5"
"2022","International","EU (excluding UK)","All","19","Male","15","5","0"
"2023","International","EU (excluding UK)","All","19","Male","20","10","10"
"2020","UK","Northern Ireland","All","20","Male","20","10","10"
"2021","UK","Northern Ireland","All","20","Male","5","0","0"
"2023","UK","Northern Ireland","All","20","Male","5","0","0"
"2020","UK","England","All","20","Male","355","205","155"
"2021","UK","England","All","20","Male","250","120","80"
"2022","UK","England","All","20","Male","210","120","100"
"2023","UK","England","All","20","Male","330","155","110"
"2020","UK","Scotland","All","20","Male","10","0","0"
"2021","UK","Scotland","All","20","Male","20","5","5"
"2022","UK","Scotland","All","20","Male","15","5","5"
"2023","UK","Scotland","All","20","Male","15","10","5"
"2020","UK","Wales","All","20","Male","15","5","5"
"2021","UK","Wales","All","20","Male","10","5","5"
"2022","UK","Wales","All","20","Male","5","5","0"
"2023","UK","Wales","All","20","Male","10","5","5"
"2020","International","Not EU","All","20","Male","90","15","10"
"2021","International","Not EU","All","20","Male","85","15","5"
"2022","International","Not EU","All","20","Male","65","10","10"
"2023","International","Not EU","All","20","Male","85","10","5"
"2020","International","EU (excluding UK)","All","20","Male","30","20","15"
"2021","International","EU (excluding UK)","All","20","Male","10","0","0"
"2022","International","EU (excluding UK)","All","20","Male","5","0","0"
"2023","International","EU (excluding UK)","All","20","Male","15","5","0"
"2020","UK","Northern Ireland","All","21 - 24","Male","25","15","15"
"2021","UK","Northern Ireland","All","21 - 24","Male","5","0","0"
"2022","UK","Northern Ireland","All","21 - 24","Male","5","0","0"
"2020","UK","England","All","21 - 24","Male","465","250","170"
"2021","UK","England","All","21 - 24","Male","315","125","85"
"2022","UK","England","All","21 - 24","Male","265","115","85"
"2023","UK","England","All","21 - 24","Male","445","200","130"
"2020","UK","Scotland","All","21 - 24","Male","45","20","15"
"2021","UK","Scotland","All","21 - 24","Male","40","10","5"
"2022","UK","Scotland","All","21 - 24","Male","15","10","10"
"2023","UK","Scotland","All","21 - 24","Male","30","15","10"
"2020","UK","Wales","All","21 - 24","Male","20","15","10"
"2021","UK","Wales","All","21 - 24","Male","20","10","10"
"2022","UK","Wales","All","21 - 24","Male","15","10","10"
"2023","UK","Wales","All","21 - 24","Male","20","15","10"
"2020","International","Not EU","All","21 - 24","Male","70","10","5"
"2021","International","Not EU","All","21 - 24","Male","100","15","10"
"2022","International","Not EU","All","21 - 24","Male","130","5","5"
"2023","International","Not EU","All","21 - 24","Male","125","10","5"
"2020","International","EU (excluding UK)","All","21 - 24","Male","30","10","10"
"2021","International","EU (excluding UK)","All","21 - 24","Male","10","0","0"
"2022","International","EU (excluding UK)","All","21 - 24","Male","10","5","0"
"2023","International","EU (excluding UK)","All","21 - 24","Male","15","5","0"
"2020","UK","Northern Ireland","All","25 - 29","Male","5","0","0"
"2021","UK","Northern Ireland","All","25 - 29","Male","5","0","0"
"2023","UK","Northern Ireland","All","25 - 29","Male","5","0","0"
"2020","UK","England","All","25 - 29","Male","200","80","55"
"2021","UK","England","All","25 - 29","Male","125","50","35"
"2022","UK","England","All","25 - 29","Male","95","35","25"
"2023","UK","England","All","25 - 29","Male","155","55","40"
"2020","UK","Scotland","All","25 - 29","Male","30","10","5"
"2021","UK","Scotland","All","25 - 29","Male","15","5","0"
"2022","UK","Scotland","All","25 - 29","Male","15","10","10"
"2023","UK","Scotland","All","25 - 29","Male","15","5","0"
"2020","UK","Wales","All","25 - 29","Male","15","5","5"
"2021","UK","Wales","All","25 - 29","Male","10","5","5"
"2022","UK","Wales","All","25 - 29","Male","10","5","5"
"2023","UK","Wales","All","25 - 29","Male","10","10","5"
"2020","International","Not EU","All","25 - 29","Male","35","10","5"
"2021","International","Not EU","All","25 - 29","Male","45","5","5"
"2022","International","Not EU","All","25 - 29","Male","65","0","0"
"2023","International","Not EU","All","25 - 29","Male","45","5","5"
"2020","International","EU (excluding UK)","All","25 - 29","Male","10","5","5"
"2021","International","EU (excluding UK)","All","25 - 29","Male","5","0","0"
"2022","UK","Northern Ireland","All","30 - 34","Male","5","0","0"
"2020","UK","England","All","30 - 34","Male","135","60","40"
"2021","UK","England","All","30 - 34","Male","75","15","15"
"2022","UK","England","All","30 - 34","Male","60","20","15"
"2023","UK","England","All","30 - 34","Male","90","30","20"
"2020","UK","Scotland","All","30 - 34","Male","20","0","0"
"2021","UK","Scotland","All","30 - 34","Male","15","5","5"
"2022","UK","Scotland","All","30 - 34","Male","10","0","0"
"2023","UK","Scotland","All","30 - 34","Male","10","0","0"
"2020","UK","Wales","All","30 - 34","Male","5","0","0"
"2022","UK","Wales","All","30 - 34","Male","5","0","0"
"2023","UK","Wales","All","30 - 34","Male","10","5","5"
"2020","International","Not EU","All","30 - 34","Male","10","0","0"
"2021","International","Not EU","All","30 - 34","Male","20","5","0"
"2022","International","Not EU","All","30 - 34","Male","35","0","0"
"2023","International","Not EU","All","30 - 34","Male","15","0","0"
"2020","International","EU (excluding UK)","All","30 - 34","Male","5","5","0"
"2020","UK","Northern Ireland","All","35 and over","Male","5","5","5"
"2022","UK","Northern Ireland","All","35 and over","Male","5","0","0"
"2020","UK","England","All","35 and over","Male","290","105","70"
"2021","UK","England","All","35 and over","Male","190","45","25"
"2022","UK","England","All","35 and over","Male","235","50","35"
"2023","UK","England","All","35 and over","Male","260","65","40"
"2020","UK","Scotland","All","35 and over","Male","20","10","10"
"2021","UK","Scotland","All","35 and over","Male","15","5","5"
"2022","UK","Scotland","All","35 and over","Male","10","0","0"
"2023","UK","Scotland","All","35 and over","Male","20","10","10"
"2020","UK","Wales","All","35 and over","Male","10","5","5"
"2021","UK","Wales","All","35 and over","Male","10","5","5"
"2022","UK","Wales","All","35 and over","Male","10","5","5"
"2023","UK","Wales","All","35 and over","Male","5","0","0"
"2020","International","Not EU","All","35 and over","Male","20","5","0"
"2021","International","Not EU","All","35 and over","Male","20","0","0"
"2022","International","Not EU","All","35 and over","Male","20","0","0"
"2023","International","Not EU","All","35 and over","Male","20","0","0"
"2020","International","EU (excluding UK)","All","35 and over","Male","5","0","0"
"2023","International","EU (excluding UK)","All","35 and over","Male","5","0","0"
"2020","UK","All","All","17 and under","Female","45","25","15"
"2021","UK","All","All","17 and under","Female","25","10","10"
"2022","UK","All","All","17 and under","Female","25","5","5"
"2023","UK","All","All","17 and under","Female","45","15","10"
"2020","International","All","All","17 and under","Female","115","20","10"
"2021","International","All","All","17 and under","Female","95","20","10"
"2022","International","All","All","17 and under","Female","115","15","10"
"2023","International","All","All","17 and under","Female","125","15","10"
"2020","UK","All","All","18","Female","5400","2440","1760"
"2021","UK","All","All","18","Female","4040","2125","1645"
"2022","UK","All","All","18","Female","2775","1395","1070"
"2023","UK","All","All","18","Female","5460","2545","1840"
"2020","International","All","All","18","Female","505","135","85"
"2021","International","All","All","18","Female","285","70","50"
"2022","International","All","All","18","Female","320","80","55"
"2023","International","All","All","18","Female","425","95","70"
"2020","UK","All","All","19","Female","1365","660","485"
"2021","UK","All","All","19","Female","895","455","325"
"2022","UK","All","All","19","Female","545","260","195"
"2023","UK","All","All","19","Female","1270","590","430"
"2020","International","All","All","19","Female","285","60","40"
"2021","International","All","All","19","Female","200","40","30"
"2022","International","All","All","19","Female","145","25","15"
"2023","International","All","All","19","Female","200","40","25"
"2020","UK","All","All","20","Female","535","265","220"
"2021","UK","All","All","20","Female","400","145","110"
"2022","UK","All","All","20","Female","220","90","60"
"2023","UK","All","All","20","Female","460","210","150"
"2020","International","All","All","20","Female","90","20","10"
"2021","International","All","All","20","Female","95","20","15"
"2022","International","All","All","20","Female","90","15","15"
"2023","International","All","All","20","Female","90","10","10"
"2020","UK","All","All","21 - 24","Female","805","320","230"
"2021","UK","All","All","21 - 24","Female","625","210","170"
"2022","UK","All","All","21 - 24","Female","335","125","85"
"2023","UK","All","All","21 - 24","Female","665","245","170"
"2020","International","All","All","21 - 24","Female","110","20","15"
"2021","International","All","All","21 - 24","Female","105","20","10"
