"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","All","35 and over","Scotland","Male","2380","1140","0.48"
"2006","All","17 and under","Wales","Male","130","90","0.6920000000000001"
"2007","All","17 and under","Wales","Male","145","85","0.586"
"2008","All","17 and under","Wales","Male","80","60","0.762"
"2009","All","17 and under","Wales","Male","75","60","0.8"
"2010","All","17 and under","Wales","Male","75","50","0.667"
"2011","All","17 and under","Wales","Male","75","40","0.507"
"2012","All","17 and under","Wales","Male","65","40","0.615"
"2013","All","17 and under","Wales","Male","70","50","0.686"
"2014","All","17 and under","Wales","Male","65","40","0.6"
"2015","All","17 and under","Wales","Male","10","5"," "
"2016","All","17 and under","Wales","Male","60","40","0.633"
"2017","All","17 and under","Wales","Male","25","15","0.68"
"2018","All","17 and under","Wales","Male","60","45","0.717"
"2019","All","17 and under","Wales","Male","30","20","0.733"
"2020","All","17 and under","Wales","Male","30","25","0.8"
"2021","All","17 and under","Wales","Male","25","10"," "
"2022","All","17 and under","Wales","Male","70","40","0.557"
"2023","All","17 and under","Wales","Male","70","40","0.586"
"2006","All","18","Wales","Male","24505","18865","0.77"
"2007","All","18","Wales","Male","24235","18615","0.768"
"2008","All","18","Wales","Male","20620","15840","0.768"
"2009","All","18","Wales","Male","22535","17190","0.763"
"2010","All","18","Wales","Male","23055","17095","0.742"
"2011","All","18","Wales","Male","22855","16595","0.726"
"2012","All","18","Wales","Male","21910","16735","0.764"
"2013","All","18","Wales","Male","21455","17095","0.797"
"2014","All","18","Wales","Male","22535","18200","0.808"
"2015","All","18","Wales","Male","22680","18575","0.8190000000000001"
"2016","All","18","Wales","Male","22500","18565","0.8250000000000001"
"2017","All","18","Wales","Male","22335","18425","0.8250000000000001"
"2018","All","18","Wales","Male","21450","17960","0.837"
"2019","All","18","Wales","Male","20915","17560","0.84"
"2020","All","18","Wales","Male","20410","17260","0.846"
"2021","All","18","Wales","Male","23250","19115","0.8220000000000001"
"2022","All","18","Wales","Male","24920","19545","0.784"
"2023","All","18","Wales","Male","23450","18800","0.802"
"2006","All","19","Wales","Male","5075","3455","0.681"
"2007","All","19","Wales","Male","6235","4235","0.679"
"2008","All","19","Wales","Male","5740","3925","0.684"
"2009","All","19","Wales","Male","6360","4140","0.651"
"2010","All","19","Wales","Male","7195","4515","0.628"
"2011","All","19","Wales","Male","7995","5040","0.63"
"2012","All","19","Wales","Male","7820","5205","0.666"
"2013","All","19","Wales","Male","7660","5490","0.717"
"2014","All","19","Wales","Male","8010","5760","0.719"
"2015","All","19","Wales","Male","8005","5855","0.731"
"2016","All","19","Wales","Male","8130","6075","0.747"
"2017","All","19","Wales","Male","7255","5590","0.77"
"2018","All","19","Wales","Male","6660","5135","0.771"
"2019","All","19","Wales","Male","6325","4825","0.763"
"2020","All","19","Wales","Male","6170","4750","0.77"
"2021","All","19","Wales","Male","6075","4610","0.759"
"2022","All","19","Wales","Male","5760","4020","0.6980000000000001"
"2023","All","19","Wales","Male","5515","3840","0.6960000000000001"
"2006","All","20","Wales","Male","1775","1170","0.659"
"2007","All","20","Wales","Male","2055","1325","0.645"
"2008","All","20","Wales","Male","1990","1315","0.66"
"2009","All","20","Wales","Male","2195","1335","0.609"
"2010","All","20","Wales","Male","2585","1430","0.554"
"2011","All","20","Wales","Male","2860","1550","0.543"
"2012","All","20","Wales","Male","2875","1710","0.595"
"2013","All","20","Wales","Male","2660","1715","0.645"
"2014","All","20","Wales","Male","2655","1810","0.681"
"2015","All","20","Wales","Male","2745","1780","0.649"
"2016","All","20","Wales","Male","2390","1630","0.681"
"2017","All","20","Wales","Male","2485","1730","0.6950000000000001"
"2018","All","20","Wales","Male","2200","1540","0.7000000000000001"
"2019","All","20","Wales","Male","2105","1455","0.6920000000000001"
"2020","All","20","Wales","Male","2050","1450","0.706"
"2021","All","20","Wales","Male","1880","1310","0.6970000000000001"
"2022","All","20","Wales","Male","2075","1405","0.678"
"2023","All","20","Wales","Male","2065","1385","0.672"
"2006","All","21 - 24","Wales","Male","2480","1315","0.531"
"2007","All","21 - 24","Wales","Male","2590","1440","0.556"
"2008","All","21 - 24","Wales","Male","2810","1610","0.5730000000000001"
"2009","All","21 - 24","Wales","Male","3340","1725","0.517"
"2010","All","21 - 24","Wales","Male","3845","1840","0.47800000000000004"
"2011","All","21 - 24","Wales","Male","3890","1830","0.47000000000000003"
"2012","All","21 - 24","Wales","Male","3845","1940","0.505"
"2013","All","21 - 24","Wales","Male","3670","1950","0.531"
"2014","All","21 - 24","Wales","Male","3580","1885","0.527"
"2015","All","21 - 24","Wales","Male","3480","1855","0.533"
"2016","All","21 - 24","Wales","Male","3440","1800","0.524"
"2017","All","21 - 24","Wales","Male","3105","1735","0.559"
"2018","All","21 - 24","Wales","Male","2970","1675","0.5650000000000001"
"2019","All","21 - 24","Wales","Male","2720","1645","0.604"
"2020","All","21 - 24","Wales","Male","2740","1750","0.638"
"2021","All","21 - 24","Wales","Male","3030","1730","0.5710000000000001"
"2022","All","21 - 24","Wales","Male","3050","1620","0.532"
"2023","All","21 - 24","Wales","Male","2815","1660","0.59"
"2006","All","25 - 29","Wales","Male","815","405","0.494"
"2007","All","25 - 29","Wales","Male","815","390","0.47700000000000004"
"2008","All","25 - 29","Wales","Male","830","445","0.536"
"2009","All","25 - 29","Wales","Male","1050","530","0.505"
"2010","All","25 - 29","Wales","Male","1375","515","0.375"
"2011","All","25 - 29","Wales","Male","1485","605","0.40900000000000003"
"2012","All","25 - 29","Wales","Male","1355","585","0.432"
"2013","All","25 - 29","Wales","Male","1395","585","0.419"
"2014","All","25 - 29","Wales","Male","1410","610","0.434"
"2015","All","25 - 29","Wales","Male","1335","655","0.49"
"2016","All","25 - 29","Wales","Male","1215","540","0.445"
"2017","All","25 - 29","Wales","Male","1080","505","0.46900000000000003"
"2018","All","25 - 29","Wales","Male","1165","610","0.523"
"2019","All","25 - 29","Wales","Male","970","495","0.509"
"2020","All","25 - 29","Wales","Male","985","545","0.553"
"2021","All","25 - 29","Wales","Male","1200","655","0.547"
"2022","All","25 - 29","Wales","Male","1240","570","0.46"
"2023","All","25 - 29","Wales","Male","970","470","0.484"
"2006","All","30 - 34","Wales","Male","315","155","0.495"
"2007","All","30 - 34","Wales","Male","335","170","0.504"
"2008","All","30 - 34","Wales","Male","375","165","0.437"
"2009","All","30 - 34","Wales","Male","415","190","0.458"
"2010","All","30 - 34","Wales","Male","560","255","0.452"
"2011","All","30 - 34","Wales","Male","675","255","0.378"
"2012","All","30 - 34","Wales","Male","640","250","0.392"
"2013","All","30 - 34","Wales","Male","525","220","0.41500000000000004"
"2014","All","30 - 34","Wales","Male","560","235","0.418"
"2015","All","30 - 34","Wales","Male","500","215","0.428"
"2016","All","30 - 34","Wales","Male","565","260","0.464"
"2017","All","30 - 34","Wales","Male","425","210","0.492"
"2018","All","30 - 34","Wales","Male","425","235","0.555"
"2019","All","30 - 34","Wales","Male","430","215","0.498"
"2020","All","30 - 34","Wales","Male","470","245","0.517"
"2021","All","30 - 34","Wales","Male","475","255","0.535"
"2022","All","30 - 34","Wales","Male","525","260","0.497"
"2023","All","30 - 34","Wales","Male","425","200","0.47500000000000003"
"2006","All","35 and over","Wales","Male","505","240","0.47500000000000003"
"2007","All","35 and over","Wales","Male","475","225","0.47400000000000003"
"2008","All","35 and over","Wales","Male","515","270","0.526"
"2009","All","35 and over","Wales","Male","670","330","0.493"
"2010","All","35 and over","Wales","Male","755","345","0.454"
"2011","All","35 and over","Wales","Male","770","295","0.386"
"2012","All","35 and over","Wales","Male","655","280","0.424"
"2013","All","35 and over","Wales","Male","655","280","0.431"
"2014","All","35 and over","Wales","Male","725","295","0.40700000000000003"
"2015","All","35 and over","Wales","Male","660","275","0.41400000000000003"
"2016","All","35 and over","Wales","Male","615","220","0.358"
"2017","All","35 and over","Wales","Male","585","275","0.47000000000000003"
"2018","All","35 and over","Wales","Male","540","265","0.493"
"2019","All","35 and over","Wales","Male","480","240","0.496"
"2020","All","35 and over","Wales","Male","690","340","0.494"
"2021","All","35 and over","Wales","Male","530","260","0.487"
"2022","All","35 and over","Wales","Male","640","290","0.453"
"2023","All","35 and over","Wales","Male","505","260","0.517"
"2006","All","17 and under","Not EU","Male","6050","3800","0.628"
"2007","All","17 and under","Not EU","Male","6870","4200","0.611"
"2008","All","17 and under","Not EU","Male","6465","4005","0.62"
"2009","All","17 and under","Not EU","Male","6935","4255","0.614"
"2010","All","17 and under","Not EU","Male","7540","4525","0.6"
"2011","All","17 and under","Not EU","Male","8010","4720","0.589"
"2012","All","17 and under","Not EU","Male","10025","6080","0.607"
"2013","All","17 and under","Not EU","Male","11540","7160","0.62"
"2014","All","17 and under","Not EU","Male","12720","8015","0.63"
"2015","All","17 and under","Not EU","Male","12585","8255","0.656"
"2016","All","17 and under","Not EU","Male","12620","8210","0.651"
"2017","All","17 and under","Not EU","Male","14085","9360","0.665"
"2018","All","17 and under","Not EU","Male","15980","10495","0.657"
"2019","All","17 and under","Not EU","Male","16030","10540","0.658"
"2020","All","17 and under","Not EU","Male","18825","12635","0.671"
"2021","All","17 and under","Not EU","Male","20415","12470","0.611"
"2022","All","17 and under","Not EU","Male","23065","12675","0.55"
"2023","All","17 and under","Not EU","Male","23980","12930","0.539"
"2006","All","18","Not EU","Male","26595","18385","0.6910000000000001"
"2007","All","18","Not EU","Male","29515","20245","0.686"
"2008","All","18","Not EU","Male","27555","18885","0.685"
"2009","All","18","Not EU","Male","29615","20025","0.676"
"2010","All","18","Not EU","Male","33320","22145","0.665"
"2011","All","18","Not EU","Male","35675","23825","0.668"
"2012","All","18","Not EU","Male","40550","27395","0.676"
"2013","All","18","Not EU","Male","45005","30805","0.684"
"2014","All","18","Not EU","Male","48310","33150","0.686"
"2015","All","18","Not EU","Male","52235","36505","0.6990000000000001"
"2016","All","18","Not EU","Male","52670","36995","0.7020000000000001"
"2017","All","18","Not EU","Male","55920","40060","0.716"
"2018","All","18","Not EU","Male","63520","44935","0.707"
"2019","All","18","Not EU","Male","71495","49985","0.6990000000000001"
"2020","All","18","Not EU","Male","78820","55720","0.707"
"2021","All","18","Not EU","Male","93235","60000","0.644"
"2022","All","18","Not EU","Male","101140","60120","0.594"
"2023","All","18","Not EU","Male","104430","61890","0.593"
"2006","All","19","Not EU","Male","24435","16245","0.665"
"2007","All","19","Not EU","Male","26575","17845","0.671"
"2008","All","19","Not EU","Male","25550","16805","0.658"
"2009","All","19","Not EU","Male","27435","17730","0.646"
"2010","All","19","Not EU","Male","29640","19080","0.644"
"2011","All","19","Not EU","Male","30920","19835","0.641"
"2012","All","19","Not EU","Male","32560","20910","0.642"
"2013","All","19","Not EU","Male","33620","22010","0.655"
"2014","All","19","Not EU","Male","35805","23455","0.655"
"2015","All","19","Not EU","Male","35795","23780","0.664"
"2016","All","19","Not EU","Male","36015","24255","0.673"
"2017","All","19","Not EU","Male","36640","25085","0.685"
"2018","All","19","Not EU","Male","36665","24620","0.672"
"2019","All","19","Not EU","Male","41480","28080","0.677"
"2020","All","19","Not EU","Male","45275","30805","0.68"
"2021","All","19","Not EU","Male","48915","30485","0.623"
"2022","All","19","Not EU","Male","50565","28935","0.5720000000000001"
"2023","All","19","Not EU","Male","54715","30945","0.5660000000000001"
"2006","All","20","Not EU","Male","14415","9135","0.634"
"2007","All","20","Not EU","Male","15225","9525","0.625"
"2008","All","20","Not EU","Male","14780","9180","0.621"
"2009","All","20","Not EU","Male","15870","9750","0.614"
"2010","All","20","Not EU","Male","17480","10650","0.609"
"2011","All","20","Not EU","Male","17625","10620","0.602"
"2012","All","20","Not EU","Male","18580","11345","0.611"
"2013","All","20","Not EU","Male","19510","12095","0.62"
"2014","All","20","Not EU","Male","19925","12470","0.626"
"2015","All","20","Not EU","Male","19755","12120","0.613"
"2016","All","20","Not EU","Male","18525","11750","0.634"
"2017","All","20","Not EU","Male","17915","11600","0.647"
"2018","All","20","Not EU","Male","17005","10435","0.614"
"2019","All","20","Not EU","Male","17085","10550","0.617"
"2020","All","20","Not EU","Male","19150","11990","0.626"
"2021","All","20","Not EU","Male","20875","12560","0.602"
"2022","All","20","Not EU","Male","23795","13010","0.547"
"2023","All","20","Not EU","Male","25020","13245","0.529"
"2006","All","21 - 24","Not EU","Male","21470","11860","0.552"
"2007","All","21 - 24","Not EU","Male","20490","11230","0.548"
"2008","All","21 - 24","Not EU","Male","18305","10140","0.554"
"2009","All","21 - 24","Not EU","Male","19225","10390","0.54"
"2010","All","21 - 24","Not EU","Male","20505","10720","0.523"
"2011","All","21 - 24","Not EU","Male","21340","11480","0.538"
"2012","All","21 - 24","Not EU","Male","22135","11820","0.534"
"2013","All","21 - 24","Not EU","Male","21420","11370","0.531"
"2014","All","21 - 24","Not EU","Male","20635","10870","0.527"
"2015","All","21 - 24","Not EU","Male","20070","10730","0.535"
"2016","All","21 - 24","Not EU","Male","18405","9625","0.523"
"2017","All","21 - 24","Not EU","Male","16725","8980","0.537"
"2018","All","21 - 24","Not EU","Male","16890","8910","0.528"
"2019","All","21 - 24","Not EU","Male","16410","8755","0.533"
"2020","All","21 - 24","Not EU","Male","16240","9005","0.554"
"2021","All","21 - 24","Not EU","Male","18070","9575","0.53"
"2022","All","21 - 24","Not EU","Male","23180","10945","0.47200000000000003"
"2023","All","21 - 24","Not EU","Male","26045","11770","0.452"
"2006","All","25 - 29","Not EU","Male","8670","3910","0.451"
"2007","All","25 - 29","Not EU","Male","7640","3680","0.482"
"2008","All","25 - 29","Not EU","Male","6825","3070","0.45"
"2009","All","25 - 29","Not EU","Male","6030","2625","0.435"
"2010","All","25 - 29","Not EU","Male","5840","2390","0.40900000000000003"
"2011","All","25 - 29","Not EU","Male","5235","2120","0.405"
"2012","All","25 - 29","Not EU","Male","5060","2060","0.40700000000000003"
"2013","All","25 - 29","Not EU","Male","4860","1915","0.394"
"2014","All","25 - 29","Not EU","Male","4425","1915","0.432"
"2015","All","25 - 29","Not EU","Male","4470","1790","0.401"
"2016","All","25 - 29","Not EU","Male","4115","1670","0.406"
"2017","All","25 - 29","Not EU","Male","3905","1720","0.441"
"2018","All","25 - 29","Not EU","Male","3645","1550","0.425"
"2019","All","25 - 29","Not EU","Male","3830","1625","0.424"
"2020","All","25 - 29","Not EU","Male","3935","1730","0.44"
"2021","All","25 - 29","Not EU","Male","4660","1835","0.394"
"2022","All","25 - 29","Not EU","Male","6685","2385","0.357"
"2023","All","25 - 29","Not EU","Male","7210","2455","0.341"
"2006","All","30 - 34","Not EU","Male","2925","1245","0.426"
"2007","All","30 - 34","Not EU","Male","2615","1160","0.443"
"2008","All","30 - 34","Not EU","Male","2065","850","0.41300000000000003"
"2009","All","30 - 34","Not EU","Male","1915","790","0.41100000000000003"
"2010","All","30 - 34","Not EU","Male","1930","780","0.404"
"2011","All","30 - 34","Not EU","Male","1740","660","0.379"
"2012","All","30 - 34","Not EU","Male","1580","530","0.335"
"2013","All","30 - 34","Not EU","Male","1445","515","0.355"
"2014","All","30 - 34","Not EU","Male","1445","520","0.36"
"2015","All","30 - 34","Not EU","Male","1325","450","0.34"
"2016","All","30 - 34","Not EU","Male","1245","435","0.34900000000000003"
"2017","All","30 - 34","Not EU","Male","1115","405","0.363"
"2018","All","30 - 34","Not EU","Male","1115","425","0.382"
"2019","All","30 - 34","Not EU","Male","1240","485","0.393"
"2020","All","30 - 34","Not EU","Male","1265","505","0.401"
"2021","All","30 - 34","Not EU","Male","1730","590","0.341"
"2022","All","30 - 34","Not EU","Male","2745","865","0.314"
"2023","All","30 - 34","Not EU","Male","2930","910","0.311"
"2006","All","35 and over","Not EU","Male","1650","665","0.402"
"2007","All","35 and over","Not EU","Male","1480","650","0.441"
"2008","All","35 and over","Not EU","Male","1380","590","0.428"
"2009","All","35 and over","Not EU","Male","1235","465","0.377"
"2010","All","35 and over","Not EU","Male","1235","420","0.339"
"2011","All","35 and over","Not EU","Male","1020","390","0.38"
"2012","All","35 and over","Not EU","Male","1095","360","0.33"
"2013","All","35 and over","Not EU","Male","930","285","0.306"
"2014","All","35 and over","Not EU","Male","935","350","0.374"
"2015","All","35 and over","Not EU","Male","820","260","0.316"
"2016","All","35 and over","Not EU","Male","820","290","0.356"
"2017","All","35 and over","Not EU","Male","830","290","0.34800000000000003"
"2018","All","35 and over","Not EU","Male","880","295","0.335"
"2019","All","35 and over","Not EU","Male","1010","350","0.34800000000000003"
"2020","All","35 and over","Not EU","Male","1120","395","0.352"
"2021","All","35 and over","Not EU","Male","1600","480","0.299"
"2022","All","35 and over","Not EU","Male","2555","725","0.28400000000000003"
"2023","All","35 and over","Not EU","Male","2385","590","0.247"
"2006","All","17 and under","EU (excluding UK)","Male","4620","2870","0.622"
"2007","All","17 and under","EU (excluding UK)","Male","4780","3000","0.628"
"2008","All","17 and under","EU (excluding UK)","Male","3575","2200","0.615"
"2009","All","17 and under","EU (excluding UK)","Male","4325","2660","0.615"
"2010","All","17 and under","EU (excluding UK)","Male","4495","2605","0.579"
"2011","All","17 and under","EU (excluding UK)","Male","5205","2910","0.559"
"2012","All","17 and under","EU (excluding UK)","Male","4865","2810","0.577"
"2013","All","17 and under","EU (excluding UK)","Male","5475","3375","0.616"
"2014","All","17 and under","EU (excluding UK)","Male","5785","3725","0.644"
"2015","All","17 and under","EU (excluding UK)","Male","6945","4450","0.64"
"2016","All","17 and under","EU (excluding UK)","Male","7290","4690","0.644"
"2017","All","17 and under","EU (excluding UK)","Male","7310","4875","0.667"
"2018","All","17 and under","EU (excluding UK)","Male","7775","5155","0.663"
"2019","All","17 and under","EU (excluding UK)","Male","7985","5380","0.674"
"2020","All","17 and under","EU (excluding UK)","Male","7925","5355","0.676"
"2021","All","17 and under","EU (excluding UK)","Male","5855","3850","0.657"
"2022","All","17 and under","EU (excluding UK)","Male","4635","2735","0.591"
"2023","All","17 and under","EU (excluding UK)","Male","4635","2795","0.603"
"2006","All","18","EU (excluding UK)","Male","15455","9735","0.63"
"2007","All","18","EU (excluding UK)","Male","16930","10755","0.635"
"2008","All","18","EU (excluding UK)","Male","15535","10070","0.648"
"2009","All","18","EU (excluding UK)","Male","18540","11760","0.634"
"2010","All","18","EU (excluding UK)","Male","22970","13935","0.607"
"2011","All","18","EU (excluding UK)","Male","24455","14530","0.594"
"2012","All","18","EU (excluding UK)","Male","24030","14845","0.618"
"2013","All","18","EU (excluding UK)","Male","25045","15750","0.629"
"2014","All","18","EU (excluding UK)","Male","26920","17750","0.659"
"2015","All","18","EU (excluding UK)","Male","30500","20225","0.663"
"2016","All","18","EU (excluding UK)","Male","32355","21820","0.674"
"2017","All","18","EU (excluding UK)","Male","32005","22175","0.6930000000000001"
"2018","All","18","EU (excluding UK)","Male","32760","22515","0.687"
"2019","All","18","EU (excluding UK)","Male","33275","22990","0.6910000000000001"
"2020","All","18","EU (excluding UK)","Male","33645","23305","0.6930000000000001"
"2021","All","18","EU (excluding UK)","Male","22205","14770","0.665"
"2022","All","18","EU (excluding UK)","Male","19460","12265","0.63"
"2023","All","18","EU (excluding UK)","Male","18895","11890","0.629"
"2006","All","19","EU (excluding UK)","Male","11895","7085","0.596"
"2007","All","19","EU (excluding UK)","Male","15000","9055","0.604"
"2008","All","19","EU (excluding UK)","Male","14725","8945","0.608"
"2009","All","19","EU (excluding UK)","Male","18820","11420","0.607"
"2010","All","19","EU (excluding UK)","Male","23105","13540","0.586"
"2011","All","19","EU (excluding UK)","Male","27435","16225","0.591"
"2012","All","19","EU (excluding UK)","Male","23270","13965","0.6"
"2013","All","19","EU (excluding UK)","Male","24480","14860","0.607"
"2014","All","19","EU (excluding UK)","Male","24315","15375","0.632"
"2015","All","19","EU (excluding UK)","Male","26335","16830","0.639"
"2016","All","19","EU (excluding UK)","Male","28455","18670","0.656"
"2017","All","19","EU (excluding UK)","Male","27000","18295","0.678"
"2018","All","19","EU (excluding UK)","Male","27155","18245","0.672"
"2019","All","19","EU (excluding UK)","Male","27585","18890","0.685"
"2020","All","19","EU (excluding UK)","Male","27030","18435","0.682"
"2021","All","19","EU (excluding UK)","Male","11540","7225","0.626"
"2022","All","19","EU (excluding UK)","Male","9325","5545","0.594"
"2023","All","19","EU (excluding UK)","Male","9575","5640","0.589"
"2006","All","20","EU (excluding UK)","Male","7830","4590","0.586"
"2007","All","20","EU (excluding UK)","Male","9025","5270","0.584"
"2008","All","20","EU (excluding UK)","Male","8035","4800","0.597"
"2009","All","20","EU (excluding UK)","Male","9555","5560","0.582"
"2010","All","20","EU (excluding UK)","Male","11365","5540","0.487"
"2011","All","20","EU (excluding UK)","Male","11945","6030","0.505"
"2012","All","20","EU (excluding UK)","Male","9930","4900","0.494"
"2013","All","20","EU (excluding UK)","Male","10260","5385","0.525"
"2014","All","20","EU (excluding UK)","Male","10720","5930","0.553"
"2015","All","20","EU (excluding UK)","Male","10140","5830","0.5750000000000001"
"2016","All","20","EU (excluding UK)","Male","10570","6210","0.587"
"2017","All","20","EU (excluding UK)","Male","10400","6255","0.602"
"2018","All","20","EU (excluding UK)","Male","8935","5335","0.597"
"2019","All","20","EU (excluding UK)","Male","9140","5555","0.608"
"2020","All","20","EU (excluding UK)","Male","8470","5355","0.632"
"2021","All","20","EU (excluding UK)","Male","3500","1915","0.547"
"2022","All","20","EU (excluding UK)","Male","3030","1635","0.54"
"2023","All","20","EU (excluding UK)","Male","2825","1555","0.551"
"2006","All","21 - 24","EU (excluding UK)","Male","11960","6775","0.5660000000000001"
"2007","All","21 - 24","EU (excluding UK)","Male","13205","7510","0.5690000000000001"
"2008","All","21 - 24","EU (excluding UK)","Male","10475","5955","0.5680000000000001"
"2009","All","21 - 24","EU (excluding UK)","Male","11975","6400","0.534"
"2010","All","21 - 24","EU (excluding UK)","Male","13855","6135","0.443"
"2011","All","21 - 24","EU (excluding UK)","Male","13800","6180","0.448"
"2012","All","21 - 24","EU (excluding UK)","Male","9970","4435","0.445"
"2013","All","21 - 24","EU (excluding UK)","Male","9840","4500","0.457"
"2014","All","21 - 24","EU (excluding UK)","Male","10245","4895","0.47800000000000004"
"2015","All","21 - 24","EU (excluding UK)","Male","10210","4870","0.47700000000000004"
"2016","All","21 - 24","EU (excluding UK)","Male","10120","5080","0.502"
"2017","All","21 - 24","EU (excluding UK)","Male","8685","4630","0.533"
"2018","All","21 - 24","EU (excluding UK)","Male","8140","4225","0.519"
"2019","All","21 - 24","EU (excluding UK)","Male","7345","4015","0.547"
"2020","All","21 - 24","EU (excluding UK)","Male","6840","3790","0.554"
"2021","All","21 - 24","EU (excluding UK)","Male","3290","1580","0.481"
"2022","All","21 - 24","EU (excluding UK)","Male","2470","1050","0.425"
"2023","All","21 - 24","EU (excluding UK)","Male","2340","1045","0.447"
"2006","All","25 - 29","EU (excluding UK)","Male","3030","1425","0.47000000000000003"
"2007","All","25 - 29","EU (excluding UK)","Male","2930","1415","0.484"
"2008","All","25 - 29","EU (excluding UK)","Male","2285","1160","0.508"
"2009","All","25 - 29","EU (excluding UK)","Male","2590","1120","0.433"
"2010","All","25 - 29","EU (excluding UK)","Male","3495","1320","0.377"
"2011","All","25 - 29","EU (excluding UK)","Male","3490","1325","0.38"
"2012","All","25 - 29","EU (excluding UK)","Male","2485","935","0.377"
"2013","All","25 - 29","EU (excluding UK)","Male","2260","920","0.40700000000000003"
"2014","All","25 - 29","EU (excluding UK)","Male","2090","845","0.403"
"2015","All","25 - 29","EU (excluding UK)","Male","2540","1015","0.4"
"2016","All","25 - 29","EU (excluding UK)","Male","2410","960","0.398"
"2017","All","25 - 29","EU (excluding UK)","Male","1880","855","0.455"
"2018","All","25 - 29","EU (excluding UK)","Male","2025","975","0.482"
"2019","All","25 - 29","EU (excluding UK)","Male","1615","785","0.486"
"2020","All","25 - 29","EU (excluding UK)","Male","1555","730","0.47000000000000003"
"2021","All","25 - 29","EU (excluding UK)","Male","700","280","0.401"
"2022","All","25 - 29","EU (excluding UK)","Male","590","215","0.364"
"2023","All","25 - 29","EU (excluding UK)","Male","485","165","0.338"
"2006","All","30 - 34","EU (excluding UK)","Male","695","265","0.38"
"2007","All","30 - 34","EU (excluding UK)","Male","640","240","0.377"
"2008","All","30 - 34","EU (excluding UK)","Male","520","200","0.388"
"2009","All","30 - 34","EU (excluding UK)","Male","570","210","0.367"
"2010","All","30 - 34","EU (excluding UK)","Male","930","345","0.369"
"2011","All","30 - 34","EU (excluding UK)","Male","825","290","0.34900000000000003"
"2012","All","30 - 34","EU (excluding UK)","Male","680","250","0.369"
"2013","All","30 - 34","EU (excluding UK)","Male","635","250","0.391"
"2014","All","30 - 34","EU (excluding UK)","Male","535","205","0.387"
"2015","All","30 - 34","EU (excluding UK)","Male","570","215","0.377"
"2016","All","30 - 34","EU (excluding UK)","Male","560","170","0.3"
"2017","All","30 - 34","EU (excluding UK)","Male","455","165","0.365"
"2018","All","30 - 34","EU (excluding UK)","Male","510","190","0.373"
"2019","All","30 - 34","EU (excluding UK)","Male","375","160","0.429"
"2020","All","30 - 34","EU (excluding UK)","Male","365","160","0.444"
"2021","All","30 - 34","EU (excluding UK)","Male","245","90","0.363"
"2022","All","30 - 34","EU (excluding UK)","Male","130","50","0.392"
"2023","All","30 - 34","EU (excluding UK)","Male","160","50","0.325"
"2006","All","35 and over","EU (excluding UK)","Male","390","165","0.418"
"2007","All","35 and over","EU (excluding UK)","Male","485","205","0.427"
"2008","All","35 and over","EU (excluding UK)","Male","365","150","0.41100000000000003"
"2009","All","35 and over","EU (excluding UK)","Male","455","170","0.374"
"2010","All","35 and over","EU (excluding UK)","Male","590","200","0.336"
"2011","All","35 and over","EU (excluding UK)","Male","530","170","0.321"
"2012","All","35 and over","EU (excluding UK)","Male","545","160","0.295"
"2013","All","35 and over","EU (excluding UK)","Male","590","195","0.331"
"2014","All","35 and over","EU (excluding UK)","Male","435","160","0.368"
"2015","All","35 and over","EU (excluding UK)","Male","495","140","0.28300000000000003"
"2016","All","35 and over","EU (excluding UK)","Male","535","170","0.314"
"2017","All","35 and over","EU (excluding UK)","Male","400","125","0.308"
"2018","All","35 and over","EU (excluding UK)","Male","410","155","0.373"
"2019","All","35 and over","EU (excluding UK)","Male","305","130","0.42"
"2020","All","35 and over","EU (excluding UK)","Male","315","130","0.41000000000000003"
"2021","All","35 and over","EU (excluding UK)","Male","205","60","0.293"
"2022","All","35 and over","EU (excluding UK)","Male","170","60","0.365"
"2023","All","35 and over","EU (excluding UK)","Male","135","30","0.222"
"2006","Lower tariff","All","Northern Ireland","Female","25680","17800","0.6930000000000001"
"2007","Lower tariff","All","Northern Ireland","Female","25490","18410","0.722"
"2008","Lower tariff","All","Northern Ireland","Female","21480","16150","0.752"
"2009","Lower tariff","All","Northern Ireland","Female","21955","16175","0.737"
"2010","Lower tariff","All","Northern Ireland","Female","23720","15850","0.668"
"2011","Lower tariff","All","Northern Ireland","Female","25960","15445","0.595"
"2012","Lower tariff","All","Northern Ireland","Female","25210","15890","0.63"
"2013","Lower tariff","All","Northern Ireland","Female","22785","15865","0.6960000000000001"
"2014","Lower tariff","All","Northern Ireland","Female","23540","16680","0.709"
"2015","Lower tariff","All","Northern Ireland","Female","24440","17550","0.718"
"2016","Lower tariff","All","Northern Ireland","Female","24300","17540","0.722"
"2017","Lower tariff","All","Northern Ireland","Female","23085","16720","0.724"
"2018","Lower tariff","All","Northern Ireland","Female","21990","16200","0.737"
"2019","Lower tariff","All","Northern Ireland","Female","21610","16225","0.751"
"2020","Lower tariff","All","Northern Ireland","Female","21535","16480","0.765"
"2021","Lower tariff","All","Northern Ireland","Female","22425","16375","0.73"
"2022","Lower tariff","All","Northern Ireland","Female","21630","15670","0.724"
"2023","Lower tariff","All","Northern Ireland","Female","21875","16765","0.766"
"2006","Higher tariff","All","Northern Ireland","Female","9300","4860","0.522"
