"Year","Difference between predicted and achieved SQA higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","-3 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2014","-3 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2015","-3 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-3 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-3 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-4 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-4 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","-4 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","-4 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-4 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","-5 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2013","-6 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-6 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2016","-6 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","-6 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2010","Less than -6 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Less than -6 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Less than -6 points","18","All","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","Less than -6 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Less than -6 points","18","All","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","0 points","18","All","Female","Main scheme applicant","Main scheme application","25","15","0.652","0"
"2011","0 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.6880000000000001","0"
"2012","0 points","18","All","Female","Main scheme applicant","Main scheme application","25","15","0.63","0"
"2013","0 points","18","All","Female","Main scheme applicant","Main scheme application","30","25","0.793","0"
"2014","0 points","18","All","Female","Main scheme applicant","Main scheme application","25","15","0.667","0"
"2015","0 points","18","All","Female","Main scheme applicant","Main scheme application","30","20","0.677","0"
"2016","0 points","18","All","Female","Main scheme applicant","Main scheme application","30","20","0.71","0"
"2017","0 points","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.65","0"
"2018","0 points","18","All","Female","Main scheme applicant","Main scheme application","30","20","0.786","0"
"2019","0 points","18","All","Female","Main scheme applicant","Main scheme application","25","20","0.84","0"
"2020","0 points","18","All","Female","Main scheme applicant","Main scheme application","50","35","0.735","0"
"2021","0 points","18","All","Female","Main scheme applicant","Main scheme application","45","40","0.848","0"
"2022","0 points","18","All","Female","Main scheme applicant","Main scheme application","30","25","0.793","0"
"2023","0 points","18","All","Female","Main scheme applicant","Main scheme application","30","20","0.6900000000000001","0"
"2010","1 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.769","0"
"2011","1 points","18","All","Female","Main scheme applicant","Main scheme application","20","10","0.545","0"
"2012","1 points","18","All","Female","Main scheme applicant","Main scheme application","25","20","0.846","0"
"2013","1 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.667","0"
"2014","1 points","18","All","Female","Main scheme applicant","Main scheme application","30","20","0.643","0"
"2015","1 points","18","All","Female","Main scheme applicant","Main scheme application","25","20","0.8260000000000001","0"
"2016","1 points","18","All","Female","Main scheme applicant","Main scheme application","15","15","0.8130000000000001","0"
"2017","1 points","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.714","0"
"2018","1 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.733","0"
"2019","1 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","1 points","18","All","Female","Main scheme applicant","Main scheme application","25","20","0.75","0"
"2021","1 points","18","All","Female","Main scheme applicant","Main scheme application","30","25","0.767","0"
"2022","1 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","1 points","18","All","Female","Main scheme applicant","Main scheme application","15","15","0.8130000000000001","0"
"2010","2 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.8","0"
"2011","2 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.714","0"
"2012","2 points","18","All","Female","Main scheme applicant","Main scheme application","15","10"," ","0"
"2013","2 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.8","0"
"2014","2 points","18","All","Female","Main scheme applicant","Main scheme application","15","15","0.875","0"
"2015","2 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2016","2 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.6880000000000001","0"
"2017","2 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","2 points","18","All","Female","Main scheme applicant","Main scheme application","15","10"," ","0"
"2019","2 points","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2020","2 points","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.895","0"
"2021","2 points","18","All","Female","Main scheme applicant","Main scheme application","25","20","0.88","0"
