"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","White","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2023","White","25 - 29","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2020","White","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2021","White","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","10","0"," "
"2022","White","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","10","0"," "
"2023","White","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2020","White","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2021","White","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2022","White","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2023","White","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Asian","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","5","0"," "
"2020","White","18","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","White","18","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","White","18","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","White","18","Scotland","Female","Main scheme applicant","Main scheme application","20","0"," "
"2021","White","18","Scotland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2022","White","18","Scotland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2023","White","18","Scotland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2020","White","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","White","18","Wales","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","White","19","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","White","19","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","White","19","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2023","White","19","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","White","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","White","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","White","20","Scotland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2022","White","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","White","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","White","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","45","10"," "
"2020","White","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","35","10"," "
"2021","White","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","45","15","0.311"
"2022","White","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","30","10"," "
"2023","White","21 - 24","Northern Ireland","Female","Main scheme applicant","Main scheme application","20","5"," "
"2019","White","21 - 24","England","Female","Main scheme applicant","Main scheme application","45","20","0.444"
"2020","White","21 - 24","England","Female","Main scheme applicant","Main scheme application","30","15","0.419"
"2021","White","21 - 24","England","Female","Main scheme applicant","Main scheme application","55","15","0.309"
"2022","White","21 - 24","England","Female","Main scheme applicant","Main scheme application","95","50","0.495"
"2023","White","21 - 24","England","Female","Main scheme applicant","Main scheme application","90","35","0.375"
"2019","White","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1085","595","0.547"
"2020","White","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1215","665","0.548"
"2021","White","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1510","650","0.431"
"2022","White","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1065","575","0.538"
"2023","White","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","905","530","0.583"
"2020","White","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","White","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","460","345","0.749"
"2023","White","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","425","290","0.6900000000000001"
"2019","Black","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Black","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Black","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2023","Black","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Asian","21 - 24","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Asian","21 - 24","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","Asian","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","40","15","0.395"
"2020","Asian","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","35","20","0.583"
"2021","Asian","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","45","15","0.34900000000000003"
"2022","Asian","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","30","15","0.586"
"2023","Asian","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","30","20","0.633"
"2022","Asian","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","15","5"," "
"2023","Asian","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","5","5"," "
"2019","Mixed","21 - 24","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Mixed","21 - 24","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Mixed","21 - 24","England","Female","Main scheme applicant","Main scheme application","5","5"," "
"2019","Mixed","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," "
"2020","Mixed","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," "
"2021","Mixed","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","15","10"," "
