"Year","Subject group HECoS","Detailed subject group HECoS","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Unknown","England","15","10","0.667"
"2023","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Unknown","England","5","5"," "
"2020","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Unknown","Scotland","5","5"," "
"2021","(CAH10) engineering and technology","(CAH10-01-08) electrical and electronic engineering","Unknown","Scotland","5","5"," "
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","Northern Ireland","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","England","35","20","0.5710000000000001"
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","England","15","10"," "
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","England","25","5"," "
"2023","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","England","10","10"," "
"2021","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","Scotland","5","5"," "
"2020","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","Wales","5","0"," "
"2022","(CAH10) engineering and technology","(CAH10-01-07) civil engineering","Unknown","Wales","5","0"," "
"2019","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","Unknown","England","5","0"," "
"2021","(CAH10) engineering and technology","(CAH10-03-05) biotechnology","Unknown","England","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Unknown","England","10","10"," "
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Unknown","England","5","5"," "
"2023","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Unknown","England","5","5"," "
"2020","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Unknown","Scotland","5","0"," "
"2019","(CAH10) engineering and technology","(CAH10-01-09) chemical, process and energy engineering","Unknown","Wales","5","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","England","15","10"," "
"2020","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","England","15","15","0.833"
"2021","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","England","20","5"," "
"2022","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","England","5","5"," "
"2023","(CAH10) engineering and technology","(CAH10-01-01) engineering (non-specific)","Unknown","England","5","0"," "
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","England","20","15","0.775"
"2020","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","England","15","15","0.933"
"2021","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","England","40","30","0.6890000000000001"
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","England","20","15","0.8"
"2023","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","England","10","5"," "
"2019","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","Scotland","5","0"," "
"2022","(CAH10) engineering and technology","(CAH10-01-02) mechanical engineering","Unknown","Scotland","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Unknown","England","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Unknown","England","5","0"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Unknown","England","5","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-06-03) ophthalmics","Unknown","Scotland","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","Unknown","England","5","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","Unknown","England","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-05-04) anatomy, physiology and pathology","Unknown","England","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","Unknown","England","15","10"," "
