"Year","Subject group HECoS","Detailed subject group HECoS","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 4","Wales","70","65","0.932"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 4","Wales","65","55","0.835"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","Quintile 4","Wales","60","50","0.871"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Northern Ireland","85","80","0.917"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Northern Ireland","90","75","0.854"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Northern Ireland","85","80","0.916"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Northern Ireland","90","70","0.79"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Northern Ireland","150","140","0.9430000000000001"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","England","3165","2980","0.9420000000000001"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","England","3085","2885","0.934"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","England","3280","2875","0.876"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","England","3145","2595","0.8250000000000001"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","England","3490","3015","0.865"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Scotland","190","120","0.627"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Scotland","190","140","0.728"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Scotland","220","150","0.672"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Scotland","265","170","0.648"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Scotland","255","195","0.76"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Wales","130","120","0.923"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Wales","105","95","0.922"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Wales","115","105","0.918"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Wales","110","100","0.89"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","Quintile 4","Wales","90","85","0.9440000000000001"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Northern Ireland","30","30","1.0030000000000001"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Northern Ireland","25","25","1.039"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Northern Ireland","30","25","0.797"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Northern Ireland","30","30","0.9380000000000001"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Northern Ireland","30","30","0.9400000000000001"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","England","1480","1355","0.915"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","England","1425","1335","0.936"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","England","1655","1555","0.9410000000000001"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","England","1810","1680","0.929"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","England","1680","1535","0.915"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Scotland","120","100","0.84"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Scotland","130","115","0.903"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Scotland","125","105","0.856"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Scotland","145","120","0.839"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Scotland","115","100","0.866"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Wales","130","125","0.9470000000000001"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Wales","105","95","0.894"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Wales","120","110","0.925"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Wales","105","95","0.919"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","Quintile 4","Wales","105","100","0.963"
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Northern Ireland","10","10","1.025"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Northern Ireland","10","10"," "
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Northern Ireland","5","5"," "
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Northern Ireland","5","0"," "
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","England","160","130","0.8200000000000001"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","England","215","190","0.876"
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","England","210","155","0.739"
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","England","250","175","0.6910000000000001"
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","England","290","205","0.7000000000000001"
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Scotland","15","15","0.9550000000000001"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Scotland","10","10"," "
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Scotland","10","5"," "
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Scotland","15","10","0.667"
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Scotland","20","20","0.9"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Wales","5","5"," "
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Wales","10","10"," "
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","Quintile 4","Wales","5","5"," "
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Northern Ireland","5","5"," "
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Northern Ireland","10","10"," "
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Northern Ireland","10","10","1.1"
"2022","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Northern Ireland","5","5"," "
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","England","795","715","0.899"
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","England","910","795","0.876"
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","England","865","785","0.91"
"2022","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","England","815","700","0.86"
"2023","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","England","670","630","0.9400000000000001"
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Scotland","5","5"," "
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Scotland","10","10","1.1"
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Scotland","5","5"," "
"2022","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Scotland","10","10"," "
"2023","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Scotland","5","0"," "
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Wales","15","15","0.933"
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Wales","25","20","0.76"
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Wales","30","30","1"
"2022","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Wales","20","15","0.75"
"2023","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","Quintile 4","Wales","25","20","0.88"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Northern Ireland","130","120","0.919"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Northern Ireland","165","150","0.913"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Northern Ireland","110","100","0.893"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Northern Ireland","85","75","0.908"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Northern Ireland","125","115","0.92"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","England","4325","3880","0.897"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","England","3950","3505","0.887"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","England","3610","3215","0.89"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","England","3605","3080","0.854"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","England","4015","3450","0.859"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Scotland","595","505","0.848"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Scotland","520","435","0.833"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Scotland","395","335","0.844"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Scotland","445","370","0.8280000000000001"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Scotland","475","400","0.837"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Wales","150","135","0.89"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Wales","170","155","0.924"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Wales","130","115","0.896"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Wales","145","120","0.8240000000000001"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","Quintile 4","Wales","155","135","0.869"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Northern Ireland","20","10","0.603"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Northern Ireland","15","10","0.792"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Northern Ireland","15","15","0.844"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Northern Ireland","10","10"," "
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Northern Ireland","35","25","0.6890000000000001"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","England","575","485","0.844"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","England","575","475","0.8300000000000001"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","England","605","490","0.808"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","England","710","535","0.755"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","England","650","505","0.778"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Scotland","85","55","0.657"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Scotland","70","55","0.763"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Scotland","120","70","0.591"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Scotland","140","70","0.506"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Scotland","110","75","0.671"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Wales","40","35","0.883"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Wales","30","25","0.91"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Wales","35","30","0.788"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Wales","35","25","0.6930000000000001"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","Quintile 4","Wales","40","35","0.877"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Northern Ireland","140","120","0.87"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Northern Ireland","155","125","0.81"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Northern Ireland","145","115","0.783"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Northern Ireland","115","95","0.8280000000000001"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Northern Ireland","115","95","0.841"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","England","4335","3525","0.8130000000000001"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","England","4600","3675","0.799"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","England","4620","3700","0.801"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","England","4370","3265","0.747"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","England","3905","3105","0.795"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Scotland","500","380","0.761"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Scotland","475","365","0.767"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Scotland","540","400","0.74"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Scotland","490","395","0.805"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Scotland","485","410","0.842"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Wales","200","155","0.786"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Wales","245","200","0.8210000000000001"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Wales","265","220","0.834"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Wales","240","175","0.722"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","Quintile 4","Wales","200","160","0.793"
"2019","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 4","England","60","20","0.308"
"2020","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 4","England","15","5"," "
"2021","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 4","England","20","5"," "
"2022","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 4","England","15","5"," "
"2023","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","Quintile 4","England","15","5"," "
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Northern Ireland","45","45","0.9570000000000001"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Northern Ireland","60","60","0.985"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Northern Ireland","55","55","0.977"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Northern Ireland","60","55","0.9480000000000001"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Northern Ireland","55","50","0.864"
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","England","1515","1440","0.9500000000000001"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","England","1765","1650","0.934"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","England","2090","1970","0.9440000000000001"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","England","2075","1890","0.912"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","England","2110","1900","0.901"
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Scotland","405","300","0.742"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Scotland","430","330","0.77"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Scotland","485","350","0.726"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Scotland","400","345","0.857"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Scotland","395","370","0.935"
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Wales","95","90","0.9530000000000001"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Wales","110","100","0.922"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Wales","120","110","0.925"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Wales","150","130","0.868"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","Quintile 4","Wales","130","120","0.915"
"2020","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Northern Ireland","5","5"," "
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Northern Ireland","5","5"," "
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Northern Ireland","5","5"," "
"2019","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","England","135","130","0.9450000000000001"
"2020","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","England","135","130","0.964"
"2021","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","England","135","125","0.931"
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","England","150","145","0.961"
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","England","135","125","0.9390000000000001"
"2019","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Scotland","25","25","0.92"
"2020","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Scotland","35","25","0.714"
"2021","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Scotland","30","25","0.8"
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Scotland","30","25","0.867"
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Scotland","20","15","0.7000000000000001"
"2019","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Wales","15","15","0.833"
"2020","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Wales","15","15","0.9"
"2021","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Wales","5","5"," "
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Wales","10","10"," "
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","Quintile 4","Wales","10","10","1.185"
"2022","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","Northern Ireland","5","5"," "
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","Northern Ireland","5","5"," "
"2019","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","England","300","275","0.925"
"2020","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","England","270","250","0.923"
"2021","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","England","320","300","0.9400000000000001"
"2022","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","England","400","340","0.847"
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","England","390","345","0.887"
"2022","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","Scotland","15","10","0.733"
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","Scotland","15","10","0.733"
"2019","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","Wales","15","10","0.8"
"2020","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","Wales","10","10","1.1"
"2021","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","Wales","15","15","1.1"
"2022","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","Wales","15","10"," "
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","Quintile 4","Wales","20","15","0.775"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Northern Ireland","520","470","0.9"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Northern Ireland","560","495","0.883"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Northern Ireland","510","460","0.898"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Northern Ireland","560","460","0.8260000000000001"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Northern Ireland","525","420","0.799"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","England","17335","15120","0.872"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","England","17405","15150","0.87"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","England","18555","15725","0.848"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","England","19455","15155","0.779"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","England","19320","15585","0.807"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Scotland","1390","810","0.584"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Scotland","1300","765","0.587"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Scotland","1530","855","0.557"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Scotland","1495","860","0.5760000000000001"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Scotland","1545","985","0.639"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Wales","860","750","0.875"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Wales","840","720","0.86"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Wales","945","815","0.861"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Wales","1010","805","0.798"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Quintile 4","Wales","885","735","0.8320000000000001"
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Northern Ireland","50","45","0.937"
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Northern Ireland","5","5"," "
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Northern Ireland","5","0"," "
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","England","260","230","0.882"
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","England","250","215","0.868"
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","England","285","250","0.875"
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","England","285","245","0.853"
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","England","245","210","0.864"
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Scotland","5","5"," "
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Scotland","5","5"," "
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Scotland","5","0"," "
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Scotland","5","0"," "
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Wales","5","5"," "
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Wales","5","0"," "
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Wales","5","5"," "
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Wales","10","5"," "
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","Quintile 4","Wales","5","5"," "
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Northern Ireland","310","290","0.932"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Northern Ireland","285","255","0.898"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Northern Ireland","245","220","0.896"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Northern Ireland","255","220","0.862"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Northern Ireland","205","180","0.889"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","England","7045","6005","0.853"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","England","6565","5485","0.835"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","England","7255","5990","0.8260000000000001"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","England","6795","5245","0.772"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","England","6625","5100","0.769"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Scotland","730","495","0.681"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Scotland","620","450","0.726"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Scotland","565","420","0.745"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Scotland","510","375","0.737"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Scotland","705","515","0.734"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Wales","280","245","0.882"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Wales","295","255","0.858"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Wales","265","235","0.885"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Wales","275","215","0.783"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Quintile 4","Wales","390","315","0.802"
"2019","(CAH09) mathematical sciences","(CAH09-01-02) operational research","Quintile 4","England","30","25","0.914"
"2020","(CAH09) mathematical sciences","(CAH09-01-02) operational research","Quintile 4","England","30","25","0.87"
"2021","(CAH09) mathematical sciences","(CAH09-01-02) operational research","Quintile 4","England","25","25","0.9560000000000001"
