"Year","Care responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Does not have carer responsibility","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","130","90","0.7030000000000001","50"
"2023","Does not have carer responsibility","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","55","40","0.7020000000000001","15"
"2023","Has carer responsibility","35 and over","England","Female","Not main scheme applicant","Not main scheme application","345","255","0.737","190"
"2023","Has carer responsibility","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","25","15","0.583","20"
"2023","Has carer responsibility","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","25","20","0.87","10"
"2023","Not declared","17 and under","England","Male","Not main scheme applicant","Not main scheme application","70","65","0.9570000000000001","0"
"2023","Not declared","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","95","95","0.989","0"
"2023","Not declared","17 and under","Wales","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Does not have carer responsibility","17 and under","England","Male","Not main scheme applicant","Not main scheme application","20","15","0.773","5"
"2023","Does not have carer responsibility","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","30","30","0.9380000000000001","5"
"2023","Not declared","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Not main scheme applicant","Not main scheme application","1190","1145","0.961","5"
"2023","Not declared","18","Scotland","Male","Not main scheme applicant","Not main scheme application","190","190","0.99","0"
"2023","Not declared","18","Wales","Male","Not main scheme applicant","Not main scheme application","55","55","0.981","0"
"2023","Does not have carer responsibility","18","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","Does not have carer responsibility","18","England","Male","Not main scheme applicant","Not main scheme application","1035","925","0.897","145"
"2023","Does not have carer responsibility","18","Scotland","Male","Not main scheme applicant","Not main scheme application","40","40","0.927","15"
"2023","Does not have carer responsibility","18","Wales","Male","Not main scheme applicant","Not main scheme application","60","50","0.897","10"
"2023","Has carer responsibility","18","England","Male","Not main scheme applicant","Not main scheme application","50","45","0.902","5"
"2023","Has carer responsibility","18","Wales","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","19","England","Male","Not main scheme applicant","Not main scheme application","1840","1755","0.9540000000000001","10"
"2023","Not declared","19","Scotland","Male","Not main scheme applicant","Not main scheme application","145","145","0.986","0"
"2023","Not declared","19","Wales","Male","Not main scheme applicant","Not main scheme application","70","65","0.93","0"
"2023","Does not have carer responsibility","19","Northern Ireland","Male","Not main scheme applicant","Not main scheme application","50","50","0.923","5"
"2023","Does not have carer responsibility","19","England","Male","Not main scheme applicant","Not main scheme application","2270","2050","0.903","215"
"2023","Does not have carer responsibility","19","Scotland","Male","Not main scheme applicant","Not main scheme application","75","65","0.865","25"
"2023","Does not have carer responsibility","19","Wales","Male","Not main scheme applicant","Not main scheme application","90","80","0.9","10"
"2023","Has carer responsibility","19","England","Male","Not main scheme applicant","Not main scheme application","50","50","0.9410000000000001","5"
"2023","Has carer responsibility","19","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
