"Year","Served in UK armed forces status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Has not served in UK armed forces","25 - 29","Wales","Male","Main scheme applicant","Not main scheme application","25","20","0.833","0"
"2023","Has served in UK armed forces","25 - 29","England","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","30 - 34","England","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Has not served in UK armed forces","30 - 34","Northern Ireland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has not served in UK armed forces","30 - 34","England","Male","Main scheme applicant","Not main scheme application","170","95","0.558","0"
"2023","Has not served in UK armed forces","30 - 34","Scotland","Male","Main scheme applicant","Not main scheme application","20","10","0.455","0"
"2023","Has not served in UK armed forces","30 - 34","Wales","Male","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2023","Has served in UK armed forces","30 - 34","England","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","35 and over","England","Male","Main scheme applicant","Not main scheme application","30","20","0.759","0"
"2023","Has not served in UK armed forces","35 and over","Northern Ireland","Male","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Has not served in UK armed forces","35 and over","England","Male","Main scheme applicant","Not main scheme application","490","280","0.5740000000000001","0"
"2023","Has not served in UK armed forces","35 and over","Scotland","Male","Main scheme applicant","Not main scheme application","40","25","0.632","0"
"2023","Has not served in UK armed forces","35 and over","Wales","Male","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2023","Has served in UK armed forces","35 and over","England","Male","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Not declared","17 and under","England","Female","Main scheme applicant","Main scheme application","25","15","0.52","0"
"2023","Not declared","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","Has not served in UK armed forces","17 and under","Northern Ireland","Female","Main scheme applicant","Main scheme application","20","10"," ","0"
"2023","Has not served in UK armed forces","17 and under","England","Female","Main scheme applicant","Main scheme application","585","335","0.5690000000000001","0"
"2023","Has not served in UK armed forces","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","560","350","0.626","0"
"2023","Has not served in UK armed forces","17 and under","Wales","Female","Main scheme applicant","Main scheme application","20","15","0.591","0"
"2023","Not declared","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","95","65","0.713","0"
"2023","Not declared","18","England","Female","Main scheme applicant","Main scheme application","1460","1045","0.718","0"
"2023","Not declared","18","Scotland","Female","Main scheme applicant","Main scheme application","100","80","0.798","0"
"2023","Not declared","18","Wales","Female","Main scheme applicant","Main scheme application","55","40","0.759","0"
"2023","Has not served in UK armed forces","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","6790","4590","0.676","0"
"2023","Has not served in UK armed forces","18","England","Female","Main scheme applicant","Main scheme application","151545","107955","0.712","0"
"2023","Has not served in UK armed forces","18","Scotland","Female","Main scheme applicant","Main scheme application","11270","9030","0.801","0"
"2023","Has not served in UK armed forces","18","Wales","Female","Main scheme applicant","Main scheme application","6985","5415","0.775","0"
"2023","Has served in UK armed forces","18","England","Female","Main scheme applicant","Main scheme application","40","20","0.524","0"
"2023","Has served in UK armed forces","18","Scotland","Female","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","Not declared","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","20","15","0.619","0"
"2023","Not declared","19","England","Female","Main scheme applicant","Main scheme application","660","430","0.653","0"
"2023","Not declared","19","Scotland","Female","Main scheme applicant","Main scheme application","30","25","0.8","0"
"2023","Not declared","19","Wales","Female","Main scheme applicant","Main scheme application","20","15","0.789","0"
"2023","Has not served in UK armed forces","19","Northern Ireland","Female","Main scheme applicant","Main scheme application","1330","885","0.666","0"
"2023","Has not served in UK armed forces","19","England","Female","Main scheme applicant","Main scheme application","39525","28360","0.718","0"
"2023","Has not served in UK armed forces","19","Scotland","Female","Main scheme applicant","Main scheme application","3355","2465","0.735","0"
"2023","Has not served in UK armed forces","19","Wales","Female","Main scheme applicant","Main scheme application","1895","1430","0.755","0"
"2023","Has served in UK armed forces","19","England","Female","Main scheme applicant","Main scheme application","25","20","0.778","0"
