"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2023","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","All","No impairment","61865","50535","0.8170000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","No impairment","1050","885","0.844"
"2020","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","No impairment","995","840","0.842"
"2021","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","No impairment","1120","985","0.88"
"2022","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","No impairment","1035","900","0.868"
"2023","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","No impairment","750","655","0.874"
"2019","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","No impairment","2050","1760","0.858"
"2020","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","No impairment","2105","1750","0.8310000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","No impairment","2310","1910","0.8280000000000001"
"2022","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","No impairment","2150","1830","0.852"
"2023","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","No impairment","1845","1595","0.864"
"2019","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","No impairment","14800","12760","0.862"
"2020","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","No impairment","13885","11840","0.853"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","No impairment","14655","12360","0.843"
"2022","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","No impairment","13740","10755","0.783"
"2023","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","No impairment","14000","11355","0.811"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","No impairment","10130","8690","0.858"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","No impairment","10250","8825","0.861"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","No impairment","11180","9480","0.848"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","No impairment","10120","8230","0.8130000000000001"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","No impairment","9515","8190","0.861"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","No impairment","17980","15455","0.86"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","No impairment","17335","14810","0.854"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","No impairment","16010","13560","0.847"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","No impairment","14355","11575","0.806"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","No impairment","14045","11670","0.8310000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","No impairment","5865","5215","0.889"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","No impairment","6265","5505","0.878"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","No impairment","7360","6405","0.87"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","No impairment","7455","6510","0.873"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","No impairment","6065","5360","0.884"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","No impairment","3010","2580","0.857"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","No impairment","2895","2450","0.847"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","No impairment","3150","2650","0.841"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","No impairment","2720","2230","0.8200000000000001"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","No impairment","2335","1980","0.848"
"2019","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","No impairment","135","105","0.767"
"2020","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","No impairment","130","100","0.78"
"2021","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","No impairment","195","150","0.771"
"2022","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","No impairment","190","145","0.758"
"2023","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","No impairment","190","165","0.859"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","No impairment","6760","5595","0.8270000000000001"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","No impairment","6390","5235","0.8190000000000001"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","No impairment","7480","6130","0.8190000000000001"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","No impairment","7330","5920","0.808"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","No impairment","5800","4825","0.8320000000000001"
"2019","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","No impairment","140","85","0.616"
"2020","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","No impairment","120","80","0.669"
"2021","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","No impairment","120","70","0.592"
"2022","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","No impairment","45","35","0.8220000000000001"
"2023","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","No impairment","40","30","0.775"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","No impairment","17910","11240","0.628"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","No impairment","19070","12240","0.642"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","No impairment","20665","13165","0.637"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","No impairment","22095","13370","0.605"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","No impairment","19775","12500","0.632"
"2019","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","No impairment","345","250","0.724"
"2020","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","No impairment","325","215","0.656"
"2021","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","No impairment","345","220","0.643"
"2022","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","No impairment","415","290","0.7030000000000001"
"2023","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","No impairment","390","275","0.704"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","No impairment","10350","9025","0.872"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","No impairment","10575","9370","0.886"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","No impairment","11625","10400","0.895"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","No impairment","11525","10550","0.916"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","No impairment","10055","9090","0.904"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","No impairment","3135","2765","0.882"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","No impairment","3355","2955","0.881"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","No impairment","2985","2510","0.84"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","No impairment","3220","2540","0.788"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","No impairment","2840","2240","0.789"
"2019","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","No impairment","755","375","0.494"
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","No impairment","825","470","0.5720000000000001"
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","No impairment","1020","440","0.433"
"2022","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","No impairment","1240","620","0.499"
"2023","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","No impairment","820","435","0.529"
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","No impairment","12610","2770","0.22"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","No impairment","13520","2840","0.21"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","No impairment","14655","2360","0.161"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","No impairment","16610","1755","0.106"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","No impairment","19100","2030","0.106"
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","No impairment","58765","18295","0.311"
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","No impairment","60605","17915","0.296"
"2021","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","No impairment","75700","16550","0.219"
"2022","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","No impairment","78250","12825","0.164"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","No impairment","68050","14900","0.219"
"2019","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","No impairment","1385","1145","0.8250000000000001"
"2020","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","No impairment","1445","1210","0.836"
"2021","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","No impairment","1370","1095","0.801"
"2022","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","No impairment","1760","1065","0.604"
"2023","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","No impairment","1725","1210","0.7020000000000001"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","No impairment","45015","39015","0.867"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","No impairment","39775","34875","0.877"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","No impairment","38605","32955","0.854"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","No impairment","37630","30815","0.8190000000000001"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","No impairment","34630","28785","0.8310000000000001"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","No impairment","2625","2275","0.868"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","No impairment","2380","2120","0.891"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","No impairment","2395","2065","0.863"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","No impairment","2740","2290","0.836"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","No impairment","2735","2340","0.856"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","No impairment","4560","4070","0.892"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","No impairment","4260","3765","0.884"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","No impairment","4505","3870","0.859"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","No impairment","5140","3850","0.749"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","No impairment","4810","3790","0.788"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","No impairment","3405","2525","0.742"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","No impairment","3330","2475","0.744"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","No impairment","3195","2440","0.764"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","No impairment","3445","2500","0.726"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","No impairment","2955","2205","0.747"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","No impairment","12530","10275","0.8200000000000001"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","No impairment","12035","9890","0.8220000000000001"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","No impairment","12660","10055","0.794"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","No impairment","13220","9720","0.735"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","No impairment","11580","8750","0.756"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","No impairment","3375","2930","0.868"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","No impairment","3145","2750","0.875"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","No impairment","2860","2420","0.846"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","No impairment","2700","2260","0.838"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","No impairment","2345","2030","0.865"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","No impairment","65","55","0.8200000000000001"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","No impairment","70","55","0.767"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","No impairment","65","60","0.896"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","No impairment","70","65","0.936"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","No impairment","70","60","0.88"
"2019","(CAH11) computing","(CAH11-01-08) others in computing","All","No impairment","3645","3235","0.887"
"2020","(CAH11) computing","(CAH11-01-08) others in computing","All","No impairment","3525","3135","0.889"
"2021","(CAH11) computing","(CAH11-01-08) others in computing","All","No impairment","3220","2865","0.889"
"2022","(CAH11) computing","(CAH11-01-08) others in computing","All","No impairment","3500","2975","0.849"
"2023","(CAH11) computing","(CAH11-01-08) others in computing","All","No impairment","3570","2945","0.8250000000000001"
"2019","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","No impairment","1365","930","0.682"
"2020","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","No impairment","1760","1245","0.707"
"2021","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","No impairment","2270","1355","0.597"
"2022","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","No impairment","2480","1410","0.5680000000000001"
"2023","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","No impairment","2625","1590","0.605"
"2019","(CAH11) computing","(CAH11-01-07) business computing","All","No impairment","3960","3455","0.872"
"2020","(CAH11) computing","(CAH11-01-07) business computing","All","No impairment","3485","3145","0.903"
"2021","(CAH11) computing","(CAH11-01-07) business computing","All","No impairment","3150","2870","0.912"
"2022","(CAH11) computing","(CAH11-01-07) business computing","All","No impairment","3200","2825","0.882"
"2023","(CAH11) computing","(CAH11-01-07) business computing","All","No impairment","2675","2330","0.872"
"2019","(CAH11) computing","(CAH11-01-06) computer games and animation","All","No impairment","14560","11335","0.779"
"2020","(CAH11) computing","(CAH11-01-06) computer games and animation","All","No impairment","13870","10860","0.783"
"2021","(CAH11) computing","(CAH11-01-06) computer games and animation","All","No impairment","14605","11900","0.8150000000000001"
"2022","(CAH11) computing","(CAH11-01-06) computer games and animation","All","No impairment","17265","13505","0.782"
"2023","(CAH11) computing","(CAH11-01-06) computer games and animation","All","No impairment","15175","12170","0.802"
"2019","(CAH11) computing","(CAH11-01-01) computer science","All","No impairment","55065","42515","0.772"
"2020","(CAH11) computing","(CAH11-01-01) computer science","All","No impairment","56640","43915","0.775"
"2021","(CAH11) computing","(CAH11-01-01) computer science","All","No impairment","59010","43940","0.745"
"2022","(CAH11) computing","(CAH11-01-01) computer science","All","No impairment","68205","48180","0.706"
"2023","(CAH11) computing","(CAH11-01-01) computer science","All","No impairment","71530","49865","0.6970000000000001"
"2019","(CAH11) computing","(CAH11-01-02) information technology","All","No impairment","2840","2425","0.855"
"2020","(CAH11) computing","(CAH11-01-02) information technology","All","No impairment","2590","2220","0.857"
"2021","(CAH11) computing","(CAH11-01-02) information technology","All","No impairment","2190","1910","0.873"
"2022","(CAH11) computing","(CAH11-01-02) information technology","All","No impairment","2215","1945","0.879"
"2023","(CAH11) computing","(CAH11-01-02) information technology","All","No impairment","2175","1850","0.85"
"2019","(CAH11) computing","(CAH11-01-03) information systems","All","No impairment","2475","2245","0.908"
"2020","(CAH11) computing","(CAH11-01-03) information systems","All","No impairment","2580","2360","0.915"
"2021","(CAH11) computing","(CAH11-01-03) information systems","All","No impairment","2410","2195","0.911"
"2022","(CAH11) computing","(CAH11-01-03) information systems","All","No impairment","2505","2250","0.897"
"2023","(CAH11) computing","(CAH11-01-03) information systems","All","No impairment","2425","2140","0.882"
"2019","(CAH11) computing","(CAH11-01-04) software engineering","All","No impairment","10500","8885","0.846"
"2020","(CAH11) computing","(CAH11-01-04) software engineering","All","No impairment","10660","9260","0.869"
"2021","(CAH11) computing","(CAH11-01-04) software engineering","All","No impairment","12390","10765","0.869"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","All","No impairment","14760","12565","0.851"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","All","No impairment","15950","13450","0.843"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-05) others in geographical studies","All","No impairment","10","10"," "
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-05) others in geographical studies","All","No impairment","5","0"," "
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-05) others in geographical studies","All","No impairment","5","5"," "
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","No impairment","6355","5435","0.855"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","No impairment","5495","4540","0.8260000000000001"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","No impairment","5845","4930","0.843"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","No impairment","6165","5185","0.841"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","No impairment","5455","4630","0.849"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","No impairment","3875","3500","0.904"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","No impairment","4645","4175","0.898"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","No impairment","4870","4420","0.908"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","No impairment","5110","4620","0.904"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","No impairment","4805","4435","0.923"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","No impairment","9870","9085","0.92"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","No impairment","9610","8900","0.926"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","No impairment","10300","9440","0.917"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","No impairment","10090","8795","0.872"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","No impairment","9565","8605","0.9"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","No impairment","4975","4575","0.92"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","No impairment","4785","4345","0.908"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","No impairment","4825","4255","0.882"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","No impairment","5025","4405","0.877"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","No impairment","4725","4180","0.885"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","No impairment","12615","11625","0.922"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","No impairment","11880","11025","0.928"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","No impairment","12185","10765","0.883"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","No impairment","12220","10150","0.8310000000000001"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","No impairment","11975","10485","0.876"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","No impairment","7980","7325","0.918"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","No impairment","7580","7025","0.926"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","No impairment","8440","7865","0.932"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","No impairment","8440","7745","0.918"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","No impairment","6880","6235","0.906"
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","No impairment","935","760","0.8130000000000001"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","No impairment","1225","1015","0.8300000000000001"
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","No impairment","1215","920","0.755"
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","No impairment","1625","1110","0.682"
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","No impairment","1855","1225","0.661"
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","No impairment","2720","2440","0.898"
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","No impairment","3200","2845","0.889"
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","No impairment","3035","2775","0.914"
"2022","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","No impairment","2910","2540","0.872"
"2023","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","No impairment","2355","2200","0.934"
"2019","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","No impairment","20620","18255","0.885"
"2020","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","No impairment","19865","17405","0.876"
"2021","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","No impairment","18290","16050","0.877"
"2022","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","No impairment","17475","15020","0.86"
"2023","(CAH07) physical sciences","(CAH07-02-01) chemistry","All","No impairment","17915","15270","0.852"
"2019","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","No impairment","2495","2000","0.802"
"2020","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","No impairment","2550","2040","0.799"
"2021","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","No impairment","2970","2330","0.785"
"2022","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","No impairment","3115","2250","0.722"
"2023","(CAH07) physical sciences","(CAH07-01-02) astronomy","All","No impairment","2730","2135","0.782"
"2019","(CAH07) physical sciences","(CAH07-01-01) physics","All","No impairment","19695","15910","0.808"
"2020","(CAH07) physical sciences","(CAH07-01-01) physics","All","No impairment","19645","15640","0.796"
"2021","(CAH07) physical sciences","(CAH07-01-01) physics","All","No impairment","19815","15790","0.797"
"2022","(CAH07) physical sciences","(CAH07-01-01) physics","All","No impairment","18520","14005","0.756"
"2023","(CAH07) physical sciences","(CAH07-01-01) physics","All","No impairment","16210","12885","0.795"
"2019","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","All","No impairment","365","115","0.314"
"2020","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","All","No impairment","100","30","0.29"
"2021","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","All","No impairment","145","45","0.322"
"2022","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","All","No impairment","130","45","0.342"
"2023","(CAH07) physical sciences","(CAH07-04-01) physical sciences (non-specific)","All","No impairment","130","40","0.313"
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","All","No impairment","9230","8190","0.887"
"2020","(CAH04) psychology","(CAH04-01-02) applied psychology","All","No impairment","9910","8790","0.887"
"2021","(CAH04) psychology","(CAH04-01-02) applied psychology","All","No impairment","11195","9935","0.887"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","All","No impairment","11060","9895","0.895"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","All","No impairment","9370","8440","0.901"
"2019","(CAH04) psychology","(CAH04-01-04) psychology and health","All","No impairment","705","640","0.911"
"2020","(CAH04) psychology","(CAH04-01-04) psychology and health","All","No impairment","735","675","0.916"
"2021","(CAH04) psychology","(CAH04-01-04) psychology and health","All","No impairment","880","820","0.933"
"2022","(CAH04) psychology","(CAH04-01-04) psychology and health","All","No impairment","845","785","0.927"
"2023","(CAH04) psychology","(CAH04-01-04) psychology and health","All","No impairment","665","605","0.911"
"2019","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","No impairment","1305","1165","0.894"
"2020","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","No impairment","1335","1185","0.887"
"2021","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","No impairment","1500","1365","0.91"
"2022","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","No impairment","1615","1375","0.85"
"2023","(CAH04) psychology","(CAH04-01-03) developmental psychology","All","No impairment","1480","1265","0.854"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","No impairment","86100","73325","0.852"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","No impairment","85550","72785","0.851"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","No impairment","88015","73235","0.8320000000000001"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","No impairment","90510","70390","0.778"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","All","No impairment","78335","62875","0.803"
"2019","(CAH04) psychology","(CAH04-01-05) others in psychology","All","No impairment","1410","1250","0.887"
"2020","(CAH04) psychology","(CAH04-01-05) others in psychology","All","No impairment","1235","1065","0.863"
"2021","(CAH04) psychology","(CAH04-01-05) others in psychology","All","No impairment","1370","1220","0.891"
"2022","(CAH04) psychology","(CAH04-01-05) others in psychology","All","No impairment","1310","1115","0.851"
"2023","(CAH04) psychology","(CAH04-01-05) others in psychology","All","No impairment","955","830","0.868"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","No impairment","31830","26500","0.833"
"2020","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","No impairment","31335","25795","0.8230000000000001"
"2021","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","No impairment","31840","25990","0.8160000000000001"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","No impairment","30205","23645","0.783"
"2023","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","All","No impairment","28440","21890","0.77"
"2019","(CAH09) mathematical sciences","(CAH09-01-02) operational research","All","No impairment","120","110","0.911"
"2020","(CAH09) mathematical sciences","(CAH09-01-02) operational research","All","No impairment","125","115","0.908"
