"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","No disability declared","No impairment","11240","3660","0.326"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-01) medical technology","No disability declared","No impairment","10845","3795","0.35000000000000003"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","No disability declared","No impairment","1875","1310","0.6990000000000001"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","No disability declared","No impairment","2050","1445","0.704"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","No disability declared","No impairment","2640","1930","0.732"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","No disability declared","No impairment","2435","1705","0.7010000000000001"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-06) complementary and alternative medicine","No disability declared","No impairment","1565","1135","0.725"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","No disability declared","No impairment","22095","8740","0.395"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","No disability declared","No impairment","25195","9945","0.395"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","No disability declared","No impairment","37425","12185","0.326"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","No disability declared","No impairment","37505","11835","0.316"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-01) health sciences (non-specific)","No disability declared","No impairment","30505","9780","0.321"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","No disability declared","No impairment","4975","3690","0.742"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","No disability declared","No impairment","5215","3840","0.736"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","No disability declared","No impairment","5665","4185","0.739"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","No disability declared","No impairment","5215","3835","0.735"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-02) nutrition and dietetics","No disability declared","No impairment","4040","2945","0.729"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","No disability declared","No impairment","2570","2400","0.934"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","No disability declared","No impairment","2790","2635","0.9450000000000001"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","No disability declared","No impairment","3970","3860","0.972"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-04) environmental and public health","No disability declared","No impairment","3225","3105","0.962"
