"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","White","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","White","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","White","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","White","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","White","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Black","21 - 24","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2020","Black","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","Black","21 - 24","England","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2022","Black","21 - 24","England","Female","Main scheme applicant","Not main scheme application","20","5"," "
"2023","Black","21 - 24","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2019","Asian","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Asian","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Asian","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Mixed","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Mixed","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Mixed","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","White","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","White","25 - 29","England","Female","Main scheme applicant","Not main scheme application","40","25","0.615"
"2020","White","25 - 29","England","Female","Main scheme applicant","Not main scheme application","25","15","0.667"
"2021","White","25 - 29","England","Female","Main scheme applicant","Not main scheme application","25","10","0.423"
"2022","White","25 - 29","England","Female","Main scheme applicant","Not main scheme application","40","20","0.512"
"2023","White","25 - 29","England","Female","Main scheme applicant","Not main scheme application","25","20","0.704"
"2019","White","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","White","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","White","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2022","White","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","White","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","White","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","White","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","White","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Black","25 - 29","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Black","25 - 29","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Black","25 - 29","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Black","25 - 29","England","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2023","Black","25 - 29","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Asian","25 - 29","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Asian","25 - 29","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Mixed","25 - 29","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","White","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","30 - 34","England","Female","Main scheme applicant","Not main scheme application","20","15","0.714"
