"Year","Subject group HECoS","Detailed subject group HECoS","Provider country","Main scheme applicant","Main scheme application","Accepted applicants"
"2023","(CAH15) social sciences","(CAH15-02-01) economics","All","Main scheme applicant","Not main scheme application","2175"
"2019","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","All","Main scheme applicant","Not main scheme application","405"
"2020","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","All","Main scheme applicant","Not main scheme application","310"
"2021","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","All","Main scheme applicant","Not main scheme application","360"
"2022","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","All","Main scheme applicant","Not main scheme application","355"
"2023","(CAH15) social sciences","(CAH15-04-02) childhood and youth studies","All","Main scheme applicant","Not main scheme application","255"
"2019","(CAH15) social sciences","(CAH15-04-01) social work","All","Main scheme applicant","Not main scheme application","490"
"2020","(CAH15) social sciences","(CAH15-04-01) social work","All","Main scheme applicant","Not main scheme application","450"
"2021","(CAH15) social sciences","(CAH15-04-01) social work","All","Main scheme applicant","Not main scheme application","550"
"2022","(CAH15) social sciences","(CAH15-04-01) social work","All","Main scheme applicant","Not main scheme application","480"
"2023","(CAH15) social sciences","(CAH15-04-01) social work","All","Main scheme applicant","Not main scheme application","470"
"2019","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","All","Main scheme applicant","Not main scheme application","370"
"2020","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","All","Main scheme applicant","Not main scheme application","355"
"2021","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","All","Main scheme applicant","Not main scheme application","210"
"2022","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","All","Main scheme applicant","Not main scheme application","215"
"2023","(CAH15) social sciences","(CAH15-01-01) social sciences (non-specific)","All","Main scheme applicant","Not main scheme application","280"
"2019","(CAH15) social sciences","(CAH15-04-03) health studies","All","Main scheme applicant","Not main scheme application","545"
"2020","(CAH15) social sciences","(CAH15-04-03) health studies","All","Main scheme applicant","Not main scheme application","435"
"2021","(CAH15) social sciences","(CAH15-04-03) health studies","All","Main scheme applicant","Not main scheme application","520"
"2022","(CAH15) social sciences","(CAH15-04-03) health studies","All","Main scheme applicant","Not main scheme application","400"
"2023","(CAH15) social sciences","(CAH15-04-03) health studies","All","Main scheme applicant","Not main scheme application","355"
"2019","(CAH15) social sciences","(CAH15-01-03) social policy","All","Main scheme applicant","Not main scheme application","215"
"2020","(CAH15) social sciences","(CAH15-01-03) social policy","All","Main scheme applicant","Not main scheme application","210"
"2021","(CAH15) social sciences","(CAH15-01-03) social policy","All","Main scheme applicant","Not main scheme application","125"
"2022","(CAH15) social sciences","(CAH15-01-03) social policy","All","Main scheme applicant","Not main scheme application","130"
"2023","(CAH15) social sciences","(CAH15-01-03) social policy","All","Main scheme applicant","Not main scheme application","100"
"2019","(CAH15) social sciences","(CAH15-01-02) sociology","All","Main scheme applicant","Not main scheme application","2070"
"2020","(CAH15) social sciences","(CAH15-01-02) sociology","All","Main scheme applicant","Not main scheme application","1995"
"2021","(CAH15) social sciences","(CAH15-01-02) sociology","All","Main scheme applicant","Not main scheme application","1600"
"2022","(CAH15) social sciences","(CAH15-01-02) sociology","All","Main scheme applicant","Not main scheme application","1935"
"2023","(CAH15) social sciences","(CAH15-01-02) sociology","All","Main scheme applicant","Not main scheme application","1895"
"2019","(CAH15) social sciences","(CAH15-01-05) development studies","All","Main scheme applicant","Not main scheme application","50"
"2020","(CAH15) social sciences","(CAH15-01-05) development studies","All","Main scheme applicant","Not main scheme application","60"
"2021","(CAH15) social sciences","(CAH15-01-05) development studies","All","Main scheme applicant","Not main scheme application","30"
"2022","(CAH15) social sciences","(CAH15-01-05) development studies","All","Main scheme applicant","Not main scheme application","45"
"2023","(CAH15) social sciences","(CAH15-01-05) development studies","All","Main scheme applicant","Not main scheme application","50"
"2019","(CAH15) social sciences","(CAH15-01-06) cultural studies","All","Main scheme applicant","Not main scheme application","25"
"2020","(CAH15) social sciences","(CAH15-01-06) cultural studies","All","Main scheme applicant","Not main scheme application","20"
"2021","(CAH15) social sciences","(CAH15-01-06) cultural studies","All","Main scheme applicant","Not main scheme application","20"
"2022","(CAH15) social sciences","(CAH15-01-06) cultural studies","All","Main scheme applicant","Not main scheme application","20"
"2023","(CAH15) social sciences","(CAH15-01-06) cultural studies","All","Main scheme applicant","Not main scheme application","15"
"2019","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","All","Main scheme applicant","Not main scheme application","1365"
"2020","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","All","Main scheme applicant","Not main scheme application","1300"
"2021","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","All","Main scheme applicant","Not main scheme application","1270"
"2022","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","All","Main scheme applicant","Not main scheme application","1645"
"2023","(CAH03) biological and sport sciences","(CAH03-02-01) sport and exercise sciences","All","Main scheme applicant","Not main scheme application","1520"
"2019","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","Main scheme applicant","Not main scheme application","70"
"2020","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","Main scheme applicant","Not main scheme application","65"
"2021","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","Main scheme applicant","Not main scheme application","70"
"2022","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","Main scheme applicant","Not main scheme application","70"
"2023","(CAH03) biological and sport sciences","(CAH03-01-07) genetics","All","Main scheme applicant","Not main scheme application","65"
"2019","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","Main scheme applicant","Not main scheme application","135"
"2020","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","Main scheme applicant","Not main scheme application","140"
"2021","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","Main scheme applicant","Not main scheme application","105"
"2022","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","Main scheme applicant","Not main scheme application","95"
"2023","(CAH03) biological and sport sciences","(CAH03-01-10) others in biosciences","All","Main scheme applicant","Not main scheme application","75"
"2019","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","Main scheme applicant","Not main scheme application","695"
"2020","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","Main scheme applicant","Not main scheme application","700"
"2021","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","Main scheme applicant","Not main scheme application","540"
"2022","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","Main scheme applicant","Not main scheme application","570"
"2023","(CAH03) biological and sport sciences","(CAH03-01-08) molecular biology, biophysics and biochemistry","All","Main scheme applicant","Not main scheme application","660"
"2019","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","Main scheme applicant","Not main scheme application","645"
"2020","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","Main scheme applicant","Not main scheme application","545"
"2021","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","Main scheme applicant","Not main scheme application","360"
"2022","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","Main scheme applicant","Not main scheme application","470"
"2023","(CAH03) biological and sport sciences","(CAH03-01-01) biosciences (non-specific)","All","Main scheme applicant","Not main scheme application","525"
"2019","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","Main scheme applicant","Not main scheme application","665"
"2020","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","Main scheme applicant","Not main scheme application","725"
"2021","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","Main scheme applicant","Not main scheme application","410"
"2022","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","Main scheme applicant","Not main scheme application","465"
"2023","(CAH03) biological and sport sciences","(CAH03-01-02) biology (non-specific)","All","Main scheme applicant","Not main scheme application","490"
"2019","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","Main scheme applicant","Not main scheme application","130"
"2020","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","Main scheme applicant","Not main scheme application","145"
"2021","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","Main scheme applicant","Not main scheme application","120"
"2022","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","Main scheme applicant","Not main scheme application","160"
"2023","(CAH03) biological and sport sciences","(CAH03-01-03) ecology and environmental biology","All","Main scheme applicant","Not main scheme application","170"
"2019","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","Main scheme applicant","Not main scheme application","110"
"2020","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","Main scheme applicant","Not main scheme application","115"
"2021","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","Main scheme applicant","Not main scheme application","50"
"2022","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","Main scheme applicant","Not main scheme application","75"
"2023","(CAH03) biological and sport sciences","(CAH03-01-04) microbiology and cell science","All","Main scheme applicant","Not main scheme application","55"
"2019","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","Main scheme applicant","Not main scheme application","5"
"2020","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","Main scheme applicant","Not main scheme application","5"
"2022","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","Main scheme applicant","Not main scheme application","5"
"2023","(CAH03) biological and sport sciences","(CAH03-01-05) plant sciences","All","Main scheme applicant","Not main scheme application","5"
"2019","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","Main scheme applicant","Not main scheme application","175"
"2020","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","Main scheme applicant","Not main scheme application","175"
"2021","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","Main scheme applicant","Not main scheme application","110"
"2022","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","Main scheme applicant","Not main scheme application","125"
"2023","(CAH03) biological and sport sciences","(CAH03-01-06) zoology","All","Main scheme applicant","Not main scheme application","130"
"2020","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","Main scheme applicant","Not main scheme application","10"
"2021","(CAH03) biological and sport sciences","(CAH03-01-09) hair and beauty sciences","All","Main scheme applicant","Not main scheme application","5"
"2019","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","Main scheme applicant","Not main scheme application","470"
"2020","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","Main scheme applicant","Not main scheme application","600"
"2021","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","Main scheme applicant","Not main scheme application","395"
"2022","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","Main scheme applicant","Not main scheme application","495"
"2023","(CAH13) architecture, building and planning","(CAH13-01-01) architecture","All","Main scheme applicant","Not main scheme application","550"
"2019","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","Main scheme applicant","Not main scheme application","10"
"2020","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","Main scheme applicant","Not main scheme application","15"
"2021","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","Main scheme applicant","Not main scheme application","10"
"2022","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","Main scheme applicant","Not main scheme application","10"
"2023","(CAH13) architecture, building and planning","(CAH13-01-03) landscape design","All","Main scheme applicant","Not main scheme application","5"
"2019","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","Main scheme applicant","Not main scheme application","335"
"2020","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","Main scheme applicant","Not main scheme application","360"
"2021","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","Main scheme applicant","Not main scheme application","310"
"2022","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","Main scheme applicant","Not main scheme application","390"
"2023","(CAH13) architecture, building and planning","(CAH13-01-02) building","All","Main scheme applicant","Not main scheme application","400"
"2019","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","Main scheme applicant","Not main scheme application","125"
"2020","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","Main scheme applicant","Not main scheme application","155"
"2021","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","Main scheme applicant","Not main scheme application","80"
"2022","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","Main scheme applicant","Not main scheme application","70"
"2023","(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)","All","Main scheme applicant","Not main scheme application","85"
"2019","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","Main scheme applicant","Not main scheme application","70"
"2020","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","Main scheme applicant","Not main scheme application","75"
"2021","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","Main scheme applicant","Not main scheme application","80"
"2022","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","Main scheme applicant","Not main scheme application","80"
"2023","(CAH01) medicine and dentistry","(CAH01-01-03) medicine by specialism","All","Main scheme applicant","Not main scheme application","75"
"2019","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","Main scheme applicant","Not main scheme application","105"
"2020","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","Main scheme applicant","Not main scheme application","235"
"2021","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","Main scheme applicant","Not main scheme application","125"
"2022","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","Main scheme applicant","Not main scheme application","215"
"2023","(CAH01) medicine and dentistry","(CAH01-01-04) dentistry","All","Main scheme applicant","Not main scheme application","215"
"2019","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","Main scheme applicant","Not main scheme application","970"
"2020","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","Main scheme applicant","Not main scheme application","1520"
"2021","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","Main scheme applicant","Not main scheme application","685"
"2022","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","Main scheme applicant","Not main scheme application","1210"
"2023","(CAH01) medicine and dentistry","(CAH01-01-02) medicine (non-specific)","All","Main scheme applicant","Not main scheme application","1360"
"2019","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","Main scheme applicant","Not main scheme application","105"
"2020","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","Main scheme applicant","Not main scheme application","140"
"2021","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","Main scheme applicant","Not main scheme application","115"
"2022","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","Main scheme applicant","Not main scheme application","115"
"2023","(CAH01) medicine and dentistry","(CAH01-01-01) medical sciences (non-specific)","All","Main scheme applicant","Not main scheme application","130"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","Main scheme applicant","Not main scheme application","1130"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","Main scheme applicant","Not main scheme application","1100"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","Main scheme applicant","Not main scheme application","685"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","Main scheme applicant","Not main scheme application","895"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-01) history","All","Main scheme applicant","Not main scheme application","950"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","Main scheme applicant","Not main scheme application","95"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","Main scheme applicant","Not main scheme application","80"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","Main scheme applicant","Not main scheme application","65"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","Main scheme applicant","Not main scheme application","85"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-03) archaeology","All","Main scheme applicant","Not main scheme application","100"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","Main scheme applicant","Not main scheme application","155"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","Main scheme applicant","Not main scheme application","145"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","Main scheme applicant","Not main scheme application","60"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","Main scheme applicant","Not main scheme application","65"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-05) classics","All","Main scheme applicant","Not main scheme application","95"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","Main scheme applicant","Not main scheme application","110"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","Main scheme applicant","Not main scheme application","85"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","Main scheme applicant","Not main scheme application","50"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","Main scheme applicant","Not main scheme application","75"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design","All","Main scheme applicant","Not main scheme application","90"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","Main scheme applicant","Not main scheme application","460"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","Main scheme applicant","Not main scheme application","460"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","Main scheme applicant","Not main scheme application","320"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","Main scheme applicant","Not main scheme application","325"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-01) philosophy","All","Main scheme applicant","Not main scheme application","370"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","Main scheme applicant","Not main scheme application","165"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","Main scheme applicant","Not main scheme application","115"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","Main scheme applicant","Not main scheme application","50"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","Main scheme applicant","Not main scheme application","55"
"2023","(CAH20) historical, philosophical and religious studies","(CAH20-02-02) theology and religious studies","All","Main scheme applicant","Not main scheme application","90"
"2019","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","Main scheme applicant","Not main scheme application","5"
"2020","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","Main scheme applicant","Not main scheme application","5"
"2021","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","Main scheme applicant","Not main scheme application","5"
"2022","(CAH20) historical, philosophical and religious studies","(CAH20-01-04) heritage studies","All","Main scheme applicant","Not main scheme application","5"
"2019","(CAH11) computing","(CAH11-01-08) others in computing","All","Main scheme applicant","Not main scheme application","85"
"2020","(CAH11) computing","(CAH11-01-08) others in computing","All","Main scheme applicant","Not main scheme application","95"
"2021","(CAH11) computing","(CAH11-01-08) others in computing","All","Main scheme applicant","Not main scheme application","85"
"2022","(CAH11) computing","(CAH11-01-08) others in computing","All","Main scheme applicant","Not main scheme application","95"
"2023","(CAH11) computing","(CAH11-01-08) others in computing","All","Main scheme applicant","Not main scheme application","110"
"2019","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","Main scheme applicant","Not main scheme application","35"
"2020","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","Main scheme applicant","Not main scheme application","75"
"2021","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","Main scheme applicant","Not main scheme application","50"
"2022","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","Main scheme applicant","Not main scheme application","65"
"2023","(CAH11) computing","(CAH11-01-05) artificial intelligence","All","Main scheme applicant","Not main scheme application","115"
"2019","(CAH11) computing","(CAH11-01-07) business computing","All","Main scheme applicant","Not main scheme application","105"
"2020","(CAH11) computing","(CAH11-01-07) business computing","All","Main scheme applicant","Not main scheme application","145"
"2021","(CAH11) computing","(CAH11-01-07) business computing","All","Main scheme applicant","Not main scheme application","95"
"2022","(CAH11) computing","(CAH11-01-07) business computing","All","Main scheme applicant","Not main scheme application","125"
"2023","(CAH11) computing","(CAH11-01-07) business computing","All","Main scheme applicant","Not main scheme application","85"
"2019","(CAH11) computing","(CAH11-01-06) computer games and animation","All","Main scheme applicant","Not main scheme application","255"
"2020","(CAH11) computing","(CAH11-01-06) computer games and animation","All","Main scheme applicant","Not main scheme application","215"
"2021","(CAH11) computing","(CAH11-01-06) computer games and animation","All","Main scheme applicant","Not main scheme application","230"
"2022","(CAH11) computing","(CAH11-01-06) computer games and animation","All","Main scheme applicant","Not main scheme application","310"
"2023","(CAH11) computing","(CAH11-01-06) computer games and animation","All","Main scheme applicant","Not main scheme application","300"
"2019","(CAH11) computing","(CAH11-01-01) computer science","All","Main scheme applicant","Not main scheme application","1880"
"2020","(CAH11) computing","(CAH11-01-01) computer science","All","Main scheme applicant","Not main scheme application","2310"
"2021","(CAH11) computing","(CAH11-01-01) computer science","All","Main scheme applicant","Not main scheme application","1685"
"2022","(CAH11) computing","(CAH11-01-01) computer science","All","Main scheme applicant","Not main scheme application","2285"
"2023","(CAH11) computing","(CAH11-01-01) computer science","All","Main scheme applicant","Not main scheme application","2895"
"2019","(CAH11) computing","(CAH11-01-02) information technology","All","Main scheme applicant","Not main scheme application","110"
"2020","(CAH11) computing","(CAH11-01-02) information technology","All","Main scheme applicant","Not main scheme application","80"
"2021","(CAH11) computing","(CAH11-01-02) information technology","All","Main scheme applicant","Not main scheme application","85"
"2022","(CAH11) computing","(CAH11-01-02) information technology","All","Main scheme applicant","Not main scheme application","95"
"2023","(CAH11) computing","(CAH11-01-02) information technology","All","Main scheme applicant","Not main scheme application","110"
"2019","(CAH11) computing","(CAH11-01-03) information systems","All","Main scheme applicant","Not main scheme application","80"
"2020","(CAH11) computing","(CAH11-01-03) information systems","All","Main scheme applicant","Not main scheme application","85"
"2021","(CAH11) computing","(CAH11-01-03) information systems","All","Main scheme applicant","Not main scheme application","70"
"2022","(CAH11) computing","(CAH11-01-03) information systems","All","Main scheme applicant","Not main scheme application","130"
"2023","(CAH11) computing","(CAH11-01-03) information systems","All","Main scheme applicant","Not main scheme application","120"
"2019","(CAH11) computing","(CAH11-01-04) software engineering","All","Main scheme applicant","Not main scheme application","295"
"2020","(CAH11) computing","(CAH11-01-04) software engineering","All","Main scheme applicant","Not main scheme application","310"
"2021","(CAH11) computing","(CAH11-01-04) software engineering","All","Main scheme applicant","Not main scheme application","305"
"2022","(CAH11) computing","(CAH11-01-04) software engineering","All","Main scheme applicant","Not main scheme application","480"
"2023","(CAH11) computing","(CAH11-01-04) software engineering","All","Main scheme applicant","Not main scheme application","630"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Main scheme applicant","Not main scheme application","195"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Main scheme applicant","Not main scheme application","165"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Main scheme applicant","Not main scheme application","120"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Main scheme applicant","Not main scheme application","105"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-06) earth sciences","All","Main scheme applicant","Not main scheme application","120"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Main scheme applicant","Not main scheme application","190"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Main scheme applicant","Not main scheme application","170"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Main scheme applicant","Not main scheme application","140"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Main scheme applicant","Not main scheme application","175"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-04) environmental sciences","All","Main scheme applicant","Not main scheme application","165"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Main scheme applicant","Not main scheme application","240"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Main scheme applicant","Not main scheme application","285"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Main scheme applicant","Not main scheme application","170"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Main scheme applicant","Not main scheme application","190"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-02) physical geographical sciences","All","Main scheme applicant","Not main scheme application","225"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Main scheme applicant","Not main scheme application","130"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Main scheme applicant","Not main scheme application","125"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Main scheme applicant","Not main scheme application","50"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Main scheme applicant","Not main scheme application","95"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-01) geography (non-specific)","All","Main scheme applicant","Not main scheme application","160"
"2019","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Main scheme applicant","Not main scheme application","365"
"2020","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Main scheme applicant","Not main scheme application","415"
"2021","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Main scheme applicant","Not main scheme application","205"
"2022","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Main scheme applicant","Not main scheme application","265"
"2023","(CAH26) geography, earth and environmental studies","(CAH26-01-03) human geography","All","Main scheme applicant","Not main scheme application","265"
"2019","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Main scheme applicant","Not main scheme application","235"
"2020","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Main scheme applicant","Not main scheme application","190"
"2021","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Main scheme applicant","Not main scheme application","225"
"2022","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Main scheme applicant","Not main scheme application","200"
"2023","(CAH07) physical sciences","(CAH07-04-02) forensic and archaeological sciences","All","Main scheme applicant","Not main scheme application","210"
"2019","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Main scheme applicant","Not main scheme application","85"
"2020","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Main scheme applicant","Not main scheme application","95"
"2021","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Main scheme applicant","Not main scheme application","80"
"2022","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Main scheme applicant","Not main scheme application","200"
"2023","(CAH07) physical sciences","(CAH07-04-03) sciences (non-specific)","All","Main scheme applicant","Not main scheme application","225"
"2019","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Main scheme applicant","Not main scheme application","50"
"2020","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Main scheme applicant","Not main scheme application","60"
"2021","(CAH07) physical sciences","(CAH07-04-04) natural sciences (non-specific)","All","Main scheme applicant","Not main scheme application","30"
