"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","International","Not EU","Jordan","18","Female","10","0"," "
"2021","International","Not EU","Jordan","18","Female","5","5"," "
"2021","International","Not EU","Kenya","18","Female","5","5"," "
"2022","International","Not EU","Kenya","18","Female","15","5"," "
"2023","International","Not EU","Kenya","18","Female","15","0"," "
"2019","International","Not EU","Korea, Republic of","18","Female","5","0"," "
"2021","International","Not EU","Korea, Republic of","18","Female","5","0"," "
"2022","International","Not EU","Kuwait","18","Female","10","0"," "
"2023","International","Not EU","Kuwait","18","Female","10","5"," "
"2020","International","Not EU","Lao PDR","18","Female","5","0"," "
"2023","International","Not EU","Lebanon","18","Female","5","0"," "
"2021","International","Not EU","Lesotho","18","Female","5","0"," "
"2020","International","Not EU","Macao","18","Female","5","0"," "
"2019","International","Not EU","Madagascar","18","Female","5","0"," "
"2022","International","Not EU","Malawi","18","Female","5","0"," "
"2021","International","Not EU","Malaysia","18","Female","10","5"," "
"2022","International","Not EU","Malaysia","18","Female","5","0"," "
"2023","International","Not EU","Malaysia","18","Female","20","10","0.5"
"2019","International","Not EU","Mauritius","18","Female","5","5"," "
"2022","International","Not EU","Mexico","18","Female","5","0"," "
"2020","International","Not EU","Nepal","18","Female","5","0"," "
"2021","International","Not EU","Nepal","18","Female","10","0"," "
"2022","International","Not EU","Nepal","18","Female","5","0"," "
"2023","International","Not EU","Nepal","18","Female","10","0"," "
"2022","International","Not EU","New Zealand","18","Female","5","0"," "
"2019","International","Not EU","Nigeria","18","Female","35","10","0.28600000000000003"
"2020","International","Not EU","Nigeria","18","Female","50","15","0.3"
"2021","International","Not EU","Nigeria","18","Female","50","5"," "
"2022","International","Not EU","Nigeria","18","Female","190","35","0.17400000000000002"
"2023","International","Not EU","Nigeria","18","Female","250","30","0.124"
"2019","International","Not EU","Norway","18","Female","5","5"," "
"2020","International","Not EU","Norway","18","Female","10","5"," "
"2021","International","Not EU","Norway","18","Female","5","0"," "
"2023","International","Not EU","Norway","18","Female","5","0"," "
"2020","International","Not EU","Pakistan","18","Female","5","0"," "
"2021","International","Not EU","Pakistan","18","Female","5","0"," "
"2022","International","Not EU","Pakistan","18","Female","5","0"," "
"2023","International","Not EU","Pakistan","18","Female","5","5"," "
"2020","International","Not EU","Philippines","18","Female","5","0"," "
"2019","International","Not EU","Qatar","18","Female","5","0"," "
"2020","International","Not EU","Qatar","18","Female","10","5"," "
"2021","International","Not EU","Qatar","18","Female","5","0"," "
"2022","International","Not EU","Qatar","18","Female","5","0"," "
"2023","International","Not EU","Qatar","18","Female","5","0"," "
"2019","International","Not EU","Zimbabwe","18","Female","5","0"," "
"2021","International","Not EU","Zimbabwe","18","Female","20","0"," "
"2022","International","Not EU","Zimbabwe","18","Female","5","0"," "
"2023","International","Not EU","Zimbabwe","18","Female","5","0"," "
"2020","International","Not EU","Saint Vincent and the Grenadines","18","Female","5","0"," "
"2023","International","Not EU","Saint Vincent and the Grenadines","18","Female","5","0"," "
"2021","International","Not EU","Saudi Arabia","18","Female","5","5"," "
"2022","International","Not EU","Saudi Arabia","18","Female","10","0"," "
"2023","International","Not EU","Saudi Arabia","18","Female","5","0"," "
"2023","International","Not EU","Sierra Leone","18","Female","5","0"," "
"2019","International","Not EU","Singapore","18","Female","5","0"," "
"2020","International","Not EU","Singapore","18","Female","10","10"," "
"2023","International","Not EU","Singapore","18","Female","5","5"," "
"2020","International","Not EU","South Africa","18","Female","5","0"," "
"2021","International","Not EU","South Africa","18","Female","10","0"," "
"2022","International","Not EU","South Africa","18","Female","5","0"," "
"2023","International","Not EU","South Africa","18","Female","10","0"," "
"2019","International","Not EU","Switzerland","18","Female","15","10"," "
"2020","International","Not EU","Switzerland","18","Female","15","5"," "
"2021","International","Not EU","Switzerland","18","Female","5","0"," "
"2021","International","Not EU","Tanzania, United Republic of","18","Female","5","0"," "
"2019","International","Not EU","Thailand","18","Female","5","0"," "
"2022","International","Not EU","Thailand","18","Female","5","0"," "
"2023","International","Not EU","Thailand","18","Female","5","0"," "
"2019","International","Not EU","Trinidad and Tobago","18","Female","5","0"," "
"2019","International","Not EU","United Arab Emirates","18","Female","5","0"," "
