"Year","Difference between predicted and achieved BTEC Extended diploma points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","-5 points","Quintile 4","All","Main scheme application","70","35","0.5","0"
"2012","-5 points","Quintile 4","All","Main scheme application","50","20","0.34600000000000003","0"
"2013","-5 points","Quintile 4","All","Main scheme application","90","55","0.589","0"
"2014","-5 points","Quintile 4","All","Main scheme application","100","50","0.505","0"
"2015","-5 points","Quintile 4","All","Main scheme application","105","45","0.448","0"
"2016","-5 points","Quintile 4","All","Main scheme application","70","25","0.391","0"
"2017","-5 points","Quintile 4","All","Main scheme application","75","35","0.481","0"
"2018","-5 points","Quintile 4","All","Main scheme application","70","40","0.603","0"
"2019","-5 points","Quintile 4","All","Main scheme application","90","50","0.58","0"
"2020","-5 points","Quintile 4","All","Main scheme application","45","25","0.587","0"
"2021","-5 points","Quintile 4","All","Main scheme application","40","25","0.6","0"
"2022","-5 points","Quintile 4","All","Main scheme application","85","30","0.381","0"
"2023","-5 points","Quintile 4","All","Main scheme application","70","15","0.221","0"
"2010","-6 points","Quintile 4","All","Main scheme application","40","25","0.659","0"
"2011","-6 points","Quintile 4","All","Main scheme application","70","40","0.5710000000000001","0"
"2012","-6 points","Quintile 4","All","Main scheme application","55","25","0.444","0"
"2013","-6 points","Quintile 4","All","Main scheme application","45","30","0.609","0"
"2014","-6 points","Quintile 4","All","Main scheme application","75","40","0.562","0"
"2015","-6 points","Quintile 4","All","Main scheme application","80","45","0.577","0"
"2016","-6 points","Quintile 4","All","Main scheme application","55","25","0.491","0"
"2017","-6 points","Quintile 4","All","Main scheme application","55","25","0.426","0"
"2018","-6 points","Quintile 4","All","Main scheme application","55","30","0.604","0"
"2019","-6 points","Quintile 4","All","Main scheme application","60","25","0.443","0"
"2020","-6 points","Quintile 4","All","Main scheme application","35","20","0.618","0"
"2021","-6 points","Quintile 4","All","Main scheme application","35","15","0.424","0"
"2022","-6 points","Quintile 4","All","Main scheme application","65","25","0.34800000000000003","0"
"2023","-6 points","Quintile 4","All","Main scheme application","40","10","0.308","0"
"2010","Less than -6 points","Quintile 4","All","Main scheme application","45","25","0.628","0"
"2011","Less than -6 points","Quintile 4","All","Main scheme application","65","45","0.682","0"
"2012","Less than -6 points","Quintile 4","All","Main scheme application","65","50","0.727","0"
"2013","Less than -6 points","Quintile 4","All","Main scheme application","85","55","0.639","0"
"2014","Less than -6 points","Quintile 4","All","Main scheme application","120","70","0.588","0"
"2015","Less than -6 points","Quintile 4","All","Main scheme application","170","100","0.592","0"
"2016","Less than -6 points","Quintile 4","All","Main scheme application","110","55","0.518","0"
"2017","Less than -6 points","Quintile 4","All","Main scheme application","105","70","0.66","0"
"2018","Less than -6 points","Quintile 4","All","Main scheme application","120","75","0.617","0"
"2019","Less than -6 points","Quintile 4","All","Main scheme application","125","75","0.621","0"
"2020","Less than -6 points","Quintile 4","All","Main scheme application","60","45","0.733","0"
"2021","Less than -6 points","Quintile 4","All","Main scheme application","55","35","0.611","0"
"2022","Less than -6 points","Quintile 4","All","Main scheme application","95","45","0.47400000000000003","0"
"2023","Less than -6 points","Quintile 4","All","Main scheme application","65","40","0.619","0"
"2010","0 points","Quintile 5","All","Main scheme application","1525","1145","0.75","0"
"2011","0 points","Quintile 5","All","Main scheme application","1680","1270","0.754","0"
"2012","0 points","Quintile 5","All","Main scheme application","635","455","0.721","0"
"2013","0 points","Quintile 5","All","Main scheme application","1090","855","0.784","0"
"2014","0 points","Quintile 5","All","Main scheme application","1290","1000","0.773","0"
"2015","0 points","Quintile 5","All","Main scheme application","1565","1230","0.785","0"
"2016","0 points","Quintile 5","All","Main scheme application","1650","1270","0.772","0"
"2017","0 points","Quintile 5","All","Main scheme application","1660","1295","0.78","0"
"2018","0 points","Quintile 5","All","Main scheme application","1595","1235","0.774","0"
"2019","0 points","Quintile 5","All","Main scheme application","1450","1155","0.796","0"
"2020","0 points","Quintile 5","All","Main scheme application","1570","1275","0.812","0"
"2021","0 points","Quintile 5","All","Main scheme application","1960","1560","0.797","0"
"2022","0 points","Quintile 5","All","Main scheme application","1385","1040","0.748","0"
"2023","0 points","Quintile 5","All","Main scheme application","1265","950","0.752","0"
"2010","1 points","Quintile 5","All","Main scheme application","795","615","0.776","0"
"2011","1 points","Quintile 5","All","Main scheme application","795","640","0.805","0"
"2012","1 points","Quintile 5","All","Main scheme application","705","535","0.758","0"
"2013","1 points","Quintile 5","All","Main scheme application","655","515","0.788","0"
"2014","1 points","Quintile 5","All","Main scheme application","650","505","0.778","0"
"2015","1 points","Quintile 5","All","Main scheme application","820","665","0.812","0"
"2016","1 points","Quintile 5","All","Main scheme application","880","700","0.795","0"
"2017","1 points","Quintile 5","All","Main scheme application","880","700","0.797","0"
"2018","1 points","Quintile 5","All","Main scheme application","710","560","0.79","0"
"2019","1 points","Quintile 5","All","Main scheme application","700","550","0.781","0"
"2020","1 points","Quintile 5","All","Main scheme application","810","655","0.809","0"
"2021","1 points","Quintile 5","All","Main scheme application","970","765","0.789","0"
"2022","1 points","Quintile 5","All","Main scheme application","930","710","0.763","0"
"2023","1 points","Quintile 5","All","Main scheme application","855","655","0.766","0"
"2010","2 points","Quintile 5","All","Main scheme application","345","280","0.81","0"
"2011","2 points","Quintile 5","All","Main scheme application","350","280","0.807","0"
"2012","2 points","Quintile 5","All","Main scheme application","390","285","0.73","0"
"2013","2 points","Quintile 5","All","Main scheme application","430","330","0.774","0"
"2014","2 points","Quintile 5","All","Main scheme application","405","310","0.759","0"
"2015","2 points","Quintile 5","All","Main scheme application","460","365","0.788","0"
"2016","2 points","Quintile 5","All","Main scheme application","480","380","0.794","0"
"2017","2 points","Quintile 5","All","Main scheme application","410","320","0.777","0"
"2018","2 points","Quintile 5","All","Main scheme application","385","305","0.787","0"
"2019","2 points","Quintile 5","All","Main scheme application","320","245","0.774","0"
"2020","2 points","Quintile 5","All","Main scheme application","395","305","0.771","0"
"2021","2 points","Quintile 5","All","Main scheme application","460","365","0.801","0"
"2022","2 points","Quintile 5","All","Main scheme application","510","390","0.77","0"
"2023","2 points","Quintile 5","All","Main scheme application","405","315","0.783","0"
"2010","3 points","Quintile 5","All","Main scheme application","90","70","0.787","0"
"2011","3 points","Quintile 5","All","Main scheme application","90","70","0.756","0"
"2012","3 points","Quintile 5","All","Main scheme application","455","365","0.804","0"
"2013","3 points","Quintile 5","All","Main scheme application","380","290","0.768","0"
"2014","3 points","Quintile 5","All","Main scheme application","385","320","0.8220000000000001","0"
"2015","3 points","Quintile 5","All","Main scheme application","300","235","0.785","0"
"2016","3 points","Quintile 5","All","Main scheme application","250","200","0.799","0"
"2017","3 points","Quintile 5","All","Main scheme application","220","185","0.8280000000000001","0"
"2018","3 points","Quintile 5","All","Main scheme application","160","125","0.764","0"
"2019","3 points","Quintile 5","All","Main scheme application","135","115","0.853","0"
"2020","3 points","Quintile 5","All","Main scheme application","180","150","0.838","0"
"2021","3 points","Quintile 5","All","Main scheme application","220","175","0.796","0"
"2022","3 points","Quintile 5","All","Main scheme application","180","135","0.746","0"
"2023","3 points","Quintile 5","All","Main scheme application","115","85","0.735","0"
"2010","More than 3 points","Quintile 5","All","Main scheme application","30","20","0.625","0"
"2011","More than 3 points","Quintile 5","All","Main scheme application","20","15","0.75","0"
"2012","More than 3 points","Quintile 5","All","Main scheme application","115","85","0.73","0"
"2013","More than 3 points","Quintile 5","All","Main scheme application","110","85","0.782","0"
"2014","More than 3 points","Quintile 5","All","Main scheme application","105","85","0.792","0"
"2015","More than 3 points","Quintile 5","All","Main scheme application","95","75","0.8","0"
"2016","More than 3 points","Quintile 5","All","Main scheme application","55","45","0.839","0"
"2017","More than 3 points","Quintile 5","All","Main scheme application","60","40","0.683","0"
"2018","More than 3 points","Quintile 5","All","Main scheme application","40","35","0.8250000000000001","0"
"2019","More than 3 points","Quintile 5","All","Main scheme application","35","30","0.879","0"
"2020","More than 3 points","Quintile 5","All","Main scheme application","45","30","0.609","0"
"2021","More than 3 points","Quintile 5","All","Main scheme application","55","45","0.8","0"
"2022","More than 3 points","Quintile 5","All","Main scheme application","40","35","0.81","0"
"2023","More than 3 points","Quintile 5","All","Main scheme application","45","35","0.733","0"
"2010","-1 points","Quintile 5","All","Main scheme application","410","260","0.637","0"
"2011","-1 points","Quintile 5","All","Main scheme application","425","250","0.593","0"
"2012","-1 points","Quintile 5","All","Main scheme application","410","255","0.623","0"
"2013","-1 points","Quintile 5","All","Main scheme application","465","330","0.712","0"
"2014","-1 points","Quintile 5","All","Main scheme application","590","430","0.731","0"
"2015","-1 points","Quintile 5","All","Main scheme application","680","485","0.714","0"
"2016","-1 points","Quintile 5","All","Main scheme application","650","490","0.755","0"
"2017","-1 points","Quintile 5","All","Main scheme application","590","435","0.738","0"
"2018","-1 points","Quintile 5","All","Main scheme application","590","460","0.779","0"
"2019","-1 points","Quintile 5","All","Main scheme application","650","480","0.739","0"
"2020","-1 points","Quintile 5","All","Main scheme application","590","475","0.801","0"
"2021","-1 points","Quintile 5","All","Main scheme application","720","550","0.765","0"
"2022","-1 points","Quintile 5","All","Main scheme application","825","595","0.718","0"
"2023","-1 points","Quintile 5","All","Main scheme application","745","515","0.6910000000000001","0"
"2010","-2 points","Quintile 5","All","Main scheme application","200","105","0.533","0"
"2011","-2 points","Quintile 5","All","Main scheme application","195","90","0.447","0"
"2012","-2 points","Quintile 5","All","Main scheme application","205","95","0.47300000000000003","0"
"2013","-2 points","Quintile 5","All","Main scheme application","240","150","0.633","0"
"2014","-2 points","Quintile 5","All","Main scheme application","265","160","0.594","0"
"2015","-2 points","Quintile 5","All","Main scheme application","350","225","0.645","0"
"2016","-2 points","Quintile 5","All","Main scheme application","355","220","0.618","0"
"2017","-2 points","Quintile 5","All","Main scheme application","260","180","0.6960000000000001","0"
"2018","-2 points","Quintile 5","All","Main scheme application","300","205","0.677","0"
"2019","-2 points","Quintile 5","All","Main scheme application","305","230","0.749","0"
"2020","-2 points","Quintile 5","All","Main scheme application","295","225","0.764","0"
"2021","-2 points","Quintile 5","All","Main scheme application","350","235","0.676","0"
"2022","-2 points","Quintile 5","All","Main scheme application","435","275","0.628","0"
"2023","-2 points","Quintile 5","All","Main scheme application","400","235","0.582","0"
"2010","-3 points","Quintile 5","All","Main scheme application","100","35","0.356","0"
"2011","-3 points","Quintile 5","All","Main scheme application","75","25","0.338","0"
"2012","-3 points","Quintile 5","All","Main scheme application","120","45","0.38","0"
"2013","-3 points","Quintile 5","All","Main scheme application","140","75","0.521","0"
"2014","-3 points","Quintile 5","All","Main scheme application","140","80","0.586","0"
"2015","-3 points","Quintile 5","All","Main scheme application","180","115","0.641","0"
"2016","-3 points","Quintile 5","All","Main scheme application","155","85","0.5690000000000001","0"
"2017","-3 points","Quintile 5","All","Main scheme application","135","75","0.552","0"
"2018","-3 points","Quintile 5","All","Main scheme application","140","100","0.717","0"
"2019","-3 points","Quintile 5","All","Main scheme application","150","100","0.656","0"
"2020","-3 points","Quintile 5","All","Main scheme application","160","120","0.733","0"
"2021","-3 points","Quintile 5","All","Main scheme application","195","110","0.5640000000000001","0"
"2022","-3 points","Quintile 5","All","Main scheme application","195","120","0.599","0"
"2023","-3 points","Quintile 5","All","Main scheme application","175","95","0.548","0"
"2010","-4 points","Quintile 5","All","Main scheme application","60","30","0.517","0"
"2011","-4 points","Quintile 5","All","Main scheme application","85","35","0.402","0"
"2012","-4 points","Quintile 5","All","Main scheme application","85","20","0.259","0"
"2013","-4 points","Quintile 5","All","Main scheme application","75","40","0.553","0"
"2014","-4 points","Quintile 5","All","Main scheme application","90","40","0.457","0"
"2015","-4 points","Quintile 5","All","Main scheme application","110","50","0.459","0"
"2016","-4 points","Quintile 5","All","Main scheme application","85","40","0.47100000000000003","0"
"2017","-4 points","Quintile 5","All","Main scheme application","75","45","0.558","0"
"2018","-4 points","Quintile 5","All","Main scheme application","100","60","0.614","0"
"2019","-4 points","Quintile 5","All","Main scheme application","90","55","0.622","0"
"2020","-4 points","Quintile 5","All","Main scheme application","90","60","0.674","0"
"2021","-4 points","Quintile 5","All","Main scheme application","100","55","0.5760000000000001","0"
"2022","-4 points","Quintile 5","All","Main scheme application","110","55","0.486","0"
"2023","-4 points","Quintile 5","All","Main scheme application","100","40","0.429","0"
"2010","-5 points","Quintile 5","All","Main scheme application","40","15","0.447","0"
"2011","-5 points","Quintile 5","All","Main scheme application","40","20","0.47500000000000003","0"
"2012","-5 points","Quintile 5","All","Main scheme application","50","20","0.38","0"
"2013","-5 points","Quintile 5","All","Main scheme application","50","25","0.51","0"
"2014","-5 points","Quintile 5","All","Main scheme application","55","20","0.375","0"
"2015","-5 points","Quintile 5","All","Main scheme application","55","30","0.5740000000000001","0"
"2016","-5 points","Quintile 5","All","Main scheme application","60","35","0.5690000000000001","0"
"2017","-5 points","Quintile 5","All","Main scheme application","55","25","0.482","0"
"2018","-5 points","Quintile 5","All","Main scheme application","65","35","0.5710000000000001","0"
"2019","-5 points","Quintile 5","All","Main scheme application","45","25","0.5650000000000001","0"
"2020","-5 points","Quintile 5","All","Main scheme application","50","30","0.612","0"
"2021","-5 points","Quintile 5","All","Main scheme application","45","30","0.622","0"
"2022","-5 points","Quintile 5","All","Main scheme application","80","40","0.526","0"
"2023","-5 points","Quintile 5","All","Main scheme application","45","15","0.395","0"
"2010","-6 points","Quintile 5","All","Main scheme application","35","20","0.606","0"
"2011","-6 points","Quintile 5","All","Main scheme application","40","25","0.595","0"
"2012","-6 points","Quintile 5","All","Main scheme application","35","20","0.486","0"
"2013","-6 points","Quintile 5","All","Main scheme application","35","20","0.514","0"
"2014","-6 points","Quintile 5","All","Main scheme application","60","30","0.517","0"
"2015","-6 points","Quintile 5","All","Main scheme application","45","25","0.543","0"
"2016","-6 points","Quintile 5","All","Main scheme application","40","20","0.47500000000000003","0"
"2017","-6 points","Quintile 5","All","Main scheme application","40","20","0.5","0"
"2018","-6 points","Quintile 5","All","Main scheme application","45","25","0.5680000000000001","0"
"2019","-6 points","Quintile 5","All","Main scheme application","45","20","0.47700000000000004","0"
"2020","-6 points","Quintile 5","All","Main scheme application","20","10","0.667","0"
"2021","-6 points","Quintile 5","All","Main scheme application","25","10"," ","0"
"2022","-6 points","Quintile 5","All","Main scheme application","40","20","0.5","0"
"2023","-6 points","Quintile 5","All","Main scheme application","20","10"," ","0"
"2010","Less than -6 points","Quintile 5","All","Main scheme application","25","25","0.852","0"
"2011","Less than -6 points","Quintile 5","All","Main scheme application","55","35","0.685","0"
"2012","Less than -6 points","Quintile 5","All","Main scheme application","70","45","0.614","0"
"2013","Less than -6 points","Quintile 5","All","Main scheme application","75","40","0.513","0"
"2014","Less than -6 points","Quintile 5","All","Main scheme application","95","60","0.634","0"
"2015","Less than -6 points","Quintile 5","All","Main scheme application","105","60","0.5750000000000001","0"
"2016","Less than -6 points","Quintile 5","All","Main scheme application","100","60","0.616","0"
"2017","Less than -6 points","Quintile 5","All","Main scheme application","95","55","0.594","0"
"2018","Less than -6 points","Quintile 5","All","Main scheme application","75","50","0.658","0"
"2019","Less than -6 points","Quintile 5","All","Main scheme application","105","65","0.604","0"
"2020","Less than -6 points","Quintile 5","All","Main scheme application","55","40","0.722","0"
"2021","Less than -6 points","Quintile 5","All","Main scheme application","35","20","0.611","0"
"2022","Less than -6 points","Quintile 5","All","Main scheme application","90","45","0.511","0"
"2023","Less than -6 points","Quintile 5","All","Main scheme application","50","30","0.592","0"
"2014","All","Unknown","All","Not main scheme application","5","0"," ","0"
"2021","All","Unknown","All","Not main scheme application","5","5"," ","0"
"2010","All","Quintile 1","All","Not main scheme application","205","150","0.733","5"
"2011","All","Quintile 1","All","Not main scheme application","330","230","0.6960000000000001","5"
"2012","All","Quintile 1","All","Not main scheme application","300","220","0.724","0"
"2013","All","Quintile 1","All","Not main scheme application","320","250","0.783","5"
"2014","All","Quintile 1","All","Not main scheme application","355","270","0.771","5"
"2015","All","Quintile 1","All","Not main scheme application","445","350","0.781","5"
"2016","All","Quintile 1","All","Not main scheme application","375","295","0.789","5"
"2017","All","Quintile 1","All","Not main scheme application","325","275","0.846","5"
"2018","All","Quintile 1","All","Not main scheme application","300","260","0.869","5"
"2019","All","Quintile 1","All","Not main scheme application","260","235","0.901","0"
"2020","All","Quintile 1","All","Not main scheme application","295","260","0.891","5"
"2021","All","Quintile 1","All","Not main scheme application","350","300","0.868","10"
"2022","All","Quintile 1","All","Not main scheme application","390","335","0.849","5"
"2023","All","Quintile 1","All","Not main scheme application","345","305","0.895","5"
"2010","All","Quintile 2","All","Not main scheme application","265","195","0.735","5"
"2011","All","Quintile 2","All","Not main scheme application","355","260","0.733","0"
"2012","All","Quintile 2","All","Not main scheme application","340","260","0.759","5"
"2013","All","Quintile 2","All","Not main scheme application","365","285","0.773","0"
"2014","All","Quintile 2","All","Not main scheme application","415","310","0.753","5"
"2015","All","Quintile 2","All","Not main scheme application","490","400","0.8200000000000001","5"
"2016","All","Quintile 2","All","Not main scheme application","480","380","0.797","5"
"2017","All","Quintile 2","All","Not main scheme application","380","330","0.861","5"
"2018","All","Quintile 2","All","Not main scheme application","360","320","0.886","0"
"2019","All","Quintile 2","All","Not main scheme application","345","305","0.886","5"
"2020","All","Quintile 2","All","Not main scheme application","365","325","0.891","0"
"2021","All","Quintile 2","All","Not main scheme application","495","440","0.881","5"
"2022","All","Quintile 2","All","Not main scheme application","460","390","0.843","5"
"2023","All","Quintile 2","All","Not main scheme application","410","370","0.907","5"
"2010","All","Quintile 3","All","Not main scheme application","285","215","0.748","5"
"2011","All","Quintile 3","All","Not main scheme application","360","265","0.738","5"
"2012","All","Quintile 3","All","Not main scheme application","380","300","0.784","5"
"2013","All","Quintile 3","All","Not main scheme application","400","330","0.8290000000000001","0"
"2014","All","Quintile 3","All","Not main scheme application","450","360","0.798","5"
"2015","All","Quintile 3","All","Not main scheme application","610","510","0.8320000000000001","5"
"2016","All","Quintile 3","All","Not main scheme application","590","485","0.8250000000000001","5"
"2017","All","Quintile 3","All","Not main scheme application","475","405","0.853","0"
"2018","All","Quintile 3","All","Not main scheme application","415","385","0.925","5"
"2019","All","Quintile 3","All","Not main scheme application","475","425","0.903","0"
"2020","All","Quintile 3","All","Not main scheme application","495","460","0.923","5"
"2021","All","Quintile 3","All","Not main scheme application","540","485","0.9","0"
"2022","All","Quintile 3","All","Not main scheme application","620","545","0.876","5"
"2023","All","Quintile 3","All","Not main scheme application","565","495","0.876","5"
"2010","All","Quintile 4","All","Not main scheme application","300","235","0.772","0"
"2011","All","Quintile 4","All","Not main scheme application","440","330","0.744","5"
"2012","All","Quintile 4","All","Not main scheme application","445","360","0.801","5"
"2013","All","Quintile 4","All","Not main scheme application","520","435","0.8310000000000001","0"
"2014","All","Quintile 4","All","Not main scheme application","610","510","0.833","5"
"2015","All","Quintile 4","All","Not main scheme application","680","580","0.853","5"
"2016","All","Quintile 4","All","Not main scheme application","635","540","0.846","0"
"2017","All","Quintile 4","All","Not main scheme application","570","510","0.891","5"
"2018","All","Quintile 4","All","Not main scheme application","510","460","0.904","5"
"2019","All","Quintile 4","All","Not main scheme application","515","470","0.914","5"
"2020","All","Quintile 4","All","Not main scheme application","565","515","0.91","5"
"2021","All","Quintile 4","All","Not main scheme application","740","665","0.904","5"
"2022","All","Quintile 4","All","Not main scheme application","695","615","0.882","5"
"2023","All","Quintile 4","All","Not main scheme application","620","570","0.926","5"
"2010","All","Quintile 5","All","Not main scheme application","240","165","0.683","0"
"2011","All","Quintile 5","All","Not main scheme application","335","250","0.745","5"
"2012","All","Quintile 5","All","Not main scheme application","305","245","0.809","0"
"2013","All","Quintile 5","All","Not main scheme application","315","255","0.8210000000000001","0"
"2014","All","Quintile 5","All","Not main scheme application","370","320","0.864","5"
"2015","All","Quintile 5","All","Not main scheme application","410","340","0.836","5"
"2016","All","Quintile 5","All","Not main scheme application","455","395","0.874","0"
"2017","All","Quintile 5","All","Not main scheme application","370","330","0.894","0"
"2018","All","Quintile 5","All","Not main scheme application","365","325","0.886","0"
"2019","All","Quintile 5","All","Not main scheme application","345","315","0.905","0"
"2020","All","Quintile 5","All","Not main scheme application","395","370","0.927","5"
"2021","All","Quintile 5","All","Not main scheme application","490","445","0.91","0"
"2022","All","Quintile 5","All","Not main scheme application","495","435","0.881","0"
"2023","All","Quintile 5","All","Not main scheme application","450","410","0.907","0"
"2010","All","Unknown","All","Main scheme application","25","15","0.6960000000000001","0"
"2011","All","Unknown","All","Main scheme application","25","15","0.708","0"
"2012","All","Unknown","All","Main scheme application","25","20","0.769","0"
"2013","All","Unknown","All","Main scheme application","30","25","0.857","0"
"2014","All","Unknown","All","Main scheme application","25","15","0.577","0"
"2015","All","Unknown","All","Main scheme application","30","25","0.929","0"
"2016","All","Unknown","All","Main scheme application","20","15","0.684","0"
"2017","All","Unknown","All","Main scheme application","20","20","0.905","0"
"2018","All","Unknown","All","Main scheme application","30","25","0.893","0"
"2019","All","Unknown","All","Main scheme application","20","15","0.727","0"
"2020","All","Unknown","All","Main scheme application","20","15","0.737","0"
"2021","All","Unknown","All","Main scheme application","20","15","0.667","0"
"2022","All","Unknown","All","Main scheme application","5","5"," ","0"
"2023","All","Unknown","All","Main scheme application","5","5"," ","0"
"2010","All","Quintile 1","All","Main scheme application","3595","2465","0.685","0"
"2011","All","Quintile 1","All","Main scheme application","4005","2685","0.671","0"
"2012","All","Quintile 1","All","Main scheme application","3545","2440","0.6880000000000001","0"
"2013","All","Quintile 1","All","Main scheme application","3850","2685","0.6970000000000001","0"
"2014","All","Quintile 1","All","Main scheme application","4585","3335","0.727","0"
"2015","All","Quintile 1","All","Main scheme application","5190","3735","0.72","0"
"2016","All","Quintile 1","All","Main scheme application","4780","3560","0.744","0"
"2017","All","Quintile 1","All","Main scheme application","4325","3310","0.766","0"
"2018","All","Quintile 1","All","Main scheme application","4175","3200","0.767","0"
"2019","All","Quintile 1","All","Main scheme application","3790","2925","0.771","0"
"2020","All","Quintile 1","All","Main scheme application","3995","3170","0.793","0"
"2021","All","Quintile 1","All","Main scheme application","4435","3370","0.76","0"
"2022","All","Quintile 1","All","Main scheme application","4315","3085","0.714","0"
"2023","All","Quintile 1","All","Main scheme application","3775","2715","0.719","0"
"2010","All","Quintile 2","All","Main scheme application","4295","3025","0.704","0"
"2011","All","Quintile 2","All","Main scheme application","4640","3240","0.6980000000000001","0"
"2012","All","Quintile 2","All","Main scheme application","4035","2840","0.704","0"
"2013","All","Quintile 2","All","Main scheme application","4530","3315","0.731","0"
"2014","All","Quintile 2","All","Main scheme application","5260","3900","0.741","0"
"2015","All","Quintile 2","All","Main scheme application","5855","4280","0.731","0"
"2016","All","Quintile 2","All","Main scheme application","5495","4055","0.738","0"
"2017","All","Quintile 2","All","Main scheme application","4930","3745","0.76","0"
"2018","All","Quintile 2","All","Main scheme application","4560","3500","0.768","0"
"2019","All","Quintile 2","All","Main scheme application","4325","3305","0.764","0"
"2020","All","Quintile 2","All","Main scheme application","4695","3750","0.798","0"
"2021","All","Quintile 2","All","Main scheme application","5140","3835","0.747","0"
"2022","All","Quintile 2","All","Main scheme application","4715","3320","0.704","0"
"2023","All","Quintile 2","All","Main scheme application","4340","3100","0.714","0"
"2010","All","Quintile 3","All","Main scheme application","4400","3085","0.7010000000000001","0"
"2011","All","Quintile 3","All","Main scheme application","4495","3160","0.7030000000000001","0"
"2012","All","Quintile 3","All","Main scheme application","4040","2775","0.687","0"
"2013","All","Quintile 3","All","Main scheme application","4440","3205","0.721","0"
"2014","All","Quintile 3","All","Main scheme application","5090","3665","0.72","0"
"2015","All","Quintile 3","All","Main scheme application","5795","4230","0.73","0"
"2016","All","Quintile 3","All","Main scheme application","5645","4120","0.729","0"
"2017","All","Quintile 3","All","Main scheme application","5305","4015","0.757","0"
"2018","All","Quintile 3","All","Main scheme application","4975","3805","0.765","0"
"2019","All","Quintile 3","All","Main scheme application","4770","3595","0.753","0"
"2020","All","Quintile 3","All","Main scheme application","5130","4050","0.79","0"
"2021","All","Quintile 3","All","Main scheme application","5815","4385","0.755","0"
"2022","All","Quintile 3","All","Main scheme application","5605","3910","0.6980000000000001","0"
"2023","All","Quintile 3","All","Main scheme application","4870","3430","0.704","0"
"2010","All","Quintile 4","All","Main scheme application","4360","3075","0.706","0"
"2011","All","Quintile 4","All","Main scheme application","4790","3365","0.7030000000000001","0"
"2012","All","Quintile 4","All","Main scheme application","4115","2795","0.679","0"
"2013","All","Quintile 4","All","Main scheme application","4815","3420","0.71","0"
"2014","All","Quintile 4","All","Main scheme application","5540","3945","0.712","0"
"2015","All","Quintile 4","All","Main scheme application","6175","4470","0.724","0"
"2016","All","Quintile 4","All","Main scheme application","5845","4330","0.741","0"
"2017","All","Quintile 4","All","Main scheme application","5600","4175","0.746","0"
"2018","All","Quintile 4","All","Main scheme application","5390","4065","0.754","0"
"2019","All","Quintile 4","All","Main scheme application","5145","3895","0.757","0"
"2020","All","Quintile 4","All","Main scheme application","5435","4285","0.789","0"
"2021","All","Quintile 4","All","Main scheme application","6105","4515","0.739","0"
"2022","All","Quintile 4","All","Main scheme application","5610","3920","0.6990000000000001","0"
"2023","All","Quintile 4","All","Main scheme application","5120","3585","0.7010000000000001","0"
"2010","All","Quintile 5","All","Main scheme application","3650","2625","0.718","0"
"2011","All","Quintile 5","All","Main scheme application","3855","2755","0.714","0"
"2012","All","Quintile 5","All","Main scheme application","3275","2225","0.679","0"
"2013","All","Quintile 5","All","Main scheme application","3750","2765","0.737","0"
"2014","All","Quintile 5","All","Main scheme application","4140","3040","0.734","0"
"2015","All","Quintile 5","All","Main scheme application","4775","3570","0.748","0"
"2016","All","Quintile 5","All","Main scheme application","4755","3550","0.747","0"
"2017","All","Quintile 5","All","Main scheme application","4485","3375","0.753","0"
"2018","All","Quintile 5","All","Main scheme application","4205","3190","0.759","0"
"2019","All","Quintile 5","All","Main scheme application","4035","3070","0.761","0"
"2020","All","Quintile 5","All","Main scheme application","4260","3375","0.792","0"
"2021","All","Quintile 5","All","Main scheme application","5130","3925","0.765","0"
"2022","All","Quintile 5","All","Main scheme application","4825","3455","0.716","0"
"2023","All","Quintile 5","All","Main scheme application","4220","2985","0.707","0"
"2010","0 points","All","All","Not main scheme application","510","375","0.741","10"
"2011","0 points","All","All","Not main scheme application","680","495","0.727","15"
"2012","0 points","All","All","Not main scheme application","330","260","0.787","0"
"2013","0 points","All","All","Not main scheme application","455","370","0.8130000000000001","0"
"2014","0 points","All","All","Not main scheme application","550","425","0.772","0"
"2015","0 points","All","All","Not main scheme application","720","585","0.812","0"
"2016","0 points","All","All","Not main scheme application","705","580","0.8220000000000001","0"
"2017","0 points","All","All","Not main scheme application","610","535","0.879","0"
"2018","0 points","All","All","Not main scheme application","605","540","0.897","0"
"2019","0 points","All","All","Not main scheme application","530","475","0.893","0"
"2020","0 points","All","All","Not main scheme application","605","555","0.922","0"
"2021","0 points","All","All","Not main scheme application","750","665","0.888","0"
"2022","0 points","All","All","Not main scheme application","650","580","0.889","0"
"2023","0 points","All","All","Not main scheme application","620","565","0.916","0"
"2010","1 points","All","All","Not main scheme application","240","185","0.766","0"
"2011","1 points","All","All","Not main scheme application","325","245","0.753","0"
"2012","1 points","All","All","Not main scheme application","315","255","0.798","0"
"2013","1 points","All","All","Not main scheme application","275","225","0.8190000000000001","0"
"2014","1 points","All","All","Not main scheme application","270","215","0.79","0"
"2015","1 points","All","All","Not main scheme application","350","295","0.846","0"
"2016","1 points","All","All","Not main scheme application","400","340","0.845","0"
"2017","1 points","All","All","Not main scheme application","380","340","0.887","0"
"2018","1 points","All","All","Not main scheme application","305","280","0.919","0"
"2019","1 points","All","All","Not main scheme application","315","295","0.937","0"
