"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","Mixed","20","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2021","Other","20","England","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Other","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Other","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Unknown or Prefer Not To Say","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Unknown or Prefer Not To Say","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Unknown or Prefer Not To Say","20","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Unknown or Prefer Not To Say","20","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.846"
"2019","White","21 - 24","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","200","185","0.9400000000000001"
"2020","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","295","255","0.858"
"2021","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","110","95","0.861"
"2022","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","170","140","0.8250000000000001"
"2023","White","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","165","135","0.8290000000000001"
"2019","White","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","25","15","0.708"
"2020","White","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","35","30","0.838"
"2021","White","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","55","40","0.727"
"2023","White","21 - 24","Scotland","Female","Not main scheme applicant","Not main scheme application","55","50","0.907"
"2019","White","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","White","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","20","15","0.789"
"2021","White","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","15","10","0.714"
"2022","White","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2023","White","21 - 24","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","Black","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","85","75","0.849"
"2020","Black","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","70","55","0.792"
"2021","Black","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","40","25","0.659"
"2022","Black","21 - 24","England","Female","Not main scheme applicant","Not main scheme application","90","65","0.725"
