"Year","Achieved A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2016","3 point(s)","Asian","Main scheme applicant","Not main scheme application","20","20","0.864","0"
"2017","3 point(s)","Asian","Main scheme applicant","Not main scheme application","25","25","1","0"
"2018","3 point(s)","Asian","Main scheme applicant","Not main scheme application","25","20","0.917","0"
"2019","3 point(s)","Asian","Main scheme applicant","Not main scheme application","50","40","0.857","0"
"2020","3 point(s)","Asian","Main scheme applicant","Not main scheme application","20","15","0.842","0"
"2021","3 point(s)","Asian","Main scheme applicant","Not main scheme application","35","30","0.882","0"
"2022","3 point(s)","Asian","Main scheme applicant","Not main scheme application","50","45","0.904","0"
"2023","3 point(s)","Asian","Main scheme applicant","Not main scheme application","95","85","0.885","0"
"2010","4 point(s)","Asian","Main scheme applicant","Not main scheme application","75","60","0.8160000000000001","0"
"2011","4 point(s)","Asian","Main scheme applicant","Not main scheme application","95","80","0.845","0"
"2012","4 point(s)","Asian","Main scheme applicant","Not main scheme application","60","50","0.847","0"
"2013","4 point(s)","Asian","Main scheme applicant","Not main scheme application","70","65","0.9","0"
"2014","4 point(s)","Asian","Main scheme applicant","Not main scheme application","65","60","0.9380000000000001","0"
"2015","4 point(s)","Asian","Main scheme applicant","Not main scheme application","80","75","0.9380000000000001","0"
"2016","4 point(s)","Asian","Main scheme applicant","Not main scheme application","85","75","0.904","0"
"2017","4 point(s)","Asian","Main scheme applicant","Not main scheme application","80","75","0.913","0"
"2018","4 point(s)","Asian","Main scheme applicant","Not main scheme application","95","90","0.926","0"
"2019","4 point(s)","Asian","Main scheme applicant","Not main scheme application","160","150","0.9440000000000001","0"
"2020","4 point(s)","Asian","Main scheme applicant","Not main scheme application","60","55","0.919","0"
"2021","4 point(s)","Asian","Main scheme applicant","Not main scheme application","85","75","0.885","0"
"2022","4 point(s)","Asian","Main scheme applicant","Not main scheme application","125","115","0.919","0"
"2023","4 point(s)","Asian","Main scheme applicant","Not main scheme application","210","190","0.9","0"
"2010","5 point(s)","Asian","Main scheme applicant","Not main scheme application","170","145","0.858","0"
"2011","5 point(s)","Asian","Main scheme applicant","Not main scheme application","190","160","0.84","0"
"2012","5 point(s)","Asian","Main scheme applicant","Not main scheme application","160","145","0.899","0"
"2013","5 point(s)","Asian","Main scheme applicant","Not main scheme application","135","125","0.912","0"
"2014","5 point(s)","Asian","Main scheme applicant","Not main scheme application","165","145","0.884","0"
"2015","5 point(s)","Asian","Main scheme applicant","Not main scheme application","165","145","0.886","0"
"2016","5 point(s)","Asian","Main scheme applicant","Not main scheme application","150","135","0.919","0"
"2017","5 point(s)","Asian","Main scheme applicant","Not main scheme application","200","180","0.89","0"
"2018","5 point(s)","Asian","Main scheme applicant","Not main scheme application","240","220","0.92","0"
"2019","5 point(s)","Asian","Main scheme applicant","Not main scheme application","275","250","0.895","0"
"2020","5 point(s)","Asian","Main scheme applicant","Not main scheme application","130","115","0.907","0"
"2021","5 point(s)","Asian","Main scheme applicant","Not main scheme application","130","125","0.932","0"
"2022","5 point(s)","Asian","Main scheme applicant","Not main scheme application","240","225","0.9540000000000001","0"
"2023","5 point(s)","Asian","Main scheme applicant","Not main scheme application","435","400","0.92","0"
"2010","6 point(s)","Asian","Main scheme applicant","Not main scheme application","250","225","0.885","0"
"2011","6 point(s)","Asian","Main scheme applicant","Not main scheme application","340","300","0.874","0"
"2012","6 point(s)","Asian","Main scheme applicant","Not main scheme application","270","245","0.901","0"
"2013","6 point(s)","Asian","Main scheme applicant","Not main scheme application","245","225","0.907","0"
"2014","6 point(s)","Asian","Main scheme applicant","Not main scheme application","300","275","0.917","0"
"2015","6 point(s)","Asian","Main scheme applicant","Not main scheme application","260","245","0.935","0"
"2016","6 point(s)","Asian","Main scheme applicant","Not main scheme application","295","280","0.9390000000000001","0"
"2017","6 point(s)","Asian","Main scheme applicant","Not main scheme application","325","300","0.917","0"
"2018","6 point(s)","Asian","Main scheme applicant","Not main scheme application","315","300","0.9430000000000001","0"
"2019","6 point(s)","Asian","Main scheme applicant","Not main scheme application","460","425","0.928","0"
"2020","6 point(s)","Asian","Main scheme applicant","Not main scheme application","210","190","0.91","0"
"2021","6 point(s)","Asian","Main scheme applicant","Not main scheme application","220","200","0.918","0"
"2022","6 point(s)","Asian","Main scheme applicant","Not main scheme application","420","385","0.917","0"
"2023","6 point(s)","Asian","Main scheme applicant","Not main scheme application","615","550","0.89","0"
"2010","7 point(s)","Asian","Main scheme applicant","Not main scheme application","340","310","0.909","0"
"2011","7 point(s)","Asian","Main scheme applicant","Not main scheme application","430","380","0.888","0"
"2012","7 point(s)","Asian","Main scheme applicant","Not main scheme application","360","325","0.906","0"
"2013","7 point(s)","Asian","Main scheme applicant","Not main scheme application","325","300","0.917","0"
"2014","7 point(s)","Asian","Main scheme applicant","Not main scheme application","370","335","0.902","0"
"2015","7 point(s)","Asian","Main scheme applicant","Not main scheme application","430","390","0.907","0"
"2016","7 point(s)","Asian","Main scheme applicant","Not main scheme application","415","385","0.923","0"
"2017","7 point(s)","Asian","Main scheme applicant","Not main scheme application","415","390","0.9450000000000001","0"
"2018","7 point(s)","Asian","Main scheme applicant","Not main scheme application","465","440","0.9440000000000001","0"
"2019","7 point(s)","Asian","Main scheme applicant","Not main scheme application","575","535","0.927","0"
"2020","7 point(s)","Asian","Main scheme applicant","Not main scheme application","375","350","0.936","0"
"2021","7 point(s)","Asian","Main scheme applicant","Not main scheme application","290","275","0.9510000000000001","0"
"2022","7 point(s)","Asian","Main scheme applicant","Not main scheme application","495","455","0.911","0"
"2023","7 point(s)","Asian","Main scheme applicant","Not main scheme application","740","690","0.931","0"
"2010","8 point(s)","Asian","Main scheme applicant","Not main scheme application","410","370","0.898","0"
"2011","8 point(s)","Asian","Main scheme applicant","Not main scheme application","455","405","0.884","0"
"2012","8 point(s)","Asian","Main scheme applicant","Not main scheme application","445","400","0.896","0"
"2013","8 point(s)","Asian","Main scheme applicant","Not main scheme application","345","320","0.919","0"
"2014","8 point(s)","Asian","Main scheme applicant","Not main scheme application","460","415","0.904","0"
"2015","8 point(s)","Asian","Main scheme applicant","Not main scheme application","490","460","0.937","0"
"2016","8 point(s)","Asian","Main scheme applicant","Not main scheme application","535","500","0.933","0"
"2017","8 point(s)","Asian","Main scheme applicant","Not main scheme application","595","565","0.9450000000000001","0"
"2018","8 point(s)","Asian","Main scheme applicant","Not main scheme application","595","560","0.9450000000000001","0"
"2019","8 point(s)","Asian","Main scheme applicant","Not main scheme application","780","735","0.9400000000000001","0"
"2020","8 point(s)","Asian","Main scheme applicant","Not main scheme application","555","515","0.93","0"
"2021","8 point(s)","Asian","Main scheme applicant","Not main scheme application","435","415","0.9540000000000001","0"
"2022","8 point(s)","Asian","Main scheme applicant","Not main scheme application","735","675","0.916","0"
"2023","8 point(s)","Asian","Main scheme applicant","Not main scheme application","910","845","0.926","0"
"2010","9 point(s)","Asian","Main scheme applicant","Not main scheme application","420","375","0.892","0"
"2011","9 point(s)","Asian","Main scheme applicant","Not main scheme application","520","475","0.912","0"
"2012","9 point(s)","Asian","Main scheme applicant","Not main scheme application","435","400","0.926","0"
"2013","9 point(s)","Asian","Main scheme applicant","Not main scheme application","420","380","0.907","0"
"2014","9 point(s)","Asian","Main scheme applicant","Not main scheme application","490","455","0.928","0"
"2015","9 point(s)","Asian","Main scheme applicant","Not main scheme application","530","495","0.9380000000000001","0"
"2016","9 point(s)","Asian","Main scheme applicant","Not main scheme application","620","585","0.9410000000000001","0"
"2017","9 point(s)","Asian","Main scheme applicant","Not main scheme application","660","620","0.9380000000000001","0"
"2018","9 point(s)","Asian","Main scheme applicant","Not main scheme application","670","640","0.9580000000000001","0"
"2019","9 point(s)","Asian","Main scheme applicant","Not main scheme application","835","780","0.937","0"
"2020","9 point(s)","Asian","Main scheme applicant","Not main scheme application","705","670","0.9460000000000001","0"
"2021","9 point(s)","Asian","Main scheme applicant","Not main scheme application","570","545","0.961","0"
"2022","9 point(s)","Asian","Main scheme applicant","Not main scheme application","780","730","0.934","0"
"2023","9 point(s)","Asian","Main scheme applicant","Not main scheme application","1050","980","0.933","0"
"2010","10 point(s)","Asian","Main scheme applicant","Not main scheme application","440","400","0.905","0"
"2011","10 point(s)","Asian","Main scheme applicant","Not main scheme application","510","465","0.91","0"
"2012","10 point(s)","Asian","Main scheme applicant","Not main scheme application","480","440","0.911","0"
"2013","10 point(s)","Asian","Main scheme applicant","Not main scheme application","465","425","0.916","0"
"2014","10 point(s)","Asian","Main scheme applicant","Not main scheme application","565","520","0.915","0"
"2015","10 point(s)","Asian","Main scheme applicant","Not main scheme application","555","525","0.9490000000000001","0"
"2016","10 point(s)","Asian","Main scheme applicant","Not main scheme application","635","600","0.9390000000000001","0"
"2017","10 point(s)","Asian","Main scheme applicant","Not main scheme application","690","660","0.9510000000000001","0"
"2018","10 point(s)","Asian","Main scheme applicant","Not main scheme application","770","725","0.9420000000000001","0"
"2019","10 point(s)","Asian","Main scheme applicant","Not main scheme application","810","775","0.962","0"
"2020","10 point(s)","Asian","Main scheme applicant","Not main scheme application","830","785","0.9490000000000001","0"
"2021","10 point(s)","Asian","Main scheme applicant","Not main scheme application","630","585","0.927","0"
"2022","10 point(s)","Asian","Main scheme applicant","Not main scheme application","845","790","0.9380000000000001","0"
"2023","10 point(s)","Asian","Main scheme applicant","Not main scheme application","1015","955","0.9380000000000001","0"
"2010","11 point(s)","Asian","Main scheme applicant","Not main scheme application","375","350","0.926","0"
"2011","11 point(s)","Asian","Main scheme applicant","Not main scheme application","440","400","0.909","0"
"2012","11 point(s)","Asian","Main scheme applicant","Not main scheme application","485","460","0.9510000000000001","0"
"2013","11 point(s)","Asian","Main scheme applicant","Not main scheme application","390","355","0.912","0"
"2014","11 point(s)","Asian","Main scheme applicant","Not main scheme application","500","460","0.926","0"
"2015","11 point(s)","Asian","Main scheme applicant","Not main scheme application","515","495","0.963","0"
"2016","11 point(s)","Asian","Main scheme applicant","Not main scheme application","630","600","0.9520000000000001","0"
"2017","11 point(s)","Asian","Main scheme applicant","Not main scheme application","670","640","0.9570000000000001","0"
"2018","11 point(s)","Asian","Main scheme applicant","Not main scheme application","700","660","0.9470000000000001","0"
"2019","11 point(s)","Asian","Main scheme applicant","Not main scheme application","755","705","0.934","0"
"2020","11 point(s)","Asian","Main scheme applicant","Not main scheme application","950","895","0.9430000000000001","0"
"2021","11 point(s)","Asian","Main scheme applicant","Not main scheme application","720","685","0.9550000000000001","0"
"2022","11 point(s)","Asian","Main scheme applicant","Not main scheme application","815","760","0.935","0"
"2023","11 point(s)","Asian","Main scheme applicant","Not main scheme application","1020","935","0.913","0"
"2010","12 point(s)","Asian","Main scheme applicant","Not main scheme application","370","340","0.911","0"
"2011","12 point(s)","Asian","Main scheme applicant","Not main scheme application","355","325","0.915","0"
"2012","12 point(s)","Asian","Main scheme applicant","Not main scheme application","410","390","0.9540000000000001","0"
"2013","12 point(s)","Asian","Main scheme applicant","Not main scheme application","395","370","0.9390000000000001","0"
"2014","12 point(s)","Asian","Main scheme applicant","Not main scheme application","455","420","0.923","0"
"2015","12 point(s)","Asian","Main scheme applicant","Not main scheme application","440","405","0.916","0"
"2016","12 point(s)","Asian","Main scheme applicant","Not main scheme application","500","465","0.928","0"
"2017","12 point(s)","Asian","Main scheme applicant","Not main scheme application","585","540","0.93","0"
"2018","12 point(s)","Asian","Main scheme applicant","Not main scheme application","595","555","0.931","0"
"2019","12 point(s)","Asian","Main scheme applicant","Not main scheme application","650","600","0.927","0"
"2020","12 point(s)","Asian","Main scheme applicant","Not main scheme application","895","840","0.9430000000000001","0"
"2021","12 point(s)","Asian","Main scheme applicant","Not main scheme application","700","670","0.9530000000000001","0"
"2022","12 point(s)","Asian","Main scheme applicant","Not main scheme application","770","705","0.915","0"
"2023","12 point(s)","Asian","Main scheme applicant","Not main scheme application","910","830","0.912","0"
"2010","13 point(s)","Asian","Main scheme applicant","Not main scheme application","270","250","0.933","0"
"2011","13 point(s)","Asian","Main scheme applicant","Not main scheme application","240","225","0.937","0"
"2012","13 point(s)","Asian","Main scheme applicant","Not main scheme application","290","270","0.9410000000000001","0"
"2013","13 point(s)","Asian","Main scheme applicant","Not main scheme application","325","305","0.9440000000000001","0"
"2014","13 point(s)","Asian","Main scheme applicant","Not main scheme application","325","300","0.917","0"
"2015","13 point(s)","Asian","Main scheme applicant","Not main scheme application","355","330","0.921","0"
"2016","13 point(s)","Asian","Main scheme applicant","Not main scheme application","425","380","0.895","0"
"2017","13 point(s)","Asian","Main scheme applicant","Not main scheme application","420","405","0.964","0"
"2018","13 point(s)","Asian","Main scheme applicant","Not main scheme application","460","430","0.928","0"
"2019","13 point(s)","Asian","Main scheme applicant","Not main scheme application","470","430","0.917","0"
"2020","13 point(s)","Asian","Main scheme applicant","Not main scheme application","840","775","0.921","0"
"2021","13 point(s)","Asian","Main scheme applicant","Not main scheme application","580","525","0.907","0"
"2022","13 point(s)","Asian","Main scheme applicant","Not main scheme application","635","560","0.885","0"
"2023","13 point(s)","Asian","Main scheme applicant","Not main scheme application","670","605","0.903","0"
"2010","14 point(s)","Asian","Main scheme applicant","Not main scheme application","155","135","0.872","0"
"2011","14 point(s)","Asian","Main scheme applicant","Not main scheme application","190","165","0.878","0"
"2012","14 point(s)","Asian","Main scheme applicant","Not main scheme application","210","190","0.919","0"
"2013","14 point(s)","Asian","Main scheme applicant","Not main scheme application","265","245","0.928","0"
"2014","14 point(s)","Asian","Main scheme applicant","Not main scheme application","230","210","0.926","0"
"2015","14 point(s)","Asian","Main scheme applicant","Not main scheme application","260","230","0.899","0"
"2016","14 point(s)","Asian","Main scheme applicant","Not main scheme application","275","240","0.873","0"
"2017","14 point(s)","Asian","Main scheme applicant","Not main scheme application","290","260","0.91","0"
"2018","14 point(s)","Asian","Main scheme applicant","Not main scheme application","310","285","0.907","0"
"2019","14 point(s)","Asian","Main scheme applicant","Not main scheme application","330","305","0.93","0"
"2020","14 point(s)","Asian","Main scheme applicant","Not main scheme application","615","570","0.927","0"
"2021","14 point(s)","Asian","Main scheme applicant","Not main scheme application","365","325","0.88","0"
"2022","14 point(s)","Asian","Main scheme applicant","Not main scheme application","480","425","0.883","0"
"2023","14 point(s)","Asian","Main scheme applicant","Not main scheme application","475","415","0.879","0"
"2010","15 point(s)","Asian","Main scheme applicant","Not main scheme application","115","90","0.759","0"
"2011","15 point(s)","Asian","Main scheme applicant","Not main scheme application","145","115","0.786","0"
"2012","15 point(s)","Asian","Main scheme applicant","Not main scheme application","145","130","0.891","0"
"2013","15 point(s)","Asian","Main scheme applicant","Not main scheme application","165","140","0.848","0"
"2014","15 point(s)","Asian","Main scheme applicant","Not main scheme application","155","135","0.859","0"
"2015","15 point(s)","Asian","Main scheme applicant","Not main scheme application","160","150","0.926","0"
"2016","15 point(s)","Asian","Main scheme applicant","Not main scheme application","185","170","0.903","0"
"2017","15 point(s)","Asian","Main scheme applicant","Not main scheme application","165","150","0.916","0"
"2018","15 point(s)","Asian","Main scheme applicant","Not main scheme application","230","205","0.904","0"
"2019","15 point(s)","Asian","Main scheme applicant","Not main scheme application","250","220","0.884","0"
"2020","15 point(s)","Asian","Main scheme applicant","Not main scheme application","560","510","0.909","0"
"2021","15 point(s)","Asian","Main scheme applicant","Not main scheme application","260","225","0.873","0"
"2022","15 point(s)","Asian","Main scheme applicant","Not main scheme application","365","300","0.8250000000000001","0"
"2023","15 point(s)","Asian","Main scheme applicant","Not main scheme application","360","305","0.849","0"
"2010","16 point(s)","Asian","Main scheme applicant","Not main scheme application","50","40","0.769","0"
"2011","16 point(s)","Asian","Main scheme applicant","Not main scheme application","70","60","0.853","0"
"2012","16 point(s)","Asian","Main scheme applicant","Not main scheme application","95","75","0.8190000000000001","0"
"2013","16 point(s)","Asian","Main scheme applicant","Not main scheme application","85","75","0.86","0"
"2014","16 point(s)","Asian","Main scheme applicant","Not main scheme application","85","70","0.843","0"
"2015","16 point(s)","Asian","Main scheme applicant","Not main scheme application","80","70","0.861","0"
"2016","16 point(s)","Asian","Main scheme applicant","Not main scheme application","105","95","0.924","0"
"2017","16 point(s)","Asian","Main scheme applicant","Not main scheme application","90","75","0.865","0"
"2018","16 point(s)","Asian","Main scheme applicant","Not main scheme application","100","90","0.911","0"
"2019","16 point(s)","Asian","Main scheme applicant","Not main scheme application","90","75","0.865","0"
"2020","16 point(s)","Asian","Main scheme applicant","Not main scheme application","450","415","0.926","0"
"2021","16 point(s)","Asian","Main scheme applicant","Not main scheme application","170","150","0.86","0"
"2022","16 point(s)","Asian","Main scheme applicant","Not main scheme application","240","185","0.76","0"
"2023","16 point(s)","Asian","Main scheme applicant","Not main scheme application","200","175","0.856","0"
"2010","17 point(s)","Asian","Main scheme applicant","Not main scheme application","30","20","0.75","0"
"2011","17 point(s)","Asian","Main scheme applicant","Not main scheme application","35","30","0.865","0"
"2012","17 point(s)","Asian","Main scheme applicant","Not main scheme application","30","30","0.969","0"
"2013","17 point(s)","Asian","Main scheme applicant","Not main scheme application","45","35","0.86","0"
"2014","17 point(s)","Asian","Main scheme applicant","Not main scheme application","40","40","0.905","0"
"2015","17 point(s)","Asian","Main scheme applicant","Not main scheme application","35","30","0.909","0"
"2016","17 point(s)","Asian","Main scheme applicant","Not main scheme application","35","30","0.9390000000000001","0"
"2017","17 point(s)","Asian","Main scheme applicant","Not main scheme application","50","45","0.88","0"
"2018","17 point(s)","Asian","Main scheme applicant","Not main scheme application","35","30","0.9410000000000001","0"
"2019","17 point(s)","Asian","Main scheme applicant","Not main scheme application","40","40","0.905","0"
"2020","17 point(s)","Asian","Main scheme applicant","Not main scheme application","230","220","0.9560000000000001","0"
"2021","17 point(s)","Asian","Main scheme applicant","Not main scheme application","100","80","0.794","0"
"2022","17 point(s)","Asian","Main scheme applicant","Not main scheme application","130","100","0.754","0"
"2023","17 point(s)","Asian","Main scheme applicant","Not main scheme application","95","85","0.916","0"
"2010","18 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","18 point(s)","Asian","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2012","18 point(s)","Asian","Main scheme applicant","Not main scheme application","25","20","0.792","0"
"2013","18 point(s)","Asian","Main scheme applicant","Not main scheme application","20","15","0.85","0"
"2014","18 point(s)","Asian","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2015","18 point(s)","Asian","Main scheme applicant","Not main scheme application","25","25","0.92","0"
"2016","18 point(s)","Asian","Main scheme applicant","Not main scheme application","25","20","0.833","0"
"2017","18 point(s)","Asian","Main scheme applicant","Not main scheme application","25","20","0.875","0"
"2018","18 point(s)","Asian","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2019","18 point(s)","Asian","Main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2020","18 point(s)","Asian","Main scheme applicant","Not main scheme application","100","90","0.929","0"
"2021","18 point(s)","Asian","Main scheme applicant","Not main scheme application","95","70","0.7010000000000001","0"
"2022","18 point(s)","Asian","Main scheme applicant","Not main scheme application","170","120","0.716","0"
"2023","18 point(s)","Asian","Main scheme applicant","Not main scheme application","95","85","0.896","0"
"2011","3 point(s)","Mixed","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","3 point(s)","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","3 point(s)","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","3 point(s)","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","3 point(s)","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","3 point(s)","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","3 point(s)","Mixed","Main scheme applicant","Not main scheme application","10","10","1","0"
"2022","3 point(s)","Mixed","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","3 point(s)","Mixed","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2010","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2011","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","15","15","1","0"
"2012","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2013","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2015","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","20","15","0.889","0"
"2016","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2018","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2019","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","20","20","0.905","0"
"2020","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","10","10","1","0"
"2021","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","10","10","1","0"
"2022","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","4 point(s)","Mixed","Main scheme applicant","Not main scheme application","40","35","0.9470000000000001","0"
"2010","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2011","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","25","20","0.833","0"
"2012","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","25","25","1","0"
"2013","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","40","35","0.868","0"
"2014","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","25","25","0.852","0"
"2015","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","30","25","0.964","0"
"2016","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","35","30","0.853","0"
"2017","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","30","30","0.9380000000000001","0"
"2018","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","30","30","0.967","0"
"2019","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","45","40","0.93","0"
"2020","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","20","20","0.857","0"
"2022","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","40","35","0.9490000000000001","0"
"2023","5 point(s)","Mixed","Main scheme applicant","Not main scheme application","65","60","0.9520000000000001","0"
"2010","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","40","40","0.9500000000000001","0"
"2011","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","60","55","0.883","0"
"2012","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","45","40","0.913","0"
"2013","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","30","30","0.903","0"
"2014","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","55","50","0.925","0"
"2015","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","55","50","0.963","0"
"2016","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","60","55","0.932","0"
"2017","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","50","45","0.922","0"
"2018","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","65","60","0.9540000000000001","0"
"2019","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","70","65","0.9570000000000001","0"
"2020","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","35","35","0.9460000000000001","0"
"2021","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","30","30","0.969","0"
"2022","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","60","55","0.914","0"
"2023","6 point(s)","Mixed","Main scheme applicant","Not main scheme application","85","85","0.989","0"
"2010","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","60","60","0.967","0"
"2011","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","75","65","0.863","0"
"2012","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","70","65","0.9410000000000001","0"
"2013","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","55","55","0.93","0"
"2014","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","65","60","0.984","0"
"2015","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","85","80","0.9520000000000001","0"
"2016","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","75","70","0.922","0"
"2017","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","90","85","0.9550000000000001","0"
"2018","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","95","90","0.9480000000000001","0"
"2019","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","110","105","0.9550000000000001","0"
"2020","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","60","60","0.967","0"
"2021","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","50","50","1","0"
"2022","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","90","80","0.909","0"
"2023","7 point(s)","Mixed","Main scheme applicant","Not main scheme application","135","130","0.963","0"
"2010","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","65","60","0.9390000000000001","0"
"2011","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","100","95","0.93","0"
"2012","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","75","70","0.932","0"
"2013","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","80","75","0.962","0"
"2014","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","90","85","0.922","0"
"2015","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","105","105","0.981","0"
"2016","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","100","100","0.98","0"
"2017","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","125","115","0.912","0"
"2018","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","110","110","0.973","0"
"2019","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","155","145","0.9540000000000001","0"
"2020","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","100","95","0.9590000000000001","0"
"2021","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","90","85","0.9550000000000001","0"
"2022","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","115","115","1","0"
"2023","8 point(s)","Mixed","Main scheme applicant","Not main scheme application","155","145","0.9550000000000001","0"
"2010","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","85","80","0.918","0"
"2011","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","120","115","0.9580000000000001","0"
"2012","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","95","90","0.926","0"
"2013","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","85","80","0.9430000000000001","0"
"2014","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","100","90","0.911","0"
"2015","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","115","105","0.9470000000000001","0"
"2016","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","125","115","0.898","0"
"2017","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","170","155","0.901","0"
"2018","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","145","140","0.9390000000000001","0"
"2019","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","190","180","0.9380000000000001","0"
"2020","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","120","115","0.9500000000000001","0"
"2021","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","95","90","0.978","0"
"2022","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","160","150","0.9500000000000001","0"
"2023","9 point(s)","Mixed","Main scheme applicant","Not main scheme application","205","195","0.9470000000000001","0"
"2010","10 point(s)","Mixed","Main scheme applicant","Not main scheme application","85","80","0.897","0"
"2011","10 point(s)","Mixed","Main scheme applicant","Not main scheme application","110","100","0.899","0"
